,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.1.0,fft,cubcol.0,saturation,blur,movement,cubrow.0.3,cubrow.0,cubcol.0.6,cubcol.1.0,blockiness,uhdhdsim,noise,cubcol.0.5,staticness,color_fulness,temporal,contrast,cubrow.0.6,tone,cubrow.0.5,cubcol.0.3
0,0,71.6015,14.7685,55,0.0,0,114,123,15,131,12,0.98908,73.98053,0.0,0.0,1.35714,4.406,0.0,0.0,0.0,126.0,45.97585,0.00018,1.35,1.656,0.0,0.0,0.1431274872807675,68724.82009269495,0.16694702868007308,31.653224803783274,47314.615743956056,0.0,0.2943719822022883,0.11830067192318178,0.17834812544731862,0.1857479896015934,3.842860070426356,91.58622865860566,0.5598168729186597,0.20447780758760795,418.3714559293347,111.08372395288345,0.0,89.16398025772801,0.2779446138744364,0.6863407843137255,0.3129875881381907,0.24686127825274104
1,1,71.6811,15.0138,55,14.8151,0,114,123,15,131,12,0.98823,74.08605,0.0,0.0,1.21429,4.399,12.68678,0.0,0.0,126.0,45.99378,0.00016,1.33,1.67,-1.0,0.0,0.1345634592073924,68630.53682070857,0.14214850983063834,31.804758142541957,47672.236122122566,4.964940200617284,0.2909691001717493,0.11540983794547695,0.17761247092794774,0.18574297791074257,3.9136668229721967,91.57496978778204,0.5598168729186627,0.20361455778770807,416.3423629671954,111.56714900054583,4.876818439207243,87.14609064609361,0.26383359128762923,0.6862313725490197,0.3053995819049758,0.24553409563273706
2,2,71.6816,15.1881,55,14.2454,0,114,123,15,131,12,0.98617,74.10493,0.0,0.0,1.64286,4.409,12.89216,0.0,0.0,126.0,46.14715,0.00021,1.33,1.664,-1.0,0.0,0.13352975788815788,68529.53044347872,0.14108777992652402,31.85547251760224,47401.56502042485,4.573061342592593,0.28959617017071093,0.1168848674800531,0.17698865157094024,0.18495521531997475,4.310241867410187,91.56849614419806,0.5598168729186552,0.20233023229755137,415.1340087414098,110.67970580457047,4.874369254595309,88.25394235072325,0.25842584465394863,0.6875827450980392,0.30457226838626456,0.246306981353975
3,3,71.3954,15.1295,55,14.2008,0,114,123,15,131,12,0.99,73.81301,0.0,0.0,1.67857,4.433,13.03897,0.0,0.0,126.0,46.12166,0.00016,1.34,1.7,-1.0,1e-06,0.13313071019719597,68436.92872912357,0.14103301583688374,31.779172732506268,46634.89000066905,4.216724537037037,0.28777598299321216,0.1169604741219672,0.17644926948932999,0.18477615510518217,4.132110824850482,91.5941881984591,0.5559758319396004,0.20195588077389576,413.7300658608358,111.58530534938927,4.86374221123253,86.89533073861871,0.2534924329794652,0.6873168627450981,0.30522061828788843,0.2458411458777662
4,4,71.1271,14.9938,55,16.0856,0,114,123,15,130,12,0.9841,73.51929,0.0,0.0,1.75,4.413,12.98666,0.0,0.0,126.0,46.08259,0.00018,1.34,1.73,-1.0,0.0,0.13025464171252832,68346.61190714534,0.13711989582246661,31.886516052999614,45993.04218372363,4.005401234567901,0.28635294867537037,0.11773025201749573,0.17656053691085594,0.18395703364988858,5.4282661381596835,91.6402835491702,0.553758205896369,0.20214206105009047,412.57676658750745,112.57578612947336,4.881926120164756,88.54237829972439,0.2506228455466932,0.686966274509804,0.30485188519687195,0.24596212990707475
5,5,70.9404,14.9717,54,14.4064,0,114,123,15,131,12,0.98847,73.33316,0.0,0.0,1.46429,4.45,12.87216,0.0,0.0,126.0,46.18346,0.00015,1.34,1.652,-1.0,0.0,0.1292866566201377,68230.21253262629,0.13711636165065733,32.04917643982687,45537.46559762094,3.7959104938271606,0.28572232112830354,0.11851179277461273,0.17665233999584928,0.1838678008922561,5.980246987302697,91.6707361363446,0.5559758319395969,0.20216701613663712,411.4447679608817,111.79768640650421,4.905988106034655,88.13463599911198,0.24962509367280705,0.6894066666666667,0.3042670362941809,0.24663868504973158
6,6,70.6504,15.398,54,15.2801,0,114,123,15,131,12,0.99104,73.0476,0.0,0.0,1.71429,4.418,12.84796,0.0,0.0,126.0,46.16497,0.00016,1.34,1.711,-1.0,0.0,0.1287069574240166,68190.1951939881,0.13355036888698177,31.804571269470966,44899.55744643571,3.76171875,0.28492495204789975,0.11787660380802956,0.17673477331516876,0.18267819889113848,5.280825721097562,91.69515220566323,0.5543524170037694,0.2026431276170773,410.1097421464338,112.24909738888088,4.904828992663624,85.96782987076752,0.24889780911867085,0.6897042352941164,0.3043696736320325,0.2473473848428939
7,7,70.5379,15.482,54,15.7753,0,114,123,15,130,12,0.99349,72.92298,0.0,0.0,2.10714,4.424,13.20988,0.0,0.0,126.0,46.24119,0.00015,1.35,1.673,-1.0,0.0,0.12988132069819971,68231.06187645657,0.13508574058243847,31.739392504279994,44740.48637425656,3.812596450617284,0.28394110055131727,0.1175367872811544,0.1761574702399391,0.1840013848906362,3.9791567251354794,91.71801074129925,0.5559758319395945,0.20273832292232713,408.78810558069966,112.4921653458692,4.915625723532868,85.99184524539719,0.24777461828679795,0.6903972549019608,0.30428767362048587,0.24772788032009602
8,8,70.5747,15.3803,54,15.0853,0,114,123,15,131,12,0.99285,72.93131,0.0,0.0,1.96429,4.413,13.28494,0.0,0.0,126.0,46.48287,0.00017,1.34,1.757,0.12847,0.0,0.13070037188035283,68182.3065732337,0.13636053349388202,31.95921193817515,44591.923664245835,3.8781828703703702,0.2827402500345807,0.1174599471038308,0.17580255856792645,0.18630781725134007,4.850277267970959,91.69901895958971,0.5537582058963718,0.20156739723687428,407.5420444065922,111.73246898086518,4.950877087075296,88.8231961193203,0.24643505725228312,0.6930462745098039,0.3044409810684847,0.24775026890734678
9,9,70.5252,15.5702,54,14.9841,0,114,123,15,130,12,0.9897,72.87153,0.0,0.0,1.71429,4.407,13.19588,0.0,0.0,126.0,46.57765,0.00019,1.34,1.713,-1.0,0.0,0.13166342616681406,68222.57113587203,0.14030994519472634,31.831038675190488,44617.105704817695,3.857253086419753,0.2816117181634179,0.11778061392961041,0.1755017527781964,0.18732823300196022,4.375666500245818,91.7220583408765,0.5559758319395942,0.1992560332816273,406.18684277516496,112.05804242194137,4.945701372177378,88.7435988476507,0.24475688162076467,0.694043137254902,0.3046692476092223,0.24698057903969795
