,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0,contrast,cubcol.1.0,cubrow.0,blockiness,cubrow.1.0,cubcol.0.5,cubrow.0.3,movement,cubcol.0.6,noise,cubcol.0.3,staticness,color_fulness,tone,cubrow.0.6,temporal,saturation,fft,uhdhdsim,cubrow.0.5,blur
0,500,54.5774,33.5884,43,0.0,0,126,124,15,130,9,0.99533,55.64328,0.0,0.0,4.96429,8.376,0.0,0.0,0.0,127.0,64.51799,0.00018,0.65,2.015,0.0,0.0,0.13235902414369774,91.86749152283637,0.19329822470775732,0.05063424421151196,2.3291576900316793,0.14606816284404187,0.17191552858987333,0.12540867867321248,0.0,0.13012650623398342,0.48592444643634036,0.21950412912499076,406.83343315335514,75.19606167694371,0.8826882352941177,0.23803895378864362,0.0,24.257527104130496,65385.590074835665,94.80666992147461,0.20354483587463476,24675.774536341858
1,501,54.6887,32.9466,43,46.6285,0,126,124,14,130,10,1.00362,55.73882,0.0,0.0,2.67857,8.219,28.84738,0.0,0.0,127.0,64.39774,0.00019,0.64,1.843,-1.0,0.0,0.11275103020181271,95.10141363611324,0.18492617393095045,0.04045422986195792,1.8887299527140866,0.12446974295954448,0.15498255536931796,0.0933657331660821,25.092351466049383,0.11559291816452534,0.48370682039311114,0.20611463100789906,395.75309057792674,75.92615815636891,0.8844529411764706,0.17125912093508544,7.512394722049457,24.267983707380882,65697.40853277437,94.79035774389985,0.15958436969424492,24707.448060919785
2,502,54.3683,32.3916,43,45.3332,0,126,124,14,130,10,1.00475,55.44245,0.0,0.0,3.53571,8.199,28.29278,0.0,0.0,127.0,64.16025,0.00022,0.64,2.107,-1.0,0.0,0.11236888917975668,96.33102106391533,0.17775995544869957,0.03792539855869049,2.152256463487283,0.11481966044554964,0.1420025672490814,0.085199766199047,22.024546682098766,0.12236686436773492,0.48370682039311824,0.19396099443419595,385.9955960922522,77.33616190967655,0.8846611764705883,0.15499276531178843,7.494793353044192,24.315947544427566,65876.01387853286,94.8736471544828,0.1482022654905019,24316.752527177396
3,503,53.9866,32.3049,43,46.2909,0,125,124,14,130,10,1.00845,55.08456,0.0,0.0,4.82143,8.15,27.81612,0.0,0.0,127.0,63.80423,0.00015,0.64,1.96,-1.0,0.0,0.11237708158749976,96.00462236197617,0.17495570044833353,0.03615268950307454,1.9151443936914128,0.11151419435014696,0.1404378901124455,0.08055037054520409,19.574074074074073,0.12290288324753422,0.48370682039311425,0.18256979604578946,377.2559469984031,77.6341775814957,0.8845639215686275,0.14660898385128276,7.4871387603763315,24.39863360369647,65735.37008095755,94.92062417798482,0.14208176253070864,23850.259878336736
4,504,53.8394,32.5499,43,44.2605,0,125,124,14,130,10,0.99957,54.96415,0.0,0.0,3.14286,8.242,27.74666,0.0,0.0,127.0,63.41387,0.00019,0.64,1.92,-1.0,0.0,0.10688889945690347,95.90315005544024,0.16359362156900165,0.03502649963673737,1.3859647740499617,0.10699451144593419,0.145247909757864,0.07753152742914467,17.678626543209877,0.11798909032841873,0.4859244464363443,0.1832336291635039,369.58558706846367,78.50164899704615,0.8865423529411764,0.1406776471972919,7.4836272656502025,24.53031638816551,65663.88861672238,94.93288794679435,0.1408114056695293,23855.24801296085
5,505,53.9682,32.6796,43,42.7176,0,125,124,14,130,9,0.99845,55.1183,0.0,0.0,6.07143,8.254,27.95871,0.0,0.0,127.0,63.00822,0.00017,0.64,2.155,-1.0,0.0,0.12157763716024347,95.02152667700764,0.16277021623516671,0.0342872913537604,1.3475282639846313,0.10480894347837343,0.14402233985417626,0.07572939957040281,16.437162422839506,0.11695284796134771,0.48976548741540205,0.1819098478365272,362.7111410366884,79.48329300794515,0.8887525490196079,0.13561508384793314,7.481343092664886,24.595587647991415,65806.38668330303,94.96666486738371,0.14052634418409407,23788.954591751026
6,506,53.9271,32.2811,43,43.9596,0,124,124,14,130,9,1.01023,55.07183,0.0,0.0,4.96429,8.089,28.07413,0.0,0.0,127.0,62.68338,0.00012,0.64,1.977,-1.0,1e-06,0.11387044935845068,96.18757315683408,0.16903918278168573,0.033971821653987176,1.6197353011929738,0.10376345960176338,0.13826105997886673,0.07460825004789477,15.317901234567902,0.11702534109027767,0.48976548741540454,0.17753487688074676,356.44455288071555,80.75721380145832,0.8901960784313725,0.1326251616968122,7.457804711334101,24.71579940230758,65969.33284195304,94.98340766340249,0.14030831341730302,23629.33793788453
7,507,53.7906,32.0716,43,43.1947,0,124,124,14,130,9,1.01017,54.98969,0.0,0.0,3.0,8.111,27.72917,0.0,0.0,127.0,62.33219,0.00015,0.64,2.071,-1.0,0.0,0.11254960645316861,95.91700477177748,0.15762244435391096,0.03382511739403292,1.5342500653335438,0.1037059005749593,0.13460204947174692,0.07498336448697544,14.421971450617283,0.12954148688197376,0.48976548741540366,0.17928683185811048,350.6585373872762,81.17561424877914,0.8907325490196079,0.1313205246413747,7.4333991400439245,24.851322126977237,65819.9396509394,94.96368549855148,0.14055901614879288,23202.63541972494
8,508,53.7792,32.1678,43,43.9351,0,124,124,14,130,9,0.99829,55.00209,0.0,0.0,3.21429,8.063,27.54898,0.0,0.0,126.0,61.95658,0.00016,0.64,2.166,0.13014,0.0,0.11217801967143748,96.15485657003455,0.15076843577238627,0.033655284148429096,2.2153941513240767,0.1027953642153145,0.12802858426194547,0.07396927408256522,13.78612075617284,0.13953509948047169,0.4875478613721742,0.18495203189849188,345.1402710844514,81.27153675990719,0.8915729411764706,0.13109878396585042,7.410870862755904,24.981387479805655,65709.23947851136,94.92379726915533,0.14066251863087095,23015.372853934885
9,509,54.126,32.2051,44,42.2458,0,123,124,14,130,9,0.99761,55.3356,0.0,0.0,2.53571,8.003,27.63546,0.0,0.0,126.0,61.63006,0.00015,0.64,2.247,-1.0,1e-06,0.11355438705378779,92.74025826845309,0.14842834323879997,0.03349398282800752,1.4417500349934385,0.10241281469101995,0.12245434803006573,0.07343059886392211,13.036217206790123,0.14487573584612456,0.4897654874154022,0.18793179972301152,339.83156592474745,81.50411968783,0.8926819607843137,0.12957756184840866,7.38647943519117,25.07219385217737,65663.8267981116,94.89996043347331,0.14102319439568964,23235.090842170994
