,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,tone,cubcol.0.6,blockiness,saturation,cubrow.0.3,color_fulness,cubrow.0.5,cubcol.0.5,fft,blur,cubrow.0,uhdhdsim,movement,contrast,staticness,cubrow.1.0,temporal,cubcol.0.3,cubcol.1.0,noise,cubcol.0,cubrow.0.6
0,0,72.3773,14.3904,50,0.0,0,113,122,10,130,9,0.98809,71.37368,0.0,0.0,1.42857,4.411,0.0,0.0,0.0,126.0,45.74465,0.00028,0.33,3.629,0.0,1.34638,0.6797862745098039,0.17024095315171162,4.787621768629691,32.37445068359375,0.2833739916099734,114.92246704461337,0.3012382323543385,0.1901850500853161,68003.30550330818,44779.37088260833,0.10828041586970494,91.90258773249924,0.0,91.51152541292467,413.09765104935843,0.1343329378274506,0.0,0.24151121121018942,0.17289888701412415,0.37449159560546796,0.16296845695830425,0.26411304270708424
1,1,72.4715,14.6445,50,15.0872,0,113,122,10,130,9,0.98558,71.48267,0.0,0.0,2.21429,4.408,12.35676,0.0,0.0,126.0,45.76215,0.00032,0.33,3.56,-1.0,1.362742,0.6800768627450979,0.17136932750968903,4.114304299374816,32.52853807990934,0.2805786633965172,115.6815281500771,0.29540644512816344,0.18922225306729415,67936.47964816753,45173.93280626236,0.10774974083673139,91.89107533619574,4.672694830246914,88.10428237845527,411.75118073517075,0.12794214475226168,4.0096421811085206,0.24007014790940237,0.17412539328813176,0.37286818066962474,0.14036763865693,0.2507281868731573
2,2,72.4547,14.8273,50,14.4538,0,113,122,10,130,9,0.98573,71.49063,0.0,0.0,2.71429,4.446,12.56764,0.0,0.0,126.0,45.91531,0.00033,0.33,4.107,-1.0,1.317442,0.6813188235294119,0.17068178705840495,5.245608080645273,32.56582698115596,0.27948584075662936,114.66400534963695,0.294447298744448,0.18902026863319227,67855.58369259338,44877.43358697223,0.10964492684609904,91.8979073727972,4.370900848765432,88.84073975976474,410.90001394137795,0.12665567707488093,4.0050336447881145,0.24044453011803826,0.17459259707152644,0.37670922164868914,0.13907165235543012,0.24630911210285636
3,3,72.1618,14.7468,50,14.5818,0,113,122,10,130,9,0.98902,71.20319,0.0,0.0,2.42857,4.451,12.7252,0.0,0.0,126.0,45.89287,0.00034,0.33,3.904,-1.0,1.332735,0.6816086274509804,0.16993744464437616,4.2173316536214385,32.498672673731676,0.27777613805600576,115.95769951682341,0.2950698007068211,0.1889711720131009,67749.87004086834,44119.97918407541,0.10992615338329426,91.92714705656928,4.0650559413580245,87.14298081614845,409.6653156453149,0.12614831422562384,3.992995712111953,0.23934644575612954,0.1750240367308008,0.3706505546264027,0.13832390832266134,0.24153673116311034
4,4,71.9069,14.61,49,16.345,0,113,122,10,130,9,0.98226,70.91056,0.0,0.0,2.53571,4.42,12.6542,0.0,0.0,126.0,45.85474,0.00037,0.33,3.774,-1.0,1.309588,0.680813725490196,0.16992955394681017,4.3467270737354164,32.59868687759211,0.2763803975807532,117.01197128653926,0.29481262578450845,0.18931242238344984,67599.22876504404,43561.34340264865,0.11067307195251817,91.96878993600252,3.8834394290123457,86.15626039059566,408.6535380310139,0.12314765706284328,4.018361118695894,0.23941638401847698,0.17478857283782775,0.3706505546264029,0.1342488224740415,0.23870416842307907
5,5,71.7234,14.587,49,14.7016,0,113,122,11,130,9,0.98824,70.73273,0.0,0.0,2.14286,4.448,12.53964,0.0,0.0,126.0,45.95966,0.00033,0.33,3.625,-1.0,1.330958,0.6842725490196079,0.16961384300261223,4.823095981579809,32.79582817171827,0.275716862771232,115.75876528070755,0.2941041523074187,0.18935523637338367,67455.05180077729,43098.55868950063,0.11166060949216157,92.00154315440025,3.700617283950617,86.29983973244198,407.59692673219257,0.12258556611497408,4.045287153537829,0.24004199302590382,0.17436531110825038,0.37065055462640323,0.13400285025949465,0.237920091032882
6,6,71.4323,15.0206,49,15.6207,0,113,122,10,130,9,0.9901,70.45712,0.0,0.0,1.92857,4.432,12.5143,0.0,0.0,126.0,45.94044,0.00029,0.33,3.294,-1.0,1.324482,0.6838266666666667,0.16976747947623952,5.410632127475522,32.48321834611304,0.2748569228328848,116.38512280321153,0.2938870683421987,0.18954605825564197,67479.97775491817,42481.457508460844,0.11166919471435596,92.02680547946113,3.687596450617284,87.48633013115723,406.33346604358803,0.12239897379734715,4.043673653721125,0.24090341842906698,0.17345244517398864,0.36843292858317406,0.13027985934612257,0.23718787862474788
7,7,71.3607,15.1153,49,16.0975,0,113,122,10,130,9,0.99388,70.36449,0.0,0.0,2.71429,4.432,12.8842,0.0,0.0,126.0,46.02171,0.00027,0.33,2.853,-1.0,1.334377,0.6848749019607843,0.16926236602621528,4.147964541470331,32.44192730938947,0.2736889267247141,116.53274661958713,0.2936897260684785,0.18990763062179136,67522.63015364573,42460.158926526005,0.1115680193368427,92.04817928992865,3.730613425925926,89.04839943341965,405.06573739300273,0.12408502826023399,4.059009282979124,0.24125872628518413,0.17447974547100314,0.37065055462640245,0.13155660275229675,0.23610668763462822
8,8,71.3661,15.0098,49,15.5026,0,113,122,10,130,10,0.99364,70.36375,0.0,0.0,2.17857,4.409,12.96889,0.0,0.0,126.0,46.26955,0.00024,0.33,3.447,0.36021,1.305286,0.6899802745098014,0.16891222662939565,4.950125809147838,32.71267436463156,0.27252760768417295,115.87881384481635,0.29367939290864487,0.18874566493980674,67492.49549591314,42224.26656045044,0.11165225763197524,92.03213278577971,3.8130304783950617,89.58581415897861,403.8597396042008,0.12480168461318832,4.1099099494943525,0.24116337347314898,0.17708752819251447,0.3684329285831735,0.13228860178385923,0.23478119029472694
9,9,71.3366,15.1909,49,15.5086,0,113,122,10,130,10,0.99003,70.32256,0.0,0.0,2.21429,4.408,12.87351,0.0,0.0,126.0,46.36591,0.00032,0.33,3.52,-1.0,1.27617,0.6903677647058822,0.16855396694875618,4.562973700302449,32.584329864125195,0.27151298449796757,116.01278996113224,0.29384759643977704,0.18642291763581637,67484.65230198334,42238.26199302438,0.11177280549425632,92.0493851003852,3.783564814814815,90.95554108642881,402.54923709410957,0.12576305573013344,4.102979633440554,0.24036675577956443,0.17820031891818128,0.36843292858317467,0.13616894220580464,0.23323225957819405
