,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,saturation,cubrow.0,cubrow.0.3,color_fulness,tone,staticness,cubrow.1.0,temporal,cubrow.0.6,cubcol.0.6,noise,cubrow.0.5,movement,cubcol.1.0,uhdhdsim,fft,cubcol.0,blockiness,blur,cubcol.0.5,contrast,cubcol.0.3
0,500,55.9164,33.1496,40,0.0,0,126,123,11,130,7,0.99535,54.06059,0.0,0.0,4.71429,8.001,0.0,0.0,0.0,126.0,64.53094,0.00022,0.28,5.769,0.0,1.765448,24.524205525716145,0.027520246830993182,0.11976609783894333,75.83107812900884,0.8833035294117648,402.7908151578075,0.14221876285505225,0.0,0.23356464960678974,0.12665438320595337,0.3270514632555525,0.1984894602686221,0.0,0.18073149631574514,95.23613223958684,64567.87040998753,0.12712171708560482,2.2434204394689408,23843.588932883773,0.16612827053044824,96.80314279615828,0.21391449942659932
1,501,56.0135,32.5036,40,49.1035,0,125,123,11,130,7,1.00477,54.14464,0.0,0.0,3.67857,7.853,28.4527,0.0,0.0,126.0,64.40644,0.0002,0.28,7.598,-1.0,1.700541,24.531210816936728,0.02205821876961669,0.09033842129166866,76.64776627185947,0.8873764705882354,392.9284553069678,0.12050462772024693,6.912818204133923,0.1682691182183966,0.11292508916984252,0.32542804831971833,0.1569114767396288,23.66112075617284,0.1771452663894867,95.23052237429118,64935.10061171177,0.10904146584233353,1.7735975220331732,23794.675427546295,0.15180408978520263,95.66016519056693,0.20149826309039567
2,502,55.6821,31.9474,40,47.8474,0,125,123,11,130,7,1.00465,53.81853,0.0,0.0,4.39286,7.865,27.89603,0.0,0.0,126.0,64.16876,0.00026,0.29,7.714,-1.0,1.720915,24.545413547092014,0.020587640641232426,0.08214260582139983,77.74054549581633,0.8895788235294119,383.90034470651057,0.11093578594872562,6.883717642116714,0.15204845897746916,0.11807918870298743,0.32926908929877824,0.1461652270656553,21.17775848765432,0.17154720712106836,95.32254964601618,64994.24953574546,0.10895903033479062,2.091245163649368,23375.00310342339,0.13869843009204294,96.85974945657284,0.1897442494742423
3,503,55.2847,31.8562,39,48.8505,0,125,123,11,130,7,1.01033,53.44438,0.0,0.0,5.03571,7.839,27.41768,0.0,0.0,126.0,63.81014,0.00032,0.29,6.953,-1.0,1.774316,24.629902215651526,0.019267921779505866,0.07721499967433952,78.28445177549273,0.8893854901960786,375.57839486223565,0.10752004984081266,6.875047827648826,0.14395133068915092,0.11991613339523026,0.32542804831971783,0.14014816955802312,19.02068865740741,0.16915233398535176,95.3839617316847,64835.952835827266,0.10866563875772679,1.9274729118016742,22875.844745572766,0.1366521728925944,96.12504988639665,0.1786280680809731
4,504,55.1957,32.113,39,46.7697,0,124,123,11,130,7,0.99842,53.36257,0.0,0.0,4.14286,7.881,27.34341,0.0,0.0,126.0,63.41671,0.00022,0.29,7.927,-1.0,1.800547,24.786717167607062,0.01901244521272319,0.07476333849889669,79.42264204976323,0.8907176470588236,368.2339396475798,0.10358328701433359,6.865632530490128,0.1385834201812954,0.11446690553114257,0.32705146325554946,0.13934736865083275,17.254967206790123,0.15689096856558493,95.36196105402085,64874.456085425765,0.10327036606484037,1.3964834001379527,22921.847395997633,0.1410571089586247,96.97240765153845,0.1797237267615557
5,505,55.2976,32.2461,39,44.998,0,124,123,11,130,7,0.99703,53.48725,0.0,0.0,6.57143,7.941,27.56065,0.0,0.0,126.0,63.00639,0.00024,0.29,7.053,-1.0,1.822993,24.829697408793887,0.018527901132478784,0.0730946625803291,80.56394030193276,0.8912980392156864,361.5933129420558,0.1015547687662325,6.8624165495049745,0.13359326667506594,0.11383314270111608,0.329269089298778,0.13888254280113488,16.10349151234568,0.15742443378558885,95.4087506320798,65017.510294766784,0.11661996815100704,1.9084586221290492,22822.063340906418,0.14027497984106072,95.24175095440742,0.1784442393066329
6,506,55.2341,31.8532,39,46.4874,0,124,123,11,129,7,1.01251,53.43123,0.0,0.0,4.89286,7.831,27.67972,0.0,0.0,126.0,62.67763,0.00016,0.29,7.448,-1.0,1.802858,24.966053338698398,0.017824535185028485,0.07172729792104718,81.72374642624223,0.8923992156862747,355.5097707446674,0.10110098836700131,6.834490842663153,0.13095061510360947,0.11404663273899389,0.3270514632555516,0.1386540508153148,15.037519290123457,0.16354069947296987,95.43320259622993,65212.00621087219,0.10932538882757101,1.702596775529681,22653.758089829287,0.13406514210051299,96.94997944321632,0.17398773335682333
7,507,55.1377,31.6371,39,45.5969,0,123,124,11,129,7,1.01062,53.37145,0.0,0.0,3.10714,7.816,27.33953,0.0,0.0,126.0,62.32505,0.00019,0.29,7.918,-1.0,1.827126,25.089549877025462,0.017700612271353014,0.07231271279854688,81.68020365797685,0.8929647058823531,349.84616144579866,0.10067217627879813,6.804859445691534,0.1296150455010635,0.1266883094927045,0.32926908929878385,0.13894568177684108,14.19386574074074,0.1521768772768093,95.39851108818418,65146.60092636539,0.10847266318710655,1.9524132575629776,22299.966202083353,0.1303763967198976,96.83304961702811,0.17601609420138165
8,508,55.1195,31.7374,39,46.3381,0,123,124,11,129,7,0.99517,53.38274,0.0,0.0,2.96429,7.779,27.15701,0.0,0.0,126.0,61.94719,0.00016,0.29,7.098,0.41512,1.838999,25.23999532063802,0.017413080850741728,0.07114572990063875,82.29002041168465,0.8936423529411766,344.45530200766103,0.09968676207309791,6.784463026721922,0.12917692135688869,0.1363340602661611,0.3292690892987812,0.1390409282247377,13.575569058641975,0.1453422024922484,95.36172149093458,64927.808202204,0.10831982098477799,2.0876796826161916,22106.875168273637,0.1233590592659716,97.1479924229041,0.1811006519484435
9,509,55.5076,31.7832,40,44.275,0,122,124,11,129,7,0.9977,53.75054,0.0,0.0,2.42857,7.768,27.24825,0.0,0.0,126.0,61.6182,0.00023,0.28,7.551,-1.0,1.899345,25.31986340181327,0.01731387271421728,0.07061838431803806,82.27071762707153,0.8946541176470589,339.2467490679696,0.09953271429151431,6.757167345777182,0.12768502329007264,0.14158412391260802,0.3292690892987738,0.13960446237602805,12.84862075617284,0.14296869413804833,95.33080720730233,64970.5449265177,0.10969295543326903,1.84094185291739,22373.397197719274,0.11770007289064924,96.54999870535474,0.1844857415084778
