,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,fft,noise,uhdhdsim,cubrow.0,cubrow.0.3,cubrow.0.6,blockiness,temporal,saturation,blur,cubcol.0.6,cubcol.1.0,contrast,tone,cubrow.0.5,color_fulness,cubcol.0.3,cubrow.1.0,staticness,cubcol.0,cubcol.0.5,movement
0,0,70.0934,13.9747,45,0.0,0,113,122,9,130,8,0.9871,67.6805,0.0,0.0,2.67857,4.405,0.0,0.0,0.0,126.0,45.41371,0.00033,0.31,3.495,0.0,1.75163,67660.81662557911,0.33754538236430204,92.1785344144048,0.09952872639501967,0.2676328679116824,0.2465924141877601,3.3994647051136746,0.0,32.08766852484809,41048.74957145782,0.15660020601250405,0.16593504456130537,90.10427171747865,0.6744807843137255,0.2774417808724763,114.10918146030014,0.23511960648559285,0.12420621934664194,408.42518357361575,0.16255199754075586,0.1612886575346177,0.0
1,1,70.2063,14.2394,46,14.7377,0,113,122,9,130,8,0.98517,67.80609,0.0,0.0,3.75,4.396,11.99781,0.0,0.0,126.0,45.4331,0.00035,0.31,3.341,-1.0,1.740257,67643.51636372156,0.33754538236430376,92.16673552042886,0.09991863300449452,0.2651133158870731,0.23189897132140466,4.9098585749314365,3.7151609535111434,32.249737586504146,41471.794713065305,0.15650420232108683,0.16548889832792796,88.83165532628617,0.6744807843137255,0.27175570353304,114.83851476474564,0.23292858286226914,0.11942501098093754,407.32637656378733,0.1419546788968632,0.16069643212829263,4.3203125
2,2,70.1973,14.424,46,14.2429,0,113,122,9,130,8,0.98432,67.81666,0.0,0.0,3.21429,4.434,12.21896,0.0,0.0,126.0,45.58743,0.00038,0.31,4.185,-1.0,1.726244,67572.5213691827,0.3375453823643035,92.17807716212573,0.10172890820216558,0.26416882525719393,0.22775854516600766,3.9957636441359257,3.7112834403947863,32.290577829619984,41198.22340202756,0.15612323195733174,0.16503311772659257,87.74931475665444,0.6757454901960784,0.27074843033376206,113.81633582804065,0.23282343202132277,0.11936150394616092,406.64077031692835,0.13973075633314458,0.1605598376796982,4.078703703703703
3,3,69.8908,14.3338,45,14.5013,0,113,122,9,130,8,0.99102,67.52288,0.0,0.0,3.46429,4.45,12.37566,0.0,0.0,126.0,45.56469,0.00038,0.31,3.61,-1.0,1.696693,67436.00023938082,0.33754538236430287,92.2131106751942,0.10226020284943292,0.2622916362103109,0.2233834903100259,3.972390130697732,3.6953027624851043,32.21315605257764,40422.65629448422,0.15556268602425719,0.16496419784499242,89.1120217046104,0.6756949019607843,0.2708735716675996,115.04748838294097,0.23165303956998118,0.11902502196805895,405.5197078043249,0.13742049713560575,0.1600614643293898,3.8152488425925926
4,4,69.6737,14.1961,45,16.0889,0,113,122,9,130,8,0.98229,67.27008,0.0,0.0,3.5,4.45,12.30068,0.0,0.0,126.0,45.53103,0.00039,0.31,3.583,-1.0,1.691498,67328.36761414331,0.33754538236430154,92.25519726082811,0.10301159905658973,0.2608005276341288,0.22047317859557647,3.7240318963942007,3.721844966025813,32.327823403440874,39987.306362387084,0.15549764156768106,0.16498590581546502,87.10084259270647,0.675380745098039,0.2706757323294471,116.27912682018288,0.23144749628594471,0.11666736603279101,404.59341517959814,0.13219944347649507,0.1600412305168942,3.6752989969135803
5,5,69.4701,14.1611,45,14.5771,0,113,122,9,130,8,0.98827,67.09067,0.0,0.0,3.39286,4.477,12.18247,0.0,0.0,126.0,45.63681,0.00036,0.31,3.24,-1.0,1.767136,67119.57953722942,0.3375453823643017,92.28965917519304,0.1041256572545111,0.26017377120043034,0.21967205442799878,5.454236515476826,3.75442209689265,32.51064667878328,39470.136943543686,0.15525939241364253,0.16442995423906875,90.54167035247896,0.6786988235294117,0.2700185620613911,114.92614016940153,0.2319615669133936,0.11634085233469943,403.5944888139302,0.13192878396605834,0.1601084246835845,3.502314814814815
6,6,69.1708,14.6154,45,15.6215,0,113,122,9,130,8,0.99186,66.81019,0.0,0.0,4.32143,4.456,12.14807,0.0,0.0,125.0,45.6175,0.00031,0.31,3.351,-1.0,1.684181,67133.35478391302,0.337545382364302,92.31753365802165,0.10351998733777373,0.2593978318861012,0.2187046158074632,5.612726115915215,3.757277318038982,32.20400624216339,38854.395383373136,0.15532244849049273,0.16358386303652273,90.38487514960977,0.6781634509803921,0.269701490587815,115.60253174207547,0.23255305904684753,0.11650424580863751,402.36854654860485,0.12786425067343915,0.16027004617418927,3.5065104166666665
7,7,69.1446,14.7071,45,15.9386,0,113,122,9,130,8,0.99766,66.76083,0.0,0.0,4.21429,4.452,12.53489,0.0,0.0,126.0,45.70127,0.00031,0.31,2.947,-1.0,1.706008,67205.20680928121,0.3375453823643027,92.33102515647202,0.10356044621848721,0.2581198038489952,0.21788267743340115,3.72651747349987,3.7746723304702483,32.156711342894,38918.99652775897,0.15478376483557102,0.1649262703324226,90.34750946232919,0.6791980392156862,0.2697066534950456,115.74951488984206,0.2324895636018622,0.11799171337504698,401.1293337692117,0.12958235326760348,0.1604880162189116,3.5674189814814814
8,8,69.1363,14.6012,45,15.2768,0,113,122,9,130,8,0.99512,66.76213,0.0,0.0,4.17857,4.434,12.61697,0.0,0.0,126.0,45.94799,0.00031,0.31,3.448,0.40895,1.653738,67163.35766126773,0.33754538236430176,92.31179678597823,0.10360215788449768,0.2569815244036725,0.21657481258526612,4.813250617466309,3.8304412609180707,32.425665207851075,38640.25964420439,0.1544685321021065,0.1676310354056416,87.75950713552382,0.6839898039215686,0.26988437494721573,115.18336443582677,0.23195571782911587,0.11842095617514435,399.9710562341989,0.12995168477463998,0.15945529849770035,3.6397569444444446
9,9,69.1423,14.7745,45,15.3711,0,113,122,9,130,8,0.99195,66.75376,0.0,0.0,3.25,4.407,12.52358,0.0,0.0,126.0,46.04878,0.00032,0.31,3.219,-1.0,1.656024,67196.95184892447,0.3375453823643013,92.3267544367475,0.10379141504654886,0.2559509965385103,0.2151996730632308,4.374528625010212,3.8320397752025706,32.290509070879146,38710.0803240548,0.1540693702799954,0.16826333859611292,88.92075345885775,0.6848439215686275,0.2700967483072867,115.42729269607455,0.23118619423821002,0.11929548903666808,398.6977260328268,0.13376654939891228,0.15761638179117068,3.622588734567901
