,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.3,temporal,cubrow.0.6,movement,cubrow.0,cubcol.0,cubcol.1.0,blur,fft,staticness,tone,cubcol.0.6,cubrow.1.0,blockiness,cubrow.0.5,uhdhdsim,contrast,saturation,cubcol.0.5,color_fulness,noise,cubrow.0.3
0,500,55.4956,32.4496,37,0.0,0,126,123,10,130,7,0.99259,52.59177,0.0,0.0,5.07143,7.764,0.0,0.0,0.0,126.0,64.38786,0.00031,0.27,6.191,0.0,2.235234,0.20606447146031343,0.0,0.2275060426874485,0.0,0.025496147721512367,0.12129896560290719,0.169021239635039,23428.30420484586,64725.732138227446,398.5164948657855,0.8802407843137257,0.1284940028071022,0.14219252020486803,2.422988228861786,0.19316493376803046,95.2235949698671,96.66937404104974,24.261988321940102,0.16422439377237008,75.0028198897439,0.2840465829920969,0.1132686297983632
1,501,55.5181,31.7834,37,49.1358,0,125,123,10,130,7,1.00354,52.61586,0.0,0.0,3.92857,7.611,27.85084,0.0,0.0,126.0,64.25889,0.00029,0.27,8.884,-1.0,2.225972,0.19656003803686287,6.651431122403678,0.16446983236586107,22.009114583333332,0.020602581586576078,0.10586251567279602,0.168408012092112,23180.82623382108,64907.10332124052,389.515080756779,0.8836926470588236,0.11478152258689156,0.11963166330067615,1.8168981182913853,0.15338810903258998,95.25176071246528,96.87187636678323,24.276444611725985,0.14995389902485726,75.78439084592291,0.28626420903531774,0.08569199015371382
2,502,55.1978,31.2154,37,48.1447,0,125,123,10,130,7,1.00579,52.30212,0.0,0.0,3.57143,7.648,27.27562,0.0,0.0,126.0,64.02058,0.00032,0.27,8.189,-1.0,2.265747,0.1860193907175369,6.6194987690299705,0.1487318257497899,19.974537037037038,0.01926841726026058,0.10529173869312908,0.16544652845470656,22827.90082283802,65033.41328614364,381.0722811517946,0.8868776470588237,0.1158806177765297,0.10940819486640502,2.4399745877139853,0.14279269842444992,95.3416064253367,96.51051730968277,24.280555442527486,0.13727961319533763,76.84664572605071,0.2862642090353194,0.07906481950434173
3,503,54.7996,31.1347,37,49.1432,0,125,123,10,130,7,1.01323,51.92997,0.0,0.0,5.39286,7.648,26.7885,0.0,0.0,126.0,63.65938,0.00027,0.27,7.607,-1.0,2.275374,0.17466928268556492,6.605655063613634,0.14103627480160305,18.038676697530864,0.018087434251223385,0.10510124294953697,0.162546366033029,22284.947037872407,64862.11913229592,373.1623564110524,0.887338823529412,0.117166435649603,0.10603044987113537,1.5842630071885035,0.13735645968889104,95.40782176429525,96.47217629323247,24.368409333405673,0.13340149417275948,77.58643523921361,0.28182895694886784,0.07414047805214959
4,504,54.7441,31.3911,37,47.2146,0,124,123,10,130,7,0.99884,51.87159,0.0,0.0,4.35714,7.648,26.71991,0.0,0.0,126.0,63.26321,0.00026,0.27,8.541,-1.0,2.319943,0.17653185030014898,6.596807601493422,0.1359492864352527,16.422405478395063,0.01759794421025313,0.10088154845395139,0.1493471819841818,22341.99448744134,64847.46153055013,366.10430422050933,0.8882843137254903,0.112381883915757,0.1024838137461585,1.5704747098406036,0.13660344092901078,95.36581455205719,96.85107224870366,24.523734763816552,0.13682220479909865,78.40430343768509,0.28626420903531696,0.07175862137996715
5,505,54.8295,31.543,37,44.8033,0,124,123,10,130,6,0.99481,51.97046,0.0,0.0,6.75,7.616,26.93742,0.0,0.0,126.0,62.85166,0.00023,0.27,7.527,-1.0,2.365274,0.17520864353239465,6.596345799484635,0.13153012133373948,15.411217206790123,0.016832380865163508,0.11444085501349117,0.1504205756848513,22257.76612588992,65031.67605901275,359.67726426756855,0.8892882352941178,0.11165531837337603,0.10039068546656266,1.8767982236531333,0.13643390502465214,95.40420124189455,96.77355775703413,24.55724287621769,0.13678239074153256,79.74151186024164,0.28404658299209906,0.07061502827363612
6,506,54.7843,31.1607,37,46.7691,0,124,124,10,129,6,1.019,51.93475,0.0,0.0,4.75,7.51,27.07359,0.0,0.0,126.0,62.52396,0.00024,0.27,7.663,-1.0,2.333325,0.17062492805256185,6.5656926145491195,0.12898735980074275,14.400462962962964,0.01625835534918969,0.10714211909204067,0.15621578933641675,22144.73205664363,65136.88395162645,353.7870294530421,0.8902337254901962,0.11195099479025614,0.10028544999009366,1.8946795166177308,0.1367733889646426,95.43957722410494,96.24458976763671,24.69468104986497,0.1301533978782209,81.13014315770643,0.2824231680562633,0.06943712566664724
7,507,54.6895,30.9256,37,46.206,0,123,124,10,129,6,1.0129,51.86816,0.0,0.0,2.82143,7.523,26.74253,0.0,0.0,126.0,62.16706,0.00025,0.27,9.123,-1.0,2.391579,0.17311465441593007,6.5324620825795465,0.12767574436020007,13.590133101851851,0.016156223717510496,0.10670319459057734,0.1453482082780639,21817.671638827935,65083.901139501955,348.26699997856866,0.8907176470588236,0.12464231134315998,0.10020018619595918,2.161285260035409,0.13715329843850327,95.41579273610353,96.42068535076334,24.811151010018808,0.1264537328398648,80.7824038897385,0.28626420903531913,0.0697048432447822
8,508,54.6437,31.0208,37,46.6185,0,123,124,10,130,6,0.99257,51.85488,0.0,0.0,3.46429,7.406,26.54494,0.0,0.0,126.0,61.78582,0.00025,0.27,8.106,0.42914,2.372452,0.17778528859758408,6.516349555962589,0.12736460564584304,12.986882716049383,0.015782060105754992,0.10671245558427268,0.13909302465675114,21585.56985514625,64952.68679048407,342.99143972546443,0.890732549019608,0.13325006163274977,0.09923943602035037,2.505673240696783,0.13713334524695592,95.38539189604552,96.91426286484369,24.947374320324556,0.11938481414143103,81.57704826220288,0.28626420903532135,0.06890752941634898
9,509,55.0411,31.0841,37,44.8644,0,122,124,10,129,6,0.99561,52.23043,0.0,0.0,3.14286,7.473,26.63168,0.0,0.0,126.0,61.45925,0.00025,0.27,8.987,-1.0,2.428007,0.18140786305478543,6.487276134068943,0.12601288972158578,12.320167824074074,0.01568038350722561,0.1081526802119204,0.136881403869222,21866.82191711625,64951.431136402025,337.894393655924,0.8921611764705883,0.13853972635174996,0.09931726183387969,1.9799856268151195,0.13794275309565007,95.34416366722314,97.02358475426927,25.023229528356485,0.1139921663596398,81.57603484941428,0.2818289569488704,0.0685095591901006
