,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,noise,color_fulness,cubcol.0.6,cubrow.0.6,fft,cubcol.1.0,uhdhdsim,cubcol.0.5,blur,blockiness,staticness,movement,saturation,cubrow.1.0,cubrow.0.5,cubcol.0,cubrow.0.3,contrast,cubcol.0.3,temporal,cubrow.0,tone
0,0,66.8194,13.5323,42,0.0,0,113,122,8,130,7,0.98946,63.70022,0.0,0.0,2.92857,4.434,0.0,0.0,0.0,126.0,45.05309,0.00029,0.3,3.537,0.0,1.698306,0.3209927962332568,113.52235159561855,0.13859172622398244,0.2250564196725045,67576.51637053376,0.15910842982238219,92.5609645659834,0.12835719757315928,37227.807867098156,3.435502432358791,405.13373600090375,0.0,31.860753565658754,0.11373150463862479,0.24843494907366045,0.15670490985812047,0.24809472713170708,88.86055951513495,0.2232849637954355,0.0,0.08763072637795759,0.6690723333333332
1,1,66.953,13.8243,42,14.1851,0,113,122,8,130,7,0.98745,63.83437,0.0,0.0,3.25,4.421,11.61712,0.0,0.0,126.0,45.07141,0.00029,0.3,3.285,-1.0,1.698613,0.3232104222764836,114.28910135990095,0.13836153806693693,0.21005171086604718,67513.30929678705,0.15732125090097862,92.5508176057349,0.12731065641138928,37682.099497570896,2.903599928934713,404.1161547584726,4.077932098765432,32.02162829740548,0.1098179977977474,0.2424683074723274,0.1367786147804527,0.24644774323175112,87.02323586476953,0.2220889603971322,3.5628619139680553,0.08778195291532287,0.668549411764706
2,2,66.9433,14.008,42,13.6792,0,113,122,8,130,7,0.98426,63.84691,0.0,0.0,3.92857,4.442,11.86299,0.0,0.0,126.0,45.22603,0.00038,0.3,3.802,-1.0,1.683849,0.32099279623325705,113.2324438677764,0.13789459423529032,0.20636985589077148,67450.67343937788,0.1557900950644617,92.56990298848565,0.12694200343382153,37416.09143106972,3.028171062122609,403.5321405513181,3.873505015432099,32.06768836504148,0.11005702351268291,0.2414274368791316,0.13436199657155218,0.24553009368646625,92.18037513919793,0.2221441448500002,3.562780677160662,0.0893289482661942,0.6702901960784313
3,3,66.6475,13.8999,42,13.9946,0,113,122,8,130,7,0.99608,63.5678,0.0,0.0,3.78571,4.468,12.01767,0.0,0.0,126.0,45.20334,0.00042,0.3,3.547,-1.0,1.659976,0.3209927962332552,114.41935723159625,0.1374758246335226,0.2023039466064216,67334.9734557813,0.15553890291134476,92.6061610313023,0.12663216412049144,36679.413903941204,4.0160447598491285,402.4758025649948,3.6436149691358026,31.9896240234375,0.10966115293577855,0.24145190289915267,0.13193224980102716,0.24372542529772137,90.41194458025657,0.22141560723641324,3.549625769992646,0.08941071969183106,0.6702615686274509
4,4,66.4427,13.7622,41,15.6708,0,113,122,8,130,7,0.98314,63.3365,0.0,0.0,3.46429,4.458,11.92824,0.0,0.0,126.0,45.17503,0.00034,0.3,3.422,-1.0,1.65167,0.32099279623325444,115.74939621279445,0.1372643407396064,0.19936001852780405,67292.64343064079,0.15518283253474316,92.64386844951528,0.1263550897321004,36326.52254535108,4.346741328994429,401.57976540099867,3.5185667438271606,32.111873297043786,0.10800454402325288,0.2412761018773655,0.12692281083841617,0.242271396830365,87.99853828026458,0.22115335770713587,3.5787480981626634,0.09020608657803422,0.6700023529411764
5,5,66.2177,13.7143,41,14.1758,0,113,122,8,130,7,0.98984,63.13621,0.0,0.0,4.0,4.496,11.80957,0.0,0.0,126.0,45.27971,0.00036,0.3,3.042,-1.0,1.725668,0.3209927962332547,114.67569284523319,0.13708721385386388,0.1984231768058528,67101.17105850218,0.15489724457584644,92.68536609595843,0.1262659689181545,35728.906668709016,2.9846754142023997,400.6211258754513,3.3404706790123457,32.287612538278836,0.10770774106725674,0.24084676896019613,0.1265997546540535,0.2414044949472795,88.45473631811052,0.22152449350174053,3.6136235027958916,0.09135720194245413,0.6725207843137255
6,6,65.9139,14.184,41,15.0456,0,113,122,8,130,7,0.99308,62.85109,0.0,0.0,4.39286,4.493,11.76518,0.0,0.0,126.0,45.26268,0.00025,0.3,3.155,-1.0,1.659685,0.320992796233254,115.06359109244582,0.13738002409804784,0.19770551144388712,67066.1793089994,0.15441868493911384,92.71900943272252,0.1261649579641289,35136.410923146665,4.394922660771901,399.43342378728704,3.35961612654321,31.982470665448975,0.10756034591041902,0.24075603281268063,0.12292136178482928,0.2404863922839355,89.31879148351598,0.22186407803105038,3.620221835839525,0.0906700344652895,0.6722784313725492
7,7,65.9132,14.2742,41,15.4655,0,113,122,8,130,7,1.00018,62.8318,0.0,0.0,5.17857,4.492,12.16445,0.0,0.0,126.0,45.34487,0.00024,0.31,2.861,-1.0,1.659764,0.3209927962332536,115.29511380515267,0.1368055335891675,0.19680648780184357,67005.73767725792,0.15595762942689725,92.72004723585498,0.126435269464622,35216.75652025409,4.157860598216724,398.22293235335644,3.435378086419753,31.931995721510898,0.10865802366601963,0.2407081994157989,0.12494408548164648,0.23924264025842615,90.04307485632661,0.22148223593666824,3.6396879644623747,0.09066671785668827,0.67344
8,8,65.9096,14.1644,41,14.6932,0,113,122,8,130,7,0.99813,62.84081,0.0,0.0,4.14286,4.487,12.24546,0.0,0.0,126.0,45.5955,0.00033,0.31,3.302,0.41049,1.628504,0.32099279623325533,114.64139320626347,0.13647044393573904,0.19554721875016517,66978.9575809948,0.15854244168915152,92.69950147303015,0.1257574645644435,34942.33780844083,4.382875602951049,397.08725505946273,3.503761574074074,32.20615565923997,0.1090186301093522,0.2410924323365527,0.12497869071614653,0.238040258937429,88.36644709284056,0.22091199883838247,3.6984278033113727,0.09066805058154988,0.6766690196078432
9,9,65.9367,14.3192,41,14.6903,0,113,122,8,130,8,0.99447,62.85779,0.0,0.0,3.5,4.448,12.14766,0.0,0.0,126.0,45.69519,0.00024,0.3,3.095,-1.0,1.624274,0.3209927962332542,114.71622384812706,0.1361326703487902,0.19427443743343162,66991.04048706612,0.1590011119958698,92.71444754956661,0.1245501300301273,35016.77891982099,2.5784381298750225,395.8278168259866,3.486111111111111,32.06160010820553,0.10986942416489827,0.24139164905239632,0.12880359805547584,0.23699771437310369,85.56528018651997,0.22030194512550696,3.708239590818199,0.09079916568165233,0.6783349215686245
10,10,65.8167,14.7251,41,14.6046,0,113,122,8,130,8,0.99782,62.74711,0.0,0.0,4.14286,4.457,12.28212,0.0,0.0,126.0,45.71047,0.00022,0.3,2.872,-1.0,1.624981,0.3209927962332555,115.22877534825668,0.13587648794678242,0.1934521898099624,66980.67854336894,0.16058603416587822,92.71020604806489,0.12373535760755414,34754.074650454386,3.870552346849456,394.6848489477878,5.289158950617284,32.0463740972825,0.11018019202594859,0.2413924945689533,0.13302598159730594,0.2362878542940604,86.33016683100143,0.2194824347006909,3.754691060202121,0.09106340060230816,0.6775490196078431
