,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.3,color_fulness,cubcol.0.5,cubrow.0.3,tone,cubrow.0,saturation,cubrow.1.0,contrast,temporal,staticness,cubcol.0.6,cubcol.1.0,noise,blockiness,cubrow.0.5,uhdhdsim,cubcol.0,fft,blur,cubrow.0.6,movement
0,400,43.6013,26.9895,25,0.0,0,111,123,6,130,5,0.9932,41.07089,0.0,0.0,3.78571,8.661,0.0,0.0,0.0,125.0,43.45619,0.00011,0.29,3.691,0.0,3.772504,0.14065040517122387,93.12683298725689,0.15591818265048304,0.10553469202626717,0.7105705882352941,0.043212019764111584,31.270100911458332,0.05636248496673871,88.70517461399305,0.0,362.885721402815,0.05061791686131306,0.034410117660269995,0.2575942888596874,2.958754169535193,0.1752641376614994,96.80179753286195,0.1471079897952299,64214.444823044294,13023.727256242937,0.13645672696649608,0.0
1,401,44.1669,27.3891,26,33.5818,0,111,123,6,130,5,1.00484,41.58635,0.0,0.0,3.42857,8.559,23.171,0.0,0.0,125.0,43.70224,0.00012,0.29,3.639,-1.0,3.80507,0.13007438646949296,92.39370386783123,0.1507237074035494,0.08227631553808167,0.7113227450980393,0.03280846304112658,31.2624321454837,0.042403868479346844,88.37007879641583,6.43038982917797,356.32512924130276,0.042396661921728515,0.035861853278202065,0.25537666281645827,2.7039728140733903,0.12587380685801808,96.68027928998688,0.14624317318275304,64344.29002867614,13494.935703330038,0.10062267324921811,18.973331404320987
2,402,44.4266,27.5261,26,33.9498,0,111,123,6,130,5,1.00825,41.86596,0.0,0.0,4.39286,8.482,23.50394,0.0,0.0,125.0,43.96208,0.00014,0.29,3.258,-1.0,3.845744,0.1347299662639014,92.31460198900322,0.14248405628484223,0.07695073343494874,0.7148721568627451,0.03017009128387555,31.250356603551793,0.0363721043360349,90.30197844173101,6.424887998715549,350.4152099011567,0.04055642008187076,0.037735456539289204,0.25921770379552084,2.781835029904623,0.11663477357135786,96.6429982636899,0.12060876818090746,64197.865838443635,13883.534505010262,0.09519782742631909,17.53197337962963
3,403,44.6492,29.1261,26,32.811,0,111,123,6,130,5,0.9898,42.09807,0.0,0.0,3.92857,8.463,23.63732,0.0,0.0,125.0,44.26847,0.00014,0.29,3.622,-1.0,3.789719,0.13378726992048418,92.3503015208925,0.14086740953983,0.07378446901452068,0.7217105882352942,0.028684803556650065,31.146219700942808,0.034257282314640265,90.05455691232973,6.440470755161979,344.7633718788743,0.040527749968433925,0.03879520803445356,0.26143532983874923,2.668962643466841,0.11027083691104042,96.6303134372848,0.10871065751105846,64125.14693954988,14094.153275443678,0.09237994002436821,15.85643325617284
4,404,44.7124,30.2747,27,35.4372,0,112,123,7,130,6,1.0042,42.22999,0.0,0.0,5.10714,8.858,25.0625,0.0,0.0,125.0,44.77832,0.00012,0.29,3.768,-1.0,3.776706,0.13368855919350145,91.88388466256143,0.1436089941644344,0.07158926423448178,0.7339650980392156,0.027997785311066586,31.07733135458864,0.033214348402366665,90.49466139378326,6.477982169624206,339.4741692900598,0.04504599378672302,0.04040447563731858,0.26143532983875145,3.0831256974608765,0.10656528905544634,96.65871652004051,0.10213267907823657,64214.05661424276,14009.175303925116,0.09163087992252468,14.908275462962964
5,405,44.5818,30.0,27,37.8439,0,112,123,7,130,6,1.00621,42.13497,0.0,0.0,3.32143,9.002,26.02155,0.0,0.0,125.0,45.73425,0.0001,0.28,3.987,-1.0,3.756272,0.13219462279134606,91.4760040583337,0.1415060812711845,0.07050088658359813,0.7585450980392158,0.027653174617948747,30.79870417088638,0.03353028822465496,90.49724678457646,6.521948046953494,334.4816197512266,0.07076059545475656,0.04101721695550547,0.2614353298387513,2.2935217607964273,0.10248700608894595,96.69070302276558,0.1016129483906383,64206.1965536811,13702.149326462964,0.09038050461549388,14.182773919753087
6,406,44.3721,29.5927,27,34.5838,0,113,123,7,130,6,0.99094,41.93244,0.0,0.0,3.0,8.801,25.76706,0.0,0.0,125.0,46.70972,0.00017,0.29,3.351,-1.0,3.73802,0.1365217545364624,91.7141677144822,0.14016501473626466,0.06960039314586648,0.7798870588235294,0.027289549051487984,30.707959210431135,0.03366774019602845,94.7804042463234,6.5090342235941385,329.87771467873466,0.07353606414865012,0.0390082093563095,0.26143532983875,2.5237995596604335,0.09885321003516485,96.72481537240101,0.1083342120116711,64040.11733557773,13312.018540809326,0.08972908678000145,13.08521412037037
7,407,44.2609,29.5289,27,33.9846,0,113,123,7,130,6,0.99526,41.84033,0.0,0.0,4.57143,8.825,25.42537,0.0,0.0,125.0,47.44804,0.00019,0.29,3.24,-1.0,3.747715,0.14473724139016728,91.91908026003985,0.14252523927979913,0.06919879688490957,0.7862325882352941,0.027208241177470838,30.491408924997586,0.034126979200637314,88.41089225732608,6.498307133047946,325.58031667869784,0.08941344123128607,0.03794741960912013,0.2614353298387513,1.9861585417851044,0.09639244839100473,96.72873774359049,0.11260481971289835,64063.7681785912,13132.47619948345,0.08809316318433093,12.25708912037037
8,408,44.2877,29.3096,27,37.1696,0,114,123,7,130,6,1.00387,41.90738,0.0,0.0,3.96429,8.968,25.37629,0.0,0.0,125.0,48.04295,0.00022,0.28,3.227,0.41397,3.750233,0.14349592377652048,91.13288159803216,0.14809516158683447,0.06854159395070167,0.7911082352941177,0.02690448610231844,30.476219836576483,0.033491093181988556,88.20596058360883,6.50761938671159,321.751305412313,0.0972280997436804,0.036887012718950875,0.26143532983875256,1.8262277435104346,0.09417458495591426,96.70074927312287,0.11800719342339526,64265.80628465325,13167.730755357828,0.08664879775682939,11.88845486111111
9,409,44.5498,28.7065,27,35.7781,0,115,123,7,130,6,0.98579,42.13129,0.0,0.0,4.60714,8.886,25.18954,0.0,0.0,125.0,48.83946,0.00022,0.29,2.782,-1.0,3.60897,0.14066946361548435,91.24417126321089,0.15194646185189398,0.06819273444142082,0.8034521568627451,0.026993909624410943,30.328644929108794,0.03340017628690277,88.05305878139868,6.5427991323371,318.329267770849,0.11271445943871629,0.03626363651838335,0.2614353298387524,1.4660828580924052,0.09322027203866903,96.66300553893015,0.12157181396413623,63848.7771481777,13372.865234370942,0.08434808047909138,11.413242669753087
10,410,44.6111,28.2803,27,36.1522,0,115,123,7,130,6,0.98969,42.13956,0.0,0.0,3.0,8.698,24.67073,0.0,0.0,125.0,49.8319,0.00027,0.29,2.774,-1.0,3.582235,0.13911767061901775,90.98905752374696,0.15525486954977377,0.06770111678697056,0.8111992156862745,0.027028176016103203,30.04493788730951,0.03347512003565734,88.3610879009858,6.547408696216241,315.15894735365737,0.123365532029643,0.03904746348586938,0.261435329838752,1.6970515889831033,0.092452574279381,96.64958613765755,0.11335520828887195,63811.55525669487,13514.914066253003,0.08316146080906524,13.92235725308642
11,411,44.4074,28.2397,27,38.0775,0,116,123,7,130,6,1.00068,41.92796,0.0,0.0,3.28571,8.734,24.29418,0.0,0.0,125.0,50.73464,0.00028,0.28,3.341,-1.0,3.567489,0.13966801034303883,91.06414574355709,0.15892309450791042,0.06712120149445247,0.8225690196078431,0.02683259899424981,29.68049470877942,0.033112322918873546,88.89998768239585,6.555856045471128,312.0690582464427,0.12851542492886175,0.04785055908482864,0.2614353298387493,2.4056785914442846,0.09137891347869995,96.71598072944163,0.11056972909751699,63745.73151367749,13245.751164349711,0.0829678635274864,16.021894290123456
12,412,44.2325,28.2371,26,35.9007,0,116,123,7,130,6,1.0082,41.75565,0.0,0.0,3.64286,8.883,24.25972,0.0,0.0,125.0,51.50928,0.00026,0.29,3.468,-1.0,3.456254,0.13798367100011055,90.99872273917946,0.15963796936127073,0.06677986432219467,0.8270419607843137,0.02676899587678702,29.557897685486594,0.03295129564145714,87.76887195119134,6.553793202670054,309.08593557782274,0.14128610916875534,0.05749421349136869,0.2592177037955162,2.5094735131775936,0.0905552756636932,96.70989597295373,0.1068828111384013,63719.89167268188,13235.618648865055,0.08230668566215066,14.864920910493828
13,413,44.2278,28.2669,26,37.5633,0,117,123,7,130,6,0.99255,41.73843,0.0,0.0,3.85714,9.006,24.27566,0.0,0.0,125.0,52.41678,0.00025,0.29,3.856,-1.0,3.444544,0.13681959981531253,90.81184691238583,0.16085956611587504,0.06669953877316069,0.8328090196078433,0.02693361675361975,29.054689948941455,0.03274815072976799,87.63169438382423,6.578066952203732,306.0757139484552,0.1470370411683747,0.06595892418684064,0.2553766628164609,1.5854886676490363,0.08984898870510041,96.67567015886787,0.11167433095699968,64179.02927830922,13268.20008422663,0.0822172861493299,13.573543595679013
