,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0,tone,cubcol.1.0,blockiness,uhdhdsim,contrast,fft,temporal,color_fulness,staticness,cubcol.0.6,noise,blur,movement,cubrow.0.5,cubrow.1.0,cubcol.0.5,saturation,cubrow.0.6,cubrow.0.3,cubcol.0,cubcol.0.3
0,0,69.8698,7.30768,53,0.0,0,138,126,5,128,5,0.99862,72.22787,0.0,0.0,7.75,8.531,0.0,0.0,0.0,130.0,67.36079,0.0,0.43,1.559,0.0,0.000983,0.30247798399943804,0.5075525098715873,0.276416254454567,1.3582947677133737,95.14488839143938,89.23092222009421,65971.95911129404,0.0,102.66758314830615,280.64811545929484,0.2300563836135851,0.4136554348898606,47100.5548302254,0.0,0.3260110339718441,0.2346712428350914,0.15833474044910786,14.429466906888985,0.2913315877376146,0.18691078260865604,0.24569040347755472,0.20458611098186358
1,1,69.9123,7.55965,53,8.84572,0,138,126,5,128,5,1.00057,72.28383,0.0,0.0,8.64286,8.532,6.32572,0.0,0.0,130.0,67.36771,0.0,0.44,1.669,-1.0,0.001367,0.2963629343434937,0.5071945604059971,0.27209841951777797,1.8284851136576494,95.12316413463608,89.19131350384764,65923.89779789852,4.433497350738135,102.97747010905145,279.96955146724355,0.223493438843128,0.41587306093307874,47145.4560724404,2.3365644290123457,0.3248852811165694,0.23208546488301993,0.15781854790580335,14.43631640775704,0.2917133276528984,0.18630226719022336,0.23544462617118422,0.20115145136481027
2,2,70.0734,8.13339,53,9.27933,0,138,126,5,128,5,1.00279,72.4314,0.0,0.0,8.39286,8.517,6.54141,0.0,0.0,132.0,67.38926,0.0,0.44,1.688,-1.0,0.001524,0.2938694688308193,0.5075596567680117,0.2704251790295946,1.5843787892875552,95.09847532506697,88.14572437666185,65855.29346607653,4.504503901075514,103.12579816324309,279.6366289911173,0.22148368180342473,0.415873060933077,47368.26464140792,2.8078703703703702,0.32459401795307297,0.23050825217719276,0.15789791882782012,14.453533408082562,0.29081027834035084,0.18671627100081592,0.22602348614409437,0.19969983811569822
3,3,70.1142,8.07414,53,9.51446,0,138,126,6,128,5,1.00511,72.49209,0.0,0.0,9.21429,8.541,7.04811,0.0,0.0,132.0,67.37892,0.0,0.44,1.671,-1.0,0.001022,0.28920093685473924,0.5074613536867353,0.268026437418437,1.711719342333173,95.110319024232,88.19724126048551,65771.0963116194,4.675692570726448,102.67542246567795,279.27559414543833,0.22043523515401728,0.415873060933079,47393.00599555352,3.415991512345679,0.3233115165877843,0.22914558849687558,0.1581173858966602,14.481060828691646,0.2900276794109083,0.18701477771580743,0.21791334499598944,0.19849652762076472
4,4,70.1574,7.86409,53,9.23576,0,138,126,5,128,5,1.00205,72.56315,0.0,0.0,9.85714,8.523,6.98783,0.0,0.0,132.0,67.38948,0.0,0.44,1.636,-1.0,0.001624,0.2855239029354265,0.5074197299684731,0.2647845278850282,1.9189026216449874,95.09724273171351,88.23816950634398,65726.85513269054,4.656039970267922,103.10877111930475,279.03650242719624,0.21962384755806702,0.4158730609330819,47444.50877147818,3.1574556327160495,0.3225528982493496,0.22843435465609221,0.15760228010894475,14.482218989619502,0.28965079717174413,0.18735169528711948,0.2132258075256251,0.1987391792772757
5,5,70.188,7.71052,53,9.04336,0,138,126,6,128,5,0.99925,72.63951,0.0,0.0,9.60714,8.534,6.8117,0.0,0.0,131.0,67.40498,0.0,0.44,1.71,-1.0,0.001464,0.2830035821064198,0.5075525098715873,0.2601427052000079,1.8345770978004219,95.07493743703319,86.77309537399937,65764.3500722902,4.563103062771122,103.61094780496582,278.81792244015116,0.21756452673831064,0.41365543488985934,47542.666551139875,2.6847029320987654,0.3225999180841445,0.22600963883166497,0.1580131140904864,14.486419866114487,0.2892919326636718,0.1874519755088617,0.21107184519637745,0.19922135312433292
6,6,70.1399,8.01817,53,8.77838,0,138,126,6,128,5,0.999,72.62082,0.0,0.0,8.28571,8.54,6.67276,0.0,0.0,131.0,67.3755,0.0,0.43,1.658,-1.0,0.002498,0.2803816893214863,0.5071713420622831,0.2557767391167967,1.9361715210329815,95.0831533138731,85.48969718850108,65761.28855637783,4.467782673225601,103.15022782169868,278.5607903220059,0.21639554237068945,0.41587306093307763,47444.9638352303,2.3909143518518516,0.32272604595708904,0.22400005569504497,0.15808719090828158,14.447935504677856,0.28882926812540366,0.18788061128303743,0.20960698654460622,0.1999004441434099
7,7,70.2453,8.1927,53,9.03374,0,138,126,6,128,5,0.99932,72.72405,0.0,0.0,8.57143,8.526,6.93977,0.0,0.0,131.0,67.40455,0.0,0.42,1.62,-1.0,0.001818,0.2770032271673285,0.5072107992064591,0.2521855020052646,1.0832669763063865,95.07965812660484,86.79278256538751,65723.29681869494,4.554945229271881,102.47303243055126,278.33300028373804,0.21478702177555675,0.41587306093308024,47608.29579781599,2.55835262345679,0.32237655142426636,0.22302906989099214,0.15843241340019262,14.53646115903501,0.28838364961151797,0.18846152384646994,0.2096086975419561,0.20116004312466948
8,8,70.3207,8.41065,53,9.01457,0,138,126,6,128,5,0.99887,72.77552,0.0,0.0,9.17857,8.516,7.08912,0.0,0.0,130.0,67.38064,0.0,0.43,1.673,0.12539,0.001428,0.2732287496226487,0.5074797106897342,0.24952275685890238,1.8830173745411976,95.06625883395714,86.6694038678518,65757.17513044509,4.593510323805467,102.83401068623337,278.0478896768876,0.2136579203147131,0.4158730609330797,47833.261923327096,2.6222511574074074,0.32221423099155694,0.22235680217125814,0.159019593796721,14.50667280032311,0.2882568763686082,0.18906871483029516,0.21039032413219977,0.20221955812108683
9,9,70.3737,8.2321,53,8.98418,0,138,126,6,128,5,0.99708,72.81153,0.0,0.0,9.78571,8.509,7.27813,0.0,0.0,129.0,67.39672,0.0,0.43,1.577,-1.0,0.00111,0.2693685914132545,0.5074013487796996,0.24737720974555671,1.9646301578290417,95.07321979122395,89.80915104831725,65800.6349735191,4.668730735660257,102.56987184941649,277.7444576269605,0.21254609704407493,0.41587306093308163,47986.60115496897,2.7542438271604937,0.3219633071468605,0.221720866565366,0.15989826580331917,14.525771717966338,0.287778481564486,0.18933030207894358,0.21209278188309566,0.20361315605809577
10,10,70.4334,7.9826,53,8.897,0,138,126,6,128,5,0.99631,72.89042,0.0,0.0,9.10714,8.485,7.11953,0.0,0.0,130.0,67.4054,0.0,0.43,1.636,-1.0,0.00161,0.26677490378771634,0.5074110230895804,0.24584738068967227,1.869946013045061,95.06891620534313,89.5649636321225,65880.87623624911,4.617292473852468,103.16186643652082,277.45892977478456,0.21297982775781968,0.41587306093307935,48189.69982233618,4.060088734567901,0.3216254525458095,0.22091369592568322,0.1604167761429873,14.486887990692516,0.2868636841444786,0.18959911405641852,0.21374370892894526,0.20432875262159025
11,11,70.3902,7.92529,53,8.73478,0,138,126,6,128,5,0.99652,72.86571,0.0,0.0,5.92857,8.497,6.90277,0.0,0.0,130.0,67.41341,0.0,0.43,1.579,-1.0,0.001204,0.26384127133781693,0.516238861976163,0.24526896918915878,1.0796211153060442,95.07758250318034,87.63360253284999,65821.36511350375,4.539204154584357,102.85177350569498,277.205524194069,0.21369328462093098,0.4158730609330834,48114.711209272675,4.305652006172839,0.32157564893370555,0.22018508510630966,0.16049163707381006,14.540128731433255,0.2856584238625895,0.18987395490690037,0.2148138734420781,0.20579045476011779
12,12,70.2587,8.11442,53,8.90398,0,138,126,6,128,5,0.99463,72.77676,0.0,0.0,7.25,8.5,6.85446,0.0,0.0,130.0,67.41202,0.0,0.43,1.557,-1.0,0.001592,0.2613535593840657,0.516238861976163,0.24489050565397377,1.0372745730466544,95.0721190577332,87.43416778008762,65839.92352855341,4.519434396258948,102.77715891882796,276.9234184778652,0.21447000475283418,0.41587306093308424,47772.23143978051,3.7805748456790123,0.3214370062189817,0.21992435071530983,0.16045888379058235,14.50650062090085,0.2843904100357751,0.1898667326438502,0.2148598336256464,0.20712607078547662
13,13,70.1338,8.40705,53,9.37903,0,138,126,6,128,5,0.99215,72.69275,0.0,0.0,6.32143,8.507,7.01826,0.0,0.0,131.0,67.41094,0.0,0.44,1.744,-1.0,0.00161,0.2594445074047945,0.5160597308727413,0.24503429451188943,1.303286446255404,95.07757545171727,88.28286482466754,65857.53654655401,4.615843646694551,102.72546158835038,276.6227476494712,0.2147075699883079,0.41587306093308357,47443.57422743329,3.395929783950617,0.32125357719859,0.21993108243350293,0.16044277753308336,14.521509052794656,0.2827622928292914,0.1899248881053879,0.21390201507198692,0.20834564781833947
14,14,70.0695,8.2721,53,10.1977,0,138,126,6,128,5,0.99697,72.6352,0.0,0.0,6.64286,8.503,7.27362,0.0,0.0,131.0,67.39716,0.0,0.43,1.662,-1.0,0.002072,0.2578235272310189,0.5158609150326797,0.2453430326593616,1.7935500280097938,95.0845935307419,88.77204578960273,65843.02426164651,4.692712088590048,103.08984180129009,276.30607608588195,0.21452664270073707,0.4158730609330845,47344.34797890294,3.863136574074074,0.32128274746636915,0.22000751135129662,0.16061826570457607,14.49873728811005,0.2813649110330133,0.18976540580653983,0.2121714595948653,0.20939974201138936
