,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.5,tone,blur,cubcol.0.5,cubrow.0,movement,staticness,cubcol.0.3,cubcol.0.6,uhdhdsim,temporal,cubrow.0.3,fft,cubcol.0,blockiness,cubrow.0.6,color_fulness,noise,cubcol.1.0,contrast,saturation,cubrow.1.0
0,100,69.678,13.2674,54,0.0,0,138,126,6,128,6,1.00083,72.44392,0.0,0.0,8.21429,8.477,0.0,0.0,0.0,130.0,67.18649,0.0,0.42,1.73,0.0,0.003783,0.2985653776147451,0.5036096352479796,46119.31476470693,0.14879262031632842,0.1436045698932337,0.0,310.19611581364734,0.23116403942210412,0.122545760357038,95.10893617308963,0.0,0.267150945859315,65749.76763118991,0.2198645013357578,2.0474552383901496,0.24547875409428965,99.95074253275953,0.41587306093308424,0.1978795938098487,90.50179900380274,15.465780187536168,0.2262059709775192
1,101,69.7157,12.699,54,15.4065,0,138,126,6,128,6,1.00183,72.4611,0.0,0.0,9.64286,8.468,11.49928,0.0,0.0,130.0,67.19715,0.0,0.42,1.584,-1.0,0.001105,0.2930595095898201,0.5034446060622818,46258.455726445565,0.1452674283798923,0.1385594539941303,7.899402006172839,309.66105406009007,0.2188983449164626,0.11663994803120702,95.12185974417557,5.676553378820892,0.26711791094646675,65841.18159424236,0.21014127880878822,1.8339631152365035,0.24236911618888793,99.98523442887662,0.4158730609330848,0.19414371320710955,89.97234663844986,15.443962944878473,0.2260040603842748
2,102,69.7232,12.5907,54,14.7498,0,138,126,6,128,6,0.99878,72.49524,0.0,0.0,10.14286,8.473,11.00493,0.0,0.0,130.0,67.20987,0.0,0.42,1.734,-1.0,0.000764,0.29138368577263685,0.5034332497347155,46336.783119168154,0.1443080816226945,0.1403756366440426,7.766251929012346,309.10829313935443,0.21946005563083637,0.11327098751764393,95.10685512275694,5.644424878985119,0.27096770783930724,65883.48966558253,0.20185629569017635,1.5820862062536374,0.24206928744684905,99.52145144215115,0.41587306093308524,0.19373189620979883,90.31442394339155,15.457422892252604,0.22783853857188208
3,103,69.696,12.6054,54,14.6936,0,138,126,6,128,6,0.99518,72.42376,0.0,0.0,11.78571,8.481,10.91082,0.0,0.0,130.0,67.18962,0.0,0.43,1.667,-1.0,0.000973,0.2917964358764905,0.4997244786894257,46235.13649523709,0.14532868022671258,0.14487022076852712,7.4594907407407405,308.5032411730787,0.22102994067549028,0.1118378858807835,95.12260605245997,5.625349883379912,0.27666643893323023,66024.39982930003,0.19399060060968795,2.1601760444745874,0.2394461144019493,99.59393673736105,0.4158730609330857,0.1922295061078965,90.31870301159647,15.452805318950135,0.23033598140505243
4,104,69.6958,12.5381,54,14.2863,0,138,126,6,128,6,1.00027,72.40866,0.0,0.0,6.64286,8.477,10.92468,0.0,0.0,130.0,67.20018,0.0,0.42,1.655,-1.0,0.00141,0.2924943847628903,0.4993321631064982,46214.98178809886,0.1461352790296464,0.14959955880149559,7.024450231481482,307.9681738258705,0.22168688747174628,0.11051389495882319,95.10963413172176,5.622040445133609,0.2823763638601935,66201.29335728759,0.1902413640923331,1.859576026228182,0.2382039918575894,99.81611759122369,0.41587306093308496,0.192483259542439,85.53506957646351,15.488581339518229,0.23238170914467576
5,105,69.5993,13.3152,53,13.9315,0,138,126,6,128,6,1.00386,72.31512,0.0,0.0,6.96429,8.466,10.86557,0.0,0.0,130.0,67.19762,0.0,0.43,1.68,-1.0,0.001465,0.2920623412821883,0.49470854070280595,46051.50647315944,0.1457404421334449,0.15413453211241412,6.543354552469136,307.4373063366835,0.22239254615097714,0.10913888150295296,95.13174185388714,5.608501997560115,0.2854963668359201,66236.94992610488,0.1904024952219693,1.349108399697668,0.23659253931225316,99.54431976095196,0.4158730609330826,0.19385663142983853,85.75277558102121,15.505191379123264,0.23408764169480648
6,106,69.5863,13.19,53,15.4524,0,138,126,6,128,6,1.00434,72.28347,0.0,0.0,7.0,8.471,11.5466,0.0,0.0,132.0,67.18991,0.0,0.43,1.61,-1.0,0.001203,0.2929743819028558,0.4947593491241824,46009.16163853587,0.1434933423476734,0.15830372693883507,6.71875,306.85670403660043,0.22514777734174396,0.10803147097512213,95.13239566955392,5.711444545610358,0.28646625238781065,66359.82327756385,0.19661114532628307,1.6619769969743663,0.23607237799624448,99.28450892404683,0.4158730609330848,0.19527599791753913,86.55518634923418,15.51162060396171,0.2349835713031319
7,107,69.6258,13.4728,53,15.3719,0,138,126,6,128,6,0.9989,72.30025,0.0,0.0,7.57143,8.446,11.4334,0.0,0.0,131.0,67.18685,0.0,0.43,1.56,-1.0,0.001473,0.29491372291213397,0.49505090399077223,46153.61675496229,0.14238747871292778,0.16236765331692224,6.407552083333333,306.2202433514996,0.22752501396917635,0.1078825665175803,95.13165249072787,5.708704846205533,0.28526257575959013,66072.54738011632,0.19982307112122516,1.5969395119083356,0.23684320992985528,99.00778997126514,0.41587306093308407,0.19791728294007668,86.3761894035352,15.530338805398824,0.23614129668805603
8,108,69.5208,14.1706,53,15.5105,0,138,125,6,129,6,0.9975,72.22178,0.0,0.0,9.75,8.458,11.6773,0.0,0.0,130.0,67.19629,0.0,0.43,1.744,0.12513,0.001168,0.2968214456312689,0.49500793051287906,45950.86656199925,0.14215597545379965,0.16513211192742894,6.393711419753086,305.492409704417,0.22986521251838385,0.10746723606504334,95.13927568750505,5.749451854799589,0.28350632596690506,65788.77262614113,0.2010754293999939,1.4858404353406103,0.23866172920652184,98.95953572912418,0.41587306093308557,0.20006728270185398,86.4567584161242,15.544703542450328,0.23625717984058991
9,109,69.5647,13.8292,53,15.6456,0,138,126,6,129,6,1.00175,72.22069,0.0,0.0,9.92857,8.455,12.28439,0.0,0.0,131.0,67.17972,0.0,0.42,1.707,-1.0,0.00095,0.29711453550696587,0.49472658481507054,45960.48617939613,0.14136183885043876,0.16710011817193043,6.555073302469136,304.6961407689362,0.231787431599472,0.1068957137926341,95.1364976646645,5.818150697589935,0.28179582842770484,65576.54962767626,0.20301873548881003,1.7622034781916551,0.24052114511399572,99.349200233825,0.41587306093308435,0.2021788112723034,87.63169316860284,15.496020846896702,0.23541189401919926
