,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.1.0,saturation,cubcol.0.3,cubcol.0.6,cubrow.0.5,cubrow.0,contrast,cubcol.0.5,blur,color_fulness,staticness,cubrow.0.6,cubcol.1.0,temporal,uhdhdsim,blockiness,fft,movement,cubrow.0.3,tone,cubcol.0,noise
0,200,70.0401,18.2629,58,0.0,0,134,125,7,129,6,0.99988,74.94204,0.0,0.0,5.92857,8.447,0.0,0.0,0.0,132.0,65.54681,0.0,0.44,2.581,0.0,0.000748,0.17192521547287376,16.684983995225693,0.1802984428419157,0.19517921202788588,0.2520359830726074,0.21966734662290982,86.86283457295882,0.22815795435255617,47343.37493124879,100.58118520772646,336.347707655999,0.3188375607470507,0.23670006949297723,0.0,94.8932269557339,1.596120122437329,65505.136088377796,0.0,0.1988001732167477,0.7634754313940796,0.24562246176790326,0.4302080210209061
1,201,69.9258,18.9774,58,20.7739,0,134,125,7,129,6,0.99858,74.8143,0.0,0.0,6.17857,8.437,15.84777,0.0,0.0,132.0,65.52794,0.0,1.17,2.432,-1.0,0.000539,0.1685519947776193,16.693941469545717,0.16894629126780797,0.18302633105735633,0.2446970456746157,0.20836033773423687,88.99038996920436,0.20122989715704265,47107.24280018696,101.05303868120875,335.0887729065729,0.29564181265081696,0.22323219207033823,6.659527560106413,94.91016886911298,2.1062322684611154,65494.437893416325,13.143856095679013,0.1946703129095508,0.7778442920504443,0.22207937709604056,0.43020802102090333
2,202,70.03,18.5018,58,21.4239,0,134,125,7,129,6,0.999,74.98847,0.0,0.0,6.71429,8.436,16.46951,0.0,0.0,132.0,65.50576,0.0,0.43,2.364,-1.0,0.000315,0.17119959528966733,16.685572494695215,0.16839858271668948,0.1735671488813446,0.2411642259237556,0.19963408135394384,87.15513686382991,0.1914774609167777,47344.8962377541,101.40328594240255,333.79836683030703,0.27920059393955976,0.21650460227893464,6.724154635490293,94.88690305187497,1.7306879879597983,65380.361655509674,13.79542824074074,0.1971631528613761,0.7781435619869302,0.2119338386513084,0.430208021020903
3,203,70.0814,18.509,58,21.0715,0,134,125,7,129,6,1.00083,75.08472,0.0,0.0,4.75,8.44,16.05802,0.0,0.0,130.0,65.46537,0.0,1.16,2.518,-1.0,0.000521,0.17172097429300345,16.68379776566117,0.17361918994778575,0.1722173375053213,0.2387671105200768,0.19176099936990706,85.41770480317408,0.18626771770279407,47424.50697845737,102.1246547888773,332.3046585504509,0.2678850005933806,0.2135318515503998,6.678888500422825,94.88124671836547,1.7862077856335585,65522.95401527291,12.537374614197532,0.19611459714171303,0.782261543375623,0.2126612714880833,0.4324256470641276
4,204,70.0981,18.2212,58,20.8058,0,134,125,7,129,6,1.00215,75.13418,0.0,0.0,6.75,8.444,16.05842,0.0,0.0,130.0,65.42678,0.0,1.15,2.342,-1.0,0.001198,0.16904557320364233,16.658688957308545,0.1762783976616466,0.17196908984822037,0.2361502716097253,0.18381998284550072,86.60116850722723,0.18330633613385922,47492.395738754036,102.51211059714046,330.69851684432615,0.26139143448921237,0.21076766354034188,6.685330633004048,94.86602677313095,1.7135319257568034,65509.02784259601,11.536168981481481,0.19592067746521777,0.7817510924844315,0.21350512967095792,0.430208021020909
5,205,70.223,18.4312,58,20.2453,0,134,125,7,129,6,1.00309,75.26703,0.0,0.0,4.03571,8.419,15.8121,0.0,0.0,132.0,65.407,0.0,0.43,2.433,-1.0,0.001493,0.1679849350959968,16.65899488661024,0.17813948167752067,0.1714619432978531,0.23324916550155736,0.1753311627413792,88.50803169885509,0.18019419312713156,47835.13944283797,102.46058176423568,329.03638454247994,0.2549009912061887,0.20987422559096786,6.651114527646968,94.86093313490335,1.7578154891809536,65624.67852306974,10.537519290123457,0.1965127518780561,0.7826556961660923,0.2117864391756112,0.43020802102090566
6,206,70.0736,18.8878,58,20.6428,0,134,125,7,129,6,1.00146,75.11977,0.0,0.0,3.5,8.431,15.98428,0.0,0.0,130.0,65.35247,0.0,0.43,2.413,-1.0,0.000359,0.1679475365024029,16.640671341507524,0.1779992077201934,0.1723065264199646,0.23294366470365874,0.1725576685305792,90.28333483917434,0.17747499206171088,47445.662815260876,103.59338324821033,327.4395390714924,0.2519659201074317,0.21022445436657872,6.689084030314543,94.87257834665755,1.624256137867605,65582.1861989407,10.032889660493828,0.1985266902458237,0.7875890602722051,0.20962812533323066,0.43242564706413006
7,207,70.1422,18.655,58,21.176,0,134,125,7,129,6,0.99715,75.2145,0.0,0.0,5.07143,8.394,16.37965,0.0,0.0,132.0,65.29813,0.0,1.17,2.454,-1.0,0.001189,0.16990848276326767,16.650124067141686,0.17626501430281413,0.17130682878085257,0.2334653477959956,0.17231238932647497,90.29129871573309,0.17570129894718925,47708.18934533123,103.27619961799753,325.8190529474378,0.25173658376492114,0.21039856175708088,6.73757824563084,94.8518306012781,1.9995775525222788,65682.64719459908,9.826147762345679,0.20074692010066475,0.7964981778239161,0.21019654865227236,0.4324256470641299
8,208,70.1114,19.2171,58,21.2225,0,134,125,7,129,6,0.99333,75.22131,0.0,0.0,5.32143,8.421,16.17372,0.0,0.0,132.0,65.24905,0.0,1.18,2.662,0.125,0.000431,0.1730973124072996,16.652822612244407,0.1740693139963885,0.17183182628282354,0.2346865882677349,0.17150181388325025,91.02563878401081,0.17407474557035574,47581.494048214445,103.98547140562779,324.1978970486763,0.2512513791915598,0.21074570156351546,6.711936970605173,94.86734595125299,1.700927500011816,65548.70414045635,9.288724922839506,0.20402000606870474,0.8097251039077278,0.2108279313920544,0.43242564706412906
9,209,69.9881,18.6772,58,21.4055,0,134,125,7,129,6,0.99246,75.12447,0.0,0.0,5.5,8.404,16.66466,0.0,0.0,132.0,65.17545,0.0,1.18,2.478,-1.0,0.000343,0.17549957976664998,16.611623881775657,0.17195287868012202,0.17167746282538973,0.23817241865029984,0.1710550293753779,88.97922908454774,0.17270303454335484,47328.89685354517,104.11862207471164,322.5637018546028,0.24933722818014062,0.21106875554552545,6.774408742593585,94.88534661605122,1.7483423446730872,65620.19341826325,9.29200424382716,0.20706933086093143,0.8094805979484814,0.20935411303855428,0.4302080210209078
