,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,contrast,blockiness,cubcol.1.0,cubrow.0.5,cubcol.0.3,staticness,cubrow.0,fft,cubrow.0.3,uhdhdsim,movement,color_fulness,tone,cubrow.1.0,cubrow.0.6,blur,cubcol.0.6,temporal,noise,cubcol.0,cubcol.0.5,saturation
0,500,57.0998,14.426,43,0.0,0,124,127,6,127,5,0.9987,60.38795,0.0,0.0,8.25,8.743,0.0,0.0,0.0,132.0,57.96978,0.0,1.17,4.841,0.0,0.005545,85.06253419913762,2.0260425117754637,0.22633425241772515,0.2248835808903188,0.22700980060228823,276.3316121465303,0.08667274345062813,65492.13503099858,0.12323740218662614,96.54325722007904,0.0,160.85500859951796,0.8391788235294119,0.21749971991732597,0.11144907761447799,28867.151389542305,0.18402113778237802,0.0,0.42414935399861003,0.22596765572741165,0.21565761450262666,14.956000057267554
1,501,57.0687,14.1851,43,15.0188,0,124,127,6,127,5,1.00392,60.35421,0.0,0.0,8.42857,8.782,12.47687,0.0,0.0,132.0,57.94997,0.0,1.16,4.232,-1.0,0.007835,90.3031766515066,1.642494437274287,0.20932497166949268,0.2168481923532638,0.21340594132932758,274.63843926222154,0.07781076372276388,65501.12586392693,0.12043251667276107,96.53788852990623,9.278694058641975,161.07259174580636,0.8391105882352942,0.2184438753521746,0.10670320813764253,28885.19985268672,0.1720955432923861,6.444821339154515,0.4241493539986106,0.2122019083132135,0.2060239908357369,14.97393497419946
2,502,57.0763,14.329,43,14.5618,0,124,127,6,127,5,1.00079,60.34542,0.0,0.0,8.42857,8.72,12.26844,0.0,0.0,132.0,57.96233,0.0,1.17,4.378,-1.0,0.007551,87.76679071777217,2.007079716862789,0.20048367021547858,0.21727408584699498,0.2073887848701706,273.2475564528949,0.07772018381603897,65402.696657405984,0.12350251471553209,96.52983452414033,9.286651234567902,161.0626181816178,0.8394910196078431,0.2226284984713686,0.10517817253201435,28812.333845157398,0.1653783071999297,6.423429927374705,0.42414935399860987,0.20455673439633787,0.20305229250015902,14.890199637707369
3,503,57.0167,14.3316,43,15.3474,0,124,127,6,127,5,1.00081,60.29447,0.0,0.0,9.03571,8.789,12.39531,0.0,0.0,131.0,57.92566,1e-05,1.16,4.609,-1.0,0.008064,88.54157498240754,2.076056648026995,0.19598592228807443,0.21603719410908975,0.20214693662812194,271.9189541925677,0.08270348832305578,65366.32786057555,0.12781138753777027,96.5489909495248,8.965518904320987,161.21522554096373,0.839163137254902,0.22632511838581906,0.10594627820549278,28803.924046967823,0.16243273441705022,6.435557522368516,0.42414935399861164,0.19884746250996016,0.20200505184788933,14.934985313886479
4,504,57.0083,14.388,43,15.345,0,124,127,6,127,5,1.00114,60.24768,0.0,0.0,10.46429,8.73,12.395,0.0,0.0,131.0,57.92499,0.0,1.17,4.185,-1.0,0.008246,84.83169041381109,1.7908517190793598,0.19469228747854678,0.21371735603901604,0.20109124961875052,270.5077497676783,0.08643283885052262,65266.21544582599,0.12633839057622606,96.55493788213148,8.33960262345679,161.3389368203459,0.8397066666666667,0.22852093070301321,0.10738148592250604,28800.547981959277,0.159030398432933,6.445013669185478,0.4241493539986118,0.19371936172623835,0.19942036820896494,14.92491375958478
5,505,56.9643,14.1864,43,15.3528,0,124,127,6,127,5,0.99837,60.2192,0.0,0.0,13.21429,8.69,12.44363,0.0,0.0,132.0,57.91994,0.0,1.16,4.299,-1.0,0.005767,84.87122428433516,2.2772024259662285,0.1936203665201064,0.21268356394045349,0.2018598880759481,269.0622332504306,0.09037129559035693,65304.027862009694,0.12349411930606645,96.57318212558721,7.841820987654321,161.33460262735596,0.839676431372549,0.230300668317701,0.10890842646992899,28724.88166506765,0.15906185824768074,6.441523573786413,0.4241493539986089,0.18990816511829475,0.198935290974183,14.881473117404514
6,506,56.9331,14.4528,43,15.6709,0,124,127,6,127,5,0.99693,60.16038,0.0,0.0,12.60714,8.742,12.26908,0.0,0.0,131.0,57.90891,0.0,1.17,5.055,-1.0,0.009201,89.85714897630947,1.991316448691714,0.19187535653165444,0.2121980714872738,0.20225514347472423,267.6487473713756,0.09301941258426717,65344.08547127021,0.12195183082647529,96.56885699960382,7.237413194444445,161.33344918976053,0.8391788235294119,0.23071139653475706,0.11083756659689042,28615.779046759562,0.15844866592538548,6.420161598822082,0.424149353998609,0.18877470147528247,0.1995149643553115,14.86476606204186
7,507,57.0089,14.1392,43,16.0365,0,124,127,6,127,5,1.00133,60.19127,0.0,0.0,11.92857,8.699,12.49922,0.0,0.0,132.0,57.90998,0.0,1.17,4.705,-1.0,0.008334,84.83690209954405,1.6811783423395068,0.18853803291669716,0.210038191188536,0.20328750554785174,266.3049838113147,0.09436206865874985,65351.95594840771,0.12119666590938201,96.57104271903088,7.081983024691358,161.1408180138854,0.8397066666666667,0.23033457267251806,0.11216094925678304,28857.954295416126,0.15939713865059554,6.4528402565492975,0.42414935399861026,0.18830848680948592,0.19973556656353514,14.92488456066744
8,508,56.9909,14.4006,43,15.3604,0,124,127,6,127,5,0.99859,60.19164,0.0,0.0,9.78571,8.72,12.23004,0.0,0.0,132.0,57.92703,0.0,1.17,4.836,0.12629,0.014261,86.8710157709041,1.877455523373584,0.1878717673559602,0.20781189669352368,0.20472846003612288,264.9071930124715,0.09394608379124372,65370.34214003763,0.12103829989207557,96.56967934258401,6.634307484567901,161.36645554604846,0.8399745098039216,0.2299430784575806,0.11313353610949987,28729.629022205387,0.16022238067813468,6.4118389877824375,0.4241493539986094,0.18813555012682268,0.19961186297136904,14.86780482162664
9,509,56.8849,14.6236,43,15.2631,0,124,127,6,127,5,0.99405,60.04059,0.0,0.0,6.53571,8.765,12.46167,0.0,0.0,133.0,57.9162,0.0,1.18,4.871,-1.0,0.007551,86.93676801880022,2.1928409102546245,0.18607417592214526,0.20603686016363693,0.20322690266370638,263.61115663036924,0.09357000786315574,65277.01714162003,0.12059894995516982,96.59902194567834,6.591435185185185,161.47334181891424,0.8400419607843138,0.2286917943588029,0.11458170369330294,28573.957529052943,0.16025239865364704,6.437472581746717,0.4241493539986101,0.18800358153346147,0.1983425796840841,14.934581426926602
