,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,saturation,cubrow.0.5,color_fulness,tone,noise,fft,cubrow.0.6,blur,cubcol.0.5,cubcol.1.0,cubcol.0,cubcol.0.6,cubcol.0.3,cubrow.1.0,cubrow.0.3,staticness,contrast,movement,uhdhdsim,blockiness,temporal,cubrow.0
0,0,70.8337,7.17229,49,0.0,0,138,126,3,128,4,0.99852,70.40121,0.0,0.0,8.53571,8.579,0.0,0.0,0.0,129.0,67.25465,0.0,0.32,1.872,0.0,1.787819,14.227107672043788,0.31941735185600734,103.1655328006918,0.32664218642491566,0.30665783614543257,64996.488415978245,0.2854377246588167,44854.12710599387,0.15226880710367188,0.2740161836742576,0.23880700856340098,0.22199811330894215,0.20030240730189547,0.23061954689284722,0.1790342515026742,274.37879829158953,89.52247889700601,0.0,95.54053950846885,1.5750796787947259,0.0,0.2959894488165998
1,1,70.8923,7.40807,49,8.75776,0,137,126,3,128,4,0.99994,70.45851,0.0,0.0,9.03571,8.562,6.19207,0.0,0.0,130.0,67.26291,0.0,0.31,1.848,-1.0,1.791168,14.210505732783565,0.3189104551059099,103.52980569351163,0.3265121246782029,0.3066578361454335,64975.12243921824,0.28599813291818077,44910.07737927336,0.15217414579164923,0.269501764688453,0.22881823576564647,0.21666049826009626,0.19570022549513497,0.22737396406303495,0.1802757384435882,274.0280822307906,90.6819142638311,2.3560956790123457,95.52290651389478,1.003120186257601,4.054412533940074,0.2912028872022328
2,2,71.0334,7.97401,49,9.39077,0,137,126,3,128,4,1.0038,70.60055,0.0,0.0,9.25,8.56,6.39814,0.0,0.0,131.0,67.27923,0.0,0.32,1.776,-1.0,1.776513,14.22541281617718,0.31819837648289834,103.40685389829765,0.3266294129273378,0.306657836145429,64952.70526814522,0.28588671771452806,45080.94274229573,0.15297622806686614,0.267673764341812,0.21986662856138764,0.21489613677031483,0.19369680821131774,0.2260651618428135,0.18041759657360387,273.8044495719233,90.71249439098618,2.8441840277777777,95.50667566267322,1.6380409848465296,4.1348573999102545,0.2885209372154806
3,3,71.0818,7.93989,49,9.5467,0,137,126,3,128,4,1.0062,70.67217,0.0,0.0,9.07143,8.571,6.89222,0.0,0.0,131.0,67.2765,0.0,0.32,1.688,-1.0,1.796542,14.26814646779755,0.3170146630284289,102.71064740691126,0.33168128999308155,0.3066578361454305,64870.03987903891,0.2852548251273249,45113.6816212452,0.1543860339995604,0.26548693000058554,0.21240794739187832,0.21404064345846135,0.1929564716939696,0.22500392075369624,0.18069863545576212,273.5422145907091,89.41506113408201,3.415557484567901,95.51320356931475,1.8304337165157913,4.298810969595524,0.2841112599396773
4,4,71.1321,7.7248,49,9.11506,0,137,126,3,128,4,1.00205,70.74591,0.0,0.0,11.03571,8.561,6.85486,0.0,0.0,130.0,67.28533,0.0,0.32,1.753,-1.0,1.773848,14.258905858169369,0.31675150616907505,103.6329723682619,0.3315547228327586,0.306657836145428,64866.42685835186,0.2844111501330375,45179.23851081202,0.15474246303767247,0.2620031807675074,0.20798384783854038,0.2140356634864331,0.19327266914019742,0.22395857574064643,0.1811475613253799,273.4357105860873,89.39973389475973,3.1636284722222223,95.4913640151174,1.9533640382409403,4.267453966382704,0.27980508765001116
5,5,71.1566,7.56031,49,9.02391,0,137,126,3,128,4,0.9985,70.80335,0.0,0.0,10.53571,8.567,6.67133,0.0,0.0,130.0,67.2992,0.0,0.31,1.654,-1.0,1.79635,14.255699817045237,0.31697975594030103,103.51628800215623,0.3306343464206087,0.30665783614543113,64826.50531172778,0.28378778798258414,45261.09684264196,0.15564327431204852,0.25699916947336715,0.20587964289464775,0.21263340227435548,0.19406027509959112,0.22171343865415383,0.18113158851518665,273.32605491534974,89.36823970872967,2.724826388888889,95.47648452107444,1.6594800113770876,4.185638002738547,0.27712597036583875
6,6,71.0975,7.86835,49,8.97715,0,137,126,3,128,4,0.99815,70.76648,0.0,0.0,9.35714,8.567,6.52672,0.0,0.0,130.0,67.26862,0.0,0.31,1.805,-1.0,1.801492,14.22161978262442,0.317312583806068,103.47824335884823,0.32659637119723384,0.30665783614543357,64745.508115664255,0.28327683772381035,45139.83595823776,0.15579425383674064,0.25212862529633834,0.2042158573534842,0.21175832962951674,0.19447874532246162,0.2198070866259458,0.18123792939094063,273.152949343233,89.45020703680483,2.4459876543209877,95.47880498416744,1.7176770042043894,4.091959661758262,0.27445735406418076
7,7,71.2077,8.03612,49,9.14804,0,137,126,3,128,4,1.00023,70.87773,0.0,0.0,9.46429,8.539,6.79057,0.0,0.0,129.0,67.2937,0.0,0.32,1.862,-1.0,1.759129,14.321485354576582,0.31705044684549005,102.49486522109507,0.32697178065052124,0.3066578361454318,64766.89153777954,0.282704633443192,45304.63309507529,0.15599846064451867,0.2481237782917232,0.2041260370823691,0.21028211173442504,0.1960653764114476,0.2187920811052879,0.18174717240388194,273.02599322252377,89.60192334842799,2.6120756172839505,95.48533909674178,1.1342784894630493,4.172297218003541,0.2713947339242693
8,8,71.31,8.28735,49,9.06863,0,137,126,3,128,4,0.9991,70.95686,0.0,0.0,9.89286,8.519,6.93275,0.0,0.0,128.0,67.2691,0.0,0.31,1.936,0.45358,1.746004,14.28704833984375,0.3169551118815309,103.45775940625033,0.3268294519141889,0.30665783614543535,64869.27245654573,0.28244517613159603,45603.87942285266,0.1564853163038482,0.24546864676964808,0.2048753258633847,0.20905467757407933,0.196966687518573,0.21810805438555494,0.18209137710168535,272.8540173744517,89.58565756700554,2.6493055555555554,95.45982888432346,1.0131234151536608,4.216394099087142,0.2680725563627942
9,9,71.3583,8.07801,49,9.1689,0,137,126,3,128,4,0.99746,70.99983,0.0,0.0,10.03571,8.494,7.1527,0.0,0.0,129.0,67.28884,0.0,0.31,1.727,-1.0,1.797998,14.312643734025364,0.31672618106701583,102.9690178727424,0.3267223254809711,0.3066578361454337,64848.79331360686,0.2820972117279667,45768.03811220237,0.15725973263261755,0.24376352227234802,0.20679774102926393,0.20813457182767506,0.19779029879465657,0.21744537679273918,0.18225030203259468,272.6797988221351,90.7623330652661,2.8214699074074074,95.46131180555548,2.0180099655420785,4.300235232135276,0.26410513282193504
