,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,saturation,tone,cubcol.0.3,cubrow.1.0,cubcol.0,fft,cubrow.0,blur,temporal,cubcol.1.0,blockiness,color_fulness,cubcol.0.5,contrast,uhdhdsim,movement,cubrow.0.5,noise,cubcol.0.6,staticness,cubrow.0.6,cubrow.0.3
0,100,70.666,13.0383,50,0.0,0,137,125,4,128,4,1.00141,70.6167,0.0,0.0,10.0,8.531,0.0,0.0,0.0,130.0,67.06461,0.0,0.3,1.879,0.0,1.624455,15.219441731770832,0.32384251116955237,0.2285569724642723,0.2204276362197007,0.21264458382348697,64791.23134589239,0.1412919561257171,43860.571131062105,0.0,0.18910036642124237,1.9007648110459237,99.55371506120179,0.13955090599602182,88.2966143838542,95.49794035197331,0.0,0.2941839342655154,0.3005991691231447,0.11833582224375705,302.88818279217446,0.23914626824501858,0.2598054970922945
1,101,70.6927,12.5139,50,15.6201,0,137,125,4,128,4,1.0026,70.62316,0.0,0.0,8.78571,8.516,11.2662,0.0,0.0,129.0,67.07789,0.0,0.3,1.568,-1.0,1.618642,15.20041232638889,0.3239262432664382,0.2162290874179401,0.22034383751421166,0.2038092733636957,64839.86301880481,0.1343282563992843,43996.66259025986,5.227733559953903,0.18790594789736254,1.635317517464431,98.82419733044249,0.1378483397482828,90.31907891416701,95.51170203279726,7.782407407407407,0.28849450974626356,0.3005991691231518,0.11175216803308119,302.77972314060935,0.2368263011405743,0.26043192233721296
2,102,70.74,12.3984,50,14.8554,0,137,125,3,128,4,0.99864,70.67484,0.0,0.0,13.0,8.511,10.8086,0.0,0.0,129.0,67.09123,0.0,0.3,1.66,-1.0,1.555935,15.208842524775754,0.3278259435478674,0.21698601942897497,0.22147173272992923,0.19519423068507644,64878.40207620966,0.13614766273247034,44084.619759602625,5.20101142748477,0.1882768268972913,1.5786870542729157,98.42499443491111,0.13659112990271788,89.16228984844372,95.50923833703438,7.69068287037037,0.2869972506438965,0.30665783614543174,0.10876777951657433,302.5326155176382,0.23711266504444733,0.26421430693925635
3,103,70.7056,12.4029,50,14.992,0,137,125,3,128,4,0.9935,70.61609,0.0,0.0,12.21429,8.509,10.71195,0.0,0.0,129.0,67.07393,0.0,0.3,1.769,-1.0,1.523401,15.215589170102719,0.3240343510588257,0.21872175143671482,0.22440049733751607,0.1875163342121206,64996.229649230045,0.1407602692884916,44028.25220824663,5.180876920079093,0.18591634345235336,2.0215346563227747,98.61815086064176,0.13807747419543578,89.15272832698358,95.51258909801574,7.346064814814815,0.2873846346950629,0.3044402101021964,0.10787881212589016,302.2078244748467,0.2345497943703942,0.27001216888977914
4,104,70.6761,12.3414,50,14.5314,0,137,125,4,128,4,0.99985,70.56947,0.0,0.0,8.03571,8.514,10.7142,0.0,0.0,129.0,67.07762,0.0,0.29,1.935,-1.0,1.604278,15.2564395857446,0.3243558253287219,0.21917023090880092,0.2264528642829644,0.1841723246253012,65228.91788565881,0.1455768470235252,43974.24299778778,5.177715312172876,0.18654263382390915,1.595709369515994,98.48389986271113,0.13950433049708585,89.10791680977967,95.51009005329234,6.954861111111111,0.2882726186204428,0.3005991691231473,0.1068454178346545,301.9419965245887,0.2332617760616706,0.2760640426163898
5,105,70.587,13.0939,50,13.8219,0,137,125,3,128,4,1.00285,70.4871,0.0,0.0,7.78571,8.493,10.66428,0.0,0.0,129.0,67.0785,0.0,0.3,1.701,-1.0,1.591361,15.272817729431907,0.3243388889688603,0.21912738246688973,0.2284890648198802,0.18352428345077768,65221.77724173329,0.14959625053620657,43826.13601710195,5.167067232331723,0.18721134144972593,1.5148837919434384,98.9078395101005,0.13894821366831522,90.28920422982752,95.52397372013381,6.518856095679013,0.28772705799045195,0.2983815430799196,0.10525063991945767,301.67065296225087,0.2312394045897211,0.27958238621833326
6,106,70.5642,12.9772,50,15.4979,0,137,125,4,128,4,1.00305,70.4477,0.0,0.0,7.5,8.508,11.31575,0.0,0.0,130.0,67.06838,0.0,0.3,1.717,-1.0,1.557945,15.273269464940201,0.32427494233910253,0.22160951620252647,0.2294876428979872,0.1905582185826364,65368.523921988686,0.15333103427109868,43768.9734962671,5.253351385357254,0.18932432332367147,1.3987665802005491,98.63149026901226,0.13672971546373516,90.26570700214054,95.53857889772533,6.687162422839506,0.2884195148164674,0.3005991691231484,0.10395364866372563,301.3245706566377,0.23038557207728946,0.28085828538278623
7,107,70.6426,13.2566,50,15.6702,0,137,125,4,128,4,0.99923,70.50882,0.0,0.0,7.60714,8.474,11.21299,0.0,0.0,130.0,67.06832,0.0,0.3,1.695,-1.0,1.566594,15.296566621756849,0.32438589923875655,0.22406426021352413,0.2304951111356442,0.19411558618820365,65114.601262901,0.15694007070830462,44026.05018022004,5.249288115560491,0.1924710451353805,1.3598194721016688,98.18713859436367,0.1353657291228902,90.34550983499568,95.53156045966861,6.39795524691358,0.2906200315122982,0.3028167951663656,0.10407802109633915,300.96413511244475,0.23124580300070174,0.27987952851397885
8,108,70.4938,13.9528,49,15.7326,0,137,125,3,128,4,0.99701,70.37916,0.0,0.0,10.32143,8.489,11.4519,0.0,0.0,129.0,67.07488,0.0,0.3,1.668,0.43763,1.568266,15.328974029164256,0.32438589923875655,0.22630764334832373,0.2304736258172177,0.19527404444063723,64747.04339582832,0.1596212581657087,43702.90354317965,5.288130258480632,0.19484614000294048,1.4854102931522963,98.2318703557427,0.13526337747792988,90.25858291406134,95.54119974050221,6.418788580246914,0.292668758298523,0.3005991691231462,0.10367728465029773,300.5319192404199,0.23305871377274218,0.27817279386838895
9,109,70.5546,13.6038,50,15.6102,0,137,125,3,128,4,1.00223,70.41325,0.0,0.0,11.35714,8.49,12.05504,0.0,0.0,130.0,67.05987,0.0,0.3,1.699,-1.0,1.564892,15.25868884428048,0.31491457131872425,0.2279421598575087,0.22960309927711536,0.19754532753173754,64624.960237935025,0.1618472271227913,43792.807553920495,5.349442871024028,0.1972703404702488,1.6729934004039173,98.30566911898437,0.13467583823115925,89.09888272080319,95.5278261786367,6.5560378086419755,0.2927647105985767,0.3005991691231453,0.10284438551663547,300.01451719394817,0.23486319833057098,0.2767186695046736
