,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.6,cubcol.0.5,cubrow.1.0,uhdhdsim,tone,staticness,cubcol.0,noise,cubcol.1.0,saturation,blockiness,movement,cubcol.0.6,cubcol.0.3,color_fulness,contrast,cubrow.0,fft,temporal,blur,cubrow.0.5,cubrow.0.3
0,200,71.1334,18.0179,54,0.0,0,134,125,4,129,4,1.00037,73.17409,0.0,0.0,6.03571,8.471,0.0,0.0,0.0,130.0,65.38022,0.0,0.32,2.456,0.0,0.949882,0.3144333117483048,0.2271670181544773,0.16618061417010205,95.2431052558293,0.4523719077616316,327.4305172889827,0.238007407190552,0.33976300840753115,0.23985671879742393,16.35078618555893,1.492276450815953,0.0,0.19301226404686853,0.17499216959083336,97.59793769450073,92.47376424722012,0.20965762755979034,64655.54818186377,0.0,45188.197651700015,0.24530795305349073,0.19362142146393824
1,201,70.9707,18.7314,54,21.3225,0,134,125,4,129,4,0.9993,73.01316,0.0,0.0,6.60714,8.453,15.57886,0.0,0.0,131.0,65.36209,0.0,0.33,2.431,-1.0,0.931277,0.29137901737968724,0.19814449101477666,0.16262064155393702,95.26217003903214,0.46176986886582233,326.69010744942034,0.21570460469449873,0.3397630084075276,0.22267129119843163,16.366248425142267,1.7249049474387665,12.896556712962964,0.1819259275358829,0.16430547601818368,98.12532869261094,92.59223551993058,0.19824650157400647,64550.218116858734,6.151645674314705,44846.73051685943,0.23812155274965327,0.18911212014786205
2,202,71.1201,18.2348,54,21.973,0,134,125,4,129,4,0.9987,73.22403,0.0,0.0,6.57143,8.481,16.19648,0.0,0.0,131.0,65.33446,0.0,0.32,2.474,-1.0,0.91029,0.2750246357136938,0.18849269928485088,0.16595624569388423,95.22558628505506,0.4619028644244536,325.91856318003374,0.20700196790884587,0.339763008407527,0.21604666312778642,16.345599327558354,1.6872280110780105,13.527681327160494,0.17083861179085685,0.16369136986571697,98.78041806824936,92.64443375936732,0.18979162095138233,64546.640324602944,6.21475221500251,45193.26970495393,0.2344706039282861,0.19282086488263336
3,203,71.1561,18.2702,54,21.4658,0,134,125,4,129,4,1.00114,73.29451,0.0,0.0,4.89286,8.46,15.76827,0.0,0.0,129.0,65.29016,0.0,0.32,2.354,-1.0,0.891265,0.26342394859318335,0.1835062318744499,0.16641758668303322,95.22851534277737,0.461857324207614,324.9401933201634,0.20814026511609424,0.3397630084075332,0.2128466554697644,16.3580893057364,1.6889407034412995,12.274691358024691,0.16942467505827324,0.16919577180457035,99.16032049108249,91.76956814585826,0.18140037358807462,64639.24391152939,6.181159159560022,45202.06616883502,0.2324028733465682,0.19243984286978288
4,204,71.1901,17.9814,54,21.3132,0,134,125,4,129,4,1.00296,73.37018,0.0,0.0,6.75,8.461,15.79617,0.0,0.0,129.0,65.26168,0.0,0.32,2.687,-1.0,0.914477,0.2568576657217209,0.18049335369308017,0.1632726332875186,95.21911094178961,0.46157615301807153,323.77190912827297,0.20937280348256485,0.3397630084075358,0.21066550338170434,16.32204446674865,1.8304282124534967,11.43214699074074,0.16948853740965192,0.172274647943936,99.80868740352966,91.29236394878824,0.17316864834482207,64581.95259805651,6.184443442681843,45316.587348636276,0.23013329495516924,0.19184536590898651
5,205,71.2996,18.1752,54,20.7282,0,133,125,4,129,4,1.00299,73.47895,0.0,0.0,4.96429,8.429,15.54664,0.0,0.0,130.0,65.22826,0.0,0.32,2.426,-1.0,0.8915,0.25028782090769924,0.17764645363991557,0.16213843789621818,95.21576067840974,0.4626384877903889,322.6138678284215,0.20789258021543688,0.34198063445076077,0.20902873470906042,16.332758962372203,2.096055328376544,10.484423225308642,0.16869929420384833,0.1732547352299888,99.78017489725913,89.43225264146426,0.16450571617244705,64697.80283739797,6.158589059200401,45642.876655309294,0.22786257536102836,0.1925942464620254
6,206,71.1269,18.6136,54,21.0948,0,133,125,4,129,4,1.00239,73.32499,0.0,0.0,3.78571,8.454,15.70629,0.0,0.0,128.0,65.17716,0.0,0.32,2.353,-1.0,0.904365,0.24755276391913164,0.17432796969231865,0.16250628354075,95.23486570719457,0.4666301393494828,321.48136556274585,0.20558777465202002,0.3397630084075365,0.2088421932194752,16.30574506594811,1.8186121894823268,10.03809799382716,0.16938854587961782,0.17378467517688748,100.84903627550007,89.38598009033056,0.16165009443257852,64750.45442184257,6.185630212248804,45208.73369209604,0.2276687938364355,0.19491396711882722
7,207,71.1965,18.4058,54,21.338,0,133,125,4,129,4,0.99751,73.41432,0.0,0.0,5.60714,8.426,16.08514,0.0,0.0,131.0,65.12319,0.0,0.32,2.205,-1.0,0.863732,0.24731167854819516,0.17254534221038614,0.16445412098496903,95.20932121249659,0.4663111461314897,320.27988113186274,0.20762975670328154,0.33976300840753665,0.20921915232506888,16.309252515251256,1.9237152104914559,9.847511574074074,0.16853959631478155,0.17184564120399815,100.43754408552932,89.88956516776067,0.1612963421296575,64893.140403873236,6.227447931162452,45478.78820514983,0.2279552342579981,0.19727830488548614
8,208,71.1662,18.9204,54,21.5154,0,133,125,4,129,4,0.99243,73.41477,0.0,0.0,5.46429,8.464,15.90368,0.0,0.0,132.0,65.07273,0.0,0.32,2.506,0.39751,0.865385,0.24668378733187799,0.17103691043784308,0.16720804373133663,95.22132031404956,0.47354413173394616,319.04125587531524,0.20826406071877968,0.34198063445077187,0.20907508159317426,16.314569920669367,1.6859183985325392,9.297984182098766,0.16933684373619073,0.16963196553879395,101.49613531890675,92.429832729987,0.1603018628938741,64724.47165564975,6.2121505426633,45315.21138781116,0.22946002105421856,0.20054686536909117
9,209,71.0608,18.4395,54,21.809,0,133,125,4,129,4,0.99086,73.33454,0.0,0.0,5.35714,8.434,16.34687,0.0,0.0,131.0,64.99706,0.0,0.32,2.724,-1.0,0.875727,0.2444739126997405,0.16964971523649985,0.16976150094618786,95.22397522246234,0.49770133025759683,317.7366204128925,0.20706248882979128,0.3397630084075411,0.20950283165841702,16.27137323073399,1.8938200208104543,9.33641975308642,0.1688529469628048,0.16760499850260818,101.53048749962743,92.42638369544704,0.15955746173318688,64758.11840071701,6.2650441110559925,45121.8838063599,0.23322010847937938,0.20339371444144777
