,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,staticness,cubrow.0,contrast,tone,temporal,movement,cubrow.0.5,cubcol.0.5,saturation,cubrow.1.0,cubrow.0.6,uhdhdsim,fft,blockiness,cubcol.1.0,cubrow.0.3,noise,cubcol.0.3,blur,cubcol.0.6,color_fulness,cubcol.0
0,500,58.1841,14.0357,38,0.0,0,123,127,3,127,3,0.99851,58.48134,0.0,0.0,8.89286,8.782,0.0,0.0,0.0,131.0,57.79087,0.0,0.32,7.101,0.0,1.598484,268.9212829313894,0.07778828236621338,94.07170253056674,0.8357850980392157,0.0,0.0,0.21694968969297998,0.21278413564620302,14.820444177698205,0.21024688559308782,0.10005392434459595,96.97801255844746,64643.51354133618,1.9341241558966271,0.21888337486792622,0.11786520610463362,0.3314867153420105,0.2223126797207977,27310.046223099904,0.17660606635559237,162.36546211937343,0.2229766435421823
1,501,58.1441,13.822,38,15.1425,0,123,127,3,127,3,1.0043,58.45813,0.0,0.0,9.75,8.819,12.1099,0.0,0.0,131.0,57.77159,0.0,0.31,7.451,-1.0,1.57049,268.1692807063906,0.06993019052766006,92.41433122674867,0.8349666666666666,5.6777395277123555,9.083670910493828,0.20849541797805504,0.20216472482976286,14.879198050793308,0.21308354650644548,0.09672103180631898,96.96678172244214,64607.67312695935,1.7537893103833857,0.20162167754091595,0.11578726096372796,0.3314867153420102,0.20902577909193873,27337.252120495014,0.16667262356459736,162.84767518113654,0.20943960168670175
2,502,58.1519,13.9476,38,14.5033,0,123,127,3,127,3,1.00002,58.43866,0.0,0.0,9.32143,8.741,11.92579,0.0,0.0,131.0,57.78263,0.0,0.32,8.814,-1.0,1.65505,267.4106958527877,0.0708136337834771,94.1251687497147,0.8363215686274509,5.6563883187962265,9.130835262345679,0.20907471825572127,0.19886090260291908,14.816052848910108,0.21781869856225722,0.09483176821855378,96.96057129214702,64574.68808828837,1.9828377766277956,0.1925451757011241,0.11950548972815765,0.3314867153420085,0.2031630289671693,27237.904053237005,0.16015351547600354,162.72928568307995,0.2012605826258919
3,503,58.0889,13.9344,38,15.3809,0,123,127,3,127,3,1.00186,58.37783,0.0,0.0,9.82143,8.794,12.03545,0.0,0.0,129.0,57.74659,0.0,0.32,6.237,-1.0,1.532185,266.59498441054143,0.07543262074833589,92.28808431496624,0.8349666666666666,5.661572450920923,8.736159336419753,0.20762224231428864,0.19760792302102986,14.834445717894,0.2219112958537979,0.09519791362433719,96.97739618254585,64483.125135915085,2.0982403013751982,0.18804952984978948,0.12390695229868094,0.3314867153420089,0.19827326404029788,27219.77499032898,0.15660596674159122,162.97935486741005,0.19579893026046563
4,504,58.116,14.0219,38,15.4244,0,123,127,3,127,3,1.00262,58.37274,0.0,0.0,12.28571,8.76,12.02319,0.0,0.0,130.0,57.75002,0.0,0.32,6.234,-1.0,1.635826,265.7424859021046,0.08046767567453067,92.26116663729218,0.8349737254901961,5.67149043507472,8.191068672839506,0.20562844624969523,0.19515010973717764,14.857525484061535,0.22393600193595836,0.0969280639369186,96.99167562030064,64513.438078936,1.6129534565524544,0.18701637293706042,0.122009781950246,0.3314867153420095,0.19636549647422286,27280.304305880803,0.15399698782339333,163.11718876280048,0.1902666186308515
5,505,58.0561,13.7851,38,15.1754,0,123,127,3,127,3,0.99741,58.31314,0.0,0.0,13.35714,8.708,12.10017,0.0,0.0,131.0,57.74191,0.0,0.32,7.084,-1.0,1.659227,264.80237941590485,0.08547344191284469,93.89646508160249,0.8354305882352941,5.675488987811676,7.770543981481482,0.20462606365181515,0.19438229460220777,14.823943526656539,0.22501342980202638,0.09866084706660276,97.00030815565458,64432.40749091228,2.1265889117143315,0.18587879404593938,0.11905451390295296,0.33148671534200796,0.19671256513784502,27173.610417874625,0.15409975968064515,163.10493263939992,0.18606959920133692
6,506,57.9898,14.0645,38,15.551,0,123,127,3,127,3,0.99647,58.23033,0.0,0.0,12.89286,8.744,11.89012,0.0,0.0,130.0,57.72661,1e-05,0.32,7.444,-1.0,1.666298,263.8689614991142,0.08810146243671504,90.64880018982633,0.8353466666666667,5.641222192746187,7.212673611111111,0.20447544824013986,0.19524038976822722,14.785529242621529,0.22531389926901246,0.10102809802012844,97.00346696924967,64515.115185157956,1.9293676333378704,0.1843177004005912,0.11771474959430399,0.33148671534200985,0.1976322340726331,27014.39389047836,0.1534971675619762,163.0883549310105,0.18476865834552533
7,507,58.1017,13.7517,38,15.95,0,123,127,3,127,3,1.001,58.29344,0.0,0.0,12.64286,8.729,12.13702,0.0,0.0,131.0,57.72994,0.0,0.31,8.724,-1.0,1.698248,262.9395266648258,0.08975987508048487,89.52034719439752,0.8367682352941177,5.675495332324088,7.074749228395062,0.20250147225070567,0.19543397129848142,14.804848564995659,0.22485081301617987,0.1025084799652867,97.00224680569482,64464.676832669575,1.6698098293531451,0.1812732875700982,0.11691863541850411,0.3314867153420062,0.1985858501070023,27319.3663386187,0.1548373506930612,162.90850445682125,0.1843815110137801
8,508,58.0771,14.0321,38,15.5772,0,123,127,3,127,3,0.99956,58.29918,0.0,0.0,10.39286,8.745,11.86837,0.0,0.0,131.0,57.7502,0.0,0.32,6.068,0.42271,1.697585,261.9648687841032,0.08964587922972103,93.04491587370586,0.83804,5.647985586989721,6.624083719135802,0.2006363164244445,0.19549095293523552,14.817246425298997,0.22441103631665163,0.10343235971912973,96.99786273084621,64548.61269138231,1.9995273576990282,0.18092873544991958,0.11660456942994633,0.331486715342009,0.19990007090509704,27206.911766760986,0.15563522914240635,163.2056027638639,0.1841478521480063
9,509,57.9917,14.2569,38,15.4437,0,123,127,3,127,3,0.99355,58.17864,0.0,0.0,8.28571,8.769,12.11346,0.0,0.0,131.0,57.74078,0.0,0.32,7.525,-1.0,1.721589,261.01412526038195,0.08948431510205665,92.54874596640725,0.8372137254901961,5.664211267912898,6.611255787037037,0.19887514020532815,0.19401487240897264,14.868350182050541,0.22348125428989815,0.10513515972592456,97.03567918491439,64466.77183396795,2.0795961921480624,0.17939716800963293,0.11615438534031348,0.32926908929878484,0.19877986588292595,27092.171053390226,0.15586965274517703,163.17659808414948,0.18393885479833894
10,510,57.9909,14.0491,38,15.8053,0,123,127,3,127,3,0.99564,58.15314,0.0,0.0,9.28571,8.807,12.30394,0.0,0.0,130.0,57.71141,0.0,0.31,7.423,-1.0,1.718745,259.95531818929857,0.08954464588804947,92.61571622891881,0.8372294117647059,5.683468885846819,8.353250385802468,0.19763840058867405,0.1926848292390174,14.684313362027392,0.22164079736179698,0.10647155409480477,97.02514187430612,64357.14950082452,1.9816023002130474,0.17970631961528935,0.11610011299370618,0.32926908929878135,0.1968851419322368,27093.240412945004,0.15548871134114006,163.1172501427644,0.1840622889333516
11,511,57.8317,14.567,38,15.9316,0,123,127,3,127,3,1.00445,58.03262,0.0,0.0,11.07143,8.823,12.12548,0.0,0.0,130.0,57.71885,0.0,0.32,5.811,-1.0,1.726101,258.98233314411675,0.08932701052232489,91.6502763336211,0.8377572549019607,5.663757976594539,9.630594135802468,0.1965802384070545,0.19194312952240275,14.809101811161748,0.22049511575721614,0.10732051547120376,97.04849745812754,64386.54259232112,1.7576631543729788,0.1799322430958494,0.11659268544621025,0.32926908929878335,0.195396169776676,26864.917876251722,0.15540568092305662,163.33277487679933,0.18545469225974065
12,512,57.7507,14.4547,38,15.968,0,123,127,3,127,3,1.0041,57.89075,0.0,0.0,10.92857,8.816,12.57045,0.0,0.0,131.0,57.68949,0.0,0.31,6.436,-1.0,1.798905,257.969369481085,0.08944000685729975,93.98283997544469,0.8374462745098038,5.711767842946535,9.249131944444445,0.19522569596931588,0.19026200542639468,14.68207691333912,0.2210932326263651,0.10685524806951882,97.05551437142992,64328.87397246535,1.6283333292936344,0.17905172411152667,0.11725224180012586,0.3292690892987811,0.19437828276472258,26681.401426292152,0.15481854172663528,163.1757249464132,0.18733083741249734
