,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.3,contrast,cubrow.0,cubcol.1.0,cubcol.0.6,noise,cubcol.0,cubrow.0.5,blur,cubrow.1.0,staticness,cubrow.0.6,blockiness,temporal,cubcol.0.3,cubcol.0.5,uhdhdsim,saturation,fft,color_fulness,tone,movement
0,300,66.3561,17.1602,45,0.0,0,130,126,3,128,3,0.99944,65.96293,0.0,0.0,10.21429,8.499,0.0,0.0,0.0,129.0,59.33422,0.0,0.32,1.593,0.0,0.599638,0.23669025316192,92.38260811105724,0.11506191384178512,0.15077701057228063,0.19621253196284497,0.304440210102215,0.15976125986461434,0.2387178657052039,36352.60402936405,0.2711578643233495,325.8320257135894,0.2696109342434389,1.428005441476114,0.0,0.20068112252681122,0.21815603408760537,96.07918643820179,15.788058999144,64094.730472758645,136.49049669052553,0.7668713725490196,0.0
1,301,66.2146,17.5798,44,19.2927,0,130,126,3,128,3,1.00131,65.80654,0.0,0.0,9.60714,8.494,14.81863,0.0,0.0,129.0,59.28055,0.0,0.32,1.868,-1.0,0.5611,0.23300991051494388,92.34164668399272,0.1104214523753143,0.1432021294803994,0.18616153148852815,0.30665783614543574,0.14134299442283085,0.23082603246932593,36132.608026008464,0.26161105151858793,325.39002489459807,0.26203281248339944,1.2845297589495839,5.628218386558052,0.19017104246046895,0.1956639981385678,96.11005430395156,15.808250521436149,64035.27117206912,136.805950688541,0.7674325490196079,11.14308449074074
2,302,66.3895,17.2837,45,19.8528,0,130,126,3,128,3,1.00065,65.92643,0.0,0.0,9.89286,8.466,15.17667,0.0,0.0,129.0,59.24633,1e-05,0.32,1.818,-1.0,0.594902,0.2326664816577315,92.40059285675632,0.10511615765978903,0.1373903420636207,0.17350458228089866,0.3044402101022121,0.13743952678078375,0.2262744251285523,36353.94236926728,0.25116468923896895,324.8482984798353,0.2621943527414052,1.6519010816735293,5.653890286602879,0.18641191909089685,0.18708238886273573,96.09832575406882,15.849650818624614,63909.32392275524,136.9009438384883,0.767481568627451,11.293161651234568
3,303,66.2392,17.4959,45,19.1111,0,130,126,3,128,3,1.00363,65.82675,0.0,0.0,9.0,8.514,14.92981,0.0,0.0,130.0,59.16289,0.0,0.32,1.958,-1.0,0.524072,0.22799171656744527,92.36381927993851,0.10286398590130626,0.13804312128487836,0.174324321710642,0.306657836145432,0.13201745841809925,0.22457090834170745,36140.27769324846,0.24494559430513294,324.0514384945837,0.266042544106826,1.4831557372722068,5.642473716825071,0.18461883251410582,0.18595958774689783,96.1014146034615,15.75337916244695,63976.58657747653,137.72078187167713,0.7669458823529411,10.419270833333334
4,304,66.511,17.5719,45,19.3255,0,130,126,3,128,3,1.00434,65.99296,0.0,0.0,8.96429,8.475,15.10723,0.0,0.0,131.0,59.15388,0.0,0.32,1.804,-1.0,0.564734,0.2218445051649487,92.39840052614684,0.10063791416008198,0.13675282942698513,0.17152824818264045,0.30444021010220906,0.12841907228920746,0.2197201555461996,36571.81554679448,0.24418648679308713,323.14590322574986,0.27049829019074123,1.8685355677387225,5.64741659557367,0.18294901824277224,0.18602518258504866,96.09654054800173,15.772640463746622,63896.73927981436,137.99964532072443,0.7677721568627451,9.853925540123457
5,305,66.2873,16.6948,45,19.3324,0,130,126,3,128,3,0.99876,65.83025,0.0,0.0,11.25,8.438,15.17066,0.0,0.0,131.0,59.09906,0.0,0.32,1.793,-1.0,0.523468,0.2155511373909315,92.39448654642618,0.0994046096713014,0.13720770965107254,0.1699211931078684,0.3066578361454378,0.12626088244199607,0.21200078463503005,36240.881486110964,0.24281193611692253,322.2190588584425,0.27206796020838236,2.3749251105222977,5.651014987562897,0.18267948842372853,0.18714272792937584,96.1003679794388,15.771577246395157,63940.05047287574,138.12862607896906,0.7668862745098037,9.216869212962964
6,306,66.404,16.6751,45,19.1457,0,130,126,3,128,3,0.99925,65.94727,0.0,0.0,11.25,8.495,14.41856,0.0,0.0,130.0,59.07941,0.0,0.32,1.717,-1.0,0.541751,0.21029713479985573,92.28990497386846,0.10037543653165484,0.13726280995171078,0.17053893743849008,0.3066578361454368,0.12544113936146345,0.20765630395215037,36454.0497357412,0.24311641459973787,321.3860625650491,0.27177164698872286,1.8506229393638423,5.5836077789790455,0.18391474280036046,0.19021400387624543,96.1002695387186,15.83143691074701,64021.252395610114,138.4455413595646,0.7683823529411764,8.279176311728396
7,307,66.2453,16.8206,45,19.1704,0,130,126,3,128,3,0.99598,65.75808,0.0,0.0,11.85714,8.478,14.40283,0.0,0.0,131.0,59.03952,0.0,0.31,1.667,-1.0,0.512337,0.20699866660951324,92.30337830846618,0.10114301538933428,0.13645784718905749,0.16898383058994612,0.3066578361454382,0.12460370755100177,0.20475795563632046,36221.555812750754,0.24258248099573043,320.5200810989665,0.27124189236995383,1.8812238012681033,5.575221356259884,0.1839324421216439,0.19156164485871965,96.10652362329964,15.824352876639662,64019.87991813001,138.80329644573396,0.7680847058823529,7.887104552469136
8,308,66.2668,16.9411,45,18.9769,0,130,126,3,128,3,0.99885,65.76755,0.0,0.0,8.75,8.474,14.527,0.0,0.0,131.0,59.01267,0.0,0.32,1.701,0.41731,0.530494,0.20540550626981877,92.2885723351015,0.10217633641238669,0.1358330056329281,0.17001602998368828,0.3066578361454373,0.12462047930535221,0.20094126497024783,36319.88641130305,0.24427300067508667,319.6077414492867,0.2703762124783492,1.5699474588083746,5.580012486711105,0.18375542720461238,0.19322738222570354,96.10119833753967,15.817747704776716,64091.755078003116,138.6003494966988,0.768643137254902,7.675106095679013
9,309,66.21,17.2774,44,19.0565,0,130,126,3,128,3,1.00153,65.66371,0.0,0.0,13.78571,8.512,14.63837,0.0,0.0,131.0,58.99157,0.0,0.31,1.613,-1.0,0.549297,0.20250959489169146,92.30182084085722,0.1025370152909921,0.13533810320461245,0.16883388828996015,0.30444021010221456,0.12458308516908477,0.1981688971450389,36104.70219345275,0.2456765937681702,318.6646374070715,0.2689646246156756,1.7539098389088226,5.594694654929168,0.1843833196065232,0.1944109920227464,96.11497335465721,15.794455445842978,63943.50634449905,139.3632406940623,0.7688576470588235,7.587770061728395
10,310,66.1281,16.8831,44,18.6264,0,130,126,3,128,3,1.00028,65.59932,0.0,0.0,11.75,8.544,14.91955,0.0,0.0,132.0,58.92157,0.0,0.31,1.775,-1.0,0.550031,0.19968627861840652,92.45897945496763,0.1028285654899374,0.1342372968019548,0.16930373340103383,0.30665783614543335,0.12502116595879695,0.1951418605958376,35989.57836755613,0.24554293930417606,317.6843791155553,0.26793896113085575,1.620827950369118,5.6143990899475344,0.18294432212236947,0.1959241240267623,96.11617273684675,15.803765567732448,63882.06982748675,139.59401850626324,0.7679752941176471,9.03028549382716
11,311,66.1221,17.2385,44,19.9995,0,130,126,3,128,3,0.99944,65.58408,0.0,0.0,11.14286,8.525,14.58368,0.0,0.0,133.0,58.89869,0.0,0.31,1.929,-1.0,0.51131,0.19807261591645067,92.26883268895145,0.10389251035453348,0.13180239655307116,0.16912760552492087,0.30665783614543396,0.12561911098645306,0.19168309833321429,35993.58402209522,0.24579393878134204,316.71299286179806,0.267782676722428,1.5612922715777957,5.587811323274655,0.18384310581028362,0.19785762978729102,96.13493796763018,15.797130820191937,63950.84000430882,139.9467722020223,0.7683823529411764,10.489872685185185
12,312,66.212,17.2841,44,19.6511,0,130,126,3,128,3,1.00112,65.62085,0.0,0.0,10.32143,8.506,14.88767,0.0,0.0,132.0,58.86875,0.0,0.31,1.98,-1.0,0.576463,0.19520330922246856,92.29696218313504,0.10541822340991913,0.13077663436252793,0.1688472121592936,0.30665783614543324,0.1269067904562069,0.18816654332624566,36174.19050781527,0.24664234847409552,315.71047582626267,0.26713036480357283,2.044347042860384,5.612837516889113,0.18374956977962195,0.19805046353254982,96.13803030690674,15.800517894603589,63983.83122920147,139.93110941856366,0.7689556862745098,10.052806712962964
13,313,66.2032,16.9789,44,19.1847,0,130,126,3,128,3,1.00029,65.63511,0.0,0.0,11.57143,8.491,14.92972,0.0,0.0,131.0,58.82229,0.0,0.32,1.648,-1.0,0.547198,0.19324002692112702,92.47121296795083,0.10510440773046917,0.12936695295568817,0.16860003293776205,0.3066578361454324,0.12714954336952825,0.18559768176641334,36188.42332101374,0.247153527477373,314.64491150471747,0.2661650210158388,1.8923691580161834,5.619163080985448,0.18479112655014515,0.2000163882260074,96.13063181276955,15.781999564465183,63984.832108349045,140.5317560434761,0.7694537254901961,8.847318672839506
14,314,66.0351,17.1251,44,18.9475,0,129,126,3,128,3,0.99684,65.46534,0.0,0.0,9.96429,8.553,14.66803,0.0,0.0,131.0,58.79058,0.0,0.31,1.763,-1.0,0.561356,0.19169857192924022,92.32443373266962,0.10466343471012118,0.1287619423954196,0.16795428573790125,0.3066578361454374,0.12641156395661257,0.18494805397811007,35842.89834838628,0.24782985698047508,313.62694903877133,0.26576315589563954,1.607630130179111,5.594558388146894,0.18516706559768611,0.20111796119149522,96.15557864638207,15.83018926926601,63819.39109114186,140.5990637621146,0.768643137254902,8.375048225308642
15,315,65.9186,16.8105,44,18.8249,0,129,126,3,128,3,1.00369,65.33189,0.0,0.0,8.14286,8.493,14.78711,0.0,0.0,131.0,58.73719,0.0,0.31,1.735,-1.0,0.561113,0.18842240420511538,89.44338318235681,0.1037633010711048,0.1279438528827825,0.166697403050578,0.30444021010221484,0.12497016396282568,0.18481094421603061,35804.99555735585,0.2490557303858562,312.55080359867037,0.26546143595737204,1.3846994020602275,5.60957395519907,0.185922811130384,0.2022956506343441,96.16447284263,15.742254186559606,63805.66270827955,140.8653615968179,0.768895294117647,9.385368441358025
16,316,65.9894,16.7306,44,18.1336,0,129,126,3,128,3,1.00223,65.40318,0.0,0.0,8.57143,8.493,14.52124,0.0,0.0,130.0,58.72387,0.0,0.31,1.697,0.4159,0.568179,0.1847520932500558,91.2813936959508,0.10398870176065896,0.12821246718183574,0.16627594906011403,0.3066578361454271,0.12502326698747904,0.185067896319958,35895.8734472767,0.25151573768966395,311.5365248158195,0.26391632094929335,1.3162089741468572,5.575566996993486,0.18733563212796317,0.2039001562974488,96.14967525778866,15.80441830482012,63933.46242049433,140.8420005311165,0.7684121568627451,10.873408564814815
17,317,65.8491,16.9073,44,18.1575,0,129,126,3,128,3,0.99997,65.21375,0.0,0.0,10.5,8.509,14.45155,0.0,0.0,129.0,58.66209,0.0,0.31,1.785,-1.0,0.607307,0.18163156690137977,92.34233991572127,0.10422798195466955,0.12730573031356335,0.16554606478993808,0.3066578361454274,0.12407553941373738,0.18545497418076987,35566.03623799668,0.2540997122737316,310.5052400018879,0.2617718080847101,1.5043314556421001,5.568794872990795,0.18854593386657412,0.20517248580807437,96.17972483621432,15.76477352189429,63848.4994396736,141.66511593667303,0.7678466666666667,10.765962577160494
18,318,65.7411,16.9877,44,18.8361,0,129,126,3,128,3,0.99988,65.08317,0.0,0.0,8.75,8.534,14.60288,0.0,0.0,129.0,58.62219,0.0,0.31,1.749,-1.0,0.653721,0.17896958473476196,92.3353268289903,0.10456997333031527,0.12734103061354987,0.16474794416292277,0.30444021010220085,0.1233397209453407,0.18668939958390987,35469.420379826755,0.25636119359447535,309.44892583115933,0.25990079438967645,1.1762208013105586,5.583215072107599,0.18925772019606787,0.20660166033509975,96.16487088465374,15.788952862774885,63924.16019941958,141.66661806804262,0.7677721568627451,10.642939814814815
19,319,65.7691,17.4232,44,18.9334,0,129,126,3,128,3,0.99676,65.08006,0.0,0.0,10.46429,8.493,14.67079,0.0,0.0,129.0,58.58948,0.0,0.31,1.769,-1.0,0.655786,0.1767465858934131,92.34089299646979,0.1043843894210105,0.12688069125718193,0.16396561048177372,0.3005991691231437,0.12270113458153496,0.18813980250198842,35545.14768208771,0.2579608737633804,308.4309317109471,0.2588211992595325,1.5034870332424501,5.579868601483829,0.18987003757124687,0.20767843023338994,96.18478723086523,15.778141539773824,63941.633252680345,141.85603469801092,0.7678168627450981,10.58154899691358
