,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,movement,cubcol.0.5,contrast,cubrow.0,cubrow.0.6,noise,tone,cubcol.1.0,cubrow.0.3,staticness,cubcol.0.3,cubrow.0.5,cubrow.1.0,color_fulness,cubcol.0.6,blur,uhdhdsim,cubcol.0,saturation,blockiness,temporal,fft
0,400,59.1828,13.0268,35,0.0,0,126,126,2,127,3,0.99458,57.44413,0.0,0.0,13.67857,8.682,0.0,0.0,0.0,132.0,56.18663,0.0,0.3,2.98,0.0,1.281144,0.0,0.25891053285552534,92.22055290062583,0.07605784729507314,0.16657152967188085,0.28404658299209573,0.7481478431372549,0.17535674980510554,0.1388879211683826,302.25608666884324,0.14946720719683038,0.15885486746491131,0.3623864104676988,157.9792819614413,0.07808534480179997,27476.88878851794,97.11594849428757,0.20624548347845031,15.179982314875096,1.6647170057132026,0.0,63752.40443327771
1,401,59.0046,12.6935,35,14.1849,0,126,126,2,127,3,1.00024,57.24997,0.0,0.0,12.03571,8.755,11.25878,0.0,0.0,132.0,56.19605,0.0,0.31,3.559,-1.0,1.312506,7.387152777777778,0.2430950011781481,88.75109721449508,0.06630301906562173,0.1600663572616789,0.2840465829920939,0.7512149019607843,0.1638939593153375,0.13484042653005024,301.4638450926903,0.15361477824934613,0.1483752152085527,0.3564627811816715,157.99244675779767,0.0699689087677298,27221.6334727402,97.15921100724715,0.1906728933279198,15.228364920910495,1.8793512469025364,4.988404716591503,63762.293095780464
2,402,58.9632,12.6874,35,13.7003,0,125,126,2,127,3,1.00955,57.19661,0.0,0.0,15.0,8.749,10.97277,0.0,0.0,132.0,56.22798,0.0,0.3,4.02,-1.0,1.280111,7.235243055555555,0.23518154163589938,92.45104919962131,0.061348592068006795,0.15148548660476452,0.28404658299209423,0.7534768627450981,0.1614739553151809,0.13799386796846552,300.816603690087,0.14845325003312274,0.14458682820262928,0.3601833155753517,158.17475947058432,0.07212861360137687,27162.92199729687,97.15104976903206,0.17837136394886266,15.186850842134453,1.7448847539904413,4.949642567736978,63757.26673662091
3,403,58.8761,12.7252,35,13.8051,0,125,126,2,127,3,1.00886,57.08583,0.0,0.0,12.53571,8.75,10.96029,0.0,0.0,133.0,56.28067,0.0,0.3,3.715,-1.0,1.317767,6.82860725308642,0.23275439330043166,89.2705045482942,0.06040998377898121,0.14702529636899947,0.28404658299209445,0.7571192156862745,0.16336013327432478,0.14022266674086512,300.38317184217476,0.1449458306901167,0.13953435458176308,0.36059800288072286,157.96349073904634,0.07115447896016276,27046.923400484382,97.1755349766027,0.17353750059650894,15.250925134729457,1.8235494880818086,4.946416617970942,63795.367023656305
4,404,58.767,12.8093,35,13.8461,0,125,126,2,127,3,0.99941,56.98923,0.0,0.0,13.42857,8.756,10.9945,0.0,0.0,132.0,56.31367,0.0,0.31,4.245,-1.0,1.302792,6.405430169753086,0.22794240880755492,92.13174142165224,0.06091914528771894,0.14353433695532247,0.2840465829920945,0.7627262745098038,0.16086542933315556,0.14030315850752045,299.730100413528,0.1432630063809199,0.1346080919672472,0.36096504475095986,158.21046138087823,0.07159344359174735,26901.844381316514,97.17927745465369,0.17273959232965322,15.151643917884355,1.4441906242234523,4.955829102284438,63826.480960682646
5,405,58.6646,12.9539,35,14.6641,0,125,126,2,127,3,0.99825,56.85111,0.0,0.0,15.85714,8.721,11.06704,0.0,0.0,132.0,56.35555,0.0,0.3,4.88,-1.0,1.322001,5.996865354938271,0.2258245903089419,91.51291949962489,0.06135656146192376,0.1410933810064258,0.2840465829920928,0.7656066666666667,0.16246345556602548,0.14053721621097556,299.1198618976583,0.14315826417148417,0.1299293796874996,0.3590314051600558,158.3708784293326,0.07317991636145951,26838.74030957065,97.20512389238314,0.17122401266337386,15.218517162181714,2.0502866300385403,4.95009232543695,63811.56424178455
6,406,58.6281,13.0287,35,14.477,0,125,126,2,127,3,0.99568,56.82341,0.0,0.0,14.39286,8.748,11.19245,0.0,0.0,133.0,56.3883,0.0,0.3,5.395,-1.0,1.324597,5.733217592592593,0.2221917397077316,92.57718442269166,0.062442599771074976,0.1398685081304226,0.28404658299209434,0.7683525490196078,0.16520161953791762,0.14077262904238655,298.444520561426,0.14279860176202652,0.12709588503964941,0.35531546484714127,158.33437804764426,0.07164329849830711,26818.91906242699,97.21122187557069,0.17121865211160406,15.145773616837864,2.017303382656656,4.968851536996031,63839.35315739499
7,407,58.3227,13.3012,35,14.6525,0,125,126,2,127,3,1.00577,56.53925,0.0,0.0,13.10714,8.734,11.25718,0.0,0.0,133.0,56.41206,0.0,0.3,4.128,-1.0,1.334105,5.527874228395062,0.21916167840151698,90.87431778200184,0.06259824733703981,0.1392755045717576,0.2840465829920941,0.7694537254901961,0.16679645223708028,0.13996923971450528,297.7656000415409,0.14383864949485503,0.12567407978607822,0.3508966380910215,158.47147580240474,0.07367943400320656,26375.21130510355,97.2450758504404,0.16811621488645442,15.203707848066164,1.720423907291135,4.989829596489861,63769.99750385939
8,408,58.2766,12.8279,35,14.794,0,125,126,2,127,3,1.00329,56.53641,0.0,0.0,12.78571,8.766,11.50339,0.0,0.0,133.0,56.38883,0.0,0.3,5.06,0.43583,1.335114,5.542582947530864,0.21657030172996197,90.67111537329413,0.0632552637427351,0.13856630206516624,0.2840465829920939,0.7698337254901961,0.16990037149170495,0.13857724393371534,296.9521478723955,0.14485470365652364,0.1245847605581933,0.3483602569494167,158.81941500550678,0.07390141673826948,26315.787270444172,97.25245105090478,0.16589318809669726,15.105273399823977,1.933560588582789,5.009927355409605,63867.95091856045
9,409,58.4194,12.7744,35,14.4752,0,125,126,2,127,3,0.99948,56.66912,0.0,0.0,14.0,8.756,11.08398,0.0,0.0,132.0,56.40862,0.0,0.3,5.338,-1.0,1.2783,5.210648148148148,0.2130734816430975,92.12143684978464,0.06459733332699369,0.13796523751637638,0.28404658299209623,0.7702905882352942,0.17192908448015476,0.1375627409963993,296.1712134281344,0.14511538574753297,0.1244976438171952,0.3465185943389026,158.8453878601854,0.07721865424057543,26573.955309525965,97.23223232973574,0.1641322303007634,15.143015920380016,1.7205047496612274,4.9794031789481075,63737.04792180964
