,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,tone,blur,contrast,cubrow.0,cubrow.0.5,uhdhdsim,staticness,blockiness,cubcol.1.0,noise,cubcol.0.3,cubrow.1.0,temporal,cubcol.0.5,saturation,cubrow.0.3,color_fulness,movement,cubcol.0.6,cubrow.0.6,cubcol.0,fft
0,0,69.2863,7.07566,44,0.0,0,138,126,2,128,3,0.99798,66.99353,0.0,0.0,10.42857,8.475,0.0,0.0,0.0,132.0,66.68,0.0,0.3,1.897,0.0,2.099735,0.2742926778500583,40977.989875342675,89.72044635101497,0.28337451664374075,0.29954256848437005,96.07143758667371,267.598327989646,1.7934667425385595,0.26818348001823716,0.21399519748882745,0.19389849505323709,0.21035000605637333,0.0,0.15016918428147918,13.683338306568288,0.1691442077838784,102.27370210252221,0.0,0.21398927074996335,0.27456254045643225,0.21065556661040163,64164.629176930524
1,1,69.3787,7.25565,45,9.15128,0,138,126,2,128,3,1.00063,67.08897,0.0,0.0,10.92857,8.469,6.11246,0.0,0.0,133.0,66.68492,0.0,0.3,1.914,-1.0,2.144985,0.2740722606689741,41037.26564128473,89.72111526159229,0.27623467306569005,0.29946587361536364,96.05784701302895,267.386036991552,1.9992513965529846,0.2636932753979467,0.21399519748883225,0.18568948729652232,0.2061784277644198,3.6702241440393952,0.15235943600329685,13.647223955319252,0.16939398248731247,103.00120613792586,2.2379436728395063,0.20610997200709785,0.27494264995951573,0.20449271679699024,64135.685021949444
2,2,69.4896,7.83332,45,9.27383,0,138,126,2,128,3,1.00417,67.21391,0.0,0.0,12.75,8.456,6.26851,0.0,0.0,134.0,66.70413,0.0,0.3,1.89,-1.0,2.098831,0.27404484491810904,41145.79946921484,90.71920177059307,0.27414499455336644,0.29966972890397786,96.03212466002873,267.21793070927293,1.1310884081377988,0.26137693996558253,0.2139951974888368,0.18324145305189413,0.20610660819752674,3.731457328062625,0.1524206338712397,13.649093627929688,0.16980872525730795,102.56315469847479,2.6206597222222223,0.2054312528106987,0.2736211019965461,0.1948620729493231,64099.993643759044
3,3,69.5293,7.78876,45,10.094,0,138,126,2,128,3,1.00647,67.27273,0.0,0.0,11.42857,8.468,6.7681,0.0,0.0,134.0,66.69352,1e-05,0.3,1.974,-1.0,2.13155,0.2740722606689741,41147.46357248799,87.28336680605085,0.2707331348093818,0.2986676634188536,96.03543717900266,267.03309424672193,1.8021168236149194,0.25926619672448403,0.2139951974888288,0.1834087944673944,0.20611858529297974,3.898121996426309,0.15294168716836454,13.697819650909047,0.16920680412159675,102.10693874932642,3.2035590277777777,0.20309521680387693,0.2727415884294699,0.188630208235876,64080.288061633524
4,4,69.5839,7.61468,45,9.707,0,138,126,2,128,3,1.00282,67.34668,0.0,0.0,11.57143,8.472,6.7265,0.0,0.0,132.0,66.70462,0.0,0.3,1.734,-1.0,2.072332,0.27404484491810904,41274.08992451669,87.95005744486474,0.26602418934974453,0.29900555375094534,96.01317049157103,266.99433861274787,2.050621135480763,0.25620672067588324,0.21399519748883658,0.18337630530245527,0.20518988545473793,3.8720638019562323,0.1520343331833349,13.6948163067853,0.16883268456508582,103.12781043110738,2.9214409722222223,0.20299055545078842,0.2713288374473725,0.18464370704679467,64017.844854128045
5,5,69.5714,7.48155,45,8.97034,0,138,126,2,128,3,0.9995,67.36112,0.0,0.0,12.42857,8.484,6.57984,0.0,0.0,132.0,66.71722,0.0,0.3,1.79,-1.0,2.100261,0.27413950427681727,41247.84671324722,87.9692990286574,0.2635640344972143,0.30026243109474765,96.00641228860874,266.9388258510748,2.1009581679321605,0.25093820921646204,0.21399519748884052,0.18331070492282048,0.20360016827723637,3.7941912425348283,0.152504157339264,13.689290552963445,0.16839327345500382,102.67553128864061,2.610773533950617,0.20281902748970684,0.26990077339609225,0.18236777716244665,63956.940953884136
6,6,69.5099,7.66702,45,9.24951,0,138,126,2,128,3,1.00094,67.32294,0.0,0.0,11.21429,8.474,6.46355,0.0,0.0,132.0,66.6857,0.0,0.3,1.888,-1.0,2.088511,0.27388594268050814,41104.03965644689,87.22863732917595,0.2611714592124294,0.3006650523472925,96.01219203932891,266.8416590013675,0.9949160340197427,0.2453226460971986,0.21399519748883722,0.18367439722019524,0.20152000116085902,3.711162895201748,0.15203620441432342,13.666781201774691,0.1682045088489563,102.80085910207941,2.330488040123457,0.20222843265445575,0.2686883557712904,0.18128263807087938,63981.64762921734
7,7,69.6269,7.88731,45,9.25046,0,138,126,2,128,3,0.99985,67.4472,0.0,0.0,9.57143,8.474,6.62014,0.0,0.0,131.0,66.71721,0.0,0.3,1.809,-1.0,2.077285,0.27444321896562907,41281.235905467125,89.72974738877662,0.25848551420822996,0.3002911684023049,96.01285123338099,266.73917293518167,1.6618682381234784,0.2407601258687503,0.21399519748883533,0.18497711463445532,0.20081267337422504,3.790567203402181,0.15215746013093784,13.74193337522907,0.16861675871428344,101.71381307919604,2.459346064814815,0.20033116881084823,0.2678999916302199,0.18144197540198256,63983.036543076654
8,8,69.7287,8.17432,45,9.48652,0,137,126,2,128,3,0.99795,67.5371,0.0,0.0,12.32143,8.446,6.80772,0.0,0.0,131.0,66.69281,0.0,0.3,1.977,0.63387,2.07562,0.2743882919861598,41657.50848261248,88.05836028577191,0.2559040300740986,0.29996571154973767,95.99967180927541,266.6363018653842,1.1433784811401206,0.23787233025641363,0.21399519748883603,0.18615819560692454,0.19994823300467254,3.828711317113663,0.15223875215115898,13.713445781189717,0.16905061993526913,102.4640408836456,2.5245466820987654,0.19888615198617735,0.2676548868378294,0.18213382317410953,64009.43806138651
9,9,69.7693,7.88786,45,9.5283,0,137,126,2,128,3,0.99622,67.56223,0.0,0.0,11.60714,8.427,7.0592,0.0,0.0,131.0,66.70349,0.0,0.3,1.88,-1.0,2.143027,0.2742716727474055,41826.005838754594,90.80290042479284,0.2522682513071298,0.2999003699747943,95.99455868727426,266.5059347166682,1.24310305774336,0.23586357334406752,0.21621282353206683,0.1865459525615936,0.1992535432386258,3.9110799357908923,0.152195785941798,13.736700552481192,0.16910829270214514,102.07831878908218,2.6787712191358026,0.19792441109370762,0.26701980255504715,0.18387527113886082,64134.47781525778
10,10,69.9202,7.70972,45,9.37576,0,137,126,2,128,3,0.99418,67.696,0.0,0.0,11.67857,8.402,6.80348,0.0,0.0,131.0,66.71579,0.0,0.3,1.904,-1.0,2.097807,0.27442784704959694,42128.49782987847,90.80464916686364,0.250036377242795,0.2997671187816347,95.98547686374857,266.3993707687519,1.7698417556375765,0.2347999690597611,0.2139951974888383,0.18724670019202394,0.1987840543941731,3.8474130434692886,0.15183215341860407,13.684731942635993,0.1692167000765541,102.46687893859081,3.8488136574074074,0.19866928851261223,0.2659168031836677,0.185203337213664,64099.03612047502
11,11,69.8502,7.56569,45,8.99597,0,137,126,2,128,3,0.99546,67.66205,0.0,0.0,9.10714,8.418,6.64979,0.0,0.0,131.0,66.72153,0.0,0.3,1.854,-1.0,2.137629,0.2743882919861598,41995.84515193037,89.86486364090005,0.24731079191221578,0.29963818300284895,95.98284108473726,266.3190283090399,2.165854295725759,0.23486175327559028,0.21621282353206275,0.188230011124966,0.198145830322252,3.7699902713522397,0.15103042723299734,13.768999641324267,0.1693872859895517,102.54019070665078,4.134452160493828,0.19978723647489557,0.26466123283886434,0.18655766643719401,64141.6629716526
12,12,69.7416,7.86612,44,9.31054,0,137,126,2,128,3,0.99575,67.58852,0.0,0.0,8.57143,8.427,6.52462,0.0,0.0,131.0,66.7268,0.0,0.3,1.982,-1.0,2.085886,0.2743882919861598,41627.85533964574,90.8751058916533,0.24461512355816545,0.29921331844851834,95.97916467036852,266.22131339687246,2.0419921100067815,0.23521303005265262,0.21399519748884357,0.18915332221569894,0.1981437640381722,3.7555665132428353,0.15069352789321522,13.740785386827255,0.1695399621925077,102.7103402601305,3.6378279320987654,0.20088273861850345,0.26333083289573583,0.18733313221535763,64170.19965236571
13,13,69.4927,8.15832,44,9.63148,0,137,126,2,128,3,0.99197,67.3827,0.0,0.0,9.53571,8.452,6.78493,0.0,0.0,131.0,66.71888,0.0,0.3,1.968,-1.0,2.108448,0.2742561235155716,41108.030004571,89.79405025399659,0.24288153128686735,0.29893290025142133,96.00151822290391,266.1014667831878,1.323474919257752,0.235508002921774,0.2162128235320615,0.19062711314481484,0.1984106188390134,3.845376592161718,0.15045858478942298,13.745220608181425,0.1695388032770182,102.37369141826449,3.2534722222222223,0.2012449078690752,0.26177049279161685,0.1871253139530707,64135.78037554773
14,14,69.466,7.93946,44,10.5064,0,137,126,2,128,3,0.99761,67.35487,0.0,0.0,8.75,8.435,7.0364,0.0,0.0,132.0,66.70869,0.0,0.3,1.775,-1.0,2.067253,0.27415109800230747,41042.36283294482,89.8627021709777,0.24158197340375928,0.29898927181395124,96.00997838725036,265.97403632291946,1.524357995621411,0.23562664293746155,0.21399519748884077,0.19168257851235612,0.19877314429260037,3.9181822898221212,0.15045666638162364,13.687008139527872,0.1692954468452248,102.53515651808384,3.6046971450617282,0.2009224582697247,0.2603410319939002,0.18596612231216328,64087.297378222225
