,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,contrast,cubcol.0.5,uhdhdsim,cubrow.0.5,cubcol.0.6,movement,cubrow.0.3,color_fulness,staticness,blockiness,fft,cubrow.0.6,cubcol.1.0,cubcol.0.3,blur,saturation,temporal,noise,cubrow.0,cubrow.1.0,cubcol.0,tone
0,200,69.6271,17.5231,49,0.0,0,134,125,3,129,3,1.00071,69.24044,0.0,0.0,8.17857,8.353,0.0,0.0,0.0,133.0,64.71189,0.0,0.32,3.001,0.0,1.174142,92.42017286094848,0.2215645013595025,95.80187521169904,0.22485704492258105,0.18556286014882004,0.0,0.17792889468326814,95.42618697835414,319.8807920822841,1.7263458210042422,64004.32317872329,0.29865662312387947,0.23412575747876624,0.16112545024240285,40615.195968493696,15.82238976749373,0.0,0.2674939968610474,0.17805497311253218,0.15559815767243845,0.21367170845857328,0.3850445209208767
1,201,69.5379,18.2394,49,22.2233,0,134,125,3,129,3,0.99944,69.13862,0.0,0.0,7.96429,8.324,15.13297,0.0,0.0,134.0,64.70039,1e-05,0.31,3.672,-1.0,1.116274,92.39755097971748,0.19035925003038986,95.81590294269265,0.22028962378133035,0.1765387814888567,11.484712577160494,0.174244393499942,95.84400980150966,319.30816699184936,1.8730430930541038,63951.302218038916,0.276954085513221,0.21467761231606214,0.1474672220871545,40405.36066129893,15.834833404164256,5.586421274448159,0.26749399686104663,0.1684265039709478,0.15027586145321573,0.19759025821997597,0.3854014170795849
2,202,69.6443,17.7075,49,22.9744,0,134,125,3,129,3,0.99889,69.30026,0.0,0.0,8.35714,8.369,15.74785,0.0,0.0,133.0,64.67231,0.0,0.31,3.723,-1.0,1.110174,90.65345781280328,0.1830233907767197,95.7855131457194,0.21556568223714043,0.1665435953192497,11.92013888888889,0.17899398439650596,96.4462980971692,318.8462244731137,1.7171518588140997,63909.78846176724,0.26177221778273746,0.20794927723525314,0.14912173469450793,40643.7638008531,15.835067937403549,5.650928097368212,0.2674939968610481,0.1632101917042903,0.1522155172865839,0.19210782602573498,0.3942610289027299
3,203,69.6558,17.7587,49,22.5696,0,134,125,3,129,3,0.9999,69.34305,0.0,0.0,7.10714,8.425,15.29339,0.0,0.0,132.0,64.63065,0.0,0.32,4.051,-1.0,1.040385,90.3611923910839,0.17907535747169911,95.80182316049073,0.21400855268769214,0.16342345035854303,10.897087191358025,0.17863346547704465,97.14294556109789,318.15266319436955,1.7298966720117632,64038.98477779352,0.2492770437562905,0.2068301354507828,0.15498304527899986,40530.94987510833,15.847327715084877,5.613160880531614,0.2674939968610515,0.15393609999977553,0.1532009632745759,0.1924131069000972,0.3942610289027299
4,204,69.7624,17.4966,49,22.1562,0,134,125,3,129,3,1.00203,69.46666,0.0,0.0,6.89286,8.374,15.32857,0.0,0.0,132.0,64.60316,0.0,0.31,3.333,-1.0,1.076957,90.62440735670964,0.1764674863301715,95.7696998017699,0.2115177629507061,0.1630907471857367,10.198302469135802,0.17812090193676272,97.89419839361597,317.34164971521375,1.6833682085483095,64017.84308891457,0.24335902521442496,0.20254729141267022,0.15828103191822276,40801.665561292924,15.786237928602432,5.6210274180816,0.2674939968610505,0.14575935850627733,0.14994017404787582,0.1942239714271008,0.3942610289027299
5,205,69.8887,17.6639,49,21.2879,0,134,125,3,129,3,1.00542,69.58439,0.0,0.0,7.14286,8.327,15.10741,0.0,0.0,132.0,64.57454,0.0,0.32,3.268,-1.0,1.052856,92.31933034475315,0.1737606337108746,95.76200101574824,0.20967383059054964,0.16130269377422105,9.455246913580247,0.17873814234002264,97.12767697829737,316.5103283734986,1.6545878313123976,64081.97733642637,0.23655347500017948,0.20096541363850065,0.15997865150776322,41114.66973473213,15.81523245352286,5.589882534336941,0.2674939968610491,0.13688413162346252,0.14880981521842607,0.19441445321306647,0.39439620250672835
6,206,69.801,18.0601,49,21.9306,0,134,125,3,129,3,1.00209,69.50161,0.0,0.0,5.57143,8.315,15.24093,0.0,0.0,132.0,64.51994,0.0,0.32,3.313,-1.0,1.079333,92.3140703394562,0.16968106886893353,95.77196479511363,0.2096440006600288,0.1623548234100583,9.059268904320987,0.18208008894875707,99.03812863276383,315.6818021835191,1.7379679075217886,64037.72968119804,0.2344057139725132,0.20083614381736237,0.16153368088400602,40853.33373622867,15.773968355155285,5.614008422431305,0.2674939968610523,0.13390633697391172,0.1503618169279417,0.19100281794958243,0.3944153801381009
7,207,69.8014,17.9678,49,22.3474,0,133,125,3,129,3,0.9958,69.51982,0.0,0.0,6.85714,8.302,15.58331,0.0,0.0,133.0,64.46246,0.0,0.31,3.398,-1.0,1.07516,92.3833256390406,0.16828977578231763,95.75831761124881,0.21002734050400812,0.16137952354748517,8.94748263888889,0.1857859480559252,98.38228044958198,314.8212839885671,1.874043013228041,64155.95472267829,0.23367712864305357,0.20003744745595622,0.159161933233609,40919.143787427034,15.763933346595294,5.653202518964079,0.2674939968610531,0.13443403191457357,0.15146548893600267,0.1951822932513537,0.3942610289027299
8,208,69.7814,18.3565,49,22.1581,0,133,125,3,129,3,0.99094,69.52551,0.0,0.0,9.03571,8.379,15.50444,0.0,0.0,133.0,64.41414,0.0,0.32,3.821,0.49396,1.054827,90.30138874125755,0.16673042673592658,95.77600930019341,0.21201382088561171,0.16185484612794873,8.521074459876543,0.19002469488801446,99.1398628148546,313.8903892422043,1.6436623743893257,64117.92354941277,0.23252841700614377,0.199993511869961,0.15718635578628684,40809.91859102466,15.786787056628567,5.643003254057953,0.2719292489475072,0.1336424835300689,0.15298178118815156,0.19691312889508464,0.3942610289027299
9,209,69.6372,17.9428,49,22.5594,0,133,125,3,129,3,0.99043,69.39037,0.0,0.0,7.5,8.392,15.83508,0.0,0.0,133.0,64.33745,0.0,0.32,3.842,-1.0,1.010779,92.32742650015288,0.16515889227893643,95.7820841793316,0.2158826629313774,0.16124636645324783,8.549575617283951,0.19305452647088542,98.95342746430657,312.88426219404465,1.540837417144354,64195.98267533591,0.2298586205014707,0.1997855248045902,0.15516113511187254,40521.36271634874,15.7190623342255,5.682920122170391,0.2719292489475034,0.13290564703728716,0.15515705658946072,0.19558894601684668,0.40309281393925434
