,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blur,fft,cubrow.0,cubrow.0.5,cubcol.0.3,cubcol.0.5,blockiness,movement,cubrow.0.6,cubrow.1.0,noise,contrast,cubcol.0.6,tone,cubcol.0,saturation,cubrow.0.3,cubcol.1.0,temporal,color_fulness,uhdhdsim,staticness
0,0,50.5241,0.0,40,0.0,0,119,113,18,137,17,1.00291,51.27714,0.0,0.0,4.07143,5.103,0.0,0.0,0.0,123.0,28.15777,0.0,1.62,1.502,0.0,0.0,23906.251976502237,67635.10563823528,0.2690766676218953,0.17018141907172094,0.14392151576252776,0.0950283742164447,1.1651484349927523,0.0,0.1565965470883726,0.12488694808348431,0.5703107920274212,87.13123019715648,0.10943217350937189,0.43809384313725475,0.08815005006766567,60.333223884488326,0.21895940612774734,0.12519581084126374,0.0,84.81002471987645,95.39426077661274,591.3893787755771
1,1,50.5241,15.7209,40,0.0,0,119,113,18,137,17,1.00291,51.27714,0.0,0.0,4.07143,5.103,0.0,0.0,0.0,123.0,28.15777,0.0,1.62,1.502,-1.0,0.0,23906.251976502237,67635.10563823528,0.2690766676218953,0.17018141907172094,0.14392151576252776,0.0950283742164447,1.1651484349927523,0.0,0.1565965470883726,0.12488694808348431,0.5703107920274212,87.13123019715648,0.10943217350937189,0.43809384313725475,0.08815005006766567,60.333223884488326,0.21895940612774734,0.12519581084126374,0.0,84.81002471987645,95.39426077661274,591.3893787755771
2,2,50.2231,20.3683,40,13.9113,0,119,113,18,137,17,1.00237,51.03471,0.0,0.0,4.96429,5.121,13.50686,0.0,0.0,124.0,27.866,2e-05,1.63,1.434,-1.0,2e-06,23432.070486131037,67626.46098991936,0.26866356222194054,0.16714001612500187,0.14431004709758535,0.09367878026037738,1.1307839527180301,8.526089891975309,0.1492405656216682,0.11623622374737493,0.5741518330064784,87.64044365466381,0.10402343491271708,0.42702639215686267,0.08432640605174192,60.44182370032794,0.21528675395810554,0.12434427524746655,4.906771108731013,83.7244225839705,95.4581494775391,583.819946023461
3,3,49.7979,20.3311,40,16.127,0,119,113,18,137,17,1.00301,50.67734,0.0,0.0,4.21429,5.097,17.49162,0.0,0.0,126.0,27.64205,0.0,1.62,1.335,-1.0,0.0,22683.120647209384,67399.7357819108,0.269092285115309,0.1579740332963798,0.14440191412527686,0.09355596928995794,1.1316439001056853,9.790123456790123,0.13942324868361572,0.11428973847659567,0.570310792027416,89.04328480248918,0.10189722788918555,0.41338784313725485,0.08397393456822094,60.48171526120033,0.2150205283322757,0.12413294992927254,4.85300633882662,82.26580988908006,95.54996122119994,572.2512949648456
4,4,49.8057,19.7837,40,16.5046,0,119,113,18,137,17,1.00069,50.67354,0.0,0.0,2.82143,5.087,17.45889,0.0,0.0,127.0,27.51129,2e-05,1.62,1.47,-1.0,0.0,22760.73509318323,67516.17639131898,0.2677785128358712,0.151801177315237,0.14345106453844386,0.09281052167001594,1.5233013730337712,8.108314043209877,0.13744422071593151,0.11189000468984155,0.5741518330064811,84.87511437229882,0.09893476935021729,0.40337825490196066,0.08394859579553157,60.63418842833719,0.2120107180369343,0.1229693975149213,5.113515751269118,81.58989737290621,95.54790597403408,559.7150032684572
5,5,49.7778,19.8201,40,15.0671,0,119,113,18,137,17,1.00144,50.59936,0.0,0.0,5.96429,5.11,16.98915,0.0,0.0,129.0,27.46079,2e-05,1.63,1.391,-1.0,1e-06,22662.165454564616,67499.66240907306,0.2676741158575706,0.14418803089821922,0.143586292623719,0.09233572137567801,0.7756651281196761,7.060522762345679,0.1328571134263663,0.11066154441006051,0.570310792027415,85.86050616787114,0.09963960369510232,0.3996695294117646,0.08415045648226649,60.96242344232253,0.2118667572937727,0.12295363391973554,5.008290484040524,81.12895072726066,95.58559484662551,548.2751341071389
6,6,49.707,19.5698,40,16.3314,0,119,113,17,137,17,1.0007,50.5169,0.0,0.0,3.0,5.137,17.02231,0.0,0.0,129.0,27.32696,2e-05,1.62,1.477,-1.0,0.0,22534.626067808575,67531.06858647439,0.26670677410400806,0.14171805555151026,0.14300836659925137,0.09349073148532008,1.5956312427224462,6.493827160493828,0.12950874991267225,0.10994913849784892,0.5703107920274151,87.63155800015312,0.10207281340760789,0.39459149019607836,0.08431966899088882,60.88488731855227,0.2108092364396726,0.12276957232698817,4.965147887448941,80.24688591310323,95.5889044096821,538.0249032815664
7,7,49.8128,19.7356,40,15.8965,0,119,113,18,137,17,1.00365,50.63223,0.0,0.0,3.39286,5.129,16.80509,0.0,0.0,129.0,27.26906,1e-05,1.61,1.453,-1.0,1e-06,22694.25286389253,67509.01683749519,0.2667106775561594,0.13869726649777828,0.14335493289739334,0.09505581067587514,0.8152424290163396,6.384741512345679,0.12723412719834765,0.10897763495889053,0.5703107920274104,88.30295333299694,0.10105352657324312,0.38952707843137235,0.08447855096817773,60.7154461895978,0.2102100956879466,0.1227486024765657,4.827461711300678,79.17679339222049,95.58444068313923,528.8636047464761
8,8,50.4147,19.5287,40,18.0144,0,119,113,18,137,16,1.00017,51.12875,0.0,0.0,4.32143,5.141,16.94739,0.0,0.0,129.0,27.23294,2e-05,1.62,1.443,0.125,1e-05,23659.50258271892,67666.33191553534,0.2665242657434337,0.13376006998321485,0.1439517207869991,0.0956770812817787,1.3739062696466098,6.245756172839506,0.12465489947344917,0.10787743530595383,0.5664697510483553,88.56652217351646,0.10028438389995839,0.38655333333333186,0.08451891566341829,60.72830840687693,0.20973140642748342,0.12137474881207151,5.464812824356102,78.4896945389845,95.49883078423277,521.2148399384212
9,9,49.9806,19.6604,40,18.4221,0,119,113,18,137,16,1.00065,50.59852,0.0,0.0,3.46429,5.177,16.76707,0.0,0.0,129.0,27.22007,1e-05,1.61,1.474,-1.0,0.0,23449.46160075633,67741.65258631024,0.26658253855740055,0.13096272768915176,0.14444145156313878,0.09573271758478219,1.157096559406524,6.1625192901234565,0.12269928301733588,0.10817801402915982,0.5559758319395999,86.00267947570971,0.09782045448570208,0.3897184313725491,0.0845198519608337,60.631558830355424,0.20890509129318768,0.12128052859728934,5.029560109064142,77.58602616403388,95.63737089986832,515.0775988561105
