,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,saturation,noise,blur,cubrow.0,movement,contrast,staticness,cubcol.0.6,cubcol.0.3,tone,cubcol.1.0,cubrow.0.6,blockiness,cubrow.0.5,cubrow.1.0,color_fulness,cubcol.0.5,uhdhdsim,temporal,cubcol.0,fft,cubrow.0.3
0,400,48.169,21.7735,40,0.0,0,119,113,18,137,17,1.00104,49.32108,0.0,0.0,3.64286,5.211,0.0,0.0,0.0,129.0,28.58124,2e-05,1.6,1.448,0.0,0.0,59.79084175015673,0.5642521250051306,20792.34497378696,0.24700316271553094,0.0,84.3695630934987,586.9970695037613,0.0957622993078053,0.1434200157077278,0.4187458823529413,0.13299552994325034,0.11775396761632115,1.5673769076013142,0.13401536730790892,0.12718657691760799,85.14009942092486,0.0948979633933536,95.69089817940323,0.0,0.08965118352002482,67322.64106475515,0.2264603230102988
1,401,49.7027,20.5735,40,20.8587,0,119,113,18,137,17,1.00116,50.72185,0.0,0.0,3.64286,5.141,18.68705,0.0,0.0,129.0,28.77959,0.0,1.61,1.413,-1.0,0.0,59.860914253894194,0.5703107920274161,22869.530839328774,0.24575055042439267,10.77097800925926,86.78425053479071,571.0531078854547,0.09414484943864836,0.14003137750252992,0.4221349019607843,0.127780959454841,0.11525215436215637,1.1281483728460069,0.12018263111564899,0.11513546398132152,84.23491900619553,0.09246542069344187,95.5478493726605,5.203025319890714,0.08763491285450442,67579.63069289176,0.21487603478281475
2,402,50.3638,20.88,41,18.1664,0,119,113,18,137,18,1.00428,51.28802,0.0,0.0,4.35714,5.168,17.65951,0.0,0.0,128.0,28.75074,2e-05,1.61,1.457,-1.0,0.0,59.81446687674816,0.5703107920274111,23870.289159940796,0.2453226334686103,8.855516975308642,85.16491439865366,560.476735266777,0.09404582657638126,0.13517517287906022,0.4216061960784302,0.12786734566153046,0.11462772505273151,1.666456346515658,0.12179963777510637,0.11297053512665627,83.71661309783906,0.09222272973031045,95.51255428955399,4.926094291017151,0.08702154380961365,67711.13653992476,0.21630931118033708
3,403,50.7888,20.5167,41,16.4773,0,120,113,18,137,17,0.99995,51.699,0.0,0.0,3.71429,5.152,17.92446,0.0,0.0,128.0,28.54659,2e-05,1.62,1.356,-1.0,0.0,60.05798791956018,0.5703107920274194,24305.814247151124,0.24475130817594287,7.816792052469136,86.82505323672778,553.1638887835078,0.0943256047737375,0.1342709004937476,0.4155165686274509,0.12724436736491238,0.11497738690343696,1.686293226292557,0.12221514130470201,0.10975909422502386,82.79072322267467,0.09173328486959627,95.39979870507605,5.0067599140239345,0.08603504909349566,67723.91470939554,0.21641444188038012
4,404,50.8544,19.683,41,14.7642,0,119,113,18,137,17,1.00138,51.69333,0.0,0.0,4.5,5.139,17.61081,0.0,0.0,128.0,28.4386,1e-05,1.61,1.337,-1.0,0.0,60.20186341839072,0.5703107920274137,24427.64572201978,0.24460779820840545,7.329089506172839,86.75453979565873,546.1367854958473,0.09440080395944216,0.13619549713426723,0.41066043137254904,0.12717469816092217,0.11526516123082228,1.6700196885744012,0.12674627427264254,0.10839485202857621,82.37752401949638,0.09174006795727084,95.40985619086241,4.898378098160773,0.08524145368049817,67704.06757087944,0.2160776621843259
5,405,50.75,19.7369,41,15.4304,0,119,113,18,137,17,1.00131,51.55841,0.0,0.0,4.39286,5.165,16.89409,0.0,0.0,127.0,28.51773,2e-05,1.61,1.281,-1.0,1e-06,60.23849242410542,0.5680931659841838,24234.051611697796,0.24589421235862946,7.0482253086419755,85.10070842397523,538.9416039113217,0.09502029485170563,0.13636358595480816,0.4128196862745097,0.12719351686184208,0.1175962945200375,1.359896957816127,0.12880039108387015,0.11002515418587491,82.78432379072527,0.08966132365775421,95.45767027169803,4.817549626181361,0.08519817243839606,67743.87180406826,0.21596058692617692
6,406,50.8725,19.5718,41,16.7651,0,119,113,18,137,18,1.00144,51.75197,0.0,0.0,3.53571,5.104,16.94227,0.0,0.0,127.0,28.80782,3e-05,1.61,1.346,-1.0,1.1e-05,60.26695910795235,0.570310792027419,24258.344763534686,0.2455328675283813,6.490354938271605,87.58609539284718,532.6981851629906,0.09520789662192217,0.13735626180048907,0.42297764705882357,0.12706524406188277,0.11702247987473927,1.2479747943635626,0.13132876180940492,0.10931705168142418,84.12650448318782,0.0887163530358537,95.45034360632415,4.82401268777144,0.08519196510756172,67717.42622834026,0.21601111474352977
7,407,51.2163,19.5142,42,17.6008,0,119,113,19,137,18,1.00212,52.12195,0.0,0.0,4.75,5.156,16.80294,0.0,0.0,127.0,29.11854,0.0,1.62,1.417,-1.0,0.0,60.14936395339024,0.5741518330064753,24383.856628642592,0.2453913614263621,5.996431327160494,89.9885320509807,527.4883393523507,0.09520920221541164,0.13800348679570337,0.4345070588235294,0.12710883203568848,0.11613242649736247,1.1024456486247876,0.13426979925851568,0.10885796517830848,85.04972906391473,0.09031461527737436,95.40824655477893,4.98899985956759,0.08534803627684608,67766.86716037113,0.21652512648627764
8,408,51.2606,19.7094,42,18.1333,0,119,113,19,137,18,1.00258,52.18239,0.0,0.0,3.89286,5.141,16.75606,0.0,0.0,127.0,29.3401,4e-05,1.61,1.373,0.12719,0.0,60.00636423369985,0.5703107920274202,24231.692824856207,0.2444726126413396,5.971016589506172,85.56538441182607,523.1087359990553,0.09499328272876757,0.13791175392333066,0.44313419607843113,0.1269433749530679,0.11578531082453047,1.1866746671971076,0.13597611267189733,0.10815005448448574,86.02628372226113,0.08949467280940528,95.38100857278172,4.883002345074818,0.08541027733551525,67742.34576740269,0.2177303183120085
9,409,51.5754,20.1708,42,17.9256,0,119,113,19,137,18,1.00145,52.49217,0.0,0.0,3.0,5.164,16.92255,0.0,0.0,127.0,29.50742,2e-05,1.62,1.459,-1.0,3e-06,59.892177063741805,0.5725284180706479,24396.07087992132,0.24394131272497568,5.942274305555555,86.70954668373143,519.0754219647395,0.09467430176962499,0.1384169268339208,0.45091105882352944,0.12688382319376298,0.11594631521682694,1.3595631729990076,0.1375472245898483,0.10820663019690764,87.07085569901332,0.09349028981586266,95.31160653770729,4.999394928666646,0.08557807785373452,67718.4380584178,0.21813572579671828
