,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0,movement,color_fulness,cubcol.0,blur,noise,blockiness,tone,uhdhdsim,cubcol.1.0,contrast,cubcol.0.6,cubrow.0.3,saturation,cubrow.0.5,cubrow.0.6,staticness,fft,cubcol.0.3,cubrow.1.0,temporal,cubcol.0.5
0,0,50.5952,0.0,34,0.0,0,118,113,14,137,15,1.00052,47.92698,0.0,0.0,4.67857,5.098,0.0,0.0,0.0,121.0,27.84139,3e-05,0.47,1.563,0.0,0.547538,0.2596492999060044,0.0,84.87352267341589,0.07961222971822925,21705.552025747253,0.3849855147142212,1.3806074083151199,0.436117333333333,95.88652017436195,0.10108057019459281,84.24334020006425,0.09702817456330431,0.2087093417542619,61.34052342544367,0.15540236620588188,0.14159904679268367,586.8386220070814,66862.96398515525,0.12993568892979615,0.10150312204388623,0.0,0.07766053290035342
1,1,50.5952,15.4876,34,0.0,0,118,113,14,137,15,1.00052,47.92698,0.0,0.0,4.67857,5.098,0.0,0.0,0.0,121.0,27.84139,3e-05,0.47,1.563,-1.0,0.547538,0.2596492999060044,0.0,84.87352267341589,0.07961222971822925,21705.552025747253,0.3849855147142212,1.3806074083151199,0.436117333333333,95.88652017436195,0.10108057019459281,84.24334020006425,0.09702817456330431,0.2087093417542619,61.34052342544367,0.15540236620588188,0.14159904679268367,586.8386220070814,66862.96398515525,0.12993568892979615,0.10150312204388623,0.0,0.07766053290035342
2,2,50.2986,20.1788,34,15.3559,0,118,113,14,137,15,0.99946,47.66983,0.0,0.0,5.21429,5.108,13.30405,0.0,0.0,122.0,27.54437,2e-05,0.48,1.544,-1.0,0.504146,0.25923842785574075,8.305989583333334,83.78583838451638,0.07765649285593468,21282.04641017853,0.3872031407574459,1.347910564493445,0.42292,95.96852353062357,0.10039190241381711,89.37495788063754,0.0916865995658106,0.20476295452728535,61.44224115065586,0.15288579434939362,0.1341369200670984,579.6343931666917,66821.575717024,0.130001006301228,0.09336066077710285,4.460365670532659,0.07709103192860751
3,3,49.9169,20.1391,34,17.3502,0,118,113,14,137,15,1.00218,47.33503,0.0,0.0,4.39286,5.098,17.3259,0.0,0.0,124.0,27.32032,4e-05,0.48,1.409,-1.0,0.525711,0.2597033753096714,9.649498456790123,82.16813828174455,0.07795904251466661,20619.375654730364,0.38498551471422243,1.2364165496543702,0.4084643137254902,96.06440324660272,0.10010744324252668,89.84337152841516,0.0902315730023883,0.2044437099329748,61.4891468566141,0.14366388970855717,0.12403740744226287,568.2169607818186,66684.34390302087,0.13037708410424062,0.09161962168147922,4.489953061886325,0.07685586570480167
4,4,49.9271,19.5942,33,17.9536,0,118,113,14,137,15,0.99929,47.3106,0.0,0.0,3.82143,5.148,17.28999,0.0,0.0,126.0,27.19028,6e-05,0.47,1.493,-1.0,0.506383,0.25812118397757616,7.969039351851852,81.44874672054812,0.0788032159547927,20692.547549483803,0.38498551471422066,1.5555495630297378,0.39833774509803893,96.06373000626306,0.09848350948187656,89.68785316783232,0.0867385369176792,0.20099959875509724,61.65071445041232,0.13764570537284487,0.12137187205683134,555.7409829175696,66778.91139783453,0.12925519586004064,0.08900949511934166,4.6905382643258475,0.07598900217114542
5,5,49.9101,19.6284,33,16.5503,0,118,113,14,137,15,0.9993,47.24478,0.0,0.0,6.5,5.16,16.81703,0.0,0.0,127.0,27.13963,3e-05,0.48,1.602,-1.0,0.535446,0.2580218146560717,6.951340663580247,81.1084811286948,0.07967226086137343,20604.78156852481,0.3849855147142181,0.9553048861904355,0.3929717647058823,96.10902530446212,0.09840762783711478,86.20642962955725,0.08817728059705346,0.2007966673892192,61.99049716525607,0.1298437046010214,0.11655244941171111,544.2896244209702,66694.5689485751,0.1292187518991084,0.08799714970292308,4.577079399797137,0.07578166578350497
6,6,49.822,19.3866,33,17.6494,0,118,113,14,137,15,1.00072,47.15177,0.0,0.0,3.75,5.183,16.8497,0.0,0.0,128.0,27.00518,4e-05,0.47,1.466,-1.0,0.512723,0.256811231628671,6.40186149691358,80.17373561374208,0.07995042303989175,20455.583168649955,0.3849855147142187,1.509074575255261,0.38819209803921423,96.09830798040372,0.09822454235501095,90.4021799392178,0.09049369740303617,0.19985068183475316,61.922092202269,0.12720081910031614,0.11267148214152636,534.0711874356062,66714.0458349837,0.12835884812217915,0.08725802625782679,4.554358804950308,0.07760858145533144
7,7,49.9306,19.463,33,17.0577,0,118,113,14,137,14,1.00107,47.28359,0.0,0.0,3.39286,5.167,16.64028,0.0,0.0,128.0,26.94273,3e-05,0.47,1.508,-1.0,0.535401,0.2569518064237829,6.2982253086419755,79.14786414935574,0.08047793446348006,20640.292325638147,0.384985514714218,0.8908273917854178,0.38274039215686273,96.09094486971672,0.09833643628200173,88.32322183063155,0.08936230039465023,0.19923740022317826,61.74046627091773,0.123757546277377,0.11004023898916046,524.9333493318201,66712.417282374,0.1288640971237241,0.08634798880381231,4.453887808285733,0.0794686352908167
8,8,50.48,19.335,34,19.5504,0,118,113,14,137,14,0.99908,47.76638,0.0,0.0,4.42857,5.14,16.70685,0.0,0.0,128.0,26.90348,5e-05,0.48,1.6,0.20808,0.550123,0.25691941847711935,6.18311149691358,78.39996146101062,0.08065036409829532,21492.510388162285,0.38498551471421827,1.229419511305589,0.3793545098039216,96.01004303212304,0.09734751573445476,85.2770782161191,0.08856529237690153,0.1988140288770315,61.76743985399787,0.11888347552009865,0.10773312207356701,517.3083846297867,66822.92835793605,0.13011668209438929,0.08535501715500889,4.842066264506976,0.08093700272465547
9,9,50.1456,19.3948,33,19.3719,0,118,113,14,137,14,0.99931,47.38834,0.0,0.0,4.14286,5.219,16.59413,0.0,0.0,128.0,26.89674,5e-05,0.47,1.523,-1.0,0.588369,0.25693267301214306,6.118248456790123,77.41344275788052,0.08082010649192174,21367.136766039763,0.3767092216486945,1.14608084993581,0.3821270588235294,96.12251585470352,0.0975913549732821,89.0068370507076,0.08628796029750434,0.19789046025790744,61.66037326388889,0.11602976834720176,0.1057877329665086,511.1779119002423,66883.06056239632,0.13094016211895407,0.08579669823974195,4.614309170296715,0.081621176964973
10,10,50.4809,18.5531,34,20.2189,0,118,113,15,137,14,1.00444,47.82852,0.0,0.0,4.92857,5.151,16.6573,0.0,0.0,128.0,27.17027,7e-05,0.48,1.632,-1.0,0.508378,0.2555458185692481,7.340952932098766,77.36803992965841,0.08065114418592843,21420.495753586478,0.38498551471421916,1.3960298360148033,0.3929023725490196,95.98086857562457,0.09781505733849041,86.29750868263146,0.08677331748283329,0.19723844219463488,61.717765337155186,0.11315925854714735,0.10424076119472533,506.4948645389008,66933.44530043504,0.12911632906630652,0.08530188170400331,4.926816004936866,0.08123284435271982
11,11,50.1089,18.6257,34,19.4953,0,118,113,14,137,15,1.00156,47.47311,0.0,0.0,3.89286,5.285,15.93334,0.0,0.0,127.0,27.37519,5e-05,0.47,1.52,-1.0,0.552665,0.25549550905664686,7.59741512345679,78.13167601686987,0.08068997565823019,20900.289018371823,0.3789268476919247,1.0969019154147734,0.3985036274509802,96.08947206963455,0.09725559718765217,87.2175215015513,0.0901646268697822,0.19714201083638258,61.83295450092834,0.1115202454703929,0.10276398240446992,503.16514570278684,66750.92765243715,0.129033237117404,0.08553905049499214,4.7386838618753995,0.08677861595800644
12,12,50.6894,18.6423,34,17.8432,0,118,113,14,137,15,1.00107,48.09632,0.0,0.0,4.92857,5.215,15.99252,0.0,0.0,127.0,27.44421,5e-05,0.47,1.582,-1.0,0.520283,0.25555304167334897,7.026186342592593,77.22130117767207,0.08084967380261929,21645.99496887645,0.3849855147142223,1.2570714993674186,0.39953764705882355,95.91179905909624,0.0989561032642423,87.92961883342346,0.08985372137141907,0.1970913597574423,62.01400643807871,0.11007308075802322,0.10192786089116118,500.3730721873031,66858.88265067969,0.1290974003604074,0.0865723080913473,4.55136169308888,0.08648261015762822
