,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,tone,temporal,cubcol.0,cubcol.0.3,cubrow.0.3,contrast,saturation,movement,cubrow.0,uhdhdsim,cubcol.0.5,cubcol.0.6,cubcol.1.0,cubrow.0.6,color_fulness,cubrow.1.0,cubrow.0.5,blur,fft,staticness,blockiness,noise
0,0,49.0736,0.0,29,0.0,0,118,113,13,137,13,1.00024,45.41716,0.0,0.0,5.10714,5.092,0.0,0.0,0.0,121.0,27.51979,3e-05,0.32,1.571,0.0,1.381219,0.4328483137254872,0.0,0.07718721562610437,0.1156768502712167,0.19650056206804434,85.40788710155763,61.27064815568335,0.0,0.24705254542637567,96.14460757149902,0.0683682361785943,0.08738943863524673,0.08590960848838315,0.1302277229923651,84.30804164040435,0.08519164283468915,0.14932393334309432,19370.225069704615,66363.56891516905,580.6197391914411,1.4737589657271322,0.32099279623325533
1,1,49.0736,15.1803,29,0.0,0,118,113,13,137,13,1.00024,45.41716,0.0,0.0,5.10714,5.092,0.0,0.0,0.0,121.0,27.51979,3e-05,0.32,1.571,-1.0,1.381219,0.4328483137254872,0.0,0.07718721562610437,0.1156768502712167,0.19650056206804434,85.40788710155763,61.27064815568335,0.0,0.24705254542637567,96.14460757149902,0.0683682361785943,0.08738943863524673,0.08590960848838315,0.1302277229923651,84.30804164040435,0.08519164283468915,0.14932393334309432,19370.225069704615,66363.56891516905,580.6197391914411,1.4737589657271322,0.32099279623325533
2,2,48.7948,19.8682,29,15.5367,0,118,113,13,137,13,1.00003,45.16858,0.0,0.0,6.03571,5.104,13.03862,0.0,0.0,122.0,27.22151,7e-05,0.32,1.418,-1.0,1.322946,0.4183501960784314,4.328707541095546,0.07423909130985341,0.11604015666931443,0.19300390836469594,88.61974713794967,61.373644605095,8.13035300925926,0.24625246454005073,96.23596038926742,0.06825912522961572,0.08156750074048678,0.08483686558149274,0.1233083979114163,83.15959575210042,0.07766272819686085,0.14596534724357216,19022.209343654213,66323.61536348067,573.830917253865,1.0995447157696525,0.32099279623325566
3,3,48.4457,19.8354,29,17.4837,0,118,113,13,137,13,1.00337,44.86071,0.0,0.0,3.57143,5.102,17.05953,0.0,0.0,124.0,26.99361,9e-05,0.32,1.381,-1.0,1.326718,0.40372313725490194,4.400336066419016,0.07465177948129485,0.11594395158610372,0.1923617800734345,86.63330151950298,61.41671978985822,9.525559413580247,0.24649676913734436,96.3233491612249,0.0682202880318969,0.08110881429042303,0.08386420861144228,0.11325355345317893,81.47501341933024,0.07569602658633874,0.13679714651312175,18448.162684483537,66198.65313346179,562.6044829170105,1.3323471498050665,0.3209927962332552
4,4,48.4863,19.3,29,18.2623,0,118,113,13,137,13,0.99907,44.86376,0.0,0.0,4.28571,5.092,17.0281,0.0,0.0,126.0,26.87195,9e-05,0.32,1.468,-1.0,1.307792,0.3929741176470588,4.545260675871684,0.07566597242078199,0.11465904672755114,0.1889051078477222,89.8882693524155,61.58477500632957,7.848765432098766,0.24531726426982428,96.30743644337484,0.06712994250119639,0.07733845478578558,0.08255510802476188,0.11044606470070481,80.80270118291119,0.07403024483904355,0.13056106138967116,18526.331568024973,66273.58140011692,550.2393849246253,1.5305039726138399,0.3209927962332546
5,5,48.4671,19.3192,29,16.7652,0,118,113,13,137,13,0.99797,44.80453,0.0,0.0,6.92857,5.175,16.56396,0.0,0.0,127.0,26.82128,7e-05,0.32,1.373,-1.0,1.345771,0.38898901960784316,4.440291643475147,0.07641581868373669,0.11425697316784657,0.18864737941888046,90.99700388312351,61.91385151427469,6.873360339506172,0.24518374438179413,96.34952822173902,0.06715811257384147,0.07977407724194908,0.08206165904293124,0.10561960318261035,80.57474002734371,0.07321111759210136,0.12288551816954557,18460.65198058551,66238.61523558368,538.8174773131152,1.0385105799606311,0.3209927962332532
6,6,48.3558,19.0671,29,17.8508,0,118,113,13,137,13,0.99978,44.69682,0.0,0.0,4.39286,5.178,16.5826,0.0,0.0,128.0,26.68412,9e-05,0.32,1.402,-1.0,1.308324,0.38272588235294125,4.433963190892466,0.07679753503608874,0.11352298201221449,0.1878016958836422,86.87423166952347,61.83458587269725,6.3385898919753085,0.24417604116764827,96.3443111890291,0.06951336207027554,0.08183893974055914,0.08193495528246851,0.10205165202452184,79.60877631125533,0.07240240233763151,0.12036264610596831,18330.70244411281,66255.23225459279,528.6263865440355,1.3072639574343334,0.3209927962332526
7,7,48.4535,19.1031,29,17.0339,0,118,113,13,137,13,1.00041,44.8055,0.0,0.0,4.21429,5.184,16.36427,0.0,0.0,128.0,26.61984,5e-05,0.32,1.483,-1.0,1.338869,0.37794470588235285,4.35150261477918,0.07726040487518625,0.11406000599454143,0.18758894764767764,89.60251939517805,61.652708830656834,6.177951388888889,0.24426897532733968,96.3481073895173,0.07191892337219428,0.0808799003433273,0.08261041934123944,0.09954835993835827,78.51661831874897,0.07133298490655703,0.11671553776557544,18482.478647414584,66267.17781087685,519.4797332553901,0.9555029096127805,0.3209927962332527
8,8,48.9785,18.9926,29,19.5103,0,118,113,13,137,13,0.99847,45.27254,0.0,0.0,5.25,5.163,16.39604,0.0,0.0,128.0,26.57492,7e-05,0.32,1.5,0.3107,1.360383,0.3748176470588221,4.620017544793258,0.0777085150227167,0.11581319608566988,0.1870477668762425,87.75091365162972,61.686051922079955,6.10619212962963,0.24411400829381374,96.26199311087468,0.07407583993518116,0.08018106770027633,0.08192119250114169,0.09740473082307899,77.75048870312577,0.07059669117272525,0.11190391222842723,19224.813678278806,66382.96270957976,511.85797403759125,0.9440868356167883,0.3209927962332532
9,9,48.6967,19.015,29,19.1838,0,118,113,13,137,13,0.99768,44.99635,0.0,0.0,4.53571,5.247,16.29867,0.0,0.0,128.0,26.56914,4e-05,0.31,1.401,-1.0,1.424228,0.3773023529411763,4.492098150614375,0.07807469195146616,0.1169487237313175,0.1862018968650109,88.85158885080453,61.58254062982253,6.0562307098765435,0.24400111696919116,96.3394208210404,0.07483731143667066,0.0779909755997941,0.08231890992644442,0.09574545328299432,76.71858443531188,0.07084522037182131,0.10890288289303404,19162.232341434647,66444.25646083201,505.7076830775817,1.090095211948306,0.31271650316773075
