,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.3,fft,cubrow.0.5,temporal,cubcol.0.6,cubrow.0.3,blockiness,cubrow.0,cubrow.1.0,uhdhdsim,noise,movement,cubcol.0,color_fulness,saturation,tone,contrast,staticness,cubcol.1.0,blur,cubrow.0.6,cubcol.0.5
0,100,49.8166,18.7213,31,0.0,0,117,114,13,138,16,0.99594,46.25921,0.0,0.0,3.96429,5.345,0.0,0.0,0.0,123.0,28.24733,5e-05,0.31,1.686,0.0,1.238355,0.11041791400341623,66588.79582457051,0.09398024237110465,0.0,0.18807560434269896,0.19285100176957187,1.255480308756548,0.2517822754181762,0.13471450908061158,95.95690470862651,0.33148671534200647,0.0,0.08638085218704178,85.56229712994393,62.305251886815206,0.43783490196078423,88.71400467389162,630.031413902858,0.10756757430904723,20160.385476401694,0.08739808643811178,0.10481101100268121
1,101,50.3065,18.96,31,22.1191,0,117,114,13,138,16,0.99766,46.72191,0.0,0.0,5.71429,5.327,16.06602,0.0,0.0,124.0,28.37888,5e-05,0.31,1.536,-1.0,1.17464,0.10884055894671446,66644.9257281991,0.08507666498495155,4.884441583177683,0.149860310249925,0.19133481562317928,1.1201720121151837,0.24839719307208336,0.10770160404897242,95.9240492949362,0.3353277563210688,10.867380401234568,0.08470405593643283,85.69851179738275,62.37570303457755,0.4359407843137254,88.74314719232441,616.5201762453594,0.09103555040843384,20812.47110449352,0.08199133780350087,0.07942104721057783
2,102,51.0809,19.2641,31,21.1432,0,117,114,13,138,16,1.00295,47.43914,0.0,0.0,7.28571,5.323,16.26881,0.0,0.0,124.0,28.57459,4e-05,0.31,1.458,-1.0,1.202532,0.10563396447591883,66934.5130941639,0.08666405911188947,4.713385727418466,0.12909107598372893,0.20013679808057067,1.1511180689927345,0.24891170371813182,0.1020738581560182,95.83671465414693,0.3353277563210735,9.324990354938272,0.08434580210110741,86.1989315286717,62.21840507601514,0.43432549019607847,91.24980264528665,605.441801457725,0.08956689431033085,21935.06156735253,0.08897549548055093,0.07501307429478894
3,103,51.6252,19.468,31,22.1707,0,117,114,13,138,16,0.99848,47.90255,0.0,0.0,6.0,5.275,16.53665,0.0,0.0,124.0,28.6866,6e-05,0.31,1.539,-1.0,1.165231,0.10508110427542794,67128.39244212977,0.08620858076689801,4.833289331696261,0.12963919189490888,0.20933229230044195,1.4851147775076348,0.24845570641995296,0.10164667272658023,95.75446293009193,0.337545382364298,8.40186149691358,0.08437105145142773,86.40351906891277,61.92110169964072,0.43312588235294114,87.95336023150486,595.0399946942649,0.09188142318534002,22759.52631957252,0.09233102514951617,0.07477475356515986
4,104,51.9367,19.5311,31,22.3585,0,117,114,12,138,16,0.99854,48.17787,0.0,0.0,4.39286,5.243,16.71221,0.0,0.0,125.0,28.80386,4e-05,0.42,1.397,-1.0,1.142713,0.10485343896866071,67273.27416863295,0.08910183433689886,4.776353247742699,0.11699805581410024,0.21522632161279467,1.4779766710008289,0.2487524741106417,0.10001826667719663,95.71500623763258,0.3375453823643008,7.994936342592593,0.08451384677971731,86.35389308042136,61.78426351664979,0.43380313725490194,87.88016724902396,585.1596530185525,0.08633326248787838,23210.41379227138,0.09583419700798457,0.073778597216318
5,105,52.1194,19.2284,32,23.0933,0,117,114,12,138,16,0.99736,48.33262,0.0,0.0,5.07143,5.244,16.76531,0.0,0.0,126.0,28.72848,5e-05,0.42,1.524,-1.0,1.145763,0.10649086704848836,67320.19508620612,0.08701223947735098,4.790742949746445,0.11031217635337594,0.2184967188388145,1.4651743442397833,0.24900572397247167,0.0989155534264572,95.67434249248106,0.3375453823642982,7.408516589506172,0.08473649428085853,86.08126210160364,61.596294638551306,0.43331411764705874,89.63537208206718,576.1271031565499,0.0842423986948699,23477.29526383079,0.09434626722635102,0.07319180678088533
6,106,51.7185,19.7239,31,24.5443,0,118,114,12,138,15,1.00325,47.9346,0.0,0.0,4.53571,5.273,16.50355,0.0,0.0,126.0,28.65742,7e-05,0.42,1.506,-1.0,1.164833,0.11020103685076724,67304.46990666255,0.08562792516461358,4.8739216782504995,0.10572835403083564,0.22036673815107843,0.9097900363258528,0.2487485619959677,0.10145804190628561,95.72374426173707,0.335327756321066,6.8853684413580245,0.08470497566522436,85.83955479560579,61.56508212619357,0.43363098039215675,89.47316241714073,568.048798550688,0.08428252824628867,23146.867777295498,0.09344213977336135,0.07471029163222126
7,107,50.0872,20.4816,30,24.7199,0,118,114,12,138,15,1.00149,46.39,0.0,0.0,5.0,5.314,16.93054,0.0,0.0,128.0,27.95112,7e-05,0.42,1.566,-1.0,1.22609,0.10960390515302088,67159.42728047755,0.08484473912029304,4.846907125224864,0.10201896747611726,0.2138657104555526,1.3328072395429162,0.2482282533404316,0.10153750667988723,95.94955325394685,0.32926908929878157,6.660590277777778,0.0849676015661165,85.08881049144016,61.7303736180435,0.4219000000000001,87.77518538142432,561.0745942170958,0.08457820471188618,21502.44770395234,0.09314199024172172,0.07635858961755933
8,108,48.8006,19.0391,29,20.5668,0,118,113,12,138,14,1.00224,45.15525,0.0,0.0,7.28571,5.382,17.57797,0.0,0.0,129.0,27.25087,7e-05,0.42,1.638,0.30401,1.239391,0.10841504395727096,66940.2563316897,0.08389145426912278,4.7119339177089445,0.09907552997129511,0.209049217943061,0.9720674659775121,0.2480176715586245,0.09784973383304996,96.1866022908466,0.325428048319716,6.215229552469136,0.08493910029262146,84.39085776103909,61.927818015769674,0.4072164705882353,87.99990810031862,555.1276178100961,0.08496632748366241,20275.886532425895,0.09321218092399972,0.0770924454266259
9,109,48.5598,19.4614,29,19.6127,0,118,113,11,138,15,1.0,44.9287,0.0,0.0,6.14286,5.327,16.33941,0.0,0.0,129.0,27.12884,5e-05,0.42,1.613,-1.0,1.244679,0.10820556262472583,66824.48078168767,0.08325049339674258,4.706170208746536,0.09670839262921645,0.20344990353399373,1.1908429959028686,0.24776004678735636,0.09508439639420377,96.20250250200405,0.32542804831971445,6.254292052469136,0.0848371291866577,83.56128433605726,61.875346431025754,0.40703137254901955,88.745592212084,549.7424754429258,0.08585594490290492,20226.992769117704,0.09410612614824201,0.07810166989479699
