,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blockiness,cubcol.0.3,contrast,cubcol.1.0,temporal,movement,noise,cubcol.0,tone,cubcol.0.5,fft,cubrow.0.5,cubrow.0.3,uhdhdsim,cubrow.0,saturation,cubrow.0.6,color_fulness,cubrow.1.0,staticness,cubcol.0.6,blur
0,0,46.836,0.0,26,0.0,0,118,113,12,137,12,1.00028,43.00327,0.0,0.0,6.32143,5.121,0.0,0.0,0.0,121.0,27.15977,4e-05,0.31,1.431,0.0,1.733841,1.0945596687841885,0.09892504276549884,87.28283439943667,0.07552713437309265,0.0,0.0,0.2983815430799035,0.07208871712672954,0.4277082352941176,0.057547964407571504,66113.43546607549,0.1470985110649956,0.18364741853430283,96.51271391883192,0.2352714827844881,61.197741473162615,0.12142304566749597,83.53741145140224,0.07663018838422705,575.0043068100271,0.07218168713363492,17309.708247457103
1,1,46.836,14.7812,26,0.0,0,118,113,12,137,12,1.00028,43.00327,0.0,0.0,6.32143,5.121,0.0,0.0,0.0,121.0,27.15977,4e-05,0.31,1.431,-1.0,1.733841,1.0945596687841885,0.09892504276549884,87.28283439943667,0.07552713437309265,0.0,0.0,0.2983815430799035,0.07208871712672954,0.4277082352941176,0.057547964407571504,66113.43546607549,0.1470985110649956,0.18364741853430283,96.51271391883192,0.2352714827844881,61.197741473162615,0.12142304566749597,83.53741145140224,0.07663018838422705,575.0043068100271,0.07218168713363492,17309.708247457103
2,2,46.5789,19.4852,26,14.5983,0,118,113,12,137,12,0.99961,42.76872,0.0,0.0,5.21429,5.128,12.6975,0.0,0.0,122.0,26.85782,5e-05,0.31,1.439,-1.0,1.696344,1.013511210593238,0.09911789228835462,86.0345910222434,0.07452789924057021,4.2791706486571925,8.025318287037036,0.29232287605761925,0.0686930225750783,0.41243411764705884,0.057568949066008,66100.83916173736,0.14360422768347628,0.1803964916154955,96.60986230937002,0.23407215498386905,61.294153095763406,0.1144877836987733,82.34500695090574,0.06932030319517814,568.5841197781638,0.06788999069194235,17022.135701559822
3,3,46.2175,19.4377,26,16.6596,0,118,113,12,137,12,1.00346,42.45546,0.0,0.0,2.60714,5.141,16.73167,0.0,0.0,124.0,26.62555,5e-05,0.31,1.486,-1.0,1.666877,1.110316185462189,0.0994299265163382,86.02737868573797,0.07339925780031853,4.374589652272726,9.483796296296296,0.29232287605761914,0.0684764990920924,0.39931568627450986,0.05735964252186668,65979.65174415606,0.13382530303153697,0.1794529572514342,96.70615490494151,0.23402731961721654,61.342745368863326,0.10477498503823254,80.62111266392083,0.06732916239685229,557.5300976993454,0.06863254867625974,16529.067982381162
4,4,46.2703,18.9067,26,17.4028,0,118,113,11,137,12,1.00068,42.4641,0.0,0.0,5.07143,5.142,16.68737,0.0,0.0,126.0,26.50377,7e-05,0.31,1.503,-1.0,1.616535,1.2447163379681019,0.09854902946983361,84.94469807666009,0.07222993523967765,4.482896128976145,7.7875192901234565,0.29232287605761864,0.06964898982953269,0.388749411764706,0.05650636821580344,66100.48361986675,0.12693849201234922,0.17622522948782118,96.68537991737546,0.23299204320965386,61.50724999698591,0.10191608426668568,79.9954334394273,0.06584955040764093,545.2570205386094,0.06460489052833308,16596.075298662032
5,5,46.2365,18.9082,26,15.9206,0,118,113,11,137,11,0.99833,42.40105,0.0,0.0,7.21429,5.179,16.22551,0.0,0.0,127.0,26.45729,4e-05,0.31,1.528,-1.0,1.651659,1.0232926632359067,0.09861912322028787,89.77578316825758,0.07213789409999619,4.388122424136298,6.826437114197531,0.2840465829920951,0.07107196101436056,0.38526629411764707,0.056865782325163934,66000.95100329096,0.11949121860009508,0.17596952713710234,96.74201258382013,0.2330339896312149,61.8318869508343,0.09739472554318343,79.72955512973482,0.06488016337677717,533.8451835605983,0.06777018529270405,16523.45465141936
6,6,46.128,18.655,26,17.0109,0,118,113,11,137,11,0.9982,42.29683,0.0,0.0,5.35714,5.233,16.22995,0.0,0.0,128.0,26.32031,7e-05,0.31,1.457,-1.0,1.652671,0.8864404570913829,0.09830720695527237,90.39842504845049,0.07199494959843315,4.389069144065617,6.323302469135802,0.2862642090353249,0.07119649810432904,0.3787764705882352,0.06012066900026551,66068.09035083362,0.11660228157046616,0.1751436316086047,96.72599980045833,0.23228921872578356,61.76216860170718,0.09417778821427984,78.72671039865509,0.06413352396018684,523.6615967938345,0.06978437028442919,16420.276502985453
7,7,46.2094,18.6595,26,16.3088,0,118,113,11,137,11,1.00041,42.38309,0.0,0.0,4.75,5.214,16.00965,0.0,0.0,129.0,26.25373,8e-05,0.31,1.542,-1.0,1.632988,0.6907011711683324,0.0993275954481537,89.42363918770182,0.07264766418127061,4.3194072844358455,6.1301601080246915,0.28626420903532473,0.07183999521836777,0.37371586274509805,0.06334471220913353,66030.89959630778,0.11286335372770018,0.17505805274088695,96.74582325048956,0.23226677302606974,61.56893318082079,0.0918971532381691,77.6995310361548,0.06312331222963885,514.5219555169995,0.06898364775092752,16531.713569649266
8,8,46.7532,18.5736,26,18.1615,0,118,113,12,137,11,0.99817,42.87298,0.0,0.0,4.28571,5.203,16.01492,0.0,0.0,129.0,26.20557,5e-05,0.31,1.539,0.36613,1.656224,1.2117933774086989,0.10141417355007931,85.0329106419193,0.07216112996418318,4.537012778657749,6.021508487654321,0.2862642090353225,0.07219243088086255,0.36849490196078427,0.06592811610680543,66114.1654107863,0.10815531384665147,0.17462599636867665,96.63164780147441,0.2322049355704244,61.60851560992959,0.08994290639725942,76.9296546118151,0.06224958408026006,506.9107688456583,0.06894448070741911,17222.337022475127
9,9,46.5113,18.5589,26,18.0792,0,118,113,12,137,11,0.99702,42.64348,0.0,0.0,6.53571,5.212,15.93662,0.0,0.0,129.0,26.20187,4e-05,0.31,1.497,-1.0,1.714757,0.9720503839568937,0.10283705421794051,88.957799330904,0.07241381510490787,4.440916170410468,6.012924382716049,0.28020554201303366,0.0727495617918878,0.37247490196078437,0.06713646990451658,66179.24510495302,0.10505876080872605,0.17390978897355727,96.69531692943866,0.23202165583748066,61.50426812819493,0.08844721001625612,75.90372613406375,0.0622565617819307,500.7612912011736,0.06695130144737314,17181.8682367777
