,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blur,cubrow.1.0,contrast,saturation,fft,cubrow.0.6,cubrow.0.3,temporal,cubcol.1.0,uhdhdsim,cubrow.0.5,cubcol.0.6,cubcol.0.5,tone,cubrow.0,noise,blockiness,cubcol.0,movement,color_fulness,staticness,cubcol.0.3
0,100,47.4866,18.1854,28,0.0,0,117,114,12,138,14,0.99708,43.72823,0.0,0.0,4.5,5.384,0.0,0.0,0.0,123.0,27.86148,5e-05,0.31,1.614,0.0,1.500715,18020.22499036827,0.12932779680228457,87.2065083170428,62.21184228967738,66283.80011806227,0.08052051959532704,0.1786875493342891,0.0,0.09539288813150154,96.35592543702984,0.0850947119246408,0.1776154439560546,0.10282405916952238,0.430643137254902,0.23927757393410343,0.30059916912314455,1.0224083863491082,0.08089789364481045,0.0,84.68975316253598,623.4003027166311,0.09587566663165362
1,101,48.0053,18.4298,28,21.0549,0,117,113,12,138,14,0.99661,44.19655,0.0,0.0,6.46429,5.353,15.60294,0.0,0.0,124.0,27.99371,6e-05,0.31,1.484,-1.0,1.427144,18635.16026552641,0.10118472042950949,89.33585883155935,62.283945154260714,66418.77977058018,0.0750503204631164,0.17803239329283388,4.864917276453802,0.08056570119341223,96.29668206027745,0.0779300784360622,0.1399636306791076,0.07375237820460293,0.42940313725490203,0.23702229417641404,0.3005991691231478,1.0902998767351453,0.07861987650672787,10.69434799382716,84.82741415250047,610.8230414877696,0.09392808193023028
2,102,48.7752,18.7532,28,20.2314,0,117,114,12,138,14,1.00242,44.90501,0.0,0.0,7.10714,5.349,15.81284,0.0,0.0,124.0,28.18643,6e-05,0.31,1.49,-1.0,1.451182,19659.275103052056,0.09449162736299162,89.55238766289537,62.12611954300492,66658.06834649981,0.08229155982208726,0.18717945003017283,4.706156050439736,0.07813049176126546,96.20647108123997,0.08046814644187684,0.12090833004854681,0.0681884490162089,0.42785215686274514,0.23758626929430168,0.30444021010220085,1.1059319982001834,0.07820791719320147,9.248505015432098,85.38291546751401,600.0824070295888,0.0903496400890095
3,103,49.3834,18.9914,28,21.1386,0,117,114,11,138,14,0.99831,45.43135,0.0,0.0,6.17857,5.298,16.09549,0.0,0.0,124.0,28.30443,4e-05,0.31,1.44,-1.0,1.380216,20481.836733123786,0.09360129359809154,89.52089388620445,61.834657833899975,66822.64395790285,0.08633511309418127,0.19728840295079247,4.824033314722598,0.08341258962061499,96.11232584209687,0.08013058222769018,0.12274072931233601,0.06734488951388912,0.42721058823529406,0.23716539126897157,0.30444021010220684,0.9990582472007112,0.0782308163428743,8.348524305555555,85.64407776393097,589.8922020508166,0.08966329079625282
4,104,49.7428,19.0596,28,21.4508,0,117,114,11,138,14,0.99764,45.74979,0.0,0.0,3.85714,5.29,16.29897,0.0,0.0,125.0,28.42715,2e-05,0.31,1.468,-1.0,1.376643,20976.42062652392,0.09169630255436247,89.02902747107454,61.698911502037525,66990.25138690874,0.09009655390598971,0.2039264125586872,4.771745862645547,0.07787021094786713,96.06162848856044,0.08246108742937862,0.10977901228122977,0.06603987819608845,0.42808470588235303,0.2379181045726536,0.30059916912315265,1.3133371928289803,0.0786930835056192,7.9153163580246915,85.6053620061733,580.1743176618801,0.08970848072744043
5,105,49.9079,18.7746,28,21.9255,0,117,114,11,138,14,0.99747,45.888,0.0,0.0,4.92857,5.283,16.35905,0.0,0.0,126.0,28.34829,2e-05,0.31,1.6,-1.0,1.437958,21185.290207587383,0.09036731735887042,88.12466125191646,61.506041161807964,67074.02503034622,0.08856371594958701,0.2075103346203588,4.788914735794303,0.07513191055090046,96.03509996631627,0.08037445669490649,0.1030734985001311,0.06528087811517891,0.4271917647058824,0.23819569505178992,0.3005991691231475,1.4464907401648819,0.0790281211766225,7.35619212962963,85.39395685623799,571.2450949913423,0.09220469303088996
6,106,49.5968,19.2857,28,23.4753,0,118,114,11,138,14,1.00443,45.57412,0.0,0.0,4.85714,5.307,16.11276,0.0,0.0,126.0,28.28603,6e-05,0.31,1.508,-1.0,1.41569,20960.348821195592,0.09319877103591226,88.36356709451947,61.47346892180266,67088.08138162426,0.08731311320975979,0.20910039485227178,4.857361616130301,0.07469267310108121,96.05980651578191,0.0793210706888102,0.09836081249568228,0.06633012731327406,0.4275529999999998,0.23792070491942585,0.3005991691231476,0.8540001293623561,0.07927608108107732,6.8046875,85.12201961420014,563.2396117171076,0.09663633992150863
7,107,47.9383,20.065,27,23.7711,0,118,114,11,138,13,1.00039,44.01609,0.0,0.0,5.57143,5.365,16.5529,0.0,0.0,128.0,27.57694,7e-05,0.31,1.529,-1.0,1.520536,19420.470167665928,0.09265750816561594,88.206814265218,61.64497997142651,66801.19582914324,0.08676795768856134,0.20241009824175502,4.820737048479871,0.07455342407157037,96.31287574482826,0.07866204780406606,0.0945089840195748,0.06714108878565206,0.41465386274509797,0.23715529174366867,0.3005991691231433,1.388560669014881,0.0793607058439946,6.580632716049383,84.44076745674397,556.3116589929361,0.09575403874281012
8,108,46.6506,18.6086,26,19.5815,0,118,113,10,138,13,1.00129,42.79816,0.0,0.0,6.82143,5.355,17.21882,0.0,0.0,129.0,26.87953,5e-05,0.31,1.521,0.38889,1.518587,18271.47620650857,0.08886830714500399,86.15302109691234,61.83743851273148,66617.25547222687,0.08681487168753178,0.1973706798008846,4.697481810374182,0.07474617517186594,96.55818613148975,0.0777903968050119,0.09149834312500722,0.06777674335472762,0.40088235294117647,0.23691561556640797,0.3005991691231406,1.0666294930143883,0.07945117382801742,6.153356481481482,83.72784725108137,550.3902898688201,0.09419513659295949
9,109,46.3906,19.0437,26,18.4418,0,118,113,10,138,13,1.00142,42.54892,0.0,0.0,7.60714,5.342,15.96822,0.0,0.0,129.0,26.75549,5e-05,0.31,1.532,-1.0,1.537189,18248.924039723115,0.08605561395737339,84.81589713223666,61.7872774100598,66618.04875745525,0.08770981398598601,0.19175215112442925,4.697491101280016,0.07521963516157418,96.58822822831462,0.07728035405357454,0.08902133670473918,0.06873926488835774,0.40073764705882353,0.2366314712222144,0.30059916912314016,1.2007955845724174,0.0794624352405296,6.170476466049383,82.84756440235992,545.0235272088496,0.09369912631074896
