,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.3,cubcol.0.6,cubrow.0,blockiness,temporal,cubcol.0,cubrow.0.6,saturation,cubcol.1.0,movement,cubcol.0.3,cubrow.0.5,cubcol.0.5,blur,color_fulness,noise,contrast,fft,uhdhdsim,cubrow.1.0,staticness,tone
0,300,48.2452,18.7029,27,0.0,0,117,113,11,138,14,1.00115,44.33742,0.0,0.0,6.78571,5.239,0.0,0.0,0.0,121.0,26.64121,4e-05,0.31,1.496,0.0,1.63528,0.18150025979736414,0.09182988500392827,0.23387907209186584,0.7697169390891864,0.0,0.08101011186652073,0.11559675528967674,62.262059341242285,0.06644133175481699,0.0,0.09355992134708327,0.09856332716382102,0.0573441787602443,20414.775414761247,82.00541403947447,0.30059916912313456,90.39806169781056,67288.93440853176,96.27121305199425,0.07471004468581033,595.5375585892704,0.40596352941176467
1,301,48.2087,19.0392,27,21.6755,0,117,113,11,138,14,0.99872,44.2582,0.0,0.0,4.03571,5.261,16.05739,0.0,0.0,122.0,26.54904,7e-05,0.32,1.502,-1.0,1.604237,0.17762556660236445,0.07457791259554937,0.2321204369414438,1.339247365176859,4.734626987243381,0.07971878806928726,0.08886823677568771,62.205511022497106,0.0630341031920438,11.266927083333334,0.09113591344361045,0.08425828252256229,0.07780773182340195,20597.190596626595,82.16046518130736,0.29838154307991327,87.50403745817432,67181.2235046467,96.27303855878743,0.06745638337852267,580.102828457672,0.4017925490196077
2,302,48.1553,19.3811,27,21.5612,0,117,113,11,138,14,1.00022,44.18604,0.0,0.0,3.5,5.236,16.34994,0.0,0.0,123.0,26.52755,7e-05,0.31,1.593,-1.0,1.577136,0.18045304786969357,0.06732707097291175,0.23212052935933428,0.8518584737787644,4.862191976395956,0.07952102647030053,0.08696188535238676,61.86959273726852,0.06334346654763491,10.550250771604938,0.08839150136307379,0.08472245553239395,0.07913650846504282,20868.235821673283,82.06583204805129,0.2983815430799097,85.42390482382909,67296.44485337939,96.21198736495741,0.06594990443062242,566.5931755188927,0.39840039215686285
3,303,48.4765,19.4054,27,21.7534,0,117,113,11,138,14,0.99591,44.47865,0.0,0.0,2.92857,5.229,16.64338,0.0,0.0,124.0,26.65238,5e-05,0.31,1.519,-1.0,1.553643,0.18396686940512194,0.07320989168219035,0.23283915679073713,0.7417093948985244,4.803033602182418,0.07994679268223853,0.0855843954770271,61.58121820143712,0.06646031229664558,9.301601080246913,0.08699563015748808,0.08032359176421673,0.07348039072554331,21281.688214198904,81.82715503167351,0.29838154307991077,84.98250436098587,67309.72309382155,96.18136439634006,0.06557940504929391,554.7150082891496,0.3977815686274509
4,304,48.8369,19.5634,27,22.5065,0,118,113,11,138,13,0.99829,44.82013,0.0,0.0,5.57143,5.244,16.66039,0.0,0.0,124.0,26.8444,3e-05,0.31,1.566,-1.0,1.440426,0.18821169127176948,0.08068215269478128,0.23220271499505488,1.2560740208793013,4.921807037057717,0.08000421254465262,0.08503823142179447,61.39738633897569,0.06840355079987348,8.664834104938272,0.08541631605026921,0.07794464119914814,0.08154854467470243,21524.235652876865,81.81010233367506,0.2983815430799159,89.49496530847794,67031.84678356814,96.12002836883305,0.06568300740612414,544.321530198817,0.40202156862745086
5,305,49.0966,19.5837,27,22.1112,0,118,113,11,138,13,0.99779,45.05773,0.0,0.0,5.57143,5.192,16.79284,0.0,0.0,124.0,26.91272,5e-05,0.31,1.444,-1.0,1.488674,0.19215596616936448,0.08563841407477966,0.23211053774051132,1.0668109495736844,4.85829407463015,0.0801816988002552,0.08359406140387655,61.36299717279128,0.07050805402824752,8.116367669753087,0.0841545116673229,0.07586319045292389,0.09072899753014807,21908.88359771369,81.88426738996077,0.3005991691231398,88.60209935610071,67279.88619911742,96.1057418699088,0.06719126950569368,535.135920383215,0.4059898039215686
6,306,48.8897,19.1361,27,22.5318,0,118,113,11,138,13,0.99985,44.81612,0.0,0.0,4.14286,5.225,16.8138,0.0,0.0,124.0,26.80711,6e-05,0.31,1.455,-1.0,1.478811,0.19337571793024175,0.08123122658071906,0.2320359564239772,0.9533228832214221,4.836266869978777,0.07972136258862711,0.08344261376843629,61.199190116222994,0.07095218213683359,7.476514274691358,0.0821018783662707,0.07523066644719836,0.09032626028990587,21682.413949763108,82.10879491925817,0.2983815430799173,85.9527800116456,67228.85479307512,96.1922917150752,0.06867573433909219,527.3944305505088,0.40028588235294116
7,307,46.9146,18.6656,26,23.3678,0,118,113,11,137,13,1.00308,42.99689,0.0,0.0,2.5,5.225,16.42893,0.0,0.0,125.0,26.63647,4e-05,0.31,1.477,-1.0,1.534281,0.18816694342606158,0.0781760527459467,0.23166673863510315,0.9313176523735333,4.747871585628807,0.07943203658552224,0.08395157634409943,61.243035775643804,0.07108562181430825,6.900752314814815,0.08191244114583644,0.07422492533665503,0.08382935669048659,18940.906901200284,82.19994615996546,0.2983815430799121,86.42661446777687,66819.61507655558,96.49718113987652,0.06788362762022522,520.6884130810538,0.39554352941176474
8,308,45.6422,19.1216,25,21.7717,0,118,113,11,137,12,1.00222,41.78218,0.0,0.0,6.67857,5.326,16.02016,0.0,0.0,125.0,26.61437,3e-05,0.31,1.525,0.39378,1.630246,0.18295589932340317,0.07653460474925693,0.23189048290162445,1.1099659254736207,4.58971915901077,0.07904948023338249,0.08327934137140229,61.39909909095294,0.07127363697190019,6.674189814814815,0.07988945131623088,0.07345107086807273,0.08113561307803252,17745.79747955408,82.42193918182235,0.29616391703667927,88.08998837103042,66596.7801415418,96.67742937619809,0.06832037638287215,515.2464042852814,0.39566
9,309,44.8704,19.69,25,18.1023,0,118,113,10,138,12,1.00051,41.0943,0.0,0.0,6.35714,5.317,16.40664,0.0,0.0,125.0,26.74783,4e-05,0.31,1.608,-1.0,1.620266,0.17618367763139067,0.07523274124943506,0.23181135410277748,0.8725355666460191,4.575412804072972,0.07862118418323208,0.08299361893882234,61.404550434630586,0.07166581571308484,6.767023533950617,0.07779118984559694,0.07299686742493734,0.07959729646697389,16805.180249658224,82.69536297613021,0.29616391703667333,90.4867383404346,66326.80816607781,96.80602965193209,0.06701007773669637,510.7831498105069,0.39797176470588225
