,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,fft,staticness,blockiness,noise,cubcol.1.0,contrast,temporal,color_fulness,cubcol.0,blur,tone,saturation,cubrow.0.3,cubrow.0.6,uhdhdsim,cubcol.0.3,cubrow.0.5,cubrow.0,cubcol.0.6,movement,cubrow.1.0,cubcol.0.5
0,400,44.6526,20.774,26,0.0,0,118,113,11,137,12,0.99822,41.0475,0.0,0.0,5.60714,5.342,0.0,0.0,0.0,129.0,27.61726,3e-05,0.31,1.635,0.0,1.568285,65784.85147998756,570.1500811864361,1.0766015487269964,0.2901052500143889,0.07992923026086494,89.01532076551018,0.0,84.25574067915527,0.07615679948147559,15099.973749839033,0.4007196078431373,60.61130853346837,0.20081976934779205,0.07962880800286691,96.89730874592658,0.09525761783531199,0.0958121013478309,0.2097891978384761,0.05963523470573611,0.0,0.08565883911357969,0.05450254794877639
1,401,46.1862,19.599,27,21.186,0,119,113,12,137,12,0.99741,42.45872,0.0,0.0,4.75,5.355,17.8237,0.0,0.0,129.0,27.80674,4e-05,0.31,1.667,-1.0,1.598753,65996.74964106207,556.0780614184804,0.6304757345926885,0.29232287605761914,0.073726818549225,88.26982085268074,4.5625624854788756,83.05968717730848,0.07599030744439543,16643.54153124518,0.4049149019607843,60.69611010139371,0.1846197361004027,0.07967823969450549,96.69393267976339,0.09884976469360275,0.08213193950817156,0.21030640678872986,0.05989475938134348,10.089940200617283,0.07371185986946867,0.054576368808938173
2,402,46.8826,19.9392,27,18.4141,0,119,113,12,137,12,1.00278,43.0853,0.0,0.0,5.67857,5.268,16.81789,0.0,0.0,128.0,27.76887,5e-05,0.31,1.556,-1.0,1.615316,66072.3064625075,546.0904770674089,1.1534185402637878,0.29616391703667516,0.07394999755860013,87.2598549404461,4.388580700032709,82.3524809727052,0.075344974200166,17419.939780305434,0.40422317647058814,60.637672141746236,0.18393937824841936,0.0790436933666598,96.62175800858684,0.09280152881807768,0.08585171022900595,0.21008731204830963,0.06046966007513871,8.41893325617284,0.07126737228707448,0.05411554064183685
3,403,47.1988,19.5752,27,17.362,0,119,113,12,137,12,0.99625,43.38317,0.0,0.0,6.96429,5.257,17.1097,0.0,0.0,129.0,27.54564,3e-05,0.31,1.764,-1.0,1.528909,66108.8421583174,538.9424642109062,1.27404098379547,0.29838154307990933,0.07444293702196593,87.0426761533756,4.437916828217599,81.43988656222305,0.07511742014462915,17729.073517808298,0.3980661372549019,60.88893730257764,0.18308442965973226,0.07844425632221942,96.53211139587788,0.09137663474153335,0.0869868910226164,0.21002466446530937,0.06034599993229907,7.379581404320987,0.06767616220572689,0.052918549948162086
4,404,47.2733,18.6941,27,15.6902,0,119,113,12,137,12,0.99833,43.42949,0.0,0.0,4.25,5.269,16.79596,0.0,0.0,129.0,27.43391,5e-05,0.31,1.418,-1.0,1.610544,66141.00933890854,531.9844027574321,1.3258583048996775,0.2983815430799103,0.07437451168197194,87.49719253262566,4.362353451557642,80.9788847053087,0.0747273381914791,17878.759836912945,0.39262941176470584,61.04918209123022,0.18301460071457964,0.0800606681686244,96.49929856302514,0.09297723414109205,0.09132751201864285,0.21048617134259326,0.06095040274318618,7.026716820987654,0.06643941523602848,0.05250553628057413
5,405,47.2074,18.711,27,15.8953,0,119,113,12,137,12,0.99785,43.3491,0.0,0.0,7.0,5.241,16.03894,0.0,0.0,128.0,27.52127,6e-05,0.31,1.819,-1.0,1.565155,66132.85362964286,524.8251459190191,0.9746955359007916,0.29838154307991077,0.07473740866130983,88.96997499130788,4.337998605282643,81.47254417062807,0.07485646588191247,17791.948919206276,0.39343019607843144,61.09020167221257,0.18310911568665286,0.08263093075825671,96.52965108368676,0.09366598376817202,0.0928251049152111,0.21155644554394484,0.06124874197882809,6.761574074074074,0.06954102854345345,0.05005734013206628
6,406,47.3024,18.4977,27,17.2724,0,118,113,12,137,12,0.99648,43.46921,0.0,0.0,4.64286,5.268,16.06081,0.0,0.0,127.0,27.81796,7e-05,0.31,1.574,-1.0,1.594921,66052.9168740135,518.5631415991372,0.9819059853193101,0.2983815430799119,0.07515412477380724,85.39767454458918,4.317863344959025,82.90449935057802,0.07494938920716034,17735.234149613658,0.4034969411764706,61.108472847644194,0.18296813270900036,0.08228175208994906,96.55686804342227,0.09716387000423683,0.09537941346706352,0.21119456805268236,0.06135863920082818,6.266782407407407,0.06861716019587619,0.050610065533581154
7,407,47.6867,18.4152,28,18.5514,0,118,113,13,137,12,0.99851,43.85832,0.0,0.0,4.25,5.292,15.87661,0.0,0.0,128.0,28.13323,3e-05,0.31,1.599,-1.0,1.611834,66142.72111773664,513.3365584388828,1.0300299874592012,0.2983815430799113,0.07460599647409977,86.21557693313969,4.404343942435877,83.74573238570262,0.07528026380784879,17769.547518359857,0.4160294117647058,60.976500146182964,0.18349768967515528,0.0813658313276136,96.4997485695529,0.09852562981008792,0.09822785416822952,0.21075524506283266,0.06193303035191092,5.75757137345679,0.0686026677995735,0.05489147474628905
8,408,47.777,18.5719,28,18.5974,0,118,113,13,137,13,0.99944,43.97301,0.0,0.0,6.39286,5.373,15.80741,0.0,0.0,127.0,28.35908,3e-05,0.31,1.723,0.37474,1.640641,66082.233344963,508.9785516486733,0.8523536775264514,0.29838154307991,0.07413203710711035,86.28046523681965,4.361528421293743,84.78382970325927,0.07524375315030885,17593.390723204364,0.4252275882352907,60.82588553722994,0.18430117850426822,0.08125590080028289,96.43621943729129,0.09789463544144708,0.09934798194127657,0.20978555965118512,0.06210882227325281,5.7554494598765435,0.06767909609200626,0.05517290614039092
9,409,48.1322,19.0594,29,19.161,0,118,113,13,137,13,0.99881,44.31503,0.0,0.0,3.53571,5.449,15.94015,0.0,0.0,127.0,28.53,3e-05,0.31,1.747,-1.0,1.607018,66047.42403832286,504.98768408283854,1.3551035868854768,0.29838154307991377,0.07387610107901761,88.29781387533984,4.45574281855136,85.84699760025757,0.07530821963312516,17745.555937842408,0.4380226274509803,60.71679932394145,0.18428127454269924,0.0816057983963648,96.33055139020898,0.09813108478983402,0.10036005724742497,0.20924922120180206,0.06085092686988786,5.735532407407407,0.06799467070589275,0.060502805640418114
