,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blockiness,cubcol.0.6,cubcol.0.5,cubrow.0.5,uhdhdsim,fft,cubcol.0,noise,tone,color_fulness,staticness,contrast,saturation,cubcol.1.0,cubcol.0.3,temporal,blur,cubrow.0.6,cubrow.0,cubrow.1.0,movement,cubrow.0.3
0,100,68.1512,22.6161,44,0.0,0,121,118,11,135,16,0.9698,63.05995,0.0,0.0,0.28571,5.221,0.0,0.0,0.0,124.0,33.24929,0.00636,0.57,24.125,0.0,0.011587,1.5607439207080098,0.22400434221786342,0.24894605786625595,0.11458082847890318,82.64459126654432,74966.91918230375,0.07450721356016259,0.8097290798202262,0.5047439215686274,78.48187704845057,542.1471337714951,87.07581300732362,45.37037884747541,0.07419530276112775,0.4187441805262692,0.0,62799.295893220915,0.16338520405340168,0.046188009576696734,0.045616891069448974,0.0,0.048512491646424585
1,101,68.2052,22.5361,43,42.4261,0,121,118,11,135,17,0.97221,63.08001,0.0,0.0,0.21429,5.261,19.42942,0.0,0.0,125.0,33.00731,0.00606,0.57,20.464,-1.0,0.005324,2.3020131593896025,0.20109756391297762,0.21718580985013933,0.135763908140501,82.21717253651661,75011.89972082572,0.0644133188835015,0.812975909691894,0.5024839215686274,78.127698819997,526.7146483476201,85.78216785671101,45.26465145158179,0.06537083443562502,0.39676692955240933,6.6386197498909345,65512.51774238504,0.12172354398634493,0.03242284734520933,0.0356881291143036,16.514274691358025,0.03821882773283305
2,102,68.3366,22.1482,43,40.0246,0,121,118,11,135,17,0.97951,63.18281,0.0,0.0,0.64286,5.153,19.35768,0.0,0.0,125.0,32.8129,0.00654,0.59,22.716,-1.0,0.003628,1.6101080149425895,0.19638851460715265,0.20598332759183824,0.15363675455465947,81.97258318977603,73705.92407814566,0.06113989744970133,0.8113524947560583,0.5018345098039215,77.37603568048657,515.7255968774218,87.31102920191748,45.15475934817467,0.06372517906112321,0.39809071323791406,6.589176673029421,67789.12679618906,0.11132379080726508,0.028719973299372224,0.03295892530235138,13.89429012345679,0.039845354515895326
3,103,66.6558,21.9892,43,42.3539,0,121,118,11,135,16,0.9708,61.73625,0.0,0.0,0.53571,5.259,19.02019,0.0,0.0,125.0,32.65722,0.00712,0.58,23.434,-1.0,0.002469,3.084176342399558,0.1979456163503617,0.20526795309933513,0.15615576813090165,82.14935198413227,72430.50468096555,0.05523335434343986,0.8091348687128331,0.5028419607843136,77.51407104161169,506.7685328566462,84.56919309860574,45.16825471100984,0.07284834202390983,0.3791751229582434,6.545872060812267,63103.14856357647,0.0993744165702314,0.026859520739907265,0.03169375549574237,12.09519675925926,0.0386779500613814
4,104,64.6118,21.6,43,41.847,0,121,118,11,135,16,0.97094,59.98849,0.0,0.0,0.21429,5.394,18.87843,0.0,0.0,125.0,32.61534,0.00752,0.58,22.13,-1.0,0.004609,2.0121260571663084,0.20297110145774436,0.2078735923894646,0.15178766768198282,82.36984591221479,70739.00363543154,0.05386133047195047,0.8079464464980367,0.5020890588235294,77.97070267436717,498.831499660272,87.68862051673625,45.179444678035786,0.08259910878088136,0.3548146207847511,6.49080526464468,55814.177038169466,0.09819625213836357,0.02605136673271621,0.03099211833039908,10.66579861111111,0.0380791695950827
5,105,64.232,21.9244,43,39.9728,0,121,118,11,135,16,0.9566,59.68118,0.0,0.0,0.10714,5.387,18.54528,0.0,0.0,125.0,32.72892,0.00711,0.58,23.353,-1.0,0.003305,2.8342307069875208,0.20983884234167918,0.21166294459560003,0.1499018184217753,82.36959977215646,70320.10898187646,0.05496774062764817,0.8113524947560607,0.5013873725490194,78.69654152385603,491.5456986380231,84.18190795491485,44.85434336721161,0.08877671141562077,0.3388649880902702,6.441729078523137,54831.58775108888,0.09423913557265255,0.024954350734450195,0.030865775671949973,9.428385416666666,0.03915222669339216
6,106,64.3401,22.4886,43,42.2207,0,122,118,11,135,16,0.97249,59.78056,0.0,0.0,0.17857,5.464,18.82385,0.0,0.0,125.0,32.7962,0.00692,0.57,21.191,-1.0,0.00381,2.911713717472146,0.2161789121257094,0.21706907632649558,0.14584551630450757,82.31549459257009,70181.00795273448,0.05542787483008481,0.8151935357351211,0.5028705882352942,79.60281562575813,485.09923015714855,85.34707628986251,44.54303713198061,0.09316668931760075,0.3266330885504049,6.490654623939997,56233.96906653067,0.09095747284094137,0.0241500331589008,0.030690012159289824,9.01707175925926,0.03995602581957401
7,107,65.2135,22.4393,43,43.7327,0,122,118,11,135,17,0.96835,60.59599,0.0,0.0,0.14286,5.713,19.31153,0.0,0.0,125.0,33.13087,0.00747,0.57,18.6,-1.0,0.004361,2.786841257725132,0.2217644267840192,0.22166996660935612,0.14087059734792454,82.02677914275873,69460.95996449779,0.05733821528840931,0.815193535735122,0.5049443137254902,80.20227617954008,479.31861366695676,86.66113815985705,44.31644336088204,0.09615784516751587,0.31872370551497814,6.5170106113451105,60842.315149255795,0.09002013366574747,0.02400045652258382,0.03035965174666662,8.997492283950617,0.04187242591707998
8,108,65.4821,22.4652,43,40.4572,0,122,118,11,135,17,0.96986,60.84238,0.0,0.0,0.10714,5.822,19.26898,0.0,0.0,124.0,33.39975,0.00763,0.58,16.351,0.12526,0.015339,3.528502202896919,0.22526962809077414,0.22309476219790556,0.13358498102871708,82.0076971341681,68863.26517077786,0.05849511605100536,0.8113524947560582,0.5077980392156862,80.62363714301932,473.7874472174067,85.8517385030815,44.200749715169266,0.09618936504938398,0.3110168919505711,6.49857681426125,61202.27563851815,0.08912864519417583,0.023628977941838637,0.030264895542717683,8.271363811728396,0.043232742037226886
9,109,65.3808,22.4765,43,39.7566,0,122,118,11,135,17,0.95843,60.74807,0.0,0.0,0.07143,6.015,19.28955,0.0,0.0,125.0,33.41099,0.00785,0.59,12.638,-1.0,0.020346,1.6835447809999073,0.22526580787170994,0.22423992426628056,0.12940403037966475,82.04792999258228,68201.78915671118,0.06027257565824199,0.8129759096918906,0.5078874509803921,80.63620334750516,468.0305690477934,87.62682922065048,44.01553062156395,0.09686266151732144,0.3077733536472053,6.479234237569927,60608.06071683238,0.0889464099418835,0.023297384256968957,0.03013041390258512,7.540653935185185,0.0459327889756401
10,110,65.7603,22.6216,44,40.7904,0,122,118,11,135,16,0.963,61.08459,0.0,0.0,0.28571,6.124,19.29622,0.0,0.0,125.0,33.70176,0.00744,0.59,11.933,-1.0,0.020731,2.6844330251035147,0.22493766685018932,0.2246488403952228,0.1274209658606819,81.98060867625549,68343.72366694367,0.06024671062161077,0.8151935357351124,0.5106454901960784,81.43326218658852,462.0179696933962,86.81059673268535,43.690519733193476,0.09687897294562385,0.3087732482123262,6.454653210247442,61798.454423786105,0.08964536920377314,0.02300470733493866,0.030086441862745932,9.783082561728396,0.04420233202658598
