,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,fft,temporal,movement,cubcol.0.5,staticness,tone,cubcol.1.0,cubcol.0,cubrow.0.5,blur,blockiness,cubrow.0.6,cubrow.0.3,cubcol.0.3,color_fulness,uhdhdsim,cubrow.0,contrast,cubrow.1.0,noise,cubcol.0.6,saturation
0,400,80.9074,21.6484,55,0.0,0,118,119,13,134,17,0.95946,75.30868,0.0,0.0,3.46429,2.828,0.0,0.0,0.0,125.0,33.7184,0.00083,0.62,2.814,0.0,0.076441,76011.33204382533,0.0,0.0,0.2099816581498653,554.4881161380575,0.551244411764706,0.13608002366043914,0.05971939429931518,0.07255245200816104,76516.12108338668,1.911126892228588,0.12614075051283913,0.4709086386396268,0.11486060424705655,96.0382061751103,81.73550735197908,0.35298128085432295,89.41608179047913,0.3028541431841308,0.7534184432973832,0.1701095418279239,42.583228217230904
1,401,81.5411,21.6868,56,34.0291,0,118,119,14,134,18,0.9774,75.9049,0.0,0.0,2.82143,2.815,18.60279,0.0,0.0,125.0,33.87263,0.001,0.62,3.045,-1.0,0.080326,76010.76394012595,5.710016760874264,10.184992283950617,0.16924867264785032,546.472650103013,0.5533101960784315,0.10626671631002772,0.04820036640814028,0.06628049243652472,78905.08393735523,2.104047293625941,0.11923389007452692,0.43926634085469135,0.09014996965463311,95.92492975967738,81.69415881768282,0.33440178951214117,90.61754321322977,0.24779481885462784,0.753418443297395,0.13272425276095096,42.75719630865403
2,402,82.1444,21.577,56,34.3217,0,118,119,14,134,18,0.9602,76.46515,0.0,0.0,2.64286,2.82,18.63529,0.0,0.0,124.0,34.07373,0.00092,0.62,3.063,-1.0,0.084867,76207.77487250687,5.681720172882715,9.374614197530864,0.16043833524975432,539.5764643219466,0.5568921568627452,0.0993928319988688,0.04590307886357523,0.06503341552864003,81344.01273804833,2.1864189200524713,0.11021372949796465,0.4243451022018741,0.08392495491341409,95.83883971493619,81.63829721116953,0.3219635730725478,85.76712659494278,0.243996920497101,0.7578536953838535,0.1280600778577798,42.835848396207076
3,403,82.041,21.4798,56,35.3537,0,118,119,14,134,18,0.95441,76.34833,0.0,0.0,2.21429,2.841,18.54119,0.0,0.0,124.0,34.14436,0.00083,0.62,2.797,-1.0,0.09709,76761.75203792224,5.667186227996955,8.458236882716049,0.15284199944873939,533.7295546556373,0.5585964705882354,0.09427853338560072,0.04449279755092854,0.06303786190219862,81836.2452496094,2.0665144566663796,0.10315738459897562,0.41273037322100536,0.08058227501368276,95.58494835995201,81.65052145711833,0.3160377948702012,86.11690038262198,0.2459787564580432,0.7572594842764522,0.1329408909318299,43.00522811324508
4,404,81.7753,21.4955,56,34.3404,0,118,119,14,134,18,0.94215,76.13919,0.0,0.0,2.64286,2.81,18.45778,0.0,0.0,124.0,34.1055,0.00094,0.61,2.972,-1.0,0.100868,76270.70974958959,5.686514563818197,7.788532021604938,0.14565444937908822,528.6047002851651,0.5578517647058825,0.09265906614612426,0.04309298373580227,0.061601746885569894,81334.17271820718,2.74412376413837,0.109121141497217,0.4074899571100146,0.07943323947811025,95.12797370231671,81.5900322444471,0.31302291066154425,88.43652174243904,0.2330843814363803,0.7594771103196875,0.1382788919930252,43.09644270531925
5,405,82.4503,21.3687,56,34.2388,0,118,119,14,134,18,0.95109,76.76251,0.0,0.0,2.5,2.779,18.47166,0.0,0.0,124.0,34.10926,0.0011,0.62,3.113,-1.0,0.111725,76657.12670925552,5.690795141077015,7.418788580246914,0.13941049076866774,523.9687987224046,0.558358431372549,0.09030473436093904,0.0426941433076328,0.06071473165159312,82787.11046118522,2.438364751962704,0.11402657712489246,0.40592570539486494,0.0774836559709,94.88858736024675,81.48408795788308,0.30940155378271017,88.3231925301391,0.2192111669648671,0.7600713214270846,0.14369908796680336,43.17809776023582
6,406,81.9183,21.2935,56,33.3334,0,118,119,13,134,18,0.96698,76.23312,0.0,0.0,1.64286,2.792,18.36115,0.0,0.0,124.0,34.03263,0.00101,0.61,3.238,-1.0,0.097395,77130.08864522036,5.702897886424369,7.025511188271605,0.1358421554675114,519.9511258645737,0.5569368627450981,0.0913695843296581,0.04214011397217537,0.06292034320751344,82598.66158151992,2.5114996009318857,0.11188518132167831,0.409765350792499,0.07610069336141766,94.54698785490442,81.50545788156262,0.30621038546144647,87.55086144429801,0.21074586296251638,0.7594771103196872,0.14746203211942815,43.312085752133974
7,407,81.7812,21.005,55,32.141,0,118,119,13,134,18,0.95348,76.1096,0.0,0.0,2.89286,2.758,18.29368,0.0,0.0,124.0,33.94153,0.00094,0.62,3.063,-1.0,0.089217,77482.69755885722,5.739947068418926,6.922984182098766,0.12976420559378932,516.2677272909059,0.5546599999999999,0.0894476589410946,0.04130586609823635,0.06387022369102904,80746.38977101809,1.8528012310950996,0.11130490137898363,0.406260463380221,0.07532339921346655,94.31274459066961,81.43000495585015,0.3028977546181095,90.13807312767189,0.19998647704889133,0.7639123624061429,0.1476070072665915,43.38385311173804
8,408,82.5315,21.2522,56,34.2308,0,118,119,13,134,18,0.9675,76.84708,0.0,0.0,2.21429,2.734,18.04319,0.0,0.0,124.0,33.91909,0.00106,0.62,2.904,0.13657,0.098458,77466.20337827843,5.697631165686821,6.398967978395062,0.12307590635698483,512.9949950527704,0.5530082352941176,0.08814979773548359,0.04112726317892578,0.06501551914269497,82224.15152508648,2.019529779048578,0.1082743968506045,0.4030535324985064,0.075225530991278,94.10490525719369,81.30135462980368,0.30060999309097014,88.78214450345368,0.19468320936579794,0.7639123624061451,0.15207145268984415,43.45530531141493
9,409,81.9734,21.84,55,35.2801,0,118,119,13,134,18,0.9618,76.34083,0.0,0.0,1.60714,2.719,18.25855,0.0,0.0,124.0,33.78449,0.00098,0.62,3.231,-1.0,0.096177,76927.28176743643,5.686630676790792,6.1315586419753085,0.11851761219247846,509.73889845136443,0.5502176470588235,0.08660904571665343,0.04074985684268453,0.06715054066914619,80542.89666393978,2.301141489842905,0.1076780651936896,0.40277548293917725,0.0744464419068203,93.67466135041617,81.3543139783669,0.29704627465708394,88.44953377930011,0.19178177913727656,0.7677534033852057,0.15315486692792413,43.474720519266015
10,410,82.4251,21.6707,55,34.7243,0,118,119,13,134,18,0.9352,76.73367,0.0,0.0,1.39286,2.713,18.76452,0.0,0.0,124.0,33.77089,0.00103,0.62,3.378,-1.0,0.095063,76807.1503150046,5.717546422628102,8.253375771604938,0.11572542835798788,506.23135376872494,0.5482247058823528,0.08582076757098434,0.040754791780512785,0.06778793230510645,82286.10974319062,1.9380737750487482,0.10937232881041828,0.4006781131896984,0.07429330887315537,93.61973095852444,81.41864362227066,0.29357559377735193,88.85371771754764,0.18674351494576552,0.7699710294284344,0.15042134135173202,43.57522338113667
11,411,84.1721,21.9746,57,36.2789,0,118,119,13,134,18,0.94471,78.38068,0.0,0.0,2.57143,2.738,18.62046,0.0,0.0,124.0,33.91149,0.00101,0.62,3.32,-1.0,0.094956,77174.22579915597,5.640234613526956,9.052131558641975,0.11554166298318083,502.58859649462187,0.5499999999999999,0.08897543018496025,0.04125412480624852,0.06793379551819656,86819.86962210615,1.4824491527855157,0.11190163753532908,0.3993083797819682,0.07484509088476553,93.70889840715431,81.34980089544376,0.2920466717415267,88.20435741669039,0.1853211853751841,0.7760296964507329,0.14930688930318242,43.54837978033372
12,412,84.0111,22.3962,57,33.6412,0,118,119,13,134,18,0.96545,78.2476,0.0,0.0,2.39286,2.73,18.87941,0.0,0.0,124.0,33.99295,0.00088,0.62,2.898,-1.0,0.089311,76888.33218746776,5.604939910627854,8.099971064814815,0.11333193146444843,498.8491317470367,0.5488530784313725,0.0921151714625791,0.04135996302215763,0.07034618831959823,87552.50087543957,2.8390129416746013,0.11331908013956382,0.3959320703542191,0.07494612654025386,93.82320347024987,81.40954119406379,0.29130134165172067,92.04587948678844,0.18405926539533496,0.7738120704074968,0.14914490447741915,43.476563253520446
13,413,84.3389,22.4771,57,34.6863,0,118,119,13,134,18,0.94031,78.57502,0.0,0.0,3.96429,2.777,19.24358,0.0,0.0,124.0,34.04698,0.0009,0.6,3.474,-1.0,0.084406,77310.42173352369,5.630414332379949,7.409818672839506,0.1138650021009128,495.1609066224838,0.5489196078431372,0.0947423848415518,0.041389243118954706,0.07031883748215936,88697.74022342339,2.6130757839233443,0.11460170424528082,0.3936546237671525,0.07514739454761636,94.14590667979077,81.43053881684827,0.29126087940322487,88.17973184757163,0.18458534902179585,0.7760296964507324,0.1505685876050553,43.340172096535014
14,414,85.8672,22.9853,59,34.3123,0,117,119,14,134,19,0.94797,80.06571,0.0,0.0,2.96429,2.762,19.31377,0.0,0.0,124.0,34.27689,0.00098,0.6,3.325,-1.0,0.0749,77972.64945264802,5.601289548416103,7.138888888888889,0.11801797713198357,491.6238103058944,0.5538713725490196,0.09845821578919357,0.04207427665050826,0.07096551441422363,93077.37387167064,2.7432791859339534,0.11688924476358147,0.3904718877672009,0.075793404034634,94.31786312801069,81.37312402075024,0.2911995183716452,86.86162627521173,0.1849947461553654,0.7903646565385527,0.15354252801126672,43.32625834147135
15,415,86.0552,23.3569,59,32.8051,0,117,119,14,134,18,0.94414,80.2779,0.0,0.0,3.10714,2.778,19.75334,0.0,0.0,124.0,34.48664,0.00098,0.62,3.081,-1.0,0.077869,77650.07994749995,5.587282553929823,8.269241898148149,0.12198933480129005,488.2306569055959,0.5585658823529412,0.10462429505026401,0.04208351220220492,0.07274413012107411,93152.6639188376,2.780165291986058,0.11882449939903182,0.3879350266918308,0.07630599247748573,94.72458098493743,81.34673054122686,0.2912648496607618,88.69995613585564,0.18518493644511655,0.7881470304953254,0.15345142296086756,43.241776642975985
16,416,86.2725,23.3917,59,33.1769,0,117,119,14,133,18,0.93057,80.53433,0.0,0.0,2.75,2.793,20.06541,0.0,0.0,124.0,34.65713,0.00099,0.61,3.501,0.13336,0.070325,77582.84060452547,5.634983367450194,9.211130401234568,0.11998154380495872,484.99074279210555,0.5606325490196078,0.11148116402261007,0.042292384673604994,0.07323409418621597,92768.4232648697,2.448362228797894,0.11944460173347746,0.3850556674478789,0.07657884264515884,95.36022148849094,81.36822783984415,0.29122752644314925,88.68990514728235,0.18642072326169654,0.7925822825817809,0.15243498962603075,43.23607079776717
17,417,88.6175,23.6299,62,38.2798,0,117,119,14,133,19,0.93521,82.81026,0.0,0.0,5.67857,2.808,20.09325,0.0,0.0,124.0,34.84653,0.00128,0.61,4.083,-1.0,0.07514,78400.27181618595,5.567723148272798,9.138358410493828,0.11897315435098944,481.8884028836303,0.5625023529411766,0.11503660703232804,0.04312466940369683,0.07471800837859577,99312.08275381412,2.8853360711933895,0.12387013627363051,0.38231602672518855,0.07790180634549157,96.34937789446512,80.97213237587547,0.2921625832263785,89.00356508028341,0.1878604174321633,0.8228756176932431,0.1533275166743993,43.26953464084201
18,418,87.5984,24.2946,61,34.2859,0,117,119,14,133,19,0.92556,81.88378,0.0,0.0,4.0,2.858,20.29716,0.0,0.0,124.0,34.82407,0.00111,0.61,3.772,-1.0,0.073638,78253.64804555307,5.549993613401397,8.71850887345679,0.11805349868604859,478.88216889057867,0.5611156862745098,0.12069877621049184,0.04335466983466533,0.07690010251436077,96263.4674535854,1.7769469163200953,0.12944362112296412,0.3764441719361565,0.07868429232623775,97.01201824508114,81.27280783142086,0.2937293654747539,87.77252857964393,0.18809465737249945,0.8174111617783485,0.1512589739529515,43.15092430585696
19,419,87.245,24.4011,61,33.6197,0,117,119,15,133,19,0.93757,81.59315,0.0,0.0,4.89286,2.874,20.86626,0.0,0.0,124.0,34.93327,0.00111,0.61,3.87,-1.0,0.077482,77354.99268917406,5.645831496856337,8.537905092592593,0.11666165584223845,476.04760143068705,0.5608525490196079,0.12609506017317162,0.0436588921231916,0.07881935313399008,94537.15909577819,3.0636363010559786,0.13079471656252592,0.37138997412616137,0.07943177658594622,97.46428334932797,81.4435090802888,0.29621462577051305,89.52310506750287,0.1870018598298599,0.8174111617783472,0.14934460419713783,43.05747062777295
20,420,89.47,24.1793,64,38.2332,0,117,119,15,133,19,0.94197,83.70345,0.0,0.0,4.64286,2.857,20.95908,0.0,0.0,124.0,35.27874,0.0013,0.62,3.592,-1.0,0.071465,78392.5573526229,5.654256094232615,10.011284722222221,0.11630875791626213,473.4911028763173,0.5642980392156863,0.12717244695083416,0.044185125306552345,0.0818899968572272,101479.17284896626,3.2030531159393054,0.13234094347529732,0.36614331059886757,0.08019471496543212,97.92884202086137,81.09993989143123,0.2987279544987907,89.82961482910994,0.18571417439990548,0.8339637479094023,0.1486471858046736,43.10277397249952
21,421,88.826,24.4987,63,32.9291,0,117,119,15,133,19,0.93878,83.1134,0.0,0.0,5.60714,2.834,20.76984,0.0,0.0,124.0,35.3358,0.00119,0.61,3.627,-1.0,0.069068,78284.20256599106,5.66301149873679,10.336516203703704,0.11538833777430355,471.15843446507057,0.5640964705882354,0.1275731260140061,0.04475367530377069,0.08254279128257029,99785.07210045817,4.107324055629181,0.13567981264481446,0.361868513182421,0.08110106933395171,98.57014702820295,81.18296911855086,0.3010303185163598,87.75812966934036,0.1845428075496968,0.8317461218661651,0.14788475838260368,43.05546400282118
22,422,89.2031,24.0583,64,35.874,0,117,119,15,133,19,0.95212,83.49906,0.0,0.0,4.25,2.84,21.04215,0.0,0.0,124.0,35.49564,0.00126,0.59,3.194,-1.0,0.068398,78563.23900468869,5.753311887280673,10.407407407407407,0.11487131798885888,469.1229571332705,0.5656509803921568,0.12814193357964476,0.044879485260215055,0.08387553020992866,101545.26851919867,3.3559878261100495,0.14186775726404022,0.3572993977130653,0.08173019002312648,99.02287017588557,81.15669463355911,0.3030660063717258,90.20508219688313,0.18281526784295837,0.8438634559107597,0.14762638491897812,42.99474739734037
23,423,91.5787,24.2177,67,40.9816,0,116,119,16,133,20,0.95481,85.76464,0.0,0.0,5.64286,2.887,20.66414,0.0,0.0,124.0,35.82302,0.00177,0.61,3.378,-1.0,0.063798,79063.88579260024,5.717847797573313,10.212046682098766,0.11495772197499568,467.3702004927214,0.5686995686274509,0.1315455440945711,0.04563306915407135,0.08491578172720639,109528.08157094505,3.669837446438523,0.14702175508712045,0.35262292425474423,0.08330484427429222,99.90835133359558,80.54700152557498,0.30462765961886584,90.0201924144494,0.18096909802968444,0.8709099611505554,0.1488162379926023,43.16167252152054
