,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.3,cubcol.0.6,blockiness,cubrow.0.5,cubcol.1.0,cubcol.0.3,contrast,staticness,uhdhdsim,movement,cubcol.0,tone,cubrow.1.0,cubcol.0.5,cubrow.0.6,temporal,color_fulness,fft,saturation,noise,blur,cubrow.0
0,0,60.0389,22.2633,30,0.0,0,124,117,8,136,12,1.00688,54.55859,0.0,0.0,0.35714,7.579,0.0,0.0,0.0,119.0,30.59972,0.00322,0.43,12.976,0.0,0.245413,0.04006703980024245,0.26540736391165737,1.8966747426995247,0.17376793076053718,0.12770601552145416,0.18262383300043697,89.43796097734341,527.6699749899394,83.35919227545276,0.0,0.3268835933946565,0.4810074509803921,0.04692467661395339,0.19204043395930834,0.13474587413924616,0.0,72.82516260182734,70024.60656208236,45.01222718792197,0.4528192741742467,49955.66266572563,0.024103065535581635
1,1,59.7022,21.8941,30,32.541,0,124,117,8,135,12,0.99092,54.22435,0.0,0.0,0.67857,7.558,19.11248,0.0,0.0,122.0,30.67464,0.00378,0.42,10.309,-1.0,0.263718,0.03346450651921921,0.25412647050750786,1.727404374569388,0.12593840404293002,0.11943327712588793,0.1808328460456615,86.61263592897298,506.9931530188524,83.42143216892624,15.023051697530864,0.30240964948837584,0.478563137254902,0.04605158141683174,0.17667325324296662,0.08983908517867223,6.221775041284589,71.43137569704399,69511.73314240281,44.821398134584776,0.45281927417424295,49916.77923834824,0.01685953841852527
2,2,58.0283,22.1636,29,33.0744,0,124,117,8,136,12,0.96785,52.7267,0.0,0.0,0.21429,8.024,18.79825,0.0,0.0,121.0,30.79138,0.0033,0.41,13.405,-1.0,0.30645,0.031325608112970894,0.26205369441163706,1.2805320150640476,0.1172804251787113,0.11941686514704906,0.18321857954159276,87.4510473769428,491.8962528045568,83.6724131341734,13.141155478395062,0.25450475937583367,0.4769968627450981,0.04101499136453095,0.16756714433069994,0.07923973077056189,6.254238557626307,71.49672975212154,67175.60288923251,45.04545009283372,0.44676060715195726,45581.339791237966,0.015212328922560114
3,3,56.3051,21.6731,28,38.8934,0,124,117,8,136,12,0.98761,51.19527,0.0,0.0,0.25,8.482,19.03155,0.0,0.0,124.0,31.04193,0.00292,0.42,13.329,-1.0,0.278202,0.030654850004072677,0.27239827008630796,1.6074715602196366,0.10029445166666483,0.12246090165691417,0.1822529969565986,84.80248656818725,481.36770247345237,83.995043847563,12.070842978395062,0.2298735518721513,0.4787827450980392,0.03413698410872098,0.1690475526674507,0.07379998806315201,6.326735059846406,73.10743429620244,67827.47797769104,45.107865510163485,0.446760607151957,40951.14550690111,0.01420725725110347
4,4,55.3276,21.3579,28,36.4101,0,123,118,8,136,12,1.00122,50.34627,0.0,0.0,0.42857,8.228,18.60575,0.0,0.0,124.0,31.37085,0.00322,0.42,13.678,-1.0,0.26812,0.032120911452063354,0.27832470278258087,1.9982845660799609,0.09016982741481297,0.12148055314254934,0.18194488812780893,85.73046326821424,473.75218133763184,84.17430630945486,11.605758101851851,0.24207703440165435,0.4848807843137254,0.031894948275207766,0.1595241057839708,0.0689940811978291,6.376907054081068,74.6025529230236,66863.19150042266,45.26615755057629,0.44897823319517677,37228.25001938895,0.013677939735126137
5,5,55.1386,22.0024,28,38.0175,0,123,118,8,136,12,0.97235,50.15249,0.0,0.0,0.03571,8.31,18.32815,0.0,0.0,123.0,31.02537,0.00363,0.42,14.565,-1.0,0.267293,0.033381118357929736,0.27844913404465693,1.7692363618123204,0.08454801362031947,0.12054278702435561,0.18449525893783986,87.57427524847829,467.8473940186078,84.07913035660232,10.318721064814815,0.2635581924066811,0.48578654901960394,0.03026632477498513,0.15605450857284786,0.06560709217516522,6.3789716079031225,76.05131230576629,67583.40083190877,45.29235651463638,0.44897823319518215,37406.37813993126,0.013203755367935327
6,6,55.2629,22.4389,28,37.7811,0,123,118,8,136,12,0.97424,50.31629,0.0,0.0,0.07143,8.074,18.88893,0.0,0.0,125.0,30.93002,0.00364,0.41,15.009,-1.0,0.267483,0.03490886614899694,0.2750850013409408,1.9610102058779861,0.08064890133248734,0.11988286959382956,0.18680863381132312,89.57184978690123,461.53759544825795,84.08837177794507,10.241174768518519,0.26459556603532497,0.48703215686274504,0.02829322766046523,0.1564147193305634,0.06389864159503479,6.4572313252355205,77.51086959722839,67531.59104188645,45.127801400643804,0.4528192741742399,36821.85805240842,0.012958362341982645
7,7,55.6564,22.0771,28,37.4036,0,124,118,8,136,12,0.95404,50.69661,0.0,0.0,0.60714,8.249,19.26649,0.0,0.0,122.0,30.5966,0.00323,0.42,15.113,-1.0,0.251928,0.034226392347599485,0.2610372395897116,1.8441269605941306,0.077366995718017,0.11832365501416424,0.1887232056196751,88.60777589685256,455.45392809517585,84.081145128564,9.640576774691358,0.26790246798330203,0.4837815294117646,0.026691776687697982,0.1573750975059668,0.06369458288727768,6.497947404623327,78.13759543320316,68042.27532323705,44.982960265359765,0.45281927417424356,37651.647418182714,0.012673684164674756
8,8,56.3267,22.6572,28,35.3599,0,124,118,8,136,12,0.9673,51.24764,0.0,0.0,0.46429,8.468,18.95815,0.0,0.0,122.0,30.60924,0.00346,0.41,14.933,0.13182,0.25105,0.032669379938246125,0.2535006956722525,2.1223271243466053,0.0755266380953271,0.11747771021408039,0.1918877771738932,88.07082987087803,450.00711302351334,83.87035773514859,8.51195987654321,0.25179662480586373,0.4802882745098038,0.02535072600786963,0.1649969717930074,0.06212322728029169,6.503884995107016,77.75577740855144,67029.67246808509,44.86343609845197,0.4489782331951815,40595.07373464985,0.012513085298889046
9,9,56.603,23.0386,28,37.3248,0,123,118,8,136,12,0.96682,51.48357,0.0,0.0,0.21429,8.607,19.4545,0.0,0.0,124.0,30.97519,0.00346,0.42,12.492,-1.0,0.241126,0.03188637158927159,0.24272815304387557,3.704217009269526,0.07391777244293377,0.1171495699723127,0.1925199861609856,87.80246419845503,445.0168906058396,83.75555447626566,8.12717013888889,0.240959125867388,0.48383215686274506,0.024282713699188385,0.1669041709939836,0.061344527220258425,6.5149522719441215,77.68677084326214,66320.2368727745,44.817730750566646,0.4489782331951835,42063.37366539095,0.012420733885662744
