,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,staticness,uhdhdsim,cubrow.0.6,blockiness,cubcol.0.6,color_fulness,saturation,contrast,cubcol.0.3,cubrow.1.0,cubrow.0.3,cubcol.0,temporal,noise,tone,blur,cubcol.0.5,cubrow.0,cubcol.1.0,movement,fft,cubrow.0.5
0,300,70.6456,23.2529,48,0.0,0,120,119,12,133,14,0.98865,65.69109,0.0,0.0,0.57143,4.167,0.0,0.0,0.0,119.0,34.27753,0.00091,0.48,7.005,0.0,0.226084,446.6076478662203,84.08647862143499,0.39534282824038486,5.261326499893408,0.2709761525931844,79.48151326993383,42.1431630452474,87.71587309741408,0.13955340369200558,0.07628082357659935,0.04663840774908553,0.05455205860375871,0.0,0.5349879937220895,0.4996129411764706,49245.33361436442,0.31869601910657924,0.23972028308788568,0.14302886053741953,0.0,75292.8074635581,0.19594376369525945
1,301,77.2876,22.6672,52,46.0706,0,120,119,12,133,14,0.95822,71.91954,0.0,0.0,1.53571,3.633,19.95811,0.0,0.0,122.0,34.5594,0.00163,0.47,6.448,-1.0,0.21122,440.08657527142026,82.52421121115405,0.2824521167781472,5.376926197096324,0.22455036652143448,80.20539708721405,42.12944332169898,85.77413819368864,0.11229842359114643,0.06542815935181653,0.03989753162704412,0.04903479411220257,5.426226132511643,0.5454819128308462,0.5019705882352941,62079.72817425764,0.24984499002167052,0.20980794385294196,0.1301944358469672,9.849778163580247,75783.6598074481,0.16026693039143142
2,302,83.8914,21.3621,56,44.3062,0,120,119,13,133,15,0.92194,78.00189,0.0,0.0,3.53571,3.164,19.45828,0.0,0.0,115.0,34.90388,0.00226,0.45,6.83,-1.0,0.197698,435.09697269513146,81.12446438374384,0.24955889622347036,6.7611951337510705,0.21299024570608527,80.8893276427669,42.20547146267361,89.10118929149752,0.1165274644294785,0.0632385483471481,0.04178010861481953,0.050383092430282876,5.237800714723737,0.5620344989618965,0.5059840196078429,78968.5249010452,0.24889769218367847,0.20366421752289202,0.12998461040589665,7.831404320987654,77125.80756216658,0.1597471905251445
3,303,88.1654,19.7603,59,38.0305,0,120,119,13,133,15,0.99274,81.91387,0.0,0.0,1.35714,2.929,18.33961,0.0,0.0,115.0,35.1245,0.00233,0.46,7.029,-1.0,0.179768,430.94759049642823,80.15015097849329,0.22567822746449714,6.876136214896344,0.2188794183638125,81.63121195536078,42.177340660566166,84.94838217436418,0.13117149054954758,0.061971082498841486,0.044418351795844906,0.050436267531110655,5.059851733913479,0.572528418070655,0.508864705882353,89008.37455673087,0.2565891547931198,0.20542070593122472,0.13227335675457144,6.009548611111111,78861.75332817923,0.1624209110919813
4,304,90.2147,18.452,61,33.8321,0,120,119,13,133,16,0.95858,83.83532,0.0,0.0,2.07143,2.825,16.96693,0.0,0.0,115.0,35.29106,0.0027,0.46,7.662,-1.0,0.199993,427.81950986655704,79.61551863493992,0.21485569228028362,7.47299031179733,0.2204568693863202,81.85113845776237,42.24677474410446,83.38817063883175,0.14434275066292776,0.0613764367436147,0.04481273734378051,0.051550527312253965,4.942907145665264,0.5846457521152361,0.5133294901960783,93432.82001168017,0.2647112051957353,0.20786688682115703,0.1392039691596863,5.164110725308642,79618.21781394082,0.16930533130448103
5,305,91.25,18.1795,62,30.863,0,120,119,13,133,16,1.00837,84.82865,0.0,0.0,1.39286,2.715,15.84475,0.0,0.0,115.0,35.43639,0.0034,0.47,7.981,-1.0,0.208065,425.4233970227104,79.28199567280151,0.20683456997194502,7.202884941896449,0.22464153561307723,82.53043440230442,42.16769183123553,87.60287053525546,0.15771771081761285,0.061451763346216104,0.04453386081487464,0.052004731816522834,4.850332345508163,0.5884867930943035,0.5183950392156849,97561.45129369273,0.2737093029256167,0.2101409164589736,0.14036249278118962,4.626060956790123,79479.54057650628,0.17111932568371133
6,306,91.0541,18.6006,62,28.8535,0,120,119,13,133,16,1.01477,84.68395,0.0,0.0,1.60714,2.71,15.61098,0.0,0.0,115.0,35.55308,0.00362,0.46,8.141,-1.0,0.200293,423.3197170921637,79.25850286919092,0.2031423427703014,7.1143696865705826,0.22978317652371638,83.65806837281377,42.11121547369309,87.22846446642181,0.16204084217282802,0.06073787013319344,0.044543380735963076,0.05256434145940033,4.69538989630171,0.5884867930943027,0.5192709803921569,96513.89585954938,0.27988624499818265,0.21059396825503876,0.1464512808737182,4.518952546296297,79267.54308659375,0.17195098252307917
7,307,90.2614,19.6686,61,28.6308,0,119,119,13,133,16,1.00651,84.00825,0.0,0.0,2.32143,2.709,15.97551,0.0,0.0,115.0,35.73079,0.00371,0.46,8.193,-1.0,0.199777,421.34265019952704,79.27738170352,0.20667324951140315,7.067665637113286,0.23302759334882764,84.04779933456282,42.12925324616609,88.70358390978427,0.16440916994708515,0.060325074502333625,0.04499542417410305,0.05361826440796704,4.542609572666472,0.5929220451807605,0.5243334705882318,92667.69323674862,0.29060666136930713,0.20872163698212903,0.15420005436439208,4.692515432098766,78893.15405628172,0.17391932958464687
8,308,89.5863,20.0853,61,27.3084,0,119,119,13,133,16,1.0281,83.39972,0.0,0.0,3.0,2.718,16.89129,0.0,0.0,115.0,35.78856,0.00367,0.47,8.173,0.1457,0.206194,419.48721895323735,79.25070183772343,0.2111304423344406,6.39938092769801,0.23642987810758284,84.58369882592405,42.21263423966773,87.17552473263791,0.17098448664394797,0.05983009738642549,0.04587028850680784,0.05406831947841074,4.5365484844198205,0.5929220451807619,0.5268556862745098,90871.27326516225,0.30311377869204315,0.2058797198707442,0.15857911185165657,5.030189043209877,78527.86442583801,0.17483175439686816
9,309,89.5299,20.3718,61,29.2158,0,119,119,13,133,16,1.01854,83.33105,0.0,0.0,3.35714,2.699,17.25057,0.0,0.0,116.0,35.79578,0.00366,0.47,7.848,-1.0,0.197293,417.7160220593043,79.24969425348598,0.20967101869924656,6.6572030325473746,0.24202388710235007,84.98390977345609,42.315344916449654,85.18848632584718,0.1759317530693589,0.05991269582635276,0.046577640204998084,0.055154490506867465,4.5590355173272155,0.5989807122030534,0.5238758627450973,91819.72511188919,0.3150853034563299,0.2053657558832639,0.16210668360489497,5.1429880401234565,78542.24766727696,0.17565544032900668
