,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.5,cubcol.0.6,color_fulness,cubrow.1.0,tone,movement,fft,temporal,cubrow.0,cubcol.0,cubrow.0.5,saturation,blur,cubrow.0.6,contrast,cubcol.1.0,blockiness,staticness,cubrow.0.3,noise,cubcol.0.3,uhdhdsim
0,400,78.6544,20.9483,49,0.0,0,118,119,12,134,16,0.96845,72.17975,0.0,0.0,2.5,2.938,0.0,0.0,0.0,125.0,33.48752,0.00028,0.47,3.056,0.0,0.669004,0.19940152317289372,0.16520253837063972,95.69130410144759,0.28298009240577604,0.5483725490196079,0.0,76778.12591907188,0.0,0.3418849158830761,0.05385971825521717,0.058313595340259525,42.41342389142071,74657.05220349632,0.11619904699439111,88.94107175524553,0.12367859356530916,1.7437825424937639,552.6327816728373,0.4465824177654568,0.4859244464363422,0.11254598837268287,82.10126557598002
1,401,79.3132,20.9903,49,33.3568,0,118,119,12,134,16,0.98858,72.78552,0.0,0.0,3.5,2.924,17.98641,0.0,0.0,125.0,33.64143,0.00034,0.46,3.016,-1.0,0.636998,0.16331100123028588,0.1267990733271487,95.43566069150097,0.22896633517412268,0.5511113725490197,9.670283564814815,76883.70685587189,5.394433880558562,0.32392091058535344,0.04407880235485278,0.05411292119078272,42.59029379008729,77080.27756581869,0.10950325435025972,91.16467414032853,0.098459351263699,2.1954308748783955,545.2516059653209,0.4212692942183067,0.4859244464363431,0.0888634583622289,82.04409734375875
2,402,79.9151,20.878,50,33.9641,0,118,119,12,134,16,0.96979,73.33324,0.0,0.0,2.64286,2.938,18.02227,0.0,0.0,124.0,33.84198,0.00035,0.48,3.109,-1.0,0.626514,0.1545342322371464,0.12170761814264211,95.26741616431784,0.22739196288581073,0.5542199999999999,8.993489583333334,77011.23666231328,5.357867305085035,0.31275743258402033,0.042343738319562105,0.053353983631726554,42.65961296175733,79433.16880318683,0.10078299892352183,85.89024581471898,0.09263374231406345,2.128226915513475,538.6562473824728,0.4079271797399071,0.4881420724795737,0.08210023423928578,81.9767201005354
3,403,79.8008,20.782,50,34.9619,0,118,119,12,134,16,0.9591,73.20997,0.0,0.0,3.17857,2.975,17.926,0.0,0.0,124.0,33.91391,0.00037,0.47,2.865,-1.0,0.633566,0.14830701915237093,0.12638686599865745,95.08272669205714,0.23157347487908125,0.555716862745098,8.158275462962964,77459.68843009912,5.337350510743794,0.3069207053261493,0.0410560065541616,0.05182416361765324,42.83121047785253,79881.01416809075,0.0944431565670662,91.0372214722247,0.08834184399397442,1.9557372128003347,533.0143348963477,0.39690806699407444,0.48814207247957336,0.07862152044182434,81.99677183580212
4,404,79.507,20.8081,50,33.5219,0,118,119,12,134,16,0.94084,72.96606,0.0,0.0,3.64286,2.944,17.84376,0.0,0.0,124.0,33.8718,0.00036,0.47,3.25,-1.0,0.650812,0.14130169074956453,0.13187628222528544,94.59279692352374,0.21840605765032334,0.5560659411764703,7.5570505401234565,76966.00068050958,5.357948912083418,0.3039636620412651,0.039907987399371174,0.051286529267433,42.91858211564429,79280.77249502364,0.10029795647483071,90.51512564353776,0.08688283101282075,2.1189086125736867,528.021479225617,0.39225587545228785,0.48814207247957525,0.07795706917389439,81.93438396024719
5,405,80.1845,20.6775,50,33.5534,0,118,119,12,134,16,0.95616,73.59284,0.0,0.0,2.89286,2.89,17.86504,0.0,0.0,124.0,33.87619,0.00043,0.48,3.325,-1.0,0.640801,0.13502704032470858,0.13737039754956243,94.29101999109461,0.2055483866488999,0.5564239215686275,7.222993827160494,77380.99143780353,5.364433894598428,0.30040469122950153,0.039435084188486395,0.0505002355219007,42.99162424346547,80607.14418608288,0.10568468682712097,87.74774170736859,0.08501082033453125,2.176180193005438,523.4897675288997,0.3914490343711746,0.4919831134586395,0.07620002402100995,81.83554343290042
6,406,79.6865,20.6114,49,32.9745,0,118,119,12,134,16,0.97408,73.09519,0.0,0.0,2.57143,2.903,17.75408,0.0,0.0,124.0,33.80236,0.00042,0.46,3.463,-1.0,0.600184,0.13149069997592902,0.1422336621755809,94.0735678537045,0.19695097834372458,0.5538415686274509,6.851466049382716,77846.20835387241,5.377383611109478,0.2976701890988299,0.03904895376779093,0.05307444373021919,43.13399722252363,80537.79274228387,0.10338925440481346,86.43247016432294,0.08582095238439125,1.159692383540971,519.5352518276967,0.39556944641652014,0.48976548741540515,0.07522591218017774,81.85135052318687
7,407,79.5018,20.3387,49,31.9795,0,118,119,12,134,16,0.95386,72.94375,0.0,0.0,3.03571,2.859,17.69466,0.0,0.0,124.0,33.7112,0.00025,0.46,3.201,-1.0,0.599299,0.12495604256443757,0.1416770619846516,93.80254962707684,0.18608212017860765,0.5518921568627451,6.753761574074074,78125.24672062544,5.422088765932198,0.2942925776103064,0.03834624088847747,0.05431573652872951,43.20258887020158,78487.34251094914,0.10235617916948365,88.06276041119551,0.08436089911667675,1.1127193425665487,515.918074352918,0.39217692517351505,0.49138890235123495,0.0745065155044456,81.777554184715
8,408,80.2617,20.6082,50,33.8062,0,118,119,12,134,16,0.97477,73.66236,0.0,0.0,2.39286,2.848,17.45966,0.0,0.0,124.0,33.68779,0.00049,0.46,3.156,0.18596,0.587003,0.11824275051498999,0.14649403507649406,93.52652024427489,0.18054179621386962,0.5491086274509803,6.235339506172839,78197.10649761652,5.380206320288127,0.29200038317094357,0.03831614523881893,0.055686147343763856,43.271854730299964,79977.38404101234,0.09924144915856327,88.46855511764882,0.0831737804996857,1.3737290402078806,512.6867108105199,0.3889165966761937,0.491983113458637,0.07440295173410139,81.65004522001539
9,409,79.7069,21.2052,49,34.8533,0,118,119,11,134,16,0.97593,73.16533,0.0,0.0,2.32143,2.852,17.69262,0.0,0.0,124.0,33.55239,0.00041,0.46,3.384,-1.0,0.5683,0.11361553126292133,0.14705620898092492,93.16496544190908,0.17786110946351844,0.5462129411764707,5.974344135802469,77628.29003819026,5.363592725870631,0.28872878302729643,0.037905842474593936,0.05789141405167671,43.29264247564622,78286.71790075922,0.09873908160039789,91.20314336566183,0.0814707578277951,1.9060675726609142,509.46867398490315,0.38860279212150245,0.49257732456602765,0.07363465223662859,81.71022577401638
