,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.5,cubrow.0.5,blur,tone,cubcol.0.6,fft,cubcol.1.0,cubrow.1.0,color_fulness,cubrow.0.3,saturation,cubrow.0.6,cubcol.0,staticness,cubcol.0.3,noise,movement,cubrow.0,temporal,blockiness,contrast,uhdhdsim
0,0,57.6125,21.8912,27,0.0,0,124,117,8,136,11,1.01525,52.17554,0.0,0.0,0.14286,8.625,0.0,0.0,0.0,119.0,30.42766,0.00288,0.39,12.263,0.0,0.330571,0.17531260453716754,0.17056140096677821,47895.86790080052,0.47855607843137254,0.2527484467226949,70745.94176087482,0.11450182604076678,0.04271749925121834,72.35522012725092,0.03805844369119772,44.94515482584636,0.12720321391635714,0.3184601283267765,526.5134191333885,0.17199419807949345,0.38498551471421183,0.0,0.023160102718896212,0.0,1.7189170523787471,84.56027898330407,83.78545946317425
1,1,57.2846,21.5164,27,30.2964,0,124,117,8,136,11,0.99665,51.84426,0.0,0.0,0.39286,8.869,18.7902,0.0,0.0,122.0,30.50366,0.00316,0.38,9.941,-1.0,0.352633,0.16254056654074078,0.12360063701595307,47877.67626168812,0.47626274509803923,0.2423175193334862,70241.05309760878,0.10908582367203067,0.0431360331947815,70.9925549486773,0.031966233808641414,44.75893449194637,0.08503308470175078,0.2958387611089844,506.1800295360895,0.1718484263768758,0.3789268476919246,14.865837191358025,0.01624173498052048,6.165247949499403,1.3574813165081026,87.20140046210811,83.86121829492726
2,2,55.5393,21.7818,26,30.8849,0,124,117,7,136,11,0.97351,50.29788,0.0,0.0,0.17857,9.283,18.47256,0.0,0.0,121.0,30.62287,0.00277,0.39,13.115,-1.0,0.398436,0.15455219793517458,0.11418329117453249,43579.619706092606,0.47428078431372556,0.2498468363790619,67451.52327095022,0.10950929563779822,0.037236419084740624,70.99895583494613,0.02982861293986949,44.9879578013479,0.07475880919368513,0.24676188497200394,491.24155031723956,0.17473887766068258,0.3744915956054651,13.039689429012345,0.014632335090643442,6.197263595118964,1.2752698820363948,86.66778868598301,84.11631082502336
3,3,53.799,21.2794,25,36.4337,0,124,117,8,136,11,0.99878,48.77116,0.0,0.0,0.17857,10.31,18.70259,0.0,0.0,124.0,30.87853,0.00269,0.39,13.828,-1.0,0.366696,0.15697996718043114,0.09749082696313748,38898.42738823472,0.47495137254901965,0.26001051067522707,68164.7945843735,0.1121972105657389,0.03143801260178128,72.63926409378467,0.029113493722929193,45.047914293077255,0.06933883449355228,0.221775146652002,480.8115726731408,0.17431707589326956,0.37611501054129803,11.971836419753087,0.01368220218971235,6.269573952739397,1.2746341525787237,85.87998581241428,84.44021015408644
4,4,52.7774,20.9905,25,33.9187,0,123,118,7,136,11,1.01145,47.88411,0.0,0.0,0.0,10.109,18.26668,0.0,0.0,124.0,31.20948,0.00279,0.39,13.952,-1.0,0.362495,0.14762849551732507,0.08739760288767383,35198.175475422024,0.48150588235294123,0.26601828755875734,66965.77888930526,0.11063371601411731,0.02951994928870561,74.17597575373848,0.03014735272259986,45.20662020459587,0.06474237007009119,0.23330885338543225,473.25706600870467,0.1738903504073702,0.37449159560546535,11.504050925925926,0.013162323003064337,6.321906813208087,1.9416693125092561,85.48861104776134,84.65589168454858
5,5,52.574,21.6353,25,35.3842,0,123,118,7,136,11,0.9797,47.67731,0.0,0.0,0.0,10.129,18.01094,0.0,0.0,123.0,30.8622,0.00308,0.39,14.67,-1.0,0.36721,0.14427841419624962,0.08182402150819748,35272.648381292835,0.4813313725490196,0.2657336446470788,67626.15474297179,0.10993711321786614,0.02813450190085103,75.59265989948832,0.031630011597426295,45.237803518036266,0.06144566319827616,0.2555205368392148,467.39499129737976,0.17643692338842346,0.37449159560546613,10.230999228395062,0.012726964842916686,6.328250871963613,1.4481463417653424,88.0933344522088,84.56373525368429
6,6,52.6831,22.0524,25,35.0901,0,123,118,7,136,11,0.97997,47.82846,0.0,0.0,0.03571,9.853,18.57281,0.0,0.0,125.0,30.76417,0.00324,0.38,15.673,-1.0,0.356621,0.144749023593261,0.07810705353981753,34722.202878341464,0.4831113725490196,0.26181414581076556,67571.65174927644,0.10934693214332204,0.026331326330616165,77.07368243253268,0.03264136125506194,45.07333355185426,0.05976009603306072,0.25557670680397027,461.1261650819974,0.17820571009878644,0.3767092216487015,10.153838734567902,0.012467344401722147,6.408698894576632,1.343803733247953,89.24875414412084,84.57708133596908
7,7,53.0896,21.6815,25,34.7509,0,124,118,7,136,11,0.95768,48.21903,0.0,0.0,0.5,10.063,18.9335,0.0,0.0,122.0,30.42673,0.00288,0.38,14.647,-1.0,0.350928,0.146132806611266,0.07483035443283037,35498.62910457188,0.4796793529411759,0.2483777781227448,68239.02863603037,0.10771456977703983,0.024891008668142263,77.79002116031735,0.03217456809735443,44.92569195782697,0.05939548985882983,0.2590518106217064,455.0822967025734,0.17977526584399886,0.3789268476919198,9.571614583333334,0.012208549793736524,6.448196881563508,1.6807066201436842,88.55935141895813,84.5564825047037
8,8,53.7927,22.2661,25,32.3037,0,124,118,7,136,11,0.97242,48.80107,0.0,0.0,0.42857,10.22,18.61824,0.0,0.0,122.0,30.44039,0.00302,0.38,16.234,0.13169,0.352945,0.1545471420449574,0.07283205590809753,38380.923433858894,0.47625490196078424,0.24074105295404155,67262.56107054658,0.10682806151433862,0.023655072474121568,77.4163507679704,0.03047813165738147,44.80418791594329,0.05785722875303744,0.2427377880572038,449.6698211171746,0.18295399681465604,0.3767092216486984,8.430073302469136,0.012062839963535856,6.455355458925577,1.8473929481697264,88.10460393508694,84.3248866798872
9,9,54.0926,22.6355,25,34.5291,0,123,118,7,136,11,0.9752,49.05849,0.0,0.0,0.14286,10.731,19.11822,0.0,0.0,124.0,30.80811,0.00314,0.38,12.817,-1.0,0.338632,0.15708677582170538,0.0711770768905651,39847.076628238814,0.479901568627451,0.23013473530114611,66296.31887532231,0.10658959045155313,0.0226730025582996,77.18207246307827,0.02972677919933237,44.75498472614053,0.056948872179399715,0.23218070692554013,444.69885819974826,0.18372018180427135,0.3767092216486941,8.043258101851851,0.011947785666438093,6.465172329768235,3.4824946145653577,87.95771770186447,84.18471479151053
