,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,contrast,fft,blur,blockiness,tone,cubcol.0.5,cubcol.1.0,color_fulness,movement,cubrow.0.5,cubrow.0.3,cubcol.0,saturation,cubcol.0.6,temporal,cubrow.0,staticness,cubcol.0.3,uhdhdsim,noise,cubrow.1.0,cubrow.0.6
0,100,64.0991,21.5591,33,0.0,0,121,118,9,135,13,0.98629,58.23297,0.0,0.0,0.10714,6.037,0.0,0.0,0.0,124.0,32.86914,0.00362,0.39,29.183,0.0,0.188365,88.2213458762747,76972.43300878986,58631.619577481964,1.5914628527494818,0.496575294117647,0.21820285319116398,0.04766226343590962,76.81764315683557,0.0,0.09869743950450184,0.04230222659191007,0.05095707554576234,45.17915513780382,0.20325113269474815,0.0,0.03294057765271834,538.944325471455,0.4049688382441685,83.4415075325152,0.42414935399861003,0.03783554763503156,0.14784777721165593
1,101,64.1778,21.5366,33,38.1499,0,121,118,9,135,14,0.98777,58.28465,0.0,0.0,0.17857,6.277,18.50831,0.0,0.0,125.0,32.62522,0.00297,0.39,25.565,-1.0,0.179535,87.81680975439171,76951.82038292194,61304.121676912764,2.16957321861182,0.4943486274509804,0.19285923258110793,0.04218436171860701,76.46951239141356,15.988908179012345,0.12410861456811328,0.03334189454052094,0.04743741986837776,45.07806377646364,0.1819487567940697,6.366345972911832,0.0230643101418281,524.6747532409745,0.38337946112463583,82.95722077222348,0.4279903949776689,0.03062298058728669,0.10888188475419451
2,102,64.3535,21.177,33,36.0556,0,121,118,9,135,14,0.99488,58.40131,0.0,0.0,0.10714,6.052,18.48487,0.0,0.0,125.0,32.42791,0.00319,0.39,23.469,-1.0,0.191907,84.75704770415538,75673.30880747263,63652.47517932643,1.5878037812241248,0.4940807843137255,0.18662785430756226,0.04178126332693885,75.79796521290577,13.539641203703704,0.1452758959813961,0.03582083632079157,0.04491870835556338,44.96905818986304,0.17928367481570381,6.312911903910344,0.02025289751566711,514.1792561051366,0.3857113392707175,82.70266708758938,0.4241493539986088,0.028848052665365345,0.09993537088551517
3,103,62.6073,21.014,32,38.2007,0,121,118,9,135,13,0.98211,56.90174,0.0,0.0,0.17857,6.295,18.17402,0.0,0.0,125.0,32.27214,0.00374,0.39,29.257,-1.0,0.174255,87.21451348473673,74026.29694495931,59110.1278959581,1.5019991307129141,0.4959235686274508,0.18720679111867342,0.05218688447164523,75.96598336746464,11.801649305555555,0.14684349773991437,0.034496930175836396,0.040074549847928825,45.001452975802955,0.1817648787052839,6.280113168216557,0.018906809576112977,505.488703538921,0.3643011335009363,82.94377216676223,0.4241493539986088,0.027946511620359035,0.08858156590063393
4,104,60.4293,20.5891,32,38.5941,0,121,118,9,135,13,0.99089,55.01768,0.0,0.0,0.03571,6.706,18.02984,0.0,0.0,125.0,32.2275,0.00381,0.38,24.137,-1.0,0.186879,86.50752172965242,72009.08056487107,51643.69927864056,2.0916147022132896,0.4949717647058823,0.19135172734230702,0.06354530484846747,76.42338915247906,10.418258101851851,0.14172677239892303,0.03337378824382553,0.037656631257318336,45.01814665617766,0.18713581987543176,6.222739171750646,0.01808006490176259,497.74419271670496,0.34004593054786575,83.1919038952445,0.4241493539986079,0.027370479969858034,0.08778579453927812
5,105,60.0279,20.882,32,36.8775,0,122,118,9,135,13,0.97859,54.69118,0.0,0.0,0.10714,6.875,17.66554,0.0,0.0,125.0,32.33782,0.00397,0.38,22.674,-1.0,0.184381,88.12943765628471,71299.00594227777,50555.34292978177,2.6003474180707826,0.4943098039215687,0.19442205921166067,0.06959079037030777,77.08879621021988,9.188657407407407,0.14067563767185992,0.03447458603294019,0.037228185358701135,44.6957627284674,0.19284711081307107,6.167466868127015,0.017444198441622472,490.59317824675196,0.32394921221235995,83.17771537726807,0.42414935399860837,0.027421038553088823,0.08439213704938862
6,106,60.2071,21.4651,32,38.0893,0,122,118,9,135,14,0.98845,54.85655,0.0,0.0,0.17857,7.321,17.91839,0.0,0.0,125.0,32.40517,0.00393,0.39,26.095,-1.0,0.188876,85.30928289516898,71433.62963722333,51953.300310841834,2.2618935710562087,0.49504941176470596,0.1992162154537803,0.07512973681718431,78.08408825237046,8.809895833333334,0.13731490267005506,0.03506991709191208,0.036920751090013935,44.37394055025077,0.19860599440660484,6.208217319634409,0.016858794545251507,484.2380648011177,0.3111053287859026,83.12546302541641,0.4247435651060178,0.02740064295138899,0.0821236634804352
7,107,61.1186,21.4281,33,40.321,0,122,118,9,135,14,0.98,55.69135,0.0,0.0,0.14286,7.58,18.42054,0.0,0.0,125.0,32.73815,0.00411,0.39,23.448,-1.0,0.18425,86.79213548290804,70525.826719287,56547.12867736175,2.270326179416696,0.4981258823529412,0.20361355482787188,0.07809414665354802,78.88314655147944,8.817226080246913,0.13185394047006302,0.036976777261653146,0.03749784601574761,44.14431630829234,0.2053036913347556,6.241479351348746,0.016627793612581196,478.53870368895184,0.3028551185959435,82.81172802851597,0.4263669800418348,0.027190131146028106,0.08073962197954583
8,108,61.4517,21.4766,33,37.8176,0,122,118,9,135,14,0.98813,55.9837,0.0,0.0,0.0,7.696,18.38766,0.0,0.0,124.0,33.01276,0.00437,0.39,20.016,0.12719,0.181292,85.16876164950719,69813.40146435087,57052.70523945421,3.0869629655435515,0.5009580392156863,0.2051030402267174,0.07805696939267973,79.15825703287308,8.11964699074074,0.12510568026746485,0.03848469105922065,0.03742068351099521,44.03186524944541,0.2076424990119505,6.221287700572301,0.01644112485545079,473.0687312316462,0.2950980472843774,82.80709555386677,0.4241493539986115,0.02719367937745754,0.08020601244388824
9,109,61.3078,21.5039,33,36.2832,0,122,118,9,135,14,0.97397,55.84974,0.0,0.0,0.0,8.028,18.42852,0.0,0.0,125.0,33.02586,0.00397,0.39,16.208,-1.0,0.188542,87.44452838178171,68717.06403532832,56490.975806254144,2.0808894095580923,0.5005870588235294,0.20628878235956222,0.07871667027839557,79.19175680384818,7.377170138888889,0.12127451002897925,0.04066121136878112,0.03807073298257664,43.840407948435086,0.2071946442624715,6.19626108710885,0.016146776468312272,467.36474813010375,0.2913023132795388,82.8795327783506,0.4263669800418364,0.027108051340629487,0.08042097141241529
10,110,61.6678,21.613,33,36.8702,0,122,118,9,135,14,0.98237,56.17175,0.0,0.0,0.07143,8.057,18.44883,0.0,0.0,125.0,33.31721,0.00416,0.39,15.9,-1.0,0.185921,87.4685562630957,69058.90683270045,57824.7698309161,2.1276571554923795,0.5033756862745098,0.20683199405822542,0.07928025483449892,79.94282110772939,9.619309413580247,0.11975704709233503,0.038952932954122,0.03751307676553534,43.51082582826968,0.20685223799988448,6.170742144169136,0.015943725828037,461.3906965714743,0.29235229910114763,82.81759105641662,0.426366980041841,0.027199224277925114,0.08218290975072211
11,111,62.9217,21.6667,33,36.6431,0,122,118,9,135,14,1.00232,57.24481,0.0,0.0,0.07143,7.962,18.53847,0.0,0.0,125.0,33.46037,0.00363,0.39,15.026,-1.0,0.203349,88.51909743502263,69608.9205719759,66524.94287317384,2.2037211694130012,0.5045760784313725,0.20415755205936048,0.07892614381962856,79.79420675371263,10.60474537037037,0.11917549857902954,0.038323398607641876,0.03731167541867599,43.19253954475309,0.20612352154184876,6.166193414856841,0.015820105673169688,455.4912592370429,0.2949823446427364,82.54021002189376,0.425772768934448,0.027133125395252762,0.08371614490652853
12,112,62.3168,22.541,34,34.3627,0,122,118,9,135,14,1.0131,56.77098,0.0,0.0,0.21429,8.052,18.58133,0.0,0.0,125.0,33.2635,0.00361,0.39,15.477,-1.0,0.184523,85.50052110966853,70732.20549203693,59839.52970137882,2.340313233319611,0.5041854901960784,0.2021819533638104,0.07874343614486454,79.10653761237029,9.52758487654321,0.12030617747819075,0.03895610761132904,0.037292815395775676,43.15669683762538,0.20498790641732292,6.144878443813919,0.015601434247517167,450.04264670217907,0.29530419379580347,82.75960785249757,0.4241493539986101,0.027191850579757103,0.0850201140711038
13,113,62.0444,22.5805,34,34.8314,0,122,118,9,135,14,1.0056,56.55804,0.0,0.0,0.14286,8.009,19.3318,0.0,0.0,125.0,33.07527,0.00371,0.39,15.213,-1.0,0.17192,85.82443721922857,70735.25260480371,59827.606060642436,2.358791481975081,0.505316862745098,0.20036923903694995,0.07867150810136929,78.25337868463491,8.513117283950617,0.12113869858798863,0.038331318557024666,0.03756770405439445,43.09672226140528,0.20453831125440566,6.16991451581453,0.015396744305767448,445.2069552538299,0.2899040557596855,82.79964008258361,0.4257727689344395,0.027172204806819773,0.08640758464012224
14,114,62.185,21.7992,34,37.0479,0,122,118,9,135,14,0.97088,56.69451,0.0,0.0,0.03571,7.915,19.36274,0.0,0.0,125.0,33.17856,0.0039,0.38,19.771,-1.0,0.17655,83.87160611236877,69200.62291299879,60618.13735375494,1.6412106647235336,0.5095164705882353,0.19795235441066417,0.07792355545223853,78.07879292802411,8.432918595679013,0.11758956372306088,0.03898040724481924,0.04174487026939122,43.10261893566744,0.20246945174274192,6.168767693988575,0.01528143366174389,440.9768201336591,0.283895430166487,82.79283523400687,0.42799039497766983,0.027066968466181375,0.0866356748741253
15,115,62.2438,21.3754,34,34.3111,0,122,118,9,135,14,0.98133,56.75718,0.0,0.0,0.0,8.128,18.70293,0.0,0.0,124.0,33.30273,0.0038,0.39,20.511,-1.0,0.197992,86.86619718891664,68967.80820236093,62145.02367500761,1.6392548659999522,0.5149929411764705,0.19635700331341654,0.07778007077663689,77.56526556972591,9.524594907407407,0.1155903280977363,0.03958828138036852,0.04621392375735778,43.24745988257137,0.20055430235381427,6.128571948616776,0.015305690196627565,437.22532381412225,0.2804589799806881,82.64662088024014,0.43020802102089784,0.02704560746745883,0.08724425435435038
