,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blur,saturation,staticness,cubrow.1.0,fft,cubrow.0.3,cubrow.0.6,cubcol.1.0,cubrow.0.5,color_fulness,tone,cubcol.0.6,cubcol.0.3,temporal,contrast,cubrow.0,cubcol.0,blockiness,cubcol.0.5,uhdhdsim,noise,movement
0,200,84.8618,17.4934,59,0.0,0,122,118,13,135,17,0.98987,78.54911,0.0,0.0,3.67857,3.017,0.0,0.0,0.0,123.0,35.5191,0.00265,0.53,6.811,0.0,0.163339,81530.41058523614,43.04208487051505,591.6988874759511,0.08051512169634666,82296.78363377496,0.2108996487170425,0.2543684641615025,0.1314429520221316,0.3372650280353516,88.4101901082667,0.5633298039215686,0.38745888633244796,0.23237454279994724,0.0,86.72925531110086,0.2509118068782814,0.3231297849478843,2.047384851158924,0.18108623975541013,80.16391298336876,0.5145943666119804,0.0
1,201,84.5264,17.6674,58,30.6829,0,122,119,13,135,17,1.00757,78.25346,0.0,0.0,3.39286,3.034,15.01564,0.0,0.0,123.0,35.48591,0.00261,0.53,6.366,-1.0,0.157309,80528.14467057471,42.97683772334346,582.8025903653775,0.07640510283805298,81614.60632776852,0.21063483437164776,0.2171513511236825,0.12897100969045247,0.32387462841992554,88.42173792210708,0.5637541176470588,0.3715642228690585,0.2221218782768624,4.719727248028417,86.0302508122309,0.241260194918415,0.3063237372010282,2.4841528912771444,0.17618486523339214,80.23045477439607,0.5123767405687453,7.0013503086419755
2,202,84.2676,17.9985,58,31.7664,0,122,119,13,135,17,0.97757,78.0339,0.0,0.0,4.14286,3.059,15.166,0.0,0.0,123.0,35.39293,0.00244,0.53,5.677,-1.0,0.181501,80379.88630528499,43.01505985966435,576.0288326619964,0.07384849279842345,81352.90266569993,0.2076990764778007,0.21206488621839695,0.12886256985781694,0.31153348924789814,88.45343512467056,0.5614925490196079,0.37200941841526397,0.22221161256652855,4.779582992296181,88.64242460007736,0.2347050789073472,0.2981658319848452,2.0585734238775975,0.17597238509576812,80.35182128659117,0.5123767405687478,6.784577546296297
3,203,83.2447,18.1063,57,32.5871,0,122,118,13,135,17,0.97177,77.08371,0.0,0.0,5.85714,3.022,15.4487,0.0,0.0,123.0,35.21006,0.00236,0.52,6.532,-1.0,0.163235,75913.98685756724,43.00560298966773,570.8006040305837,0.07350979455911981,80550.54916915574,0.2059569970685318,0.21457631222724483,0.1295296973937018,0.29601565342435,88.28839900807795,0.5570501176470586,0.3644420108343949,0.2232004420785459,4.812355647586536,85.31426039147469,0.23039225289106016,0.29859602971357047,2.8996875082634133,0.17669185127508186,80.50166626068041,0.512376740568746,6.361786265432099
4,204,82.0267,18.3094,56,32.7266,0,122,118,13,135,17,0.98816,76.03273,0.0,0.0,6.5,3.048,15.54257,0.0,0.0,123.0,35.00358,0.00255,0.5,5.683,-1.0,0.16354,72121.87538423044,43.007042213722514,566.2646678996801,0.0752943266748693,79582.15750413464,0.20368982546344844,0.21945708288345048,0.1301772717913185,0.2853757220626758,87.99737341794055,0.5520647058823529,0.35396687377315256,0.2313358741845403,4.871582702760509,86.41326956974068,0.22666872996146933,0.295259073126968,3.962609226951273,0.17561535077760695,80.50030902940182,0.5123767405687446,5.971161265432099
5,205,80.8404,19.0167,55,31.1815,0,122,119,13,135,17,0.94436,74.89612,0.0,0.0,4.82143,3.104,15.71647,0.0,0.0,123.0,34.82454,0.00272,0.51,6.191,-1.0,0.165676,70161.8307022479,43.011480260778356,561.8637885976477,0.0770446791142026,79589.4415128073,0.20054513493090328,0.2270901065323507,0.13026841365788835,0.27682178269774255,87.560233998228,0.5486683137254901,0.3471025873411374,0.23737773533961368,4.827371519341662,86.36478147406629,0.22140621709709515,0.29926890608028767,3.358035970627322,0.17587661753759745,80.56614945991036,0.5063180735464584,5.66454475308642
6,206,78.624,19.7856,53,34.5234,0,122,118,13,135,17,0.98774,72.78146,0.0,0.0,4.53571,3.292,16.32299,0.0,0.0,123.0,34.55872,0.00265,0.48,6.632,-1.0,0.170922,67201.75933215155,42.930331759982636,557.3491540320247,0.0777164805766632,79448.28863102806,0.19306392494993488,0.22292336108097183,0.13063832090544936,0.26818799042583036,87.16340877579916,0.5414914313725491,0.3403126398167575,0.23575676301027926,4.894068535350082,86.30616880118795,0.2116884839061554,0.304691228605866,3.7435479637803537,0.17812509302588675,81.18664391256442,0.5002594065241583,5.718605324074074
7,207,74.8107,20.2369,50,40.9255,0,122,118,12,135,17,1.00374,69.17335,0.0,0.0,3.21429,3.703,16.98003,0.0,0.0,123.0,34.23311,0.00292,0.48,6.642,-1.0,0.161473,61516.41379029887,42.92435201009114,552.4532805260932,0.0822197781246484,78399.48527674282,0.18315177917468217,0.21564790387016625,0.12980358890144372,0.25675315430731166,86.43592769794711,0.5350172549019608,0.3348615940954315,0.23104512869129457,5.056580091164798,86.48057861717203,0.19927147762502725,0.3094547059155244,1.9752422614863225,0.17927535074436896,82.04524970322923,0.4919831134586328,6.080246913580247
8,208,72.1474,20.1095,47,41.1156,0,122,118,12,135,16,0.98153,66.56434,0.0,0.0,1.39286,4.279,17.36615,0.0,0.0,124.0,33.9479,0.00285,0.49,6.603,0.13632,0.152271,58359.949305892434,42.81833752290702,547.2249298994924,0.08104866303386776,77712.72803379464,0.17446307990444718,0.20654976510941517,0.12756293664053403,0.2479286922270267,86.01065253979017,0.5275635294117647,0.3235329569335964,0.22856027961272013,5.222000863364091,86.98750725257128,0.18865564172130975,0.31225697065641717,2.919171355825087,0.1797133892084438,82.54514941083988,0.47764815337081484,6.30907600308642
9,209,71.4637,20.0668,45,40.4778,0,122,118,11,135,16,0.97581,65.66722,0.0,0.0,1.21429,4.666,17.25662,0.0,0.0,124.0,33.82053,0.00299,0.46,6.506,-1.0,0.165523,62031.76839625719,42.85632757493008,541.9700019382831,0.07728332151136948,79375.09279712061,0.16594643873479412,0.20299795179091956,0.1256456481503751,0.23895758922581092,85.57216413687577,0.5219650980392156,0.3176131520367538,0.2256561124821825,5.341602822296183,87.45363948532686,0.17982651815474135,0.31603696021736954,2.4716244134375835,0.18029671449230109,82.77646183006291,0.45725452626070856,6.566261574074074
