,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,uhdhdsim,cubcol.0.5,cubrow.0.6,cubrow.0.5,cubcol.0.3,fft,temporal,blur,cubrow.1.0,contrast,saturation,movement,cubrow.0.3,staticness,cubrow.0,tone,noise,cubcol.0,blockiness,color_fulness,cubcol.0.6,cubcol.1.0
0,0,30.2216,13.5743,19,0.0,0,119,115,6,138,8,0.98678,31.2377,0.0,0.0,10.21429,8.914,0.0,0.0,0.0,121.0,26.93356,0.0,0.42,3.012,0.0,0.033421,100.74812343130277,0.07212417700443106,0.14229379554662575,0.13603858655580803,0.10730073458619793,63797.947844244074,0.0,6455.970659196404,0.03555641683167816,88.01006686454048,55.11383697133005,0.0,0.1101662754758064,597.1457322618917,0.1132485093197984,0.41204784313725495,0.35188034245212324,0.09507487490982723,0.924245203184177,79.22466834449159,0.15089759898543662,0.08073762713861864
1,1,30.5624,13.8491,19,8.59093,0,119,115,6,138,8,0.9895,31.54159,0.0,0.0,12.92857,9.001,11.66872,0.0,0.0,121.0,26.97039,0.0,0.42,3.369,-1.0,0.028993,100.7048688982441,0.07180112761039724,0.13052508844388236,0.1185677782110796,0.09727338058656228,63745.31727188518,3.9710909786803916,6650.7486692895845,0.03397601990473612,89.18082899980402,55.161772739740066,6.142698688271605,0.10623357168242697,588.6855195400735,0.11331855461691417,0.41313803921568626,0.35409796849534664,0.09470964814800763,0.9660706988032234,79.11873081638893,0.1405458871653996,0.07719016226974294
2,2,30.3788,14.1145,19,8.47203,0,119,115,6,138,8,0.99218,31.38011,0.0,0.0,12.82143,9.146,11.90958,0.0,0.0,119.0,26.98276,0.0,0.42,3.487,-1.0,0.039519,100.73264352477558,0.07159798474869104,0.12598886732551293,0.11022650619326392,0.09119523290355448,63815.065550803694,3.9640371916117894,6529.741564117273,0.03418082851377585,88.3516152254524,55.12934291509934,5.751157407407407,0.10463178525851818,581.4844779602437,0.11309165859947759,0.4135,0.35188034245212213,0.09475219649823698,0.7226091217268402,78.93232975078669,0.13161381277407005,0.07780221354334513
3,3,30.3706,14.2783,19,8.79605,0,119,115,6,138,7,0.98907,31.31914,0.0,0.0,12.42857,9.072,12.14427,0.0,0.0,116.0,26.97945,0.0,0.42,3.236,-1.0,0.036426,100.74598669094904,0.07158543427026734,0.12404169257072181,0.10693694463868718,0.0806484682059031,63716.498488748104,3.9455835723097095,6504.083901871878,0.03371183683481254,88.95140147702868,55.177659964855806,5.091579861111111,0.10359892655191227,575.3091532757934,0.11309495782907988,0.41272039215686285,0.35188034245212235,0.09467498742790195,0.7207966782779931,78.74959981761089,0.12459849050669101,0.07820905469135754
4,4,29.9768,14.5143,19,8.62301,0,119,115,6,138,7,0.99293,30.95794,0.0,0.0,11.46429,9.24,12.28906,0.0,0.0,118.0,26.97015,0.0,0.42,3.222,-1.0,0.039008,100.82182021183723,0.07158903007190827,0.12079090716304401,0.10397900257910313,0.07543700365252816,63739.09620123055,3.8824841438918996,6237.773987643232,0.033211294971933626,90.29211526200113,55.04812358338156,4.463252314814815,0.1029682140948808,570.1833336527735,0.11306638206178675,0.4127305882352941,0.35188034245212124,0.09459843626164327,0.6881906692975058,78.48185879158568,0.11890763449434129,0.07815233257432187
5,5,29.2936,14.6124,19,8.93034,0,119,115,6,138,7,0.99237,30.36708,0.0,0.0,15.39286,9.317,12.49185,0.0,0.0,120.0,26.90944,0.0,0.42,3.214,-1.0,0.030829,100.92867773149885,0.07142832097356512,0.11764828531927186,0.10081475029157148,0.07177599569076235,63707.51360778898,3.858992411810832,5757.306261531204,0.03242977163765436,87.98153698032046,54.894309714988424,4.119020061728395,0.10184154906371876,565.352196942415,0.11311382081794633,0.41113176470588253,0.3518803424521206,0.09480318251082391,1.0651297248512652,78.0313436928268,0.11479070622056249,0.07910781977654553
6,6,28.9687,14.4806,18,9.46364,0,119,115,6,138,7,0.99226,30.07295,0.0,0.0,13.0,9.573,12.56529,0.0,0.0,122.0,26.82461,0.0,0.42,3.347,-1.0,0.043158,101.00659037504093,0.07138568421698144,0.11482872802319487,0.09924012433541227,0.06906509209296838,63695.589204961776,3.87752313564191,5591.778173589002,0.031926326526044324,88.62606211686328,54.8835004641686,3.8977623456790123,0.10062148785940726,560.752387888005,0.113124711877294,0.4108180392156864,0.3518803424521184,0.09480527715612182,1.1282365029099672,77.80716653371783,0.11129731097170804,0.08043947764027526
7,7,28.6991,14.348,18,9.12767,0,119,115,6,138,7,0.98876,29.84649,0.0,0.0,11.5,9.469,12.44903,0.0,0.0,122.0,26.73076,0.0,0.42,3.141,-1.0,0.038322,101.04777471498117,0.07127467562799088,0.11336067325157738,0.10080319231700666,0.0669258954866886,63719.28478356461,3.837532862186876,5471.931297081408,0.03169378228557544,88.73474147895186,54.770419273847416,3.617380401234568,0.09972320289711835,556.4016190622566,0.1130549367743837,0.4102368627450982,0.35188034245211736,0.0947889444329761,0.9990342501252736,77.41096973652596,0.10826623626054283,0.08155275654209311
8,8,28.5034,14.2078,18,8.70624,0,119,115,6,137,7,0.99218,29.63929,0.0,0.0,9.5,9.529,12.33469,0.0,0.0,123.0,26.58609,0.0,0.42,3.195,0.12937,0.0317,101.08986680148266,0.07121247591367413,0.11248114456678401,0.10172103460256177,0.06524245909927001,63733.76086577105,3.7777261834371676,5419.391914712177,0.03125810765655305,90.74090795364368,54.79009614167391,3.4254436728395063,0.09912679964126521,552.2473015468898,0.1130220993950119,0.4083407843137256,0.34803930147305606,0.0947980300823581,0.8912008892578124,76.92873549345383,0.1063347429206517,0.0825593078081532
9,9,28.3583,13.9396,18,8.34592,0,120,115,6,137,7,0.99182,29.47438,0.0,0.0,10.10714,9.35,12.21446,0.0,0.0,122.0,26.40611,0.0,0.42,3.325,-1.0,0.038887,101.1261358005561,0.07109355039457334,0.111908529392324,0.10407490753466557,0.0638143100940608,63688.29836392316,3.7383783393370837,5357.050333487942,0.031048390637214304,88.28045146670311,54.69375836407697,3.252266589506173,0.09868375537385085,548.1176458747028,0.11304937991828065,0.4064090588235293,0.3458216754298277,0.09475231695722193,0.9478747687218714,76.48847052341858,0.10416728187058005,0.08353315504295106
10,10,28.4747,13.384,18,8.46424,0,120,115,6,137,7,0.99266,29.5534,0.0,0.0,9.85714,9.248,11.98313,0.0,0.0,120.0,26.27369,0.0,0.42,3.134,-1.0,0.041727,101.11738609520398,0.07099077920935204,0.1112536981022248,0.10605601943836568,0.06269933558238788,63674.99929763797,3.70334901368762,5505.65331713126,0.030584519006238344,89.71029580356613,54.68203848379629,4.046923225308642,0.09832654729210129,544.0498672830012,0.11305714535621128,0.4042827450980393,0.34803930147305295,0.09480576641275723,0.8928535032983027,75.99850567654971,0.10247402539761137,0.08450523552758774
11,11,28.6166,12.2958,18,8.29011,0,120,115,6,137,7,0.99209,29.66985,0.0,0.0,7.0,8.989,11.50645,0.0,0.0,118.0,26.2524,0.0,0.42,3.214,-1.0,0.041945,101.08632134850752,0.07093624881536172,0.11156359234791702,0.10662666813208335,0.06166593513349409,63670.14227253798,3.642497570087962,5537.551523817266,0.02983039035321279,89.9291356266958,54.65207172911845,4.344714506172839,0.09805641448522924,540.0224058820379,0.11312597860259661,0.4021423529411765,0.3458216754298265,0.09496274621992526,1.065692370920042,75.83447447829553,0.10155489789977218,0.08532093170041001
