,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.5,movement,cubcol.0,contrast,staticness,blur,fft,temporal,cubrow.0.3,uhdhdsim,noise,cubcol.0.5,cubrow.0.6,cubrow.1.0,saturation,color_fulness,cubcol.0.6,cubcol.1.0,cubcol.0.3,cubrow.0,blockiness,tone
0,100,24.1217,19.8824,17,0.0,0,121,117,5,138,8,0.99734,25.33888,0.0,0.0,10.21429,11.252,0.0,0.0,0.0,117.0,30.22494,0.0,0.4,5.028,0.0,0.047614,0.09322672059052055,0.0,0.06159024199860342,86.67355978217392,609.6110038218292,3589.063449372466,63275.980070240716,0.0,0.09207884679861449,101.54863355364836,0.33754538236430176,0.0869256556794772,0.11873307283668938,0.09085892337850067,50.59445341133777,77.52966114630226,0.06315258001141841,0.06600489040455393,0.15775443296920966,0.02904409381932188,0.6763312243336874,0.45437776470587893
1,101,23.4665,19.5617,16,18.57,0,121,117,5,138,8,1.00144,24.63884,0.0,0.0,8.71429,11.442,17.09162,0.0,0.0,109.0,29.70775,0.0,0.4,5.463,-1.0,0.054084,0.06333303551528932,13.090952932098766,0.05834571375693053,86.08627821931289,593.7672176590951,3381.751235411845,63286.21059467371,5.962738809911627,0.07048493336279742,101.6495509415304,0.3375453823642971,0.08328083443191991,0.08399886147951657,0.07384588986687945,50.407745926468465,77.41030066352762,0.060156968713569875,0.06520975761932256,0.1425184024910965,0.020742598064125928,0.5635948529292338,0.44917058823529415
2,102,23.4184,19.534,15,18.2371,0,122,117,5,138,8,0.99972,24.46027,0.0,0.0,8.89286,11.664,16.81646,0.0,0.0,107.0,29.48854,0.0,0.4,5.034,-1.0,0.060136,0.055774998557184874,11.609375,0.05073938895636124,89.01402925857573,580.1367572255772,3505.0246709056705,63127.266310331965,6.015155662173249,0.066612582299117,101.67832685846768,0.3314867153420114,0.07811896633946357,0.07026601528880112,0.06324334937901985,50.17937215169271,77.53872940240271,0.059450999619655595,0.06382373929718074,0.1348249898075684,0.018476167021763305,0.8364176783676673,0.4478541176470588
3,103,24.8418,19.3176,15,16.7819,0,122,117,5,138,8,0.99479,25.55839,0.0,0.0,9.78571,10.808,16.79569,0.0,0.0,103.0,29.49455,0.0,0.4,4.872,-1.0,0.07058,0.05302353939397395,10.118441358024691,0.04825219651730444,88.57127269477375,567.9401696805788,4483.0561434883,63268.42105330109,6.015682576150098,0.0653100992294884,101.45605741641944,0.3314867153420095,0.07742281416060136,0.06968115692664016,0.0573916205694892,50.03210015944492,77.81328357688143,0.05797864373863143,0.06377670361032993,0.12934307129856037,0.017544397455049914,0.9198692891466621,0.448321568627451
4,104,25.6223,19.0948,15,15.9043,0,121,117,5,137,8,0.99532,26.19919,0.0,0.0,10.32143,10.419,16.61971,0.0,0.0,102.0,29.48485,0.0,0.4,5.478,-1.0,0.070392,0.05171780888287183,8.82349537037037,0.046388308668505636,85.24445721161736,556.4969121768166,4958.638045317318,63310.60130064846,6.0114170888956515,0.06319604965681831,101.34013069979429,0.3314867153420105,0.07406077932892745,0.06867580365416197,0.05331807949522321,49.798944543909144,78.60838183648322,0.0577465014416073,0.06378994287662547,0.1326370241615415,0.01678486596088784,0.8567057289977286,0.4476094117647059
5,105,25.8163,18.9002,16,15.1021,0,121,117,5,137,8,1.00162,26.41152,0.0,0.0,10.10714,10.327,16.43582,0.0,0.0,101.0,29.32135,0.0,0.39,4.435,-1.0,0.070366,0.052385505509016474,7.574315200617284,0.04632623336359672,87.77687615528804,545.7291244892003,5048.250500992412,63377.66866818432,5.98555125958945,0.061985130662090236,101.30283728030135,0.3314867153420165,0.07428961408687276,0.07056903868233082,0.05158883526295623,49.704534459997106,78.36864159540566,0.057479194279767144,0.06326854138685332,0.13095032822658448,0.01629357421162514,0.8484196800583579,0.44521843137254913
6,106,25.9046,19.6199,16,15.8489,0,122,117,5,137,8,1.00785,26.54496,0.0,0.0,10.64286,10.326,16.27508,0.0,0.0,103.0,29.13329,0.0,0.39,4.824,-1.0,0.056957,0.05068368423575783,6.879967206790123,0.046655597858996894,87.38210176691238,535.214152997493,4973.122050345809,63376.512439968894,5.935212562953266,0.06152845589279046,101.31600258298653,0.3314867153420121,0.07485515939807415,0.06819400062087586,0.04975194351235643,49.53213858898775,77.95463021382852,0.060573780405401886,0.06272803076441437,0.13140756406497814,0.01603271072171268,0.8294253938078076,0.4429407843137255
7,107,25.9738,20.4393,16,16.6676,0,122,117,5,137,8,0.9994,26.66153,0.0,0.0,13.25,10.56,16.89034,0.0,0.0,102.0,29.04515,0.0,0.39,5.326,-1.0,0.064805,0.04878033567221966,6.740258487654321,0.0474229807935217,84.69270728047466,525.0198330548159,4810.9191893772,63352.10373038178,5.917688031300947,0.06167890359260347,101.3245244977678,0.3375453823642967,0.0819604818561603,0.06597214723985867,0.04918108422236749,49.16821684660735,77.59399984761068,0.06078049110841975,0.062958336347904,0.12905520749270655,0.015694798939906662,1.0471120353558965,0.4425827450980392
8,108,25.9541,21.0285,16,16.9434,0,122,117,5,137,8,1.00688,26.76927,0.0,0.0,11.82143,10.883,17.59567,0.0,0.0,105.0,29.33615,0.0,0.39,4.781,0.12551,0.059667,0.0478510995748222,6.802903163580247,0.05046531820172194,82.65730999232646,514.7952292008707,4628.4089479887025,63408.901551129056,5.918667434164962,0.06202130811805965,101.31875298283032,0.3375453823643004,0.08752821814748875,0.0643206351828454,0.04897129745172351,49.06316328637394,78.32875934466435,0.0627158468429195,0.06134057580511708,0.12568842690703652,0.015562172290428868,1.0514938341781366,0.44728862745098036
9,109,26.6503,21.4015,17,17.7149,0,121,117,6,137,8,0.99507,27.48629,0.0,0.0,11.85714,10.408,18.10558,0.0,0.0,106.0,29.90184,0.0,0.4,4.98,-1.0,0.058685,0.04774513187627101,7.106095679012346,0.05242887513536854,87.7761752699943,504.26831588709956,4801.981594750468,63403.58782934543,5.944129651040998,0.06280962095883016,101.19433651763465,0.33754538236430404,0.09251656084351001,0.06184577124070374,0.0494461591248451,48.92150012357735,79.75052283857406,0.06617883109248772,0.05987113255184096,0.12302181437672899,0.015530526938649791,0.9510818591465344,0.4542373529411764
