,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.5,cubrow.0.6,color_fulness,tone,blur,blockiness,cubrow.1.0,temporal,cubcol.0.5,saturation,uhdhdsim,contrast,cubrow.0,cubrow.0.3,cubcol.0.3,cubcol.1.0,fft,cubcol.0,noise,staticness,movement,cubcol.0.6
0,200,33.9446,17.6664,23,0.0,0,119,117,7,136,10,1.01159,35.32024,0.0,0.0,6.60714,9.381,0.0,0.0,0.0,117.0,33.46183,0.0,0.41,3.669,0.0,0.024274,0.15318674617468084,0.16701148639846194,89.23000987734294,0.5024185882352936,7992.288596723443,1.1987782312569306,0.02935452143801141,0.0,0.13858395738020374,48.58994227279852,99.93282471092265,88.5979227671874,0.07532462220775485,0.17969995977549624,0.06820238885546266,0.0665426974247054,64016.891632123385,0.11899195099893538,0.36237426156087743,558.2997275710828,0.0,0.06220980493941821
1,201,33.6565,17.4344,23,15.815,0,120,117,7,136,10,1.00268,35.00505,0.0,0.0,11.57143,9.425,15.26853,0.0,0.0,117.0,33.22529,0.0,0.41,3.894,-1.0,0.028787,0.13302747051594496,0.13549987069987962,88.2814931675649,0.5004164705882355,8010.413052977956,1.3692950694579604,0.02794240333567233,4.979682985653091,0.1379814851655261,48.604663801781925,99.96120085544328,84.85558641479547,0.0743707153610786,0.1727712393956907,0.06784405345153253,0.06579371617562375,64106.56912485859,0.094002267777547,0.3623742615608759,550.2258564730115,9.088445216049383,0.06134407088918579
2,202,34.1238,16.77,23,15.6023,0,120,117,7,136,10,0.99612,35.42971,0.0,0.0,7.89286,8.929,15.06772,0.0,0.0,121.0,33.03625,0.0,0.41,3.559,-1.0,0.028212,0.13385360786454117,0.12777165713134905,87.21824626005399,0.49759607843137266,8566.074966201564,0.9864675841923016,0.027564652490396472,4.949160418728478,0.13696382203510252,48.57481308925299,99.85437785465228,85.45263086101998,0.07305239310102617,0.16787162581692974,0.06763877655606335,0.06581280760055842,64187.216807782715,0.08895277892473619,0.362374261560876,542.2797675841289,8.253472222222221,0.06068283949390839
3,203,34.9914,16.9643,23,14.7815,0,120,117,7,136,10,0.99284,36.21865,0.0,0.0,8.32143,8.665,14.47922,0.0,0.0,123.0,32.9004,0.0,0.41,4.19,-1.0,0.031033,0.13392374038164112,0.12836427644679269,85.82018502377296,0.496281568627451,9452.355343049094,1.1815685292311953,0.0275397814845178,4.890009144062243,0.1358925625714296,48.61613049919223,99.70640276638994,87.57518711853989,0.0723407892518217,0.16814736521088117,0.06793815604600548,0.06571801223418106,64274.42779193849,0.09040213346715247,0.36237426156087543,534.9877855135343,7.339265046296297,0.059913163955252105
4,204,35.0786,17.409,23,14.4447,0,120,117,7,136,10,0.9868,36.26724,0.0,0.0,8.57143,8.615,14.66545,0.0,0.0,122.0,32.85344,0.0,0.41,4.229,-1.0,0.025482,0.13173458816686193,0.12660148157185502,85.2340092129359,0.49567319607843147,9395.86657357731,1.3362088804828134,0.027414619566267496,4.832446504954921,0.1351755604878018,48.62448685257523,99.7285064193344,85.08517770571912,0.07214811312201921,0.17037092573065965,0.06814607676684328,0.06567596493754704,64243.49908907254,0.09302773798801753,0.36237426156087515,528.2347870516969,6.700038580246914,0.05917762738772723
5,205,35.2731,17.4115,23,15.3261,0,120,117,7,136,10,0.99224,36.46923,0.0,0.0,11.28571,8.702,15.06088,0.0,0.0,120.0,32.94589,0.0,0.41,4.527,-1.0,0.025868,0.13246229097747314,0.12331279760398506,84.26374427055435,0.4981615686274511,9317.4792897133,1.3107192438648643,0.027252479037052895,4.785833741774725,0.1346281300381794,48.5863941333912,99.73168741176355,87.17594026487198,0.07249124889652468,0.17217656623056987,0.06835067289713775,0.06582324463257906,64150.721596995216,0.09581024287695267,0.3623742615608759,521.8155807703899,5.954282407407407,0.058754652042068894
6,206,35.5918,17.2216,24,15.0285,0,120,117,7,136,10,0.98931,36.78603,0.0,0.0,9.42857,8.736,15.05823,0.0,0.0,119.0,32.98585,0.0,0.41,4.407,-1.0,0.027743,0.12826569240891358,0.12473077601367207,83.82001434730327,0.5006929411764707,9504.66405724424,1.3830795315948456,0.027022203777778548,4.721352384484488,0.13432820607746937,48.730829874674484,99.69935478264145,84.7968857015151,0.07284171174673033,0.17617713644931082,0.06848802293639396,0.06602363622554956,64190.72554648146,0.09190882056439453,0.36237426156087466,515.7584557823329,5.521846064814815,0.0583573305558614
7,207,35.9791,17.2377,24,13.4118,0,120,117,7,136,10,0.99235,37.11389,0.0,0.0,8.64286,8.596,14.8608,0.0,0.0,115.0,32.98778,0.0,0.41,4.925,-1.0,0.026118,0.12618025792249504,0.1287892075470582,83.36735740604843,0.5026117647058825,9800.799228495713,1.1378093405267304,0.026863396618180446,4.65271311798631,0.13439210242236832,48.70548144681954,99.65162127496697,84.87585925477198,0.07343706874836763,0.17870002646443023,0.06862397345229333,0.06612379775865337,64077.59454850436,0.08980944787420865,0.3623742615608743,510.2893208402383,5.000337577160494,0.0580403956812409
8,208,35.8951,17.0991,24,13.7395,0,120,117,7,136,10,0.99799,37.02099,0.0,0.0,8.28571,8.55,14.88817,0.0,0.0,111.0,32.96792,0.0,0.41,4.582,0.12641,0.025298,0.12369270387819345,0.13138760840590885,82.71363653279664,0.503886274509804,9738.251267649515,1.2694560965630401,0.02689984283321537,4.604110297264003,0.13394972797457497,48.77449657298901,99.66888050407802,87.56458830967446,0.07411409976661255,0.18166319460538927,0.06891497842069849,0.06640040450587198,64132.07149949063,0.08915759327100038,0.3623742615608762,505.64469114554305,4.620129243827161,0.057775020102442794
9,209,35.7152,16.8618,23,13.3205,0,120,117,7,136,10,0.99316,36.80338,0.0,0.0,6.78571,8.536,14.75826,0.0,0.0,107.0,32.85664,0.0,0.4,4.134,-1.0,0.029789,0.12125760085451544,0.13183366980065261,82.0908833060349,0.5015552941176472,9559.45237068376,0.9462646091535384,0.02691095310120822,4.551112614384156,0.1325297044892414,48.66882851683063,99.7142208515433,87.46014531565231,0.07461881946690592,0.18294271487332148,0.06910554862484404,0.0665913957069061,64037.93204689723,0.08840147906655518,0.3623742615608756,501.4942003736232,4.385898919753086,0.05760560319597795
10,210,35.7701,17.009,24,13.7455,0,120,117,7,136,10,0.99492,36.87382,0.0,0.0,6.78571,8.618,14.52488,0.0,0.0,106.0,32.66292,0.0,0.41,4.177,-1.0,0.024684,0.11900930873231455,0.1337692633874248,81.5616099197134,0.4972607843137256,9524.449162789359,1.1561476613499058,0.02689314606654073,4.545980190507842,0.1310836390256712,48.70151359652296,99.70278478134634,86.80797959307519,0.07508929657834401,0.18413803017201377,0.06925674522491897,0.06684359654742995,63953.48949646169,0.08609500437770287,0.3623742615608756,497.8086206684143,5.6343557098765435,0.057511356042868264
11,211,35.9521,17.4078,24,13.988,0,120,117,7,136,10,1.00282,37.06453,0.0,0.0,4.85714,8.603,14.65834,0.0,0.0,106.0,32.4698,0.0,0.41,4.678,-1.0,0.02097,0.11782589211578909,0.1367572040948456,80.74088038022546,0.49245350980392166,9610.39808017818,1.4475193401353321,0.026855888627588448,4.57511710957851,0.12971632743630923,48.752905009705344,99.67245584815025,88.28818699699309,0.07530177876409802,0.1850691621394964,0.06945356375663327,0.06712328393884578,63960.648428432425,0.08432384869245349,0.3623742615608758,494.52900048623826,6.2890625,0.05746526492396595
12,212,36.4549,17.6084,24,13.9086,0,121,117,7,137,10,1.00036,37.50679,0.0,0.0,5.64286,8.582,15.03476,0.0,0.0,108.0,32.35954,0.0,0.41,4.724,-1.0,0.025983,0.11688315120270261,0.13723450461875655,79.91045772302112,0.49163568627450993,9956.74290298917,1.2140675550099318,0.026856892639804793,4.521666500997708,0.12875781768217334,48.86406698344666,99.59866736373216,88.35140604587347,0.0753260857831242,0.185928182635705,0.0695781529306327,0.06726565877673868,63895.95458553332,0.0835209580635871,0.362374261560878,491.52245950352216,5.781925154320987,0.05758503090653874
13,213,36.9034,17.204,24,13.7471,0,121,117,7,137,10,1.00005,37.84618,0.0,0.0,6.42857,8.515,15.19877,0.0,0.0,108.0,32.21468,0.0,0.4,5.248,-1.0,0.023279,0.11732439626366124,0.138096413950354,79.6665256994906,0.48912431372549037,10200.496413149292,1.0234923709835424,0.02685581884934532,4.4660844160824,0.1282067662047165,48.85762551390094,99.58122043635667,88.83446022567644,0.07534199275214867,0.18687425178724476,0.06978677039335837,0.06740365642903642,63969.27782159618,0.08231391229359783,0.3623742615608741,488.69129409728697,4.935619212962963,0.05782048759152259
14,214,37.1129,17.5489,24,14.6174,0,121,117,7,137,10,1.00474,37.983,0.0,0.0,6.82143,8.385,14.81625,0.0,0.0,112.0,32.28862,0.0,0.41,4.492,-1.0,0.029093,0.11822511172318609,0.14081504450645344,79.98788738737767,0.48940627450980395,10334.476041340633,1.257102486036819,0.026993888504546537,4.522780238742865,0.12792715133529842,48.85778752079716,99.58087636532683,87.33411416846592,0.07518933278231234,0.18776315992430168,0.06992149539040933,0.06757566255749294,63956.82972825698,0.08135799116727811,0.3623742615608751,486.1463878431426,4.739342206790123,0.05812493485918992
15,215,36.8028,18.0817,23,13.9154,0,121,117,7,137,10,1.00903,37.71812,0.0,0.0,7.85714,8.482,15.10481,0.0,0.0,119.0,32.43684,0.0,0.41,4.513,-1.0,0.026061,0.11818081832438794,0.14185775457832792,80.4573539967283,0.4910458823529411,10095.218304103284,1.3346282374475997,0.027078057078733342,4.547257290753708,0.12770196114195362,48.806930353612074,99.63713455632578,85.39257020051399,0.0750991215998796,0.18851627308637603,0.07009275847110265,0.06769806201875768,63891.638414673995,0.07956571257592011,0.36237426156087604,484.0017868552107,5.830536265432099,0.05865402967611682
16,216,36.51,18.0588,23,12.967,0,121,117,7,137,10,1.00568,37.47142,0.0,0.0,6.85714,8.493,15.56656,0.0,0.0,120.0,32.29427,0.0,0.4,4.185,0.12744,0.020837,0.11821665943116871,0.14295522845023187,80.07995343346613,0.4870960784313727,9949.648228751556,1.1783136010162967,0.02705761719112866,4.639241884717555,0.12773759224485198,48.82664244851948,99.68767996097247,85.88828619625711,0.0750816828423862,0.18925335802918788,0.07019993798329412,0.06778318098236999,63848.675172344374,0.07852953601550962,0.3623742615608756,482.29044013562407,6.78930362654321,0.05927763647741592
17,217,36.1482,17.7433,23,13.9147,0,121,117,7,137,10,1.00082,37.12688,0.0,0.0,5.10714,8.459,15.54099,0.0,0.0,116.0,32.1934,0.0,0.4,4.867,-1.0,0.018515,0.11846009290404168,0.14432688844165545,79.8328002659113,0.48450862745098033,9749.329957557671,1.099727554794562,0.027080054429057542,4.711852363369129,0.12799893437960422,48.8657036298587,99.75043983768897,89.33233404754984,0.07512127218523817,0.18976844805074636,0.0703675315137902,0.06775345135678874,63835.06988536746,0.07752592779431171,0.3623742615608739,480.7811003179152,7.130931712962963,0.059997459074833316
18,218,35.8306,17.5246,23,13.6285,0,120,117,7,137,10,0.99876,36.86587,0.0,0.0,5.53571,8.479,15.26335,0.0,0.0,116.0,32.32468,0.0,0.41,4.511,-1.0,0.021146,0.119502691863359,0.1456186644309751,79.6921082165091,0.4853490196078432,9471.885059516953,0.7555697957486291,0.02704600556770386,4.712731680456178,0.12828494721496503,48.971931363329475,99.79889332158508,87.32209975374106,0.07526178862990716,0.19028034163799318,0.07060958788472525,0.06775142491309716,63782.65623859006,0.07615266182385061,0.3623742615608742,479.33684406957855,7.1734182098765435,0.060777250967140074
19,219,35.1022,17.0755,23,14.3864,0,120,117,7,137,10,0.99449,36.2774,0.0,0.0,6.92857,8.535,15.08494,0.0,0.0,118.0,32.33712,0.0,0.41,4.216,-1.0,0.024329,0.12055474618436285,0.14704827495046455,79.80721440576059,0.48442627450980397,9019.144320736079,1.4698485773251184,0.02704761443114805,4.741068160441772,0.1284996293122488,49.089691162109375,99.85200223966493,87.47803433328707,0.07531746696201078,0.19080203534744786,0.07100190429945107,0.0676858759344221,63714.28031923348,0.07491100120795288,0.36237426156087466,478.01890487792684,7.071711033950617,0.06145981477803634
20,220,33.6777,16.6797,22,14.0353,0,120,117,7,137,9,0.99714,35.01587,0.0,0.0,8.64286,8.55,14.69708,0.0,0.0,117.0,32.29843,0.0,0.41,5.314,-1.0,0.032102,0.12068317397823855,0.1486585476679158,79.5785998207943,0.48375058823529415,8059.362348485367,1.3320202071714309,0.02708766693632577,4.755803847441514,0.12847202264960927,49.18789804717641,100.05538410499642,89.80767468477919,0.07523425762576062,0.19105025706145226,0.07138042413544544,0.0676142626194293,63581.45534627869,0.07377312078327146,0.3623742615608732,476.78244126409413,8.19285300925926,0.06203755918675293
21,221,33.0404,16.724,22,13.5885,0,120,117,6,137,9,0.99517,34.4504,0.0,0.0,10.14286,8.652,14.35263,0.0,0.0,115.0,32.2879,0.0,0.41,5.916,-1.0,0.026491,0.12110597767537062,0.1502009341992359,79.21559031821597,0.48324901960784317,7635.928579675802,1.4014902545837724,0.027094479529108543,4.745124999302132,0.12823697416247443,49.351531605661656,100.12775373245829,85.60250563915805,0.07504737885986873,0.1910526515050244,0.07185951828518929,0.06755964598388768,63478.244310966766,0.07267434982651064,0.36237426156087443,475.54387672275175,8.40451388888889,0.062396313115116536
22,222,33.1949,16.5896,22,14.2554,0,120,117,7,137,9,1.00145,34.58361,0.0,0.0,9.5,8.663,14.38517,0.0,0.0,113.0,32.35898,0.0,0.41,4.87,-1.0,0.02888,0.12166858080913918,0.15041581537278684,79.08621064983184,0.4842643137254902,7665.872107694993,1.4136363749269438,0.02707334574031256,4.743966295214769,0.12781336836603313,49.39494870032794,100.11621170657394,85.85854599332478,0.07489434401943977,0.1909507397916081,0.07254280028764684,0.06757452128730344,63469.21762506429,0.07170815944540797,0.3623742615608758,474.34022053569845,8.708285108024691,0.0625456716072962
23,223,33.7797,16.349,23,14.0666,0,120,117,7,137,9,1.00392,35.12208,0.0,0.0,9.85714,8.674,14.26986,0.0,0.0,116.0,32.49885,0.0,0.41,5.725,-1.0,0.026841,0.12242702732550391,0.15020002274953984,79.19747484252413,0.4869106274509804,7957.858491495136,1.2071796538158408,0.027074887398614658,4.762003814625111,0.1273217482786538,49.39415901089892,100.02757139131461,84.34004984294822,0.07480646445161016,0.19067884368479907,0.07306069939698971,0.06761920956355927,63584.09927621806,0.07086387277825804,0.36237426156087554,473.1063671081055,8.913724922839506,0.06245599186107722
24,224,34.1787,16.2913,23,12.635,0,120,117,7,137,9,1.00922,35.506,0.0,0.0,6.14286,8.661,14.06474,0.0,0.0,121.0,32.59841,0.0,0.41,4.918,0.12603,0.023062,0.12362875345631448,0.1502336375674398,79.6528554774458,0.4887499411764706,8273.344318188752,1.2586772779717426,0.0271102824205892,4.796537597381752,0.12691451341341423,49.42629232524354,99.98309899815123,86.84365636034002,0.07485546222876342,0.19046296329371526,0.07342484005216303,0.06761307660423178,63664.29227746569,0.07008706416723263,0.3623742615608774,471.83650078629574,9.135175540123457,0.06231503303979428
25,225,34.2122,16.3057,23,13.5737,0,120,117,7,137,9,1.00426,35.54648,0.0,0.0,7.35714,8.526,14.01613,0.0,0.0,124.0,32.60663,0.0,0.41,5.136,-1.0,0.026202,0.12540196038769436,0.15068674830328213,80.03342543041758,0.4848547254901959,8329.630356793832,0.979754525754679,0.027112131540832796,4.847572930510198,0.126504347770205,49.37458575213397,99.96751987800216,85.6869882869694,0.07491997851696175,0.19033583768899226,0.07368272179860984,0.06762922059733135,63605.795424977034,0.06927750221115479,0.3623742615608762,470.51535751564023,9.955873842592593,0.062105607976592855
26,226,34.3208,16.1829,23,14.54,0,120,117,7,137,10,1.00776,35.58403,0.0,0.0,7.21429,8.567,14.03462,0.0,0.0,124.0,32.58667,0.0,0.4,5.245,-1.0,0.022206,0.12668493587486207,0.15061135997527625,80.15272033249502,0.48249260784313724,8426.320727119102,1.2128078928562045,0.02708848519666339,4.926244186364843,0.12624446333965766,49.2669376326196,99.95463182503394,90.27417775812174,0.0748262711883694,0.19036722773057746,0.0739188836575003,0.06770571276641879,63649.93179614995,0.06854911183516749,0.3623742615608756,469.1248803655968,10.015625,0.06192122464508823
