,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.5,cubrow.1.0,cubcol.0.6,contrast,tone,cubrow.0.3,noise,movement,fft,cubcol.0.5,uhdhdsim,cubcol.0,cubrow.0,cubcol.1.0,blockiness,temporal,blur,color_fulness,cubcol.0.3,cubrow.0.6,staticness,saturation
0,0,30.4561,13.3574,16,0.0,0,118,115,5,138,6,0.98521,29.48529,0.0,0.0,12.32143,9.031,0.0,0.0,0.0,120.0,26.54401,2e-05,0.31,3.484,0.0,4.194779,0.1330995271255598,0.0347384508328105,0.1434250323223976,87.69112625651837,0.4046266666666667,0.10577571670567232,0.22227149055436138,0.0,62201.02024510399,0.064252026475228,101.53142362077226,0.08782195390121374,0.11059427174539352,0.0713107669276682,0.9576104014290658,0.0,5794.586518547084,79.18562436412964,0.09952808977818155,0.13734777191042,591.8673177542829,56.13861762152778
1,1,30.8514,13.6275,16,8.99028,0,118,115,5,138,6,0.98869,29.83851,0.0,0.0,13.17857,8.992,11.47493,0.0,0.0,119.0,26.58289,0.0,0.31,3.289,-1.0,4.204782,0.11475086881233879,0.032906876337455294,0.13316314481238675,88.66943591042937,0.40460392156862746,0.1012790457805405,0.22227149055436116,5.797019675925926,62131.59040913451,0.06389833355868486,101.4857165657366,0.08719130513427525,0.11049687461890083,0.06910156812945253,0.6245007253357855,3.662856114795594,6000.412712278756,79.0619111331012,0.08888231084844495,0.12436848440746381,583.5691823548239,56.179856665340466
2,2,30.638,13.8718,16,8.86299,0,118,115,5,138,6,0.99046,29.64265,0.0,0.0,14.85714,9.148,11.70749,0.0,0.0,118.0,26.59273,0.0,0.31,3.446,-1.0,4.285725,0.10615753559670361,0.03344127844216946,0.12552408496461434,94.12825342065524,0.4042984313725491,0.09948733010555982,0.22227149055435988,5.5560378086419755,62184.121814567916,0.06388727681684386,101.50437519219227,0.08751428270558932,0.11069856997529805,0.07000228598494626,0.6434911158817951,3.6703712171113123,5873.537025434145,78.86693516107081,0.08272366796357193,0.11989033721961131,576.5772569215466,56.153730604383675
3,3,30.634,14.0269,16,9.07633,0,118,115,5,137,6,0.98808,29.58321,0.0,0.0,14.17857,9.036,11.9188,0.0,0.0,115.0,26.59092,1e-05,0.31,3.46,-1.0,4.384649,0.1032260824990606,0.03259042869655708,0.1184691497660393,89.18538715977442,0.40323333333333333,0.09829458983248528,0.2222714905543571,4.92529899691358,62058.695597057485,0.06381751864565054,101.55345106105517,0.08751338919282681,0.1108924725300545,0.07013880852925197,0.936652597741412,3.641189348291732,5857.601107258438,78.76113024928692,0.07134440822954637,0.11821388663902295,570.497306083836,56.19085938253521
4,4,30.2727,14.2703,15,9.00496,0,118,115,5,137,6,0.99093,29.24843,0.0,0.0,13.42857,9.311,12.05544,0.0,0.0,117.0,26.58777,0.0,0.31,3.677,-1.0,4.372893,0.1000811773319506,0.03197641523601471,0.11274765185399946,89.86851030799465,0.4028360784313727,0.0975267533071204,0.22227149055435438,4.355372299382716,62099.13694162742,0.06361627490137874,101.6047221244471,0.08756427310812268,0.11099291602261684,0.06974300300784991,0.7504339466964703,3.5894750920533203,5611.291229819943,78.55826703052588,0.06558336080379769,0.1151946999878871,565.5394782800801,56.072976759922355
5,5,29.5831,14.3777,15,9.13821,0,118,115,5,137,6,0.99132,28.63366,0.0,0.0,18.17857,9.411,12.26394,0.0,0.0,120.0,26.51941,2e-05,0.31,3.762,-1.0,4.374289,0.09655034502802998,0.03109913671643911,0.10862361848657047,92.69634915829756,0.3995968627450981,0.0963734334195507,0.21177757144561216,4.012924382716049,62122.49362578579,0.06345993295449426,101.7406257630713,0.08760223904207126,0.11112801893800975,0.07081768728286988,0.9521484123291616,3.573512687392439,5153.057402848271,77.99592512660213,0.06154241329484187,0.1118501423699561,560.7856566628429,55.91832516517168
6,6,29.2507,14.2415,15,9.68952,0,118,115,5,137,6,0.98878,28.32953,0.0,0.0,14.0,9.499,12.3491,0.0,0.0,121.0,26.44012,2e-05,0.31,3.415,-1.0,4.372339,0.09505900737318783,0.030511238614816718,0.10493978794521451,92.08230770685454,0.3995968627450981,0.09513230067519236,0.2079365304665516,3.8916377314814814,62071.53654588117,0.06334748397269878,101.82710262985252,0.08769272633224731,0.11105051308502564,0.07230535491976743,1.131983381143943,3.59604080234923,4992.0508937221375,77.76117263214438,0.058503901524729986,0.10905723810435253,556.2796985370801,55.91302866994599
7,7,28.9571,14.117,15,9.39243,0,119,115,5,137,6,0.98877,28.06062,0.0,0.0,13.32143,9.45,12.23172,0.0,0.0,121.0,26.34396,1e-05,0.31,3.617,-1.0,4.345764,0.09630809622421663,0.030107409505778813,0.10196559777151397,90.84166770780419,0.3992913725490196,0.09428117298376999,0.20793653046654517,3.5738329475308643,62019.41387409518,0.06320806900635852,101.89572913258907,0.08772964096130136,0.1110461167931378,0.07355780945883088,1.0501683378104514,3.561163315941666,4858.006703812063,77.3910376078661,0.05609108410416698,0.10757735896574445,551.9924795603387,55.780637764636374
8,8,28.7675,13.9942,15,9.01016,0,119,115,5,137,6,0.99249,27.85822,0.0,0.0,10.96429,9.432,12.12478,0.0,0.0,122.0,26.19395,0.0,0.31,3.826,0.51132,4.374011,0.09721605219091226,0.029654194394375916,0.10001296063519617,88.46576183000596,0.3984870588235294,0.09361582470915392,0.20793653046654312,3.4265528549382718,62034.664561487334,0.06313256105335686,101.94530354245487,0.08788616618204134,0.11104862019595525,0.07478468548073927,0.9564748554378354,3.5102432916852058,4802.727298846819,76.9011135771485,0.05414254357495599,0.10674805835031319,547.9005600734998,55.81423290864921
9,9,28.6637,13.7482,14,8.54374,0,119,115,5,137,6,0.99639,27.73412,0.0,0.0,10.82143,9.287,12.01514,0.0,0.0,122.0,26.02017,2e-05,0.31,3.977,-1.0,4.443409,0.09951474901403501,0.029440048163555332,0.09780555554463091,91.23294201221208,0.3958435294117647,0.09318929680510118,0.20793653046654195,3.2390046296296298,61476.03436912536,0.0629572298160434,101.97950561269266,0.08786934000625295,0.11122870348791761,0.07593081929823575,0.950351043196303,3.483773009642857,4768.136917178928,76.47566585449778,0.05252805540204441,0.10629885927730452,543.8122967640268,55.72342634789737
