,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,temporal,cubcol.0,blur,saturation,cubcol.0.6,cubrow.0.3,tone,uhdhdsim,cubcol.0.5,contrast,cubrow.0.6,cubcol.0.3,movement,cubrow.1.0,cubrow.0.5,color_fulness,noise,blockiness,fft,staticness,cubrow.0,cubcol.1.0
0,300,20.3241,23.7062,11,0.0,0,120,116,4,140,6,0.97111,19.75337,0.0,0.0,9.10714,10.705,0.0,0.0,0.0,105.0,29.59833,0.0,0.3,3.049,0.0,4.638711,0.0,0.028695328447749312,2162.730411341104,54.32157464674962,0.032792384542051044,0.0847099759962413,0.441118431372549,103.12378311355727,0.08828972633346843,87.36789994206194,0.08624050827198292,0.09766396264465121,0.0,0.03274632799928285,0.07632201028330103,82.04873450283509,0.19966023740101976,1.3852198309350807,61637.138838868435,717.8237104487554,0.04744779473229767,0.07325675023684296
1,301,20.9055,23.6658,11,19.46,0,120,116,3,140,7,0.97642,20.20859,0.0,0.0,7.35714,10.19,20.37362,0.0,0.0,119.0,29.93117,0.0,0.3,3.334,-1.0,4.625373,5.568643784233196,0.028740273513398227,2495.3430909753697,55.07552252875434,0.03330093885098116,0.07386950995029748,0.44452352941176476,102.96430809461663,0.05612486190983563,86.38497300995562,0.07210123480112976,0.06610561001505114,18.08762538580247,0.025804693694229233,0.059167750474079614,83.86892992890716,0.19966023740102581,1.9279780921688763,61897.38581991325,699.0549884560842,0.04627727525523534,0.06597428570986388
2,302,21.5611,24.3109,11,18.6931,0,119,116,4,140,7,0.97575,20.78784,0.0,0.0,9.21429,10.359,20.35405,0.0,0.0,114.0,30.38637,0.0,0.3,3.188,-1.0,4.525603,5.607262141913632,0.028853413928711494,2706.9396451897933,55.710070386345,0.03487930067236058,0.0665492044630424,0.44989372549019613,102.80209655804703,0.04941665708432593,90.00275326414933,0.06558322503558955,0.05979454290660227,15.61400462962963,0.023511710011177616,0.05358156679303816,86.24678964415514,0.20187786344424785,1.9849598136637603,62109.9190853876,691.34458206037,0.046418085126632286,0.06775811671559726
3,303,22.9365,24.0877,12,18.845,0,119,117,4,141,8,0.9784,22.06503,0.0,0.0,10.82143,10.538,20.91731,0.0,0.0,106.0,30.98823,1e-05,0.3,3.656,-1.0,4.463869,5.706175219469523,0.029005292201459313,3205.039099647536,56.24805554048514,0.03486730593613664,0.06569267498354797,0.46099411764705883,102.49014659760768,0.04544943407281922,88.68584860816124,0.06399141150652132,0.062467777674188124,14.265673225308642,0.02263285388139782,0.05214163676810836,88.24127347594249,0.20793653046654423,1.5746695393948091,62200.55083866126,688.5345703292162,0.046601083327723516,0.07221031109236668
4,304,23.9338,23.915,12,20.7265,0,118,117,4,141,8,0.98334,22.97343,0.0,0.0,10.28571,10.175,20.72091,0.0,0.0,111.0,31.50478,0.0,0.3,4.208,-1.0,4.435984,5.810961813596272,0.029205633518320534,3513.315707290179,56.570093037169656,0.035170637769499954,0.0627947600538552,0.4679066666666667,102.36657589276349,0.04317278605461418,88.78564281316436,0.06271640674409225,0.062437113814850974,13.99657600308642,0.022370279877528418,0.05615883575983081,89.8789333854906,0.20793653046654983,1.6290394047285126,62160.529126306705,686.5438452437606,0.04672222231739743,0.07011438134871736
5,305,24.7457,23.8541,13,21.738,0,118,117,4,141,9,0.98758,23.75536,0.0,0.0,16.32143,10.185,20.5881,0.0,0.0,112.0,32.17346,0.0,0.3,3.813,-1.0,4.325756,5.808967271275064,0.029371927378089496,3626.925123410115,56.82522206247589,0.03677163664612992,0.060441340817331525,0.4784549019607842,102.22422053201562,0.03849304515164086,89.07410311231735,0.06581546408679749,0.06272923251848075,13.073206018518519,0.022659294844170046,0.06015540217983386,91.16678044247884,0.22005386451112918,0.9311642241360701,62319.7122622622,682.0224129733942,0.04636064565491545,0.07166755682081324
6,306,25.9163,24.1895,13,23.109,0,117,117,4,141,9,0.993,24.84827,0.0,0.0,14.42857,10.558,20.52166,0.0,0.0,110.0,32.74343,0.0,0.3,2.934,-1.0,4.265426,5.856876898889446,0.029443900797777922,4007.1388425610953,56.66058764045621,0.03997445004705843,0.058539279012313275,0.48369803921568627,102.05717094139328,0.035914349699422234,86.23026157903979,0.0675435280573625,0.06329828104484454,12.628713348765432,0.024461145917781583,0.0631099338065973,91.77083795109908,0.22005386451113038,0.9444667834319216,62445.853472571434,675.3214226484092,0.04643437756428412,0.07537275971458932
7,307,26.7655,24.642,14,22.9281,0,117,117,4,141,9,0.99073,25.74734,0.0,0.0,11.14286,10.717,20.78245,0.0,0.0,113.0,33.12191,0.0,0.3,2.568,-1.0,4.097061,5.985463478436531,0.02968658240267675,4280.55401962139,56.265998369381755,0.03913492640733666,0.05692891305522829,0.48743411764705885,101.84287833814122,0.034259130034412964,85.9485224369949,0.06749782265953572,0.0663598738582237,12.35180362654321,0.030364142100559682,0.0651700446777883,91.49960240519572,0.22670674264082127,0.8096899470787191,62498.91768614019,666.6954942604647,0.047028884413098555,0.08081802350826979
8,308,25.3359,25.0622,14,23.8269,0,117,117,4,140,9,0.99493,24.60056,0.0,0.0,10.75,11.602,21.16941,0.0,0.0,117.0,33.32082,0.0,0.3,2.8,0.46052,4.2402,6.162401526980574,0.029755509173579893,3348.3334293016956,55.68141306182485,0.036852368781612806,0.05596523665197624,0.4908321568627452,102.08986780043077,0.03360793904319009,87.41473613553751,0.06657092124449203,0.06933274040703787,11.60180362654321,0.03731949815524342,0.06547840740392048,91.18865026137235,0.2305477836198803,0.7465984190896476,62403.519732515335,656.667112122798,0.04802257167242367,0.08209583568117415
9,309,24.2504,25.9351,14,24.9851,0,117,117,4,140,8,1.00082,23.7659,0.0,0.0,10.82143,12.165,21.52214,0.0,0.0,115.0,33.41041,0.0,0.31,4.004,-1.0,4.310681,6.324395826842946,0.029770331160562838,2928.4578973763078,55.32472191327884,0.035364263810239174,0.058075361965193036,0.4948972549019608,102.31364069678173,0.034956258708284706,87.97524853689967,0.06567387762427157,0.07032982330738914,11.174430941358025,0.03938994208456969,0.06316677819063218,90.3729652943044,0.23276540966310588,1.3806607483811522,62455.472210466694,645.8040702239613,0.048557710414982455,0.08320496326530055
