,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blockiness,tone,saturation,cubrow.0.3,cubcol.0.6,cubrow.0.5,cubrow.0,cubrow.0.6,color_fulness,temporal,noise,cubcol.1.0,blur,contrast,movement,staticness,cubcol.0.3,fft,cubrow.1.0,cubcol.0,uhdhdsim,cubcol.0.5
0,400,24.8762,22.8066,13,0.0,0,121,118,5,135,7,0.99835,24.319,0.0,0.0,5.53571,12.224,0.0,0.0,0.0,122.0,35.36587,0.0,0.3,3.94,0.0,2.816416,0.9738015655787092,0.4841427450980391,45.41591013213734,0.05869441493478058,0.10312937447189197,0.052532323393552245,0.033996654043676806,0.09957285908802568,110.61876228292412,0.0,0.23054778361988512,0.07975447717403697,3743.7568676838055,87.49142334026321,0.0,639.0977728926426,0.0391720613539183,62449.30808050751,0.045887795163115114,0.05449615197336023,102.1304925298051,0.05607871501447334
1,401,24.8826,23.0272,13,21.7535,0,121,118,5,135,7,1.00118,24.35672,0.0,0.0,7.17857,12.637,19.62046,0.0,0.0,121.0,35.65939,0.0,0.3,3.991,-1.0,2.832929,1.243954420767337,0.48697176470588244,45.42178721486786,0.045014695190840795,0.10762891913124953,0.03910464848991178,0.02823355859504815,0.08364840018070936,110.54498861122482,6.540231262566317,0.2305477836198845,0.0677396287996155,3634.154272757522,87.35229329100207,19.122202932098766,625.0547134953415,0.03720330682534102,62334.406006960395,0.042107922820410496,0.04097289956173917,102.08362801476736,0.058352078394763626
2,402,24.1825,23.0926,13,22.083,0,121,118,5,135,7,1.00396,23.79943,0.0,0.0,6.25,12.906,19.81449,0.0,0.0,123.0,35.80925,0.0,0.3,3.346,-1.0,2.785856,1.0192832195446748,0.488201568627451,45.58011485912182,0.04475042616987299,0.11606614890225224,0.03679820814676795,0.025625165696412145,0.0716613339607249,110.39777701012123,6.478034752363499,0.23054778361988518,0.06515649218994275,2997.4217566406155,86.04755805846457,15.965229552469136,610.9485886525293,0.036817757140999045,62339.37576957464,0.04008586280660461,0.038610947938917034,102.24826917449161,0.060364110033698765
3,403,23.8592,23.5487,14,22.8013,0,121,118,5,135,7,1.00483,23.59288,0.0,0.0,10.35714,12.383,19.85761,0.0,0.0,124.0,35.95236,0.0,0.3,4.267,-1.0,2.666194,0.6122091485976773,0.49290156862745094,45.54978999385128,0.046112372436674494,0.10557693377641833,0.03489309793441311,0.024031718651191244,0.06416629805564625,108.95179684089723,6.391666981042857,0.23054778361988607,0.060530612087517234,2723.5745924424987,88.85708090753486,13.636525848765432,596.2402089038353,0.0374675420359777,62358.76022199115,0.03819428052174953,0.03865144150315962,102.33484759675655,0.06154609424359725
4,404,23.8557,24.2774,14,23.0381,0,121,118,5,135,7,1.00098,23.69222,0.0,0.0,12.5,11.903,20.23293,0.0,0.0,124.0,36.026,0.0,0.3,3.665,-1.0,2.564269,0.9120258852453431,0.4982007843137255,45.63491576394917,0.04899279441341066,0.10013810062803243,0.035286609363975346,0.022856121260511935,0.06049106409287676,107.027497444141,6.303369971200101,0.23660645064217825,0.05841831982558548,2643.584182941568,86.82292444910331,11.76586612654321,581.7421909747281,0.03740379769755888,62194.72056130267,0.0379970200376164,0.03726075161625851,102.35971470214318,0.06203074657200022
5,405,24.6541,24.7775,14,22.6141,0,121,118,6,135,8,1.00684,24.44784,0.0,0.0,9.78571,11.671,20.86333,0.0,0.0,123.0,35.8928,0.0,0.3,4.99,-1.0,2.513286,0.6308926332169048,0.49898784313725486,45.73298136393229,0.052990590715287965,0.09811761522364947,0.0374748744769488,0.021837635545329418,0.06008980585958978,104.57293724914803,6.233941252045179,0.23882407668540784,0.06064302802929003,2944.4381757142087,88.32764063650532,10.193238811728396,567.9875913459961,0.036729340653181126,62269.84145775517,0.03655487419942642,0.03509580904531147,102.22259127101923,0.062394573035295185
6,406,26.1878,24.893,15,23.2549,0,121,117,6,135,8,0.99542,25.86203,0.0,0.0,9.35714,10.671,21.29605,0.0,0.0,122.0,35.72219,0.0,0.3,4.285,-1.0,2.449613,0.823186957956179,0.4982007843137256,45.906676492573304,0.053998448158635616,0.10366464793691506,0.03940636370268005,0.0212154686281527,0.05961194275731637,101.71543328884133,6.1623041349644865,0.24488274370769994,0.06785489239872579,3564.621781405691,86.3699725012968,9.31177662037037,554.786998018068,0.036708327794452565,62639.128855424686,0.03672969929956586,0.03678349335238566,101.95876668862172,0.061941560163348924
7,407,27.5417,24.4925,16,21.005,0,122,117,6,135,8,1.00032,27.12129,0.0,0.0,8.03571,10.179,21.40287,0.0,0.0,122.0,35.77845,0.0,0.3,4.015,-1.0,2.33427,1.0256945382650988,0.5030301960784314,46.20910531503183,0.056813135314554675,0.10530993369218578,0.04881189232232045,0.02083888627115783,0.05790005920957886,98.46072120438765,6.029817443249817,0.2471003697509333,0.07517961230270107,4030.9969224194106,86.56777670502765,8.63184799382716,541.9994765539413,0.037439182923630805,62782.18001527029,0.03619439283276529,0.038098044930267506,101.73642371569059,0.06162209365554279
8,408,28.4861,23.9314,16,20.9106,0,122,117,6,135,8,1.00104,27.93152,0.0,0.0,9.46429,9.965,21.07167,0.0,0.0,122.0,35.62638,0.0,0.31,4.398,0.40625,2.306146,0.8925737090064834,0.49924156862745095,46.43507479443962,0.06035305426320817,0.10577305349474023,0.05827968485901453,0.020504226673111192,0.058181287071160444,96.1673616374229,5.863129136857124,0.24710036975093375,0.07254776842875997,4369.660423741342,86.5682308237758,8.02637924382716,530.4073307622855,0.0377651598186925,62541.17224626005,0.03450468059330678,0.038287461746863094,101.60071268000898,0.06041964937768262
9,409,28.575,22.9582,16,19.8436,0,122,117,5,135,8,1.00918,28.06811,0.0,0.0,12.53571,9.95,20.57061,0.0,0.0,120.0,35.25234,0.0,0.3,4.132,-1.0,2.254785,1.4162828102447442,0.49756705882352936,46.61907280815972,0.06377549135066686,0.10296621055485462,0.06526240066232379,0.020173594916601846,0.05722679633099272,93.6661098635544,5.755560638761519,0.2471003697509353,0.07221545036432675,4367.385050724392,85.71050283708462,7.234953703703703,519.8597132031962,0.03808865541549288,62686.530940370336,0.033402494609778496,0.037467979053013106,101.59212532049074,0.05959557173204881
10,410,29.1665,22.0017,17,20.4505,0,122,117,5,136,8,0.98852,28.62439,0.0,0.0,16.46429,9.612,19.75676,0.0,0.0,122.0,35.11123,0.0,0.3,3.935,-1.0,2.181216,1.1487931959830258,0.49483950980392133,46.4979581479673,0.06646247629773354,0.10173176204150369,0.07375322407033866,0.019973437749864903,0.056398815579042534,91.1316645650904,5.672882180950027,0.2531590367732222,0.07382418885403283,4586.940973290979,90.06565496693807,8.870563271604938,509.9648109596739,0.03829563192532519,62771.09469054351,0.03272487849525743,0.03767041623478653,101.50932269949628,0.0591029595933689
11,411,29.3686,22.4855,17,19.3382,0,122,117,5,136,7,1.01221,28.88586,0.0,0.0,14.92857,9.415,18.91111,0.0,0.0,124.0,34.70428,0.0,0.3,3.434,-1.0,2.099813,1.2338904891467406,0.4914749019607843,46.288790290738326,0.06901159224700242,0.0999451425065738,0.08163940785444394,0.020038319701532914,0.057546296868473755,88.44304664842922,5.627739573491947,0.25700007775228856,0.07088379556517474,4715.733361615456,89.00422947732824,9.591676311728396,500.4459129158796,0.03841079987290508,62773.79306494579,0.03241643213407511,0.03918382291995834,101.45260106900534,0.05875384081289827
12,412,29.2608,22.6906,17,20.0685,0,122,117,5,136,8,0.99314,28.86007,0.0,0.0,12.60714,9.571,19.32674,0.0,0.0,124.0,34.1969,0.0,0.31,2.952,-1.0,2.094532,0.723420638072751,0.4897317647058825,46.27088381920332,0.07115032903315996,0.09748907786978335,0.08636109430986655,0.019757749273775764,0.05840248294414915,86.91818975987519,5.621043218541549,0.2553766628164597,0.06853194964908171,4711.758939922605,86.39286187632476,8.690297067901234,490.81769703468575,0.038362902451228774,62551.62574319303,0.03274918687163169,0.03980098503719583,101.41598995115893,0.05853241445738032
13,413,29.3001,22.3932,17,19.3688,0,122,117,5,136,8,1.00755,28.86792,0.0,0.0,13.82143,9.533,19.517,0.0,0.0,118.0,34.16579,2e-05,0.31,2.991,-1.0,2.000805,0.864384047058006,0.49244901960784315,46.49834225501544,0.07303017321445716,0.09591146422231313,0.09012005344099464,0.019551771815228807,0.05913846301484828,86.31392302896545,5.601633494558169,0.2592177037955216,0.06825167901507498,4737.531141396069,86.23833342155507,8.225260416666666,481.0924000630306,0.03853967442765901,62623.57751357977,0.03278940274657091,0.04034717859940127,101.39758454858595,0.05830994138781137
14,414,29.0687,22.6206,17,18.9217,0,121,117,5,136,8,0.99999,28.63964,0.0,0.0,17.42857,9.731,19.26258,0.0,0.0,110.0,34.62558,0.0,0.3,2.82,-1.0,1.914825,0.9470036105951419,0.49981686274509807,46.696352734977815,0.07435557215200857,0.09406707064812697,0.09354994915575668,0.019261449458864925,0.059163214145305766,86.96754978888613,5.685452475921954,0.25921770379552084,0.06723048182976182,4601.312451078102,87.48116926794447,8.155189043209877,471.7214466636118,0.03867241569407694,62643.312563455846,0.03287958454623411,0.040038661797385654,101.41879427944339,0.058043572669863146
15,415,29.0922,22.3958,17,21.0407,0,121,117,5,136,8,1.01082,28.68077,0.0,0.0,11.57143,10.014,19.43932,0.0,0.0,111.0,34.98366,0.0,0.31,2.648,-1.0,1.942869,1.0462375685957952,0.5060606470588234,46.65544448664159,0.07531263617874015,0.093094283519978,0.0924274431784405,0.018927725495359676,0.05897855586139365,87.14825047009887,5.737920472861283,0.25315903677322926,0.06591917270470637,4591.361375608709,86.66363262804515,9.127411265432098,462.8523071776958,0.03847685207732533,62276.111296547686,0.03279497282080886,0.03888348628334988,101.39076156695644,0.05773430296644577
16,416,30.002,21.8349,17,21.4459,0,121,117,5,136,9,0.9924,29.44041,0.0,0.0,9.64286,10.072,19.25785,0.0,0.0,107.0,34.94093,0.0,0.31,2.996,0.41319,2.02559,1.011804265464707,0.5055584313725491,46.567736213589896,0.07577722346924008,0.09187890522072538,0.09148853313999172,0.018679106824554436,0.05964905010399425,87.24668213301518,5.7164242695973115,0.25315903677322465,0.06446918235070322,5253.556515753067,87.24023911532433,10.076244212962964,454.1136761111082,0.03827590827626118,62238.66963116518,0.03292474493613434,0.038803130101938095,101.22648642958951,0.05739843612682902
17,417,30.6541,21.3888,17,20.3478,0,121,117,5,136,9,1.00302,29.94627,0.0,0.0,11.0,10.095,18.78004,0.0,0.0,107.0,34.70113,0.0,0.3,2.938,-1.0,2.113184,0.8083645198827626,0.503717254901961,46.634667290581596,0.07623870659250141,0.0907390414620928,0.09065774747795768,0.01841860716842538,0.06019992842758559,86.04492412731067,5.723009556248848,0.2471003697509344,0.06366422750105372,6056.158237406158,87.63717438848248,9.769868827160494,445.93417683049614,0.037981590209993255,62436.21188863352,0.03319471465802657,0.039111580658879104,101.05249433174001,0.05705833558091949
