,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,contrast,cubrow.0.5,cubrow.0.6,cubcol.0.6,cubrow.1.0,uhdhdsim,saturation,color_fulness,cubcol.0.5,cubrow.0.3,cubcol.0,cubrow.0,cubcol.1.0,fft,blockiness,cubcol.0.3,temporal,noise,staticness,tone,blur,movement
0,0,29.2944,13.0347,13,0.0,0,118,115,4,138,6,0.98393,27.5682,0.0,0.0,11.14286,9.016,0.0,0.0,0.0,120.0,26.07743,1e-05,0.3,3.111,0.0,7.115752,91.43178974527734,0.12563953054341453,0.12954760675986948,0.13447198754572443,0.03249966654560248,102.12343294674477,55.95772787965374,78.17185236377264,0.05546233321256265,0.09967846645131548,0.08129183557214029,0.10283605419628851,0.0678120313750417,61497.77998328349,0.8471685762863127,0.09361845214280665,0.0,0.1604963981166305,586.0901077771877,0.3977837058823529,5077.123660030866,0.0
1,1,29.7523,13.3175,14,8.91024,0,118,115,4,138,6,0.98989,27.97351,0.0,0.0,14.07143,8.985,11.19123,0.0,0.0,118.0,26.11628,0.0,0.3,2.728,-1.0,7.132903,89.72804489341483,0.10742122652060083,0.114886141545218,0.12731026063799866,0.03184160100444281,102.06453661737507,55.99391325020496,78.02077101289964,0.056000058977546334,0.09533651111348011,0.08088385515330954,0.10266359055324802,0.0660456253319541,61384.13656963853,1.0317358368467457,0.0830647689060735,3.4741658911749296,0.1604963981166292,578.3989957217843,0.3986952941176471,5297.642484524078,5.394675925925926
2,2,29.5384,13.5395,13,8.89439,0,118,115,4,138,6,0.99456,27.77003,0.0,0.0,15.42857,9.118,11.43449,0.0,0.0,118.0,26.13099,1e-05,0.3,2.75,-1.0,7.152196,90.5396842362662,0.09901857027299323,0.11091278581819687,0.12004754902439459,0.03258506508578309,102.09562036313187,55.97109570915316,77.84988360750712,0.05580800857754445,0.09278072395862803,0.08108643936972608,0.10249224310936862,0.06677874797968229,61445.23089805836,1.0672490012611817,0.07691740305389726,3.4910552221049165,0.16049639811662902,571.9720851151502,0.3968003921568628,5191.393072246125,5.2758005401234565
3,3,29.4966,13.673,13,9.25569,0,118,115,4,137,6,0.99224,27.69194,0.0,0.0,16.82143,8.961,11.62586,0.0,0.0,115.0,26.13482,0.0,0.3,2.678,-1.0,7.301259,91.39185196737806,0.09649533867730016,0.10955797518157394,0.11249078856507662,0.03160765409345905,102.15008660094058,56.01828568070023,77.64771147409124,0.05569108100479415,0.0913846028753155,0.0808108052503792,0.10241783533281303,0.06675606836156453,61391.27609824667,1.0522979080219192,0.06478251731517724,3.4655922814305655,0.16049639811662833,566.2401843756604,0.39654392156862744,5157.821453256936,4.704282407407407
4,4,29.1546,13.9259,13,8.93167,0,118,115,4,137,5,0.99506,27.38373,0.0,0.0,11.92857,9.138,11.7444,0.0,0.0,117.0,26.13396,0.0,0.3,2.823,-1.0,7.245918,92.51109753704932,0.09350208610502511,0.10619704114647065,0.10681633163367733,0.031100582132366494,102.20494973168124,55.89381295663339,77.49233877993687,0.05556047994351499,0.09041055256766908,0.0807685165757073,0.10204266972523218,0.0660346115860374,61409.36122480333,0.8876744986290298,0.058746196588172823,3.41702732589085,0.16049639811662797,561.5472170151334,0.39529568627450984,4953.936653834924,4.144000771604938
5,5,28.4675,14.0498,13,9.02914,0,118,115,4,137,5,0.99287,26.76307,0.0,0.0,16.57143,9.182,11.95964,0.0,0.0,119.0,26.06805,2e-05,0.3,2.803,-1.0,7.244676,91.68803273852323,0.08951532068028208,0.10253384714786921,0.10261987672541953,0.03017537063291444,102.34706640613527,55.73584587191358,76.92113192038322,0.05537548484454398,0.08898625553860581,0.08074234673598371,0.10198348242717585,0.06649088181723496,61353.069247528074,0.9789689161048285,0.05443513545211242,3.405686257007953,0.16049639811662766,556.985158557715,0.393823137254902,4528.413383887507,3.803192515432099
6,6,28.1427,13.9108,13,9.63233,0,118,115,4,137,5,0.99028,26.46848,0.0,0.0,14.0,9.49,12.06184,0.0,0.0,121.0,25.98769,3e-05,0.3,2.863,-1.0,7.337634,92.66663724761352,0.08868732828599334,0.09982559712728341,0.09891796991907677,0.029627617038634334,102.44120658979904,55.72782502350984,76.67016504109368,0.05523829278108901,0.08776013440683524,0.08075987340531658,0.10209226982022684,0.06729616395734116,61369.526752449,1.3108684011701253,0.051103710243650166,3.425101259917625,0.16049639811662753,552.6007506050785,0.3940176470588234,4373.043551833216,3.7198109567901234
7,7,27.8227,13.7907,13,9.43265,0,119,115,4,137,5,0.99101,26.17901,0.0,0.0,14.82143,9.378,11.94185,0.0,0.0,121.0,25.89947,1e-05,0.3,2.915,-1.0,7.305867,88.19424738472135,0.08965819485366565,0.09832794981299656,0.0961430823489263,0.029253884117104237,102.50862359320122,55.59747804241416,76.28916430855567,0.055068768267610695,0.08683773543483932,0.08074784239533825,0.10205049832487188,0.06807199329576083,61291.88162259336,0.9845628082601833,0.04844137027035697,3.4032816614830503,0.16049639811662744,548.4586275127157,0.39396313725490195,4231.726556841326,3.4386091820987654
8,8,27.6251,13.6988,12,8.94597,0,119,115,4,137,5,0.99617,25.97828,0.0,0.0,10.46429,9.425,11.83539,0.0,0.0,121.0,25.75461,2e-05,0.31,2.915,0.64596,7.326594,90.1815791050079,0.09025624753085076,0.09737381679851834,0.09401025840205651,0.02881953288851434,102.56322952194198,55.64179446373457,75.78742940672846,0.054981479563419276,0.08629134699129175,0.08079328249351861,0.10181186459096662,0.06881618509450854,61229.37008436716,0.8727874436028931,0.046301899680137655,3.3651928937950286,0.1604963981166272,544.4743686166474,0.3924890196078431,4185.740841177449,3.270351080246914
9,9,27.5574,13.4582,12,8.30063,0,119,115,4,137,5,1.00114,25.88629,0.0,0.0,11.42857,9.234,11.756,0.0,0.0,121.0,25.57741,0.0,0.3,3.121,-1.0,7.48204,89.77307265623638,0.0922976312449698,0.09674868899861863,0.09193266827411542,0.02866505807573446,102.58249142865657,55.56088935004341,75.33575143828999,0.05475460618898987,0.08591074765474513,0.08075539483883185,0.10176405418202154,0.06948552279283186,61279.33162655814,1.0227252121173245,0.04447486557510957,3.339195366318725,0.16049639811662705,540.461776567425,0.3906149019607843,4163.494225354128,3.067949459876543
