,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,color_fulness,cubrow.0,blockiness,cubcol.0,cubrow.0.5,uhdhdsim,staticness,contrast,cubrow.0.3,blur,movement,fft,temporal,cubrow.1.0,cubcol.0.5,tone,saturation,cubrow.0.6,cubcol.1.0,cubcol.0.3,noise,cubcol.0.6
0,300,18.1605,22.416,8,0.0,0,120,116,3,140,5,0.97978,16.84915,0.0,0.0,8.53571,10.963,0.0,0.0,0.0,106.0,28.94054,2e-05,0.28,4.171,0.0,6.931858,80.12981364207108,0.036892744180292925,0.5930526552725722,0.014491615049629657,0.06666311452648861,104.18614470179811,706.9862650526627,87.71982019798376,0.07317560609537188,1583.9779107837735,0.0,60735.85308618632,0.0,0.02780693269099108,0.07273018534674223,0.42797137254901974,54.19543494707273,0.07541217674278897,0.05989878546773052,0.09462018216821336,0.1356675189200546,0.015923294363867496
1,301,18.9127,22.316,8,18.0514,0,120,116,3,140,6,0.98154,17.46272,0.0,0.0,8.28571,10.397,19.26236,0.0,0.0,117.0,29.29776,4e-05,0.28,3.782,-1.0,6.951951,82.46776847815087,0.03688555194560672,0.4254986558008261,0.014360315369967092,0.04938192208560467,103.9497567099003,692.8952002404668,88.3983854233945,0.06389323476346438,1935.0555830260614,16.835165895061728,61023.64323157119,5.520356926801004,0.020661229868925723,0.04515854860583429,0.43020901960784325,54.96976160120081,0.06375316665493086,0.056200282623183474,0.060462066378945446,0.13566751892005505,0.01611983762070779
2,302,19.6899,22.9868,8,17.4826,0,119,116,3,140,6,0.97404,18.15444,0.0,0.0,8.67857,10.937,19.1861,0.0,0.0,113.0,29.75214,1e-05,0.28,5.138,-1.0,6.87348,84.84560863511086,0.03634488386303914,0.6433082892694767,0.01431548214201202,0.04424654253631891,103.75477337076269,687.1375352396237,88.81225006969808,0.056087240351147274,2130.475117257694,14.77391975308642,61256.816071407644,5.531448375926984,0.018615218079940956,0.04059652489351231,0.4348709803921569,55.594093416943956,0.05797208321601508,0.05706140049985177,0.054404124206010124,0.13788514496328685,0.01922284403182653
3,303,21.0065,22.7515,9,18.0341,0,119,117,3,141,7,0.98539,19.34756,0.0,0.0,9.03571,11.132,19.76667,0.0,0.0,105.0,30.35637,5e-05,0.28,4.38,-1.0,6.854109,86.7694325729598,0.03657268135856007,0.7068918549656417,0.01419694859825798,0.04302976867475282,103.46755850625043,685.3626694710812,84.52338276966738,0.05466370995943503,2510.35337804778,13.400511188271604,61385.83458049889,5.624535188843161,0.017809849527613438,0.038009744851655106,0.44600196078431387,56.13694876211661,0.05715195999481989,0.06218302973590114,0.05502155143987279,0.14010277100651672,0.021473430923047373
4,304,22.1003,22.5634,9,19.3026,0,118,117,3,141,7,0.98358,20.35133,0.0,0.0,7.25,10.182,19.55456,0.0,0.0,110.0,30.86884,1e-05,0.28,4.235,-1.0,6.680144,88.31537097961902,0.037147557792536735,0.7461198842786098,0.014170170675264385,0.046011285593587116,103.26511466062554,683.9334997834737,90.87765644624511,0.052185385558776186,2828.393487872671,13.251109182098766,61397.91675692385,5.718808453343127,0.01740660114764105,0.03672759917017587,0.45340566666666654,56.47208564664111,0.0557608976880066,0.0590528035644157,0.05435129199994452,0.15443773109432737,0.024595673702829602
5,305,22.9943,22.5297,9,20.5919,0,118,117,3,141,7,0.98699,21.18077,0.0,0.0,11.89286,10.2,19.41528,0.0,0.0,111.0,31.53796,3e-05,0.28,3.655,-1.0,6.559974,89.47440734497256,0.03660225223284699,1.1888622400123436,0.0141482746044995,0.05068518879264703,103.10472947414044,679.7733345529259,88.76621502481862,0.05007139847582595,2955.0575307912654,12.380111882716049,61494.663222201736,5.714009607963319,0.017752832978271574,0.032516694313415154,0.4624790784313726,56.736822057653356,0.05987381314789396,0.061383542665664544,0.05419997635410308,0.15665535713756276,0.02830133253453342
6,306,24.223,22.859,10,21.7818,0,117,117,3,141,7,0.99212,22.32757,0.0,0.0,11.46429,10.502,19.36973,0.0,0.0,110.0,32.10715,3e-05,0.28,3.651,-1.0,6.48601,89.95373743092503,0.03679537565820384,0.759890388990576,0.014033209534294344,0.05440081452436851,102.88840096041783,673.2724615537272,88.33759267397073,0.04828694863939533,3365.033009258304,11.99975887345679,61685.79961604245,5.759644730944569,0.0205233443598394,0.03039745160521433,0.4726686274509805,56.53628803771219,0.062046906621485015,0.06568025475746901,0.05436311788062079,0.16049639811662667,0.03268587339461817
7,307,25.0737,23.2891,11,21.1578,0,117,117,3,141,7,0.99019,23.16811,0.0,0.0,7.39286,10.77,19.62356,0.0,0.0,113.0,32.46786,1e-05,0.28,3.274,-1.0,6.259124,89.6209838683073,0.037280648306459205,0.7881683366499488,0.014133566251717695,0.05710724277625143,102.66011765525633,664.7843971762511,89.86126031161785,0.046832016311442834,3590.7883718942912,11.734278549382717,61736.80419322587,5.8527258809815725,0.027693603609279416,0.028804481466028944,0.47628470588235305,56.11979939025126,0.06172030455184913,0.07171786728787301,0.05715726337336955,0.1604963981166272,0.03281384089844238
8,308,23.6143,23.6425,11,22.367,0,117,117,3,140,7,0.9929,21.95808,0.0,0.0,9.5,11.722,19.9887,0.0,0.0,117.0,32.6587,0.0,0.28,3.028,0.64365,6.324514,89.31713790224997,0.03893211372918875,1.303690380094056,0.014158324564515443,0.05769922384237673,102.91371205478576,654.810746580118,86.19965740145983,0.04620911944473308,2746.303638088467,10.920717592592593,61716.52824207994,6.0167573589527725,0.03554753113010611,0.028665733441335273,0.47717490196078444,55.52550855095004,0.06097726461997888,0.07251880458439888,0.05948967549232482,0.16049639811662794,0.031092644438273382
9,309,22.3057,24.467,11,23.4286,0,117,117,3,140,7,0.99849,20.87346,0.0,0.0,10.39286,12.235,20.28885,0.0,0.0,114.0,32.72185,0.0,0.28,2.984,-1.0,6.285647,88.73964203160287,0.0396310182015564,0.8432509341424266,0.014095770612059652,0.05561260770615642,103.20008547987642,644.0493897643053,91.99710909829274,0.048808675300462914,2285.7622337877215,10.364583333333334,61743.62702930066,6.132173326335297,0.0373983920369779,0.029325491310013826,0.48051176470588247,55.12367851351514,0.05966446804331201,0.07360554228976926,0.05995901327430404,0.16049639811662916,0.029790911464129065
