,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.3,cubrow.0.6,staticness,blockiness,tone,cubcol.0,cubcol.0.6,noise,temporal,fft,color_fulness,cubrow.1.0,movement,cubrow.0.3,uhdhdsim,cubrow.0.5,blur,saturation,cubcol.0.5,cubcol.1.0,contrast,cubrow.0
0,400,23.3217,20.9654,10,0.0,0,121,118,4,135,5,0.99779,21.84257,0.0,0.0,8.67857,12.427,0.0,0.0,0.0,121.0,34.66177,0.0,0.28,2.941,0.0,3.560089,0.016866807341411702,0.08851701612099108,628.8429758962317,0.6489310302898325,0.4676011764705883,0.04054669466209813,0.08077732178816147,0.1770489842476739,0.0,61930.11166785683,109.44097289201113,0.033209788761364115,0.0,0.05586674421702403,102.9328993027722,0.04792435283628112,3077.869422896426,45.01940522370515,0.04809000803677862,0.08166035672080674,86.15381687397657,0.03582432896285269
1,401,23.4572,21.2286,10,18.9993,0,121,118,4,135,6,1.0034,21.97412,0.0,0.0,8.46429,12.55,18.04393,0.0,0.0,120.0,34.96692,2e-05,0.28,3.853,-1.0,3.48354,0.016351899951223207,0.0743799796449541,617.5824706234995,1.091591706671855,0.4718886274509805,0.03403451199320783,0.08433581129847677,0.17483135820445087,6.115096869406258,61824.066112575485,109.3678415288531,0.03275240198723282,15.472366898148149,0.04322674922120139,102.86210547739067,0.035443790950509944,3086.252072357251,45.03100246853299,0.04789724969204933,0.06608618550042089,85.4177375177161,0.02904079135130972
2,402,22.811,21.3325,10,20.1638,0,121,118,4,135,6,1.00404,21.40093,0.0,0.0,9.42857,13.178,18.27399,0.0,0.0,122.0,35.10614,1e-05,0.28,3.229,-1.0,3.371641,0.016332875312243658,0.06309304470505116,605.1291416850361,0.7777450671428715,0.4755250980392156,0.03231860793872692,0.09043804631350151,0.17483135820444373,6.033689230942932,61796.376627402366,109.14570984772863,0.03224782221242692,13.27271412037037,0.0436190800302996,103.02566315026414,0.033121682207246095,2534.32244918928,45.188189659589604,0.04747297789680653,0.06058386052574602,87.15522532840637,0.026283698928047165
3,403,22.3698,21.7301,11,20.4247,0,121,118,4,135,6,1.00724,21.03516,0.0,0.0,9.75,13.207,18.34625,0.0,0.0,122.0,35.24175,1e-05,0.28,4.411,-1.0,3.254888,0.01604780606963943,0.055598027120939454,591.2935493071939,0.693601518720088,0.4816725490196079,0.03231566068100273,0.0817637353084041,0.17483135820444548,5.937828017796578,61823.08776176005,107.74232632974964,0.03265094700196007,11.605324074074074,0.045101645150193014,103.1741974150089,0.030980655450954093,2222.479067968868,45.16291714891975,0.04788947900246524,0.05692941242574361,90.63775383253589,0.02477611484536782
4,404,22.1899,22.5083,11,21.0441,0,121,118,4,135,6,1.00606,20.93278,0.0,0.0,9.03571,12.464,18.67253,0.0,0.0,122.0,35.30791,0.0,0.28,5.013,-1.0,3.255334,0.015579658616907039,0.05261094470794661,577.5430635619838,0.9522672322690579,0.4864360784313726,0.030171187793510298,0.0779007089651848,0.17483135820444898,5.828611528666931,61559.92760819633,105.93909590793236,0.03351234234283373,10.08227237654321,0.047290729121705545,103.24971258894234,0.031101795692744915,2086.0548900752983,45.244962715808256,0.04892884400883987,0.053695488102563256,89.51225700651025,0.023246575078136496
5,405,23.0985,23.0985,11,21.1406,0,121,118,4,135,6,1.00765,21.77195,0.0,0.0,11.78571,11.401,19.33722,0.0,0.0,122.0,35.17759,0.0,0.28,4.72,-1.0,3.261705,0.015213742355380543,0.05239061653819013,564.3408537271117,1.2389146243660176,0.4874741176470588,0.02818614921837712,0.07681740033064378,0.17704898424767346,5.715466320975367,61618.40591107558,103.32946115030407,0.032290956075355697,8.870177469135802,0.05148080476445517,103.09791600235127,0.03333064547316411,2367.4564993424688,45.35694338951582,0.04994132315930164,0.05581847036982803,85.38397952645799,0.022074200778796703
6,406,24.4977,23.289,12,21.3897,0,121,117,4,135,6,0.9918,23.04406,0.0,0.0,10.0,10.909,19.84523,0.0,0.0,121.0,34.99722,0.0,0.28,4.304,-1.0,3.136132,0.014971269453072302,0.05119574081278872,551.4732354134202,0.9545982071786517,0.4874839215686275,0.030934885337929933,0.08352412568640209,0.17926661029090515,5.628989226146745,62062.6798247973,100.3189048180875,0.032245516944201844,8.136043595679013,0.05216356579504802,102.8554309699893,0.03551374389199815,2848.119644925759,45.54223029996142,0.04940924190436378,0.062418459658931884,89.15867336708047,0.0213053869975029
7,407,25.7302,22.9455,12,19.5172,0,122,117,4,135,6,1.0029,24.18343,0.0,0.0,10.71429,10.35,20.01632,0.0,0.0,121.0,35.03421,0.0,0.28,3.975,-1.0,3.026729,0.015045007220802415,0.049644506689526954,538.8618165746228,0.6365905528017202,0.4874909803921569,0.03406548632437016,0.08756078341736563,0.18532527731319523,5.510100416255789,62126.54132404631,97.08246950567961,0.031047672618641952,7.613088348765432,0.05454194209622406,102.63232362985973,0.043612968779220725,3227.5143801354584,45.86919657389323,0.04852965548366573,0.06724988258325802,88.0515235772964,0.020942648500863695
8,408,26.7678,22.4389,12,19.3782,0,122,117,4,135,6,0.99918,25.06415,0.0,0.0,12.28571,10.04,19.73359,0.0,0.0,121.0,34.89512,0.0,0.28,3.975,0.42593,2.99424,0.0151962552028827,0.05049308259500914,527.4327011828827,1.2303686474794127,0.48386078431372553,0.03497110661169128,0.0888024820167213,0.17926661029090762,5.364589011743369,61970.33398241233,94.83521180241772,0.02954807024424474,7.189573688271605,0.0588276594774589,102.47655573135364,0.053508160944874227,3567.5375666321365,46.07530758704668,0.04723414704833203,0.06520427410538711,88.44410102240911,0.020472592491907422
9,409,26.7856,21.4962,13,18.7065,0,122,117,4,135,6,1.01124,25.10768,0.0,0.0,14.46429,10.132,19.28228,0.0,0.0,118.0,34.50792,0.0,0.28,3.799,-1.0,2.991694,0.015323416555884442,0.04912929882411054,517.0208908787818,1.2243383659038636,0.48361411764705886,0.03419011895057513,0.08607479311430916,0.17926661029090699,5.2721277932748745,62003.040584184,92.24012542084935,0.028649802981044286,6.507474922839506,0.06287178687628879,102.48706939338261,0.05995329181981573,3535.6927784550157,46.268533400547355,0.04605092192002878,0.06480915269482113,85.70111011755115,0.020062579281359214
10,410,27.3004,20.6227,13,19.262,0,122,117,4,136,6,0.99003,25.57125,0.0,0.0,15.78571,9.605,18.4953,0.0,0.0,121.0,34.36463,1e-05,0.28,3.764,-1.0,2.958474,0.01549733890707964,0.04840836904109696,507.1951150105597,0.8445718355687174,0.48149490196078437,0.0343305949168527,0.0853469024062376,0.18310765126996956,5.223657779563458,62094.20733152386,89.74377758031183,0.02800956756917396,8.210165895061728,0.0658287908627362,102.42013978662513,0.07035842525818382,3682.503673893081,46.14738294813368,0.04500062342199271,0.06661233648615944,87.03915652490105,0.019629409496024514
11,411,27.5109,21.0959,13,18.2375,0,122,117,4,136,6,1.01147,25.79778,0.0,0.0,14.60714,9.41,17.715,0.0,0.0,124.0,33.93099,1e-05,0.28,4.31,-1.0,2.945596,0.015597390828882505,0.0492571175827657,497.69708885670786,0.7504265739593029,0.4790376470588237,0.036488006599786356,0.08449500552581765,0.18532527731319812,5.218146434504704,61985.763539883694,86.94488904427253,0.02778539997443062,8.916184413580247,0.0687479118680925,102.37238386736182,0.07735210089430682,3787.421347626542,45.96939557864342,0.044100584788253926,0.06380577125321094,86.09858958844904,0.019377131329013707
12,412,27.3079,21.2611,13,18.5791,0,122,117,4,136,6,0.99063,25.65405,0.0,0.0,12.17857,9.395,18.12413,0.0,0.0,123.0,33.39388,0.0,0.28,3.271,-1.0,2.98618,0.015610039973211233,0.04987797302997262,488.09966450848384,0.6745638432575107,0.47598798039215684,0.03737854949863953,0.08242426141918323,0.18532527731319826,5.227876897528277,61776.306008911466,85.19800700916038,0.027878936372388023,7.992091049382716,0.07044043175642405,102.35600312151034,0.08205217787918813,3745.424041195354,45.91508295506607,0.04317120703322428,0.06128443132429134,90.08457376334272,0.01892424138506279
13,413,27.38,20.9181,13,18.0844,0,122,117,4,136,6,1.00674,25.70463,0.0,0.0,13.17857,9.495,18.28263,0.0,0.0,115.0,33.36399,2e-05,0.28,3.462,-1.0,2.979281,0.015699952818488776,0.05043879252038473,478.37147126291524,0.6429659838259335,0.477306274509804,0.03624375572998674,0.08122467950480228,0.185325277313198,5.169296874448509,61686.387728918446,84.54998681091129,0.02789355794728187,7.56298225308642,0.07167656295542973,102.32992145797057,0.08649954049734865,3795.7333933449077,46.18125444577064,0.04232336313767272,0.0609635640946722,87.53430391856453,0.01853325414478778
14,414,27.1862,21.0787,13,18.059,0,121,117,4,136,7,0.99674,25.52891,0.0,0.0,13.89286,9.667,17.98595,0.0,0.0,109.0,33.85488,0.0,0.28,4.326,-1.0,2.876579,0.015841614181895215,0.0504651626820004,469.0330851613752,1.0717638741362567,0.4850896666666666,0.03551043661151134,0.07955987395281937,0.18532527731319773,5.234996995628429,61976.90448425891,85.20027441709162,0.027852699997474122,7.43407600308642,0.07286537785544954,102.3473952179773,0.08863129187667054,3684.1181000132165,46.410472916968075,0.04154862599556146,0.060057696761835304,89.2371548902094,0.01817373820380381
15,415,27.2784,20.8604,13,19.6366,0,121,117,4,136,7,1.01481,25.62476,0.0,0.0,11.5,9.925,18.1049,0.0,0.0,108.0,34.2175,0.0,0.28,3.979,-1.0,2.916146,0.015883594724635627,0.0505529144791783,460.1662835502443,0.8581430445245095,0.48866235294117655,0.03496584348179158,0.07863745008237658,0.18310765126996778,5.263762198587802,61519.0410077156,85.3363774523825,0.0278836958780932,8.611979166666666,0.07441952612612199,102.30482329903592,0.08761347858372036,3694.387679610342,46.37643225399064,0.040903787757329724,0.05876364067209708,89.16305762482796,0.01784825843771331
16,416,28.2484,20.1799,13,20.0656,0,121,117,4,136,7,0.99469,26.44095,0.0,0.0,10.89286,10.068,17.92201,0.0,0.0,106.0,34.1886,0.0,0.28,4.397,0.5036,3.05244,0.01591077737583709,0.051068654835842706,451.4468311526428,0.7937425268731721,0.48722313725490196,0.0347685580070499,0.07757684430305084,0.1792666102909041,5.2409915148661685,61396.54260364604,85.18515427249046,0.027953209821958352,9.40991512345679,0.07486827796582395,102.13070597536876,0.08687826328363775,4299.960835647194,46.288591549720294,0.0403415834101824,0.05713025861382005,87.4144425219131,0.017563887976632157
17,417,28.8979,19.6179,13,19.163,0,121,117,4,136,7,0.9957,26.98297,0.0,0.0,13.07143,9.886,17.34185,0.0,0.0,107.0,33.93009,0.0,0.28,3.181,-1.0,3.162504,0.015928295888113456,0.05206675652019709,443.29541291354707,0.847309374787529,0.48329568627450986,0.03531956986383289,0.07661539973957723,0.17483135820444948,5.229610044038251,61535.901103512406,84.1029332868569,0.02827926612541585,9.017264660493828,0.07592862646292273,101.95126251854165,0.08605504334732715,5022.990464356083,46.28244282286844,0.0398263578040993,0.056027681720876445,88.12000311208537,0.017297699653123538
18,418,27.402,20.0076,13,20.8634,0,122,117,4,136,7,1.00584,25.63005,0.0,0.0,12.0,10.133,16.85392,0.0,0.0,108.0,33.75659,0.0,0.27,3.337,-1.0,3.19143,0.015972468985930632,0.05260740215368353,435.836986773181,0.8655887601650982,0.4837519019607841,0.03468854222660391,0.0757103986895947,0.16655506513892382,5.224126118171313,61605.57525826473,82.60632260526488,0.028737397087898024,8.564380787037036,0.07601274364351865,102.18030281154526,0.08491901328750803,4401.261782283035,46.3003848982446,0.03945424812513871,0.05527921603089786,88.76600006282798,0.017043075939172852
19,419,27.0024,20.8162,13,19.7128,0,122,117,4,136,7,1.00505,25.28772,0.0,0.0,10.53571,10.7,17.19083,0.0,0.0,108.0,33.67128,0.0,0.27,3.637,-1.0,3.202375,0.015979241290770788,0.05310584511034931,428.4682329514068,0.9171284299101228,0.4883619607843137,0.03492292686268996,0.07466665841535251,0.16271402415986044,5.317371676959015,61579.54003431628,80.11731038920962,0.03032361001735738,8.968364197530864,0.07620831108986605,102.2360809253606,0.0842544914050094,4247.840839596673,46.203821064513406,0.03923349227360784,0.054868196218256324,89.93559661526675,0.016802981618516885
20,420,26.344,20.6726,12,20.3495,0,122,117,4,136,6,1.00668,24.66914,0.0,0.0,10.32143,10.928,17.89097,0.0,0.0,110.0,33.46597,0.0,0.27,4.136,-1.0,3.236222,0.01595664461681339,0.053834977988798896,421.12884055451445,1.0526674062558956,0.48671999999999993,0.035873815725997765,0.07366330241533849,0.16049639811662944,5.40335448697697,61594.4146572556,77.03378790964446,0.03154459576302316,10.67139274691358,0.07615607427077785,102.35392779191321,0.08346310541912122,4055.647926926095,46.05755031256028,0.03925390993137135,0.05347153907685885,87.00358742727714,0.016571996288167752
21,421,25.8372,20.7782,12,21.1507,0,122,117,3,136,6,0.99528,24.14288,0.0,0.0,10.53571,11.097,17.76453,0.0,0.0,110.0,33.15116,0.0,0.27,4.577,-1.0,3.294408,0.01606751662668018,0.05444036488506782,414.00132310748637,0.7221539067873632,0.4784819607843137,0.035384756643128394,0.07258580816840737,0.16049639811662778,5.483665901979901,61397.67677316455,75.52107877697378,0.032613647707991716,11.639467592592593,0.0756638498775484,102.46753081309988,0.08351691816164572,3829.241418413494,45.89485093104987,0.04023515592831969,0.052476760030148034,86.61873336987384,0.016355284564965857
22,422,25.5424,20.8202,12,21.573,0,123,117,3,136,6,0.996,23.85517,0.0,0.0,14.25,10.946,17.85969,0.0,0.0,112.0,32.88004,0.0,0.27,4.585,-1.0,3.448383,0.016299640715892145,0.05383609782824875,407.10247560490035,0.8585123317827568,0.47794627450980387,0.03703728633049096,0.07162148628753882,0.16049639811662744,5.474276102739305,61431.788155064845,75.17528933406061,0.03337072055565321,11.736689814814815,0.07482187485281562,102.5039908671151,0.08503348889745074,3660.2942344492867,45.6656842643832,0.039828478468757915,0.05143772540717702,87.02103659713914,0.016154331388064196
