,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.6,cubrow.0.3,cubcol.0.6,movement,saturation,uhdhdsim,staticness,tone,cubrow.0.5,cubrow.1.0,cubcol.0,color_fulness,temporal,cubcol.0.3,cubcol.0.5,contrast,cubcol.1.0,blur,cubrow.0,fft,noise,blockiness
0,0,34.3019,10.9262,30,0.0,0,110,123,12,137,8,0.99901,38.52916,0.0,0.0,3.42857,8.461,0.0,0.0,0.0,128.0,45.10854,0.0,1.43,1.381,0.0,0.000446,0.17975336485547977,0.09230313544466216,0.10682876865324117,0.0,49.01186041184414,99.35888555948436,632.1586604164128,0.6875211764705882,0.12284224620445462,0.18001439870315236,0.07622105320659404,66.09949707875553,0.0,0.1404724564653696,0.10498115501137963,87.23461448152376,0.12491277979807391,9305.504037401348,0.07360280717279916,64470.18461180798,0.42414935399860276,1.2023343512553002
1,1,34.1418,10.8033,29,11.9786,0,110,123,11,137,8,0.99908,38.30978,0.0,0.0,3.75,8.429,9.4003,0.0,0.0,127.0,45.13205,0.0,1.42,1.372,-1.0,0.000422,0.17095222108392233,0.0836896860117502,0.09186794658359211,5.512683256172839,49.000092871395154,99.39344957568872,629.8535669518607,0.6874058823529411,0.11908663821654786,0.1736350509695907,0.07217813342771172,66.44844534239101,6.061067509263682,0.13594406641332887,0.10487088108023748,90.42822364879474,0.123859879480704,9234.198186901705,0.06759430523566146,64524.6564985965,0.42193172795538275,0.8977260764857814
2,2,34.1796,10.5396,29,11.0763,0,110,123,11,137,8,1.00041,38.37052,0.0,0.0,3.42857,8.437,9.29405,0.0,0.0,127.0,45.14271,0.0,1.42,1.4,-1.0,8.6e-05,0.16856498559993582,0.08107515475975063,0.08901021281611696,5.29272762345679,49.21096330807533,99.39713987003987,627.8771266677998,0.6878274901960783,0.12057907438457126,0.16618555580015135,0.06952332336294012,66.80786959271893,6.038793511163736,0.13795676475123028,0.10418270549448258,87.23542212890978,0.12476395897365254,9293.45750168604,0.0678677323749412,64476.46883892735,0.4219317279553827,1.2342270946133083
3,3,34.2012,9.80512,30,11.1062,0,110,123,11,137,8,0.99556,38.52875,0.0,0.0,2.78571,8.45,9.06529,0.0,0.0,127.0,45.14103,0.0,1.43,1.455,-1.0,0.0001,0.16765568722435079,0.08167208850448217,0.08866589383033868,4.440489969135802,49.17102973843798,99.36662266386179,626.3070915822867,0.687716862745098,0.12077542586077133,0.16211533332458083,0.06753323327153005,66.68289732024947,5.929235896522858,0.1518500951165217,0.10238397369867723,86.9334740514094,0.1250091632409919,9336.36204174903,0.06844146872442793,64514.547225985116,0.4241493539986075,0.8997339272152112
4,4,34.3994,9.5009,30,10.4717,0,110,123,11,137,8,0.99616,38.86594,0.0,0.0,3.28571,8.439,8.43383,0.0,0.0,127.0,45.12165,0.0,1.42,1.572,-1.0,7.6e-05,0.16729507693187623,0.0838051709569335,0.09072705658826424,3.3662712191358026,49.42842817895207,99.3026157134243,625.2339180304433,0.6871443137254902,0.12125543059618653,0.15875680644055618,0.06514878402915047,66.70685768258568,5.568352434622161,0.1557265595792054,0.10041352238318814,88.20911294538263,0.1254250765731737,9483.828682042946,0.06965150565232994,64488.47605282123,0.42414935399860987,1.1162698091425103
5,5,34.6259,10.1037,30,10.8145,0,110,122,12,137,8,1.00113,39.15823,0.0,0.0,4.10714,8.343,8.16853,0.0,0.0,127.0,45.04962,0.0,1.43,1.479,-1.0,0.000367,0.16646620969804396,0.08542068489041071,0.09213331418875029,2.982783564814815,49.459217401198394,99.25626895698706,624.6185283888562,0.6859377254901958,0.12172913956272464,0.15613592215944969,0.0638955296522226,66.69588555951684,5.532829530231047,0.1500322390058276,0.10079415491784954,87.53968729225743,0.1265035037339832,9619.38167049905,0.07120646421030766,64585.762514548616,0.42414935399860904,1.3148450516416605
6,6,34.9205,11.3704,31,11.5594,0,110,123,12,137,8,1.00092,39.50263,0.0,0.0,3.35714,8.386,8.69229,0.0,0.0,127.0,45.00549,0.0,1.41,1.473,-1.0,0.000301,0.1640720416172598,0.08573695639740105,0.09335217379812225,3.2806712962962963,49.615742436161746,99.21018524606465,624.3284910008193,0.683881568627451,0.12202697958157586,0.15448834837420294,0.06382412094318729,66.93627908753001,5.835997738070623,0.1476169828434789,0.10060345636353506,88.81340178803379,0.1278763047089102,9824.408683670074,0.07263346992983034,64668.44808023399,0.4241493539986121,1.413851240853849
7,7,34.9277,12.0948,30,12.0308,0,110,122,12,137,8,1.00014,39.49547,0.0,0.0,6.28571,8.446,9.78903,0.0,0.0,127.0,44.9729,0.0,1.42,1.479,-1.0,0.00037,0.16141912468946043,0.08579711695433725,0.09527875213240483,4.003472222222222,49.546333783938564,99.21000141162453,623.7655416940484,0.6829392156862746,0.12128824649710793,0.15250753758817043,0.06425587779159621,66.73223139098315,6.022737321229856,0.14494179573768662,0.0998607147163212,88.61909352548943,0.12838790573663744,9802.366386571302,0.07342740202401318,64595.729673171154,0.4241493539986099,1.0600951259514386
8,8,34.7981,11.9564,30,12.8081,0,110,122,12,137,8,0.9989,39.32878,0.0,0.0,4.14286,8.38,10.41777,0.0,0.0,127.0,44.89419,0.0,1.42,1.661,0.125,0.000251,0.15872776363833194,0.08604756870585133,0.09604390134258174,4.427806712962963,49.55794515727479,99.2472854793936,622.873783793053,0.6792609215686255,0.12077357737373874,0.15082762054581245,0.06558983743418981,66.73691709928292,6.1583748108745375,0.1417847048494949,0.09962701250522456,90.45581116093862,0.12596773807040232,9705.085863543365,0.07381560125468946,64443.022642875505,0.42414935399861037,1.3094254412381248
9,9,34.5614,11.9064,30,12.2169,0,109,123,12,137,8,1.00108,39.06478,0.0,0.0,6.21429,8.42,10.3079,0.0,0.0,128.0,44.91629,0.0,1.42,1.698,-1.0,0.000294,0.15660384389645654,0.08502125368309384,0.0958185324794984,4.248408564814815,49.541223408263406,99.27813942398143,621.7378197401283,0.677573745098039,0.12073696580754993,0.14902496791738318,0.06528435040075821,66.6839401583424,6.253874159353448,0.13884957530706768,0.09844493215893525,85.7872817020776,0.12517902053886845,9587.80103507653,0.07406345402536792,64435.85374928948,0.42414935399860987,0.880148199517128
