,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.6,cubcol.1.0,cubcol.0,color_fulness,uhdhdsim,cubcol.0.3,cubrow.0,blockiness,noise,cubcol.0.5,movement,tone,temporal,fft,cubrow.0.5,contrast,cubrow.1.0,blur,cubrow.0.3,staticness,cubrow.0.6,saturation
0,100,35.8769,8.16613,33,0.0,0,108,117,9,136,9,0.99882,41.65606,0.0,0.0,3.42857,8.224,0.0,0.0,0.0,127.0,45.97743,0.0,1.44,2.468,0.0,5.4e-05,0.11572373790697818,0.14192449050781691,0.09397004508466719,63.03545105783053,98.82743754105275,0.10301216597446264,0.11867450356265824,1.9793729393552646,0.43848431408642313,0.10185535242160786,0.0,0.6912482352941162,0.0,64478.52167403952,0.15238384766142088,90.69436408425375,0.17439061791781468,10745.367521981218,0.09011290810266134,536.1253948637295,0.1374597357385409,57.304216361340174
1,101,35.9093,7.90677,33,9.11936,0,108,117,9,136,9,1.00022,41.66157,0.0,0.0,2.21429,8.185,7.0408,0.0,0.0,127.0,45.96716,0.0,1.43,2.638,-1.0,0.000273,0.10838241301109391,0.1443122449577008,0.0871106437570139,63.021564628000135,98.83950941845599,0.1003456283654545,0.11107398634286021,2.109305876743381,0.4362666880431969,0.1057933962208271,1.5783179012345678,0.6909839215686259,4.6114346857687485,64595.19337453674,0.13298431884264542,88.86127526953337,0.17007557407311122,10749.598216194327,0.08570003054920369,535.1745471219627,0.12956579831774967,57.52875754273968
2,102,35.9084,7.5735,33,8.84978,0,108,117,9,136,9,1.00054,41.66633,0.0,0.0,2.82143,8.181,6.8241,0.0,0.0,127.0,45.96499,0.0,1.43,2.554,-1.0,0.000208,0.10686751707916851,0.14901720894580942,0.08252705968233888,63.09461089015764,98.83539275380743,0.10001217992741998,0.10775222551829379,1.348019483230832,0.4362666880431936,0.10497196245024751,1.2394868827160495,0.6910043529411765,4.510264855740741,64662.728934594146,0.13102011971842434,92.34722107204594,0.16872639450643284,10791.645952676501,0.08528876131666276,534.8748281411706,0.12721014653527823,57.493068177023055
3,103,35.807,7.39491,33,8.96089,0,108,117,9,136,9,0.99918,41.58748,0.0,0.0,2.28571,8.216,6.53981,0.0,0.0,127.0,45.9614,0.0,1.45,2.674,-1.0,9.5e-05,0.1076867988786416,0.15356764068538742,0.08599818859832556,63.01423512840029,98.8469436785118,0.0992843330774814,0.10715954436971749,1.5418896172406562,0.43848431408642546,0.11319781036177914,1.0327449845679013,0.6904764901960783,4.424890342826486,64802.14854043648,0.12978758565913612,91.84385944110298,0.16868821679557658,10707.874427853734,0.08553591813868568,534.6984899504765,0.1267596892921742,57.33696925787278
4,104,35.7041,7.30584,33,8.77269,0,108,117,9,136,9,0.99786,41.45675,0.0,0.0,2.78571,8.237,6.379,0.0,0.0,128.0,45.92721,0.0,1.45,2.878,-1.0,0.000254,0.10860262294498192,0.15742821024057263,0.08598728666149874,62.971537651154534,98.87649592347816,0.09826862859749998,0.10690511099186893,1.4306229977215075,0.436266688043196,0.1179151116360474,1.0159143518518519,0.6895172549019608,4.450559920211733,64802.10216844059,0.1284665282188339,92.38541135757269,0.16774098967416562,10632.442968314588,0.08506711137039716,534.5066799218636,0.1260944861781104,57.41738759735484
5,105,35.6795,7.16689,33,8.55507,0,108,117,9,136,9,0.9962,41.44606,0.0,0.0,2.28571,8.272,6.30553,0.0,0.0,127.0,45.93999,0.0,1.45,2.645,-1.0,0.000395,0.109268060185245,0.16037999875792186,0.08422872292840773,63.01234053716792,98.88765233943941,0.09776673772047058,0.105817896771409,1.8974395534327357,0.43626668804318935,0.11312024150850615,1.2355324074074074,0.6892566078431367,4.5023531370358025,64605.51802320883,0.1272233388510191,88.38192210149461,0.16700838999892564,10592.546451450064,0.0845590714750567,534.4642451369973,0.1255236008976329,57.31790424864969
6,106,35.6688,6.92,33,8.26558,0,108,117,9,136,9,0.99632,41.40885,0.0,0.0,2.28571,8.226,6.18133,0.0,0.0,127.0,45.86888,0.0,1.44,2.94,-1.0,7.3e-05,0.10990024521729727,0.16243910357845537,0.08151348411018329,62.91088062987484,98.89561136555608,0.09736419788257578,0.1044245472620205,1.553231895952435,0.43626668804319707,0.11245098374172685,1.1510416666666667,0.6878094117647058,4.491705890939387,64575.9580480306,0.12656939223206667,88.46952901937487,0.16687191643860952,10564.03931328121,0.08685638903656523,534.3725908213712,0.12526182502505132,57.26718271514516
7,107,35.6523,7.03055,33,8.08333,0,108,117,9,136,9,0.99881,41.41771,0.0,0.0,2.5,8.199,5.96253,0.0,0.0,128.0,45.841,0.0,1.44,2.842,-1.0,4e-05,0.11136297289089882,0.1628315332924909,0.07970799173846431,62.92001569206536,98.89272472010114,0.09668737799223609,0.10385719743267562,1.965429662012284,0.43626668804319757,0.10844049586246397,1.0347704475308641,0.6871372549019608,4.464453008329268,64569.55129999101,0.12631677003465655,92.76956313031488,0.1668126813880062,10550.322214257603,0.09016792976934024,534.2280745655414,0.12499865135343036,57.218915397738236
8,108,35.7001,7.15459,33,8.73066,0,108,117,9,136,9,0.99628,41.43918,0.0,0.0,3.10714,8.228,6.0558,0.0,0.0,128.0,45.85207,0.0,1.42,2.999,0.125,0.000122,0.11182716453162984,0.1624429786817621,0.0786898767425481,63.07630046239434,98.89514227002478,0.09633893161119911,0.10364500440589428,1.4326680612582674,0.43626668804319907,0.10616709397828139,1.0812114197530864,0.6868537254901962,4.575365917954433,64618.020154698876,0.1255027967616267,88.75297081148712,0.16666418958602494,10591.713305371364,0.09196013630660621,534.0385193986291,0.12480778620131526,57.314907874590084
9,109,35.6758,7.52404,33,8.35455,0,108,117,9,136,9,0.99405,41.3979,0.0,0.0,3.75,8.213,6.15738,0.0,0.0,128.0,45.84613,0.0,1.43,3.815,-1.0,0.000542,0.1125572169643557,0.161753404149274,0.07753861345325545,62.96030966138532,98.88886789209263,0.09607252738061157,0.10308563018291339,1.5690975743741216,0.43626668804319474,0.10461957862614384,1.0871913580246915,0.6863749019607843,4.559059635018875,64629.151974109955,0.12497686630677718,88.668817255004,0.1668903689353974,10576.2404105806,0.09227717702848084,533.7217624305999,0.12468177699932845,57.547065075532885
