,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.6,fft,cubcol.0.3,cubrow.0.3,cubcol.0.5,staticness,tone,saturation,color_fulness,blur,cubcol.0,movement,blockiness,uhdhdsim,noise,cubcol.1.0,cubcol.0.6,contrast,cubrow.0.5,temporal,cubrow.0,cubrow.1.0
0,200,38.7892,10.3561,36,0.0,0,109,119,12,138,10,1.00284,45.28077,0.0,0.0,1.21429,8.3,0.0,0.0,0.0,128.0,43.31975,0.0,1.44,3.954,0.0,9e-05,0.16809373645580183,64445.052694390506,0.11350568090992282,0.13939532380112088,0.13503784240568098,609.3219019490726,0.633692156862745,55.09859532485773,66.08707844175444,12968.830199182226,0.13225590607574222,0.0,2.324261103931681,98.3858289377358,0.44454298110871465,0.12672053103292888,0.1546844877227278,86.36243823800191,0.10682547278879397,0.0,0.1394193205180309,0.18225145040478116
1,201,38.6599,10.1787,36,12.0941,0,109,119,12,138,10,0.99991,45.21255,0.0,0.0,1.53571,8.335,8.9643,0.0,0.0,126.0,43.16977,0.0,1.44,4.565,-1.0,0.000394,0.16275037195612838,64553.5467710048,0.10865451484354158,0.12414313774236867,0.1398394692877994,607.9516642494193,0.6327992156862745,55.03354635356386,66.06180635751997,12861.882323267073,0.12809043984746973,3.8678626543209877,2.283779304482574,98.39785766025545,0.4445429811087202,0.12196823432166734,0.1494240624655024,87.11171125400642,0.10453495422721835,5.452548119255653,0.13753486559218064,0.16093571775587898
2,202,38.8734,9.59966,36,12.0519,0,109,119,12,138,10,0.99809,45.45506,0.0,0.0,1.46429,8.285,8.8058,0.0,0.0,128.0,43.14127,0.0,1.45,4.548,-1.0,4.8e-05,0.16128486918920604,64563.150734822644,0.10725984090495386,0.12109853639643468,0.14763482623389332,607.6168132327491,0.6326301960784314,55.20009867350261,66.2304690179866,13066.682971491653,0.12606616632141404,3.2784529320987654,1.9273186307450838,98.35221086913984,0.4445429811087189,0.12100301098188361,0.14681755343695088,87.07276750525756,0.10692283428442324,5.536621482184383,0.13793629345717434,0.1602581181437637
3,203,39.0276,9.67268,37,11.673,0,109,119,12,138,10,0.99952,45.64121,0.0,0.0,2.89286,8.315,8.30444,0.0,0.0,128.0,43.17566,0.0,1.43,3.533,-1.0,0.000239,0.16096009414387794,64555.18417874183,0.10663666840407361,0.11860779218270576,0.1472311896122777,607.3957362000142,0.6334243137254902,55.080098093291866,66.29002110453186,13210.209147020812,0.12785613108902982,2.6489679783950617,1.6317165321060962,98.32830723005083,0.444542981108719,0.12125092994456489,0.14520095776997466,86.92167851676932,0.10545535160489547,5.361652846357732,0.1381167148785639,0.15642364046429133
4,204,39.1442,9.68097,37,11.9,0,110,119,12,138,10,1.00046,45.76003,0.0,0.0,2.82143,8.291,8.37218,0.0,0.0,128.0,43.41211,0.0,1.44,3.606,-1.0,0.000147,0.16104175776718208,64533.67722995027,0.10575721944995434,0.11737100220494545,0.1459290808614509,608.0898450031463,0.6389913725490196,55.60198842743297,66.76056485811102,13293.863448910459,0.12963257739280754,2.4245756172839505,1.6014002790902735,98.31201847499298,0.44454298110872,0.11893116476647096,0.14357543491603691,89.08180261415407,0.10719655003548455,5.484544021377528,0.13801578136128667,0.1536160476530505
5,205,39.3126,9.64763,37,11.9361,0,110,119,12,139,10,1.00168,46.02867,0.0,0.0,2.35714,8.361,8.3921,0.0,0.0,124.0,43.64107,0.0,1.45,3.432,-1.0,0.000472,0.16112441707028236,64471.372547963634,0.10562049594423277,0.11658923045483452,0.14217344525962541,610.4800464266154,0.6442822745098027,56.4704970371576,67.96383448868826,13496.132530246963,0.13069913856743373,2.1690297067901234,1.5107543207976204,98.26489932581367,0.4445429811087213,0.11683520479249226,0.14357775802082814,86.40896513223086,0.10958164138677293,5.661011980967939,0.13848490321079715,0.15345338477818507
6,206,39.2859,9.44137,37,11.0899,0,110,119,12,139,10,1.00236,45.98762,0.0,0.0,1.78571,8.356,8.32577,0.0,0.0,124.0,43.7269,0.0,1.45,3.336,-1.0,7.4e-05,0.16144024977087107,64457.52075924416,0.10580180507207197,0.11564323178358876,0.13740614647461713,612.1016953441494,0.6490709803921569,56.36858942479264,67.92870610348643,13475.251128241116,0.1304040628740458,2.13305362654321,1.3787161326091146,98.27583689554153,0.4445429811087213,0.1159242043616127,0.1432553999741349,89.41743184491354,0.1114597540257827,5.38147205214756,0.13917233192013506,0.15213376931503494
7,207,39.2892,8.73499,37,10.6926,0,110,119,12,139,10,0.99754,45.98393,0.0,0.0,3.10714,8.33,8.15432,0.0,0.0,124.0,43.80449,0.0,1.43,3.515,-1.0,0.000238,0.16179678154055552,64498.77418799321,0.10604181124836844,0.11469496693237224,0.13416689413187952,613.2343156123218,0.6515073529411753,56.43158957398968,68.0346717311125,13444.532978877849,0.13061394424251693,2.05492862654321,1.6975961538046576,98.2774104382481,0.44454298110872026,0.11667752617124094,0.1432336129833842,87.92977706616182,0.1131900349995678,5.3490580061818305,0.13991423635140463,0.14995313591696202
8,208,39.2024,8.37463,37,10.0857,0,110,119,12,139,10,0.99513,45.88856,0.0,0.0,2.67857,8.298,7.54236,0.0,0.0,124.0,43.86076,0.0,1.45,3.406,0.125,5.3e-05,0.16204420898751534,64422.977708690276,0.10642167775347534,0.11415073318020216,0.13165868017064808,614.171761058796,0.6528070588235294,56.48797174147617,68.28376489528279,13370.352451875784,0.13076844393952666,1.6533564814814814,1.4457685245718663,98.28050414969604,0.4445429811087194,0.11706469846563142,0.14376901248599516,86.7492939921634,0.11578646560893277,5.1830694985153665,0.14069210898296472,0.14779605258397324
9,209,39.3212,8.02253,37,9.48853,0,110,119,12,139,10,0.99283,45.94803,0.0,0.0,1.57143,8.308,7.235,0.0,0.0,124.0,43.93006,0.0,1.45,3.515,-1.0,0.000135,0.1624635101214979,64450.81438920626,0.1069681457250949,0.11375698284679046,0.12957110714508255,615.0183721317898,0.6541419607843137,56.55071644724151,68.60704357246033,13462.120464866142,0.13134265975264475,1.4852430555555556,1.7728193182947338,98.2892819421012,0.4445429811087207,0.11820187777267008,0.14371850577334594,90.77076648022145,0.11776813220440685,5.168635735272929,0.14167432631390647,0.14647487620719596
