,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,noise,cubrow.0.6,blur,cubcol.0.6,fft,movement,staticness,cubcol.1.0,cubrow.0.5,cubcol.0.3,cubcol.0.5,contrast,tone,cubrow.0,cubcol.0,saturation,blockiness,temporal,color_fulness,cubrow.1.0,uhdhdsim,cubrow.0.3
0,400,42.9467,9.66494,41,0.0,0,116,118,13,140,11,0.98775,50.69317,0.0,0.0,1.25,8.224,0.0,0.0,0.0,127.0,43.62477,0.0,1.43,1.841,0.0,0.000616,0.4467606071519477,0.20457100027772362,16782.821190587754,0.1844804331642986,64821.99482965619,0.0,765.6592934477676,0.22779292151455904,0.2000326162423699,0.09699580117492064,0.14214939944465693,91.22127761160716,0.6647364705882353,0.16198029623506666,0.11080432018310118,57.148952719605994,2.06446868283881,0.0,82.39540176415038,0.16395414146698895,97.60939836908621,0.17414391548273084
1,401,42.8978,9.87641,41,10.529,0,116,118,13,140,11,0.98306,50.71199,0.0,0.0,1.17857,8.222,8.36703,0.0,0.0,126.0,43.6265,0.0,1.45,2.116,-1.0,0.000143,0.4467606071519506,0.20354094369584125,16781.078890008444,0.17632089778598214,64819.05460222269,3.6767939814814814,765.4342954311022,0.22902465903321154,0.20123366135659468,0.09327157718020768,0.13966888398092636,91.20274767325702,0.664314450980391,0.15875091745153622,0.11121646536415371,57.30772286874276,1.7187958337647264,5.378426463712769,82.81229073392119,0.1648926452589366,97.59686433701951,0.17139827475983366
2,402,42.9218,9.80781,41,10.5073,0,116,118,13,140,11,0.98316,50.72486,0.0,0.0,0.67857,8.248,8.55493,0.0,0.0,125.0,43.60536,0.0,1.44,2.183,-1.0,0.00022,0.4467606071519483,0.2002086881917136,16802.723203399884,0.17666597331052492,64871.28070573502,3.455295138888889,765.4927556338538,0.23333229639649708,0.19766945850628564,0.09433739355903611,0.13905152411640614,87.5341013300852,0.662990980392157,0.15779809716683668,0.11652850119111835,57.22680777090567,2.162315544723599,5.462641665065113,83.18724170480286,0.16434335743915685,97.5887106556381,0.1704087788174921
3,403,43.0146,9.48572,41,10.7325,0,116,118,13,140,11,0.98808,50.81864,0.0,0.0,0.92857,8.19,8.49842,0.0,0.0,125.0,43.5447,0.0,1.43,1.881,-1.0,8.5e-05,0.44676060715194765,0.20005085664391778,16861.20837784168,0.17320394386120103,64883.0528094518,3.111882716049383,765.3611253063698,0.23669497133670037,0.19662646708689507,0.09511703198022821,0.1383795943626114,91.25702484915499,0.6613882352941177,0.15821068761413634,0.12094325519095146,57.30492975682389,2.826231808880513,5.490393385544881,83.4168749385076,0.16324547309259438,97.58847990338256,0.17006796966737364
4,404,43.1538,9.42491,41,10.5505,0,116,118,13,140,11,0.99328,50.95098,0.0,0.0,1.25,8.248,8.22169,0.0,0.0,125.0,43.54544,0.0,1.45,1.887,-1.0,0.000405,0.4445429811087216,0.20020970570513014,17005.9073626643,0.17507934127142505,64812.56310974406,2.6808449074074074,765.327853409727,0.23660867593547794,0.19707190058579901,0.0955966254052406,0.13982610643793122,87.41170130248062,0.6614176470588237,0.15801798954026447,0.1236413828666264,57.21908267927759,2.710973720731887,5.4159562538646595,83.52987568714866,0.1623870830103198,97.57699671001131,0.1696665190482672
5,405,43.5306,9.60975,42,10.4486,0,116,118,13,140,11,0.99882,51.32906,0.0,0.0,1.21429,8.21,8.1654,0.0,0.0,124.0,43.58794,0.0,1.43,2.091,-1.0,9.4e-05,0.4467606071519499,0.20042813158813838,17395.726919929024,0.1766857760153172,64766.05843137819,2.5107542438271606,764.6267344774617,0.2352896128222653,0.1967969289461389,0.09649880971235326,0.14247486065362958,88.52151779557224,0.6628459019607842,0.1585526648978997,0.12402296940945688,57.094244874553915,2.7894174876974387,5.491728605469473,83.7998550537774,0.16247013365279017,97.53722921201162,0.16956277269096062
6,406,43.7415,9.43708,42,10.5984,0,116,118,13,140,11,0.99704,51.59528,0.0,0.0,1.60714,8.215,8.34059,0.0,0.0,125.0,43.97334,0.0,1.44,1.893,-1.0,0.000299,0.44454298110872487,0.20018100791021098,17650.80714575206,0.17872730208693716,64726.48581168876,2.857542438271605,762.5600285207121,0.23385520522388592,0.1971422096017564,0.09697781412211104,0.14339526066966227,91.15589140975567,0.6687933333333334,0.15942483367594876,0.12342114130391388,57.02612493067611,1.772128410839913,5.619986248619367,83.69227814409943,0.162870438257527,97.4965247302251,0.16903342121402584
7,407,43.9112,9.22786,42,10.466,0,116,118,13,140,11,0.99576,51.78315,0.0,0.0,1.67857,8.189,8.1671,0.0,0.0,127.0,43.99636,0.0,1.44,1.983,-1.0,0.000182,0.44676060715195093,0.19989220112313008,17777.624999929445,0.17914334571692375,64647.88537272543,2.070505401234568,760.9234233367108,0.23096183937335163,0.1976559295559399,0.09722696910910406,0.14456675138257147,91.28708321099634,0.669007843137255,0.16017119678334785,0.12170189978016031,56.924215999650364,1.5961444412776369,5.416397369848984,83.60135840600996,0.16361269938196063,97.46619456962166,0.16865674069000933
8,408,43.6875,8.69483,42,10.4121,0,116,116,12,140,11,0.99484,51.54957,0.0,0.0,1.57143,8.215,7.99498,0.0,0.0,127.0,43.4941,0.0,1.44,1.943,0.125,1.6e-05,0.4467606071519474,0.20003003654496182,17484.58840132867,0.1793068319747276,64518.40756077952,3.75366512345679,756.301140816231,0.22692121750072614,0.19834791334603896,0.09822588546187974,0.14576151047112004,91.11951355373469,0.6623282352941178,0.15884845347237447,0.12074798825440189,58.38048638237847,1.5492413682385946,5.758410618931606,83.52829578140037,0.16391178837129472,97.48599807362622,0.16854697216534748
9,409,43.6454,7.99124,42,9.98881,0,116,116,12,140,11,0.99426,51.51667,0.0,0.0,0.92857,8.186,7.53894,0.0,0.0,127.0,43.31323,0.0,1.43,2.093,-1.0,0.00069,0.44454298110872176,0.2004028581709377,17421.37313899867,0.17954037825308783,64500.795147326535,1.515625,752.1997179314411,0.22180400513418153,0.19904437050019427,0.09905511562816471,0.14679601552185167,91.01820707702491,0.6593749999999982,0.15770913109510998,0.12136323901479742,59.0253953345028,1.9716039591736785,5.327541825578864,83.98464383230002,0.16414746130863844,97.48768352724342,0.16830198540552976
