,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.1.0,movement,cubrow.0.3,color_fulness,contrast,temporal,cubrow.0.5,tone,cubrow.1.0,blockiness,blur,cubcol.0.6,cubcol.0.5,uhdhdsim,fft,saturation,cubcol.0,cubrow.0,cubrow.0.6,cubcol.0.3,staticness,noise
0,0,34.2635,10.1784,26,0.0,0,109,122,9,136,6,0.99927,36.04427,0.0,0.0,4.60714,8.448,0.0,0.0,0.0,125.0,44.78144,0.0,0.41,1.273,0.0,0.759189,0.1133445348327515,0.0,0.08229683550074375,65.2435164941449,88.74667564604009,0.0,0.11552885937967682,0.681607843137255,0.1695898215072251,1.1140144181534681,8082.463354217574,0.10001330089767753,0.10032429289643706,100.01383833964711,63974.63315274725,49.481363555531445,0.06907404269061129,0.06208379334127415,0.1690618417274302,0.13131417984257696,618.2806992117762,0.3563155945385856
1,1,34.1433,10.0433,26,12.0522,0,109,122,9,136,6,0.99926,35.86533,0.0,0.0,4.42857,8.423,8.7414,0.0,0.0,125.0,44.81447,0.0,0.41,1.217,-1.0,0.820088,0.11370423411323771,4.87548225308642,0.07454754322724876,65.63603829322052,88.43579862005153,5.293765501918309,0.11125289856075535,0.6815839215686275,0.16409422580688054,0.9183192111800819,8046.634305547632,0.08751603063714164,0.09958093624127463,100.04688657745932,63928.46787334964,49.471721319504724,0.06710871885268505,0.05742774370583596,0.16235963843185366,0.12726706254862002,616.4197850897398,0.3563155945385836
2,2,34.17,9.82294,26,11.1855,0,109,122,9,136,6,0.99898,35.91883,0.0,0.0,4.60714,8.434,8.62222,0.0,0.0,125.0,44.81816,0.0,0.41,1.25,-1.0,0.735847,0.11489231954350546,4.749180169753086,0.07277502974893571,65.99902797427758,87.62931058337043,5.2676883794423075,0.11345470673752063,0.6819901960784313,0.1566466132794105,1.1680280280812996,8093.831097590833,0.08492218369658572,0.09839232756886593,100.04611781152502,63974.62762313551,49.679407002013406,0.06451366819338605,0.05767605733971181,0.16012599570976788,0.12954027324286296,614.8954163802277,0.35631559453858475
3,3,34.2107,9.17258,26,10.9681,0,109,122,9,136,6,0.99675,36.0615,0.0,0.0,3.21429,8.427,8.43469,0.0,0.0,124.0,44.81745,0.0,0.41,1.374,-1.0,0.647681,0.11558536071021186,4.097463348765432,0.07335516812799814,65.84645300866836,87.7685691019544,5.182785923914625,0.11333223790163449,0.6811874509803921,0.152589101036369,1.228205043496542,8138.650390409932,0.08479514259567916,0.09670240130979285,100.01627976496614,63996.65318328588,49.6525372163749,0.06326037269146369,0.05888078379158284,0.15966690573157025,0.14407119164043794,613.6228477213896,0.36015663551764704
4,4,34.3918,8.8999,26,10.3881,0,109,122,9,137,6,0.99894,36.33579,0.0,0.0,3.5,8.442,7.87471,0.0,0.0,125.0,44.79098,0.0,0.41,1.616,-1.0,0.613021,0.11610984675925762,3.1686921296296298,0.07495633260898238,65.85159537971043,87.75606202542366,4.859744103424748,0.11373323905124991,0.6812556862745098,0.1488746682900627,1.260012168182043,8242.059523346406,0.08650088060804546,0.0949113539549331,99.97947489300526,64064.84854682531,49.91091278452932,0.0607378319877101,0.06052052238905687,0.15939789666675866,0.14852574830435727,612.7667559907013,0.36015663551765265
5,5,34.5895,9.4697,26,10.5005,0,109,122,9,137,7,1.00218,36.60063,0.0,0.0,4.60714,8.389,7.63823,0.0,0.0,125.0,44.71545,0.0,0.42,1.444,-1.0,0.594469,0.1176259775754069,2.9171971450617282,0.07607024915203064,65.85960053785135,91.74434599570901,4.840435627640266,0.11441178618301674,0.679403137254902,0.14675212045310218,1.4221733048390746,8356.355812074338,0.08851871082557654,0.09522823779517207,99.92244980478297,64114.913706358646,49.92997515643084,0.05939673990477037,0.06192244277000355,0.15880004181537272,0.14304751956089629,612.323475881493,0.362374261560874
6,6,34.8866,10.7305,27,11.3275,0,109,122,9,137,7,1.00093,36.95195,0.0,0.0,4.25,8.355,8.13048,0.0,0.0,124.0,44.66922,0.0,0.41,1.353,-1.0,0.606464,0.11976616213114571,3.201437114197531,0.0761504610326623,66.0566500198024,90.80275867221327,5.117606141382195,0.11502206461447632,0.6769329411764707,0.1452388273523401,1.4096898997564669,8559.625800353637,0.08959630307499754,0.09512730228840234,99.87058187332083,64103.81806520815,50.08848213855131,0.05925238598846357,0.06346025160104503,0.1562481838506316,0.14159099788865825,612.1900287039216,0.362374261560876
7,7,34.8945,11.4436,27,12.1696,0,109,122,9,137,7,1.00051,36.95178,0.0,0.0,7.85714,8.431,9.2184,0.0,0.0,124.0,44.63649,0.0,0.42,1.713,-1.0,0.590431,0.1204605505984368,3.8170331790123457,0.07633330338472663,65.94146300686717,87.87383809277873,5.305047105145122,0.11432641254208868,0.6758972549019608,0.14319564758231937,1.4037581381335895,8537.865319331024,0.09110585387840171,0.09452433047605809,99.85955508754044,64147.44307394921,50.02578754189574,0.05957667748890017,0.06412842567174583,0.15388584895529603,0.1391364486783851,611.8381887596312,0.36237426156087627
8,8,34.7669,11.2536,26,12.7835,0,109,122,9,137,7,1.00139,36.79616,0.0,0.0,5.42857,8.371,9.8365,0.0,0.0,125.0,44.5595,0.0,0.42,1.458,0.20152,0.569718,0.11767370969127008,4.249421296296297,0.07645910138795979,65.99769620614451,87.83574919077458,5.426975737067576,0.11394358863185178,0.6716627450980392,0.14164132142800215,1.3452533722050564,8450.240597734819,0.09123152601768612,0.09412656647181081,99.8972056810476,63955.451241783354,50.02695116584683,0.06016623951600308,0.06461898898016862,0.1513245129249957,0.13601538202313465,611.1770224978799,0.3623742615608793
9,9,34.5085,11.1681,26,12.2604,0,108,122,9,136,7,0.99981,36.51631,0.0,0.0,7.0,8.442,9.68039,0.0,0.0,125.0,44.58111,0.0,0.41,1.503,-1.0,0.554006,0.1168449619230595,4.057677469135802,0.0753611487991393,65.91734273404266,88.46212352937508,5.504523938531492,0.11377041102832346,0.6713521568627407,0.14025103926024618,1.249377781489001,8325.949093691166,0.09095133919111102,0.09286302798026741,99.92763916921946,63981.591729141706,50.030838577835645,0.059608373386415274,0.06510002727920751,0.14927490962581313,0.13308914219391574,610.2837055879214,0.3623742615608759
