,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.3,tone,cubcol.0,movement,cubrow.1.0,cubrow.0.5,saturation,blockiness,color_fulness,cubrow.0.6,contrast,cubrow.0,uhdhdsim,cubcol.1.0,cubcol.0.6,noise,cubcol.0.3,fft,temporal,staticness,blur,cubcol.0.5
0,100,35.9736,7.81538,29,0.0,0,107,117,7,136,7,0.99886,39.07216,0.0,0.0,3.92857,8.208,0.0,0.0,0.0,125.0,45.61981,0.0,0.42,3.161,0.0,0.363373,0.07703040563789085,0.6851466666666667,0.08692160103476303,0.0,0.16248272667797198,0.14234789087429223,59.22643119906201,1.5884154540685167,61.64611012394029,0.13057739235438695,90.48560217171709,0.10945897860300105,99.43439137470219,0.13460821658847757,0.10037845684642237,0.3789268476919286,0.0938976264597531,64128.967947540405,0.0,524.4791680983698,9444.938508963478,0.095226753317525
1,101,35.9798,7.5787,29,9.10833,0,107,117,7,136,7,0.99959,39.05338,0.0,0.0,3.96429,8.144,6.7186,0.0,0.0,125.0,45.60713,0.0,0.41,3.279,-1.0,0.365196,0.07396122574966357,0.6845353725490179,0.079919369144604,1.511815200617284,0.1587235339012964,0.12239128056187777,59.44585352768132,1.5136940890047623,61.68603352590188,0.12279302656068816,95.59020684384426,0.10314765829523205,99.45227360858394,0.13695382318306937,0.09333672908574005,0.38276788867098527,0.09168747171252103,64184.742488709504,3.9815361215027645,523.9004661181928,9436.609655933822,0.09916307187873243
2,102,35.9689,7.24256,29,8.87688,0,107,117,7,136,7,1.00082,39.04429,0.0,0.0,4.14286,8.156,6.52372,0.0,0.0,125.0,45.60789,0.0,0.42,3.243,-1.0,0.355032,0.0739238494366188,0.6839098039215685,0.07417842507698236,1.2061631944444444,0.15761657578709035,0.12111895273801104,59.442018862123845,1.66381151100757,61.718728862345685,0.1208279802620152,90.87089896337059,0.09901172929772684,99.44824795552528,0.14141692641666223,0.09134365420940743,0.38055026262775266,0.09122519473313742,64293.45687321434,3.8822130820386267,523.737490087085,9466.114194948836,0.09828914669025353
3,103,35.8782,7.06102,29,8.87108,0,107,117,7,136,7,0.99862,38.97231,0.0,0.0,3.25,8.178,6.23926,0.0,0.0,125.0,45.60713,0.0,0.42,3.102,-1.0,0.338384,0.07411304063860381,0.6843082352941177,0.07869622790979659,1.0204475308641976,0.1571188759376569,0.1200185803501341,59.249209745430655,1.4637568254528799,61.63347493259148,0.12004254398634494,90.3407732945382,0.09895604156623622,99.46545191339673,0.14559938649703058,0.09258448845102313,0.3827678886709858,0.09086647327270236,64397.194985877024,3.7976462778674387,523.6691606531156,9386.346748056465,0.10592669845484781
4,104,35.7559,6.96683,29,8.75264,0,107,117,7,136,7,0.99716,38.81991,0.0,0.0,3.39286,8.214,6.07471,0.0,0.0,125.0,45.57164,0.0,0.41,3.104,-1.0,0.355561,0.07358270191300556,0.6826658823529412,0.07810329559240281,0.9991801697530864,0.15571631988919843,0.11858616565281122,59.35471127357012,1.4054999225820872,61.461084011174904,0.11945627749701083,90.50325181969865,0.09937286254381804,99.49111875418247,0.14908130571106154,0.09350636771268339,0.37892684769192625,0.09025565577474401,64355.41535769549,3.834981257264494,523.5508776803538,9313.51402347125,0.11096208579178038
5,105,35.7619,6.84588,29,8.35398,0,107,117,7,136,7,0.99626,38.81518,0.0,0.0,3.21429,8.2,5.99541,0.0,0.0,125.0,45.59018,0.0,0.41,2.985,-1.0,0.351718,0.07294671992349928,0.6821372549019609,0.07636860610598388,1.1892361111111112,0.15464409222925996,0.11721856790704531,59.25081813482591,1.8246774331333226,61.518913596242115,0.11887548451995096,89.4554240660267,0.09827424339428778,99.49326603212918,0.1523859945517638,0.09442595534303382,0.3789268476919235,0.0899276268161975,64235.186690329676,3.8940393307811854,523.5765921043527,9285.022064977567,0.1060807638290913
6,106,35.6954,6.58533,29,8.22903,0,107,117,7,136,7,0.995,38.74271,0.0,0.0,2.53571,8.162,5.89034,0.0,0.0,125.0,45.51281,0.0,0.41,3.217,-1.0,0.358345,0.07574161293254895,0.6804549019607844,0.07313327648679231,1.1399980709876543,0.15443451793180887,0.11649899207589746,59.189483642578125,1.4701809863059656,61.49738215663339,0.11867524642381737,92.52351546158272,0.0968308986035868,99.50931201253944,0.15419889034482193,0.09532467034647063,0.3789268476919246,0.08975603118683755,64163.83641235933,3.887098897737512,523.5546422645948,9228.704800590678,0.10521209346975298
7,107,35.6952,6.70686,29,7.85885,0,107,117,7,136,7,0.99975,38.75131,0.0,0.0,3.14286,8.18,5.66117,0.0,0.0,125.0,45.48433,0.0,0.41,3.179,-1.0,0.339396,0.07909674405496978,0.6794901960784313,0.07142139420757357,1.0183738425925926,0.15453354979702683,0.11628128501978623,59.12559735333478,1.8338014832240195,61.65749483476114,0.11827837036823749,92.19742678087003,0.0963212026570157,99.52077395606423,0.15426879332458948,0.09703624962711521,0.3767092216487009,0.08901888488693656,64149.95075599941,3.849521328835905,523.4952094813001,9217.06823977846,0.10133715289806619
8,108,35.7474,6.8233,29,8.58303,0,107,117,7,136,7,0.99588,38.78582,0.0,0.0,3.75,8.202,5.76365,0.0,0.0,125.0,45.49744,0.0,0.41,3.065,0.18789,0.320725,0.08127769776317041,0.6788792156862744,0.06980097944384137,1.0888792438271604,0.15458491559280757,0.11553021132516086,59.22601657443577,1.5507284317885144,61.62920874971263,0.11792086861301787,93.53112126108788,0.09619436936426867,99.50711071631333,0.15386798395018808,0.09740644557692435,0.382767888670986,0.08851240410438106,64253.16293851786,3.972938920548548,523.385351458455,9269.249149679505,0.09912503825017864
9,109,35.7374,7.1986,29,8.26509,0,107,117,7,136,7,0.99422,38.75643,0.0,0.0,4.46429,8.176,5.85846,0.0,0.0,126.0,45.49081,0.0,0.4,3.676,-1.0,0.338301,0.08164744476660563,0.6784749019607844,0.068509272518233,1.0899884259259258,0.1552267640867865,0.11507603735889223,59.45601795337818,1.4652818345583056,61.611002561802835,0.11776021514760039,92.75728674761555,0.09588375342843201,99.50276504122186,0.15321156686228668,0.0981094149468722,0.37892684769192564,0.08827929932854717,64255.34121158447,3.9467086452712006,523.1696750453918,9257.36387419837,0.09751524694785997
