,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.1.0,noise,tone,contrast,cubcol.1.0,movement,saturation,cubrow.0.5,temporal,cubcol.0.3,blockiness,cubcol.0.6,fft,staticness,cubcol.0.5,cubrow.0.6,cubrow.0.3,cubcol.0,cubrow.0,uhdhdsim,blur,color_fulness
0,200,38.6709,9.94804,32,0.0,0,108,119,9,138,8,1.00333,42.51032,0.0,0.0,1.89286,8.308,0.0,0.0,0.0,128.0,42.92768,0.0,0.41,5.263,0.0,0.391739,0.17019564479921262,0.38498551471422365,0.6265411764705883,89.92843742829366,0.11873574187350178,0.0,56.216765038761096,0.09719641335965523,0.0,0.10684222917106097,2.4398778571834874,0.14592638940245317,64035.313231733024,593.7970822815363,0.12338821196728382,0.1587855407501991,0.12699800538943784,0.11878236186058595,0.1299171711249891,98.98744099243557,11362.116271879973,65.25201616975818
1,201,38.569,9.7707,32,12.255,0,108,119,9,138,8,0.99973,42.46247,0.0,0.0,1.5,8.31,8.5591,0.0,0.0,124.0,42.77491,0.0,0.42,4.46,-1.0,0.373617,0.14807953298417434,0.39104418173650995,0.6254996078431373,86.52979755994875,0.1147300841603311,3.6162712191358026,56.1445058186849,0.09524914753561223,4.8976020412939665,0.10245761593434936,2.489795094180513,0.14141706884827068,64170.25862312854,592.9768801822071,0.13050672486036718,0.15420374958253316,0.11174387540415774,0.11537310102494926,0.1281202471828836,99.00028210118457,11271.679846189983,65.21140254847843
2,202,38.8013,9.19432,33,11.9735,0,108,119,9,138,8,0.99798,42.71201,0.0,0.0,1.46429,8.288,8.40317,0.0,0.0,127.0,42.74284,0.0,0.42,4.236,-1.0,0.3513,0.14737659682902213,0.39104418173651223,0.6249407843137255,90.03256362006957,0.11337104075310381,3.075617283950617,56.31299845377604,0.09865089193924123,4.988218114602422,0.1003955824360374,1.4924308420357562,0.13903779233137198,64116.049050947666,592.8945342391606,0.13983859056635756,0.15282065330518027,0.10842124149718253,0.11459903165746109,0.12811474487334687,98.95306288247683,11471.672890673117,65.293416028376
3,203,38.9382,9.27501,33,11.8131,0,108,119,9,138,8,0.99944,42.88632,0.0,0.0,3.46429,8.295,7.91279,0.0,0.0,127.0,42.77825,0.0,0.41,4.165,-1.0,0.375627,0.14330515941110455,0.3910441817365145,0.6254996078431373,89.36130760906104,0.11337731645827272,2.484423225308642,56.1703340506848,0.0975036597013071,4.803303201289558,0.10054293660867879,2.08125940543713,0.13738481916481302,64107.999002008284,592.8770778832888,0.13965227210967415,0.15308859802414196,0.1061403752728995,0.11548424578144074,0.12873076215194365,98.92132550786278,11602.215549152843,65.39376927552142
4,204,39.0465,9.26783,33,12.0375,0,109,119,9,138,8,0.99859,42.98809,0.0,0.0,3.25,8.286,7.99435,0.0,0.0,126.0,43.0182,0.0,0.41,4.042,-1.0,0.290421,0.14120371707522741,0.39104418173652006,0.6306876666666665,91.21652894484355,0.11136412227425918,2.3055555555555554,56.70530305085359,0.09927126838726683,4.956913003983808,0.09939644451316927,1.8369530154967757,0.1356734717520489,64085.31217262782,593.7842820382995,0.13806125485850654,0.15375547824336572,0.10512991634622308,0.11689073847197864,0.12848466006601755,98.91781412953242,11660.11353229058,65.88783141426806
5,205,39.1653,9.20809,33,12.0381,0,109,119,9,138,8,1.00025,43.1758,0.0,0.0,2.60714,8.34,8.01011,0.0,0.0,122.0,43.23981,0.0,0.41,3.715,-1.0,0.298605,0.1411700840575407,0.3932618077797423,0.6355749019607843,86.75033996413028,0.10917777798915364,2.067997685185185,57.60099208502122,0.10105232029627349,5.159282840446561,0.09954077832610263,2.025060240489499,0.13601954156492518,64050.78325707916,596.3681581007669,0.1338289461909253,0.15387425299690263,0.10442952988737775,0.11763921800625365,0.12869007039699137,98.8752770592397,11799.624124629274,67.03965035905374
6,206,39.1244,9.02643,33,11.1893,0,109,119,9,138,8,1.00058,43.13457,0.0,0.0,2.35714,8.348,7.91663,0.0,0.0,122.0,43.32855,0.0,0.42,3.33,-1.0,0.242057,0.14011856624102384,0.395479433822971,0.6389835294117647,89.27017020509524,0.10768040525126778,2.0533854166666665,57.48346097969714,0.10307262373799449,4.800546622842697,0.09959837639683819,2.192723139061037,0.1353091709298711,64040.16687933928,598.1747513801342,0.1287295533719724,0.15390126899337675,0.10369605895984173,0.11795566207416415,0.12933869824463184,98.885056986828,11766.796321365682,66.97098969499129
7,207,39.1668,8.32563,33,10.6157,0,109,119,9,138,8,0.99616,43.15974,0.0,0.0,3.53571,8.308,7.76657,0.0,0.0,122.0,43.40665,0.0,0.41,3.339,-1.0,0.317582,0.13826485832680283,0.3932618077797436,0.6423772549019607,90.93100533456938,0.10805343784176454,2.0085358796296298,57.54159470546393,0.10511470443917445,4.765036608586847,0.09948380573345225,1.9121216632356048,0.13503955781394764,64145.47837002968,599.5032485674122,0.12526958185445008,0.15447770436302677,0.10296208163404302,0.11811675053475111,0.13028617424812833,98.88724064730566,11773.378711665693,67.01763674842233
8,208,39.0634,7.98303,33,9.94864,0,109,119,9,139,8,0.99376,43.04606,0.0,0.0,2.96429,8.289,7.16077,0.0,0.0,122.0,43.46526,0.0,0.41,4.139,0.1731,0.309777,0.13641798479897152,0.3932618077797401,0.6432176470588236,91.60149395274888,0.10841996488447625,1.5998263888888888,57.58770130298756,0.10784283581604961,4.60908679000609,0.09998280586916715,1.7030982268588708,0.13551723069610855,64004.26361742498,600.5983069157191,0.12293660799177203,0.15484387154576093,0.10244953128977884,0.11807951119990633,0.13138815667843173,98.90142910109824,11702.898716879632,67.25963262810542
9,209,39.1879,7.58902,33,9.60049,0,109,118,9,139,8,0.98876,43.10671,0.0,0.0,1.60714,8.273,6.86978,0.0,0.0,122.0,43.53326,0.0,0.42,4.023,-1.0,0.357975,0.13516936384837647,0.39326180777973424,0.6459305882352941,91.508293820891,0.10919680433161173,1.486448688271605,57.66877595877942,0.10986108143666731,4.592699359851396,0.10069104246616165,1.6627946648480212,0.13523912539007216,64065.64439739656,601.621625500219,0.12071326515958124,0.15501783949455292,0.10201560998954107,0.11852306543682013,0.1325883971227946,98.90491326643098,11774.481605769262,67.7222015490479
