,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0,cubrow.0.5,blockiness,temporal,uhdhdsim,tone,cubcol.0.3,cubcol.0.5,saturation,cubcol.0,movement,cubcol.1.0,fft,blur,staticness,color_fulness,noise,cubrow.0.3,contrast,cubrow.1.0,cubrow.0.6,cubcol.0.6
0,300,40.7867,9.25402,35,0.0,0,112,118,9,137,9,1.0029,45.3415,0.0,0.0,2.82143,8.278,0.0,0.0,0.0,126.0,43.89029,0.0,0.42,2.412,0.0,0.39737,0.14750129581681637,0.18883524086184367,2.5861935119776245,0.0,98.48505149031755,0.6804917647058822,0.07654232929469289,0.0985426680144644,52.09197037308304,0.14465223344716108,0.0,0.15220688505227292,64282.29508664965,13280.492260218358,655.4217284883226,75.18368308486711,0.3993204748020365,0.12140721417995827,87.94649423272142,0.1313993149833575,0.1954238533736224,0.14789011173670516
1,301,40.8819,9.1816,35,9.94646,0,112,118,9,137,9,1.00075,45.42772,0.0,0.0,1.71429,8.199,7.97958,0.0,0.0,126.0,43.8332,0.0,0.42,2.268,-1.0,0.392937,0.13781243493393847,0.18961783200155474,2.139990787234248,4.645916548277603,98.47639337151058,0.679676862745098,0.07483567933881742,0.09037606764631584,52.365528059594425,0.11912520413904434,3.3198302469135803,0.14955087292705743,64151.94488301461,13362.311456770838,653.2344247399797,75.22619582150277,0.39932047480203803,0.11997796342423846,86.11346663380955,0.13274787994880094,0.19464609578430553,0.1488829874562217
2,302,40.9593,8.959,35,10.2759,0,112,118,9,137,9,0.99971,45.50345,0.0,0.0,1.89286,8.238,7.91139,0.0,0.0,126.0,43.71485,0.0,0.41,2.071,-1.0,0.395916,0.13787147265377248,0.18943334217572888,2.3810842351101673,4.626861678339168,98.46942180089678,0.6776416078431372,0.07359969410460047,0.08767501788497402,52.335965003496334,0.1172622569100467,2.7841917438271606,0.1545969289998929,64269.439876368335,13450.105098676482,651.1802594442902,75.01036235215193,0.399320474802037,0.11949804091550996,90.23169134988237,0.1335779981790961,0.19447497921187074,0.14680520740985625
3,303,40.896,8.53621,36,10.3901,0,112,118,9,138,9,0.99736,45.53032,0.0,0.0,1.92857,8.245,7.7238,0.0,0.0,126.0,43.6371,0.0,0.42,2.456,-1.0,0.421725,0.13703236546297742,0.1888884861313165,2.439334824478144,4.652060164394712,98.46577999604247,0.6779325490196078,0.07325266931128606,0.08866718455600542,52.492058836383585,0.10521682117112502,2.568672839506173,0.15462198337905614,64079.20956613663,13436.426093748114,649.7718722541279,74.9390528234881,0.3993204748020358,0.12247143027110513,89.22543241337716,0.1336300530403475,0.19375898336510386,0.14690801831116695
4,304,40.8162,8.25998,36,9.38595,0,112,118,9,138,9,0.99489,45.49215,0.0,0.0,1.96429,8.333,7.36336,0.0,0.0,126.0,43.61632,0.0,0.41,2.349,-1.0,0.410924,0.13689757678633713,0.18919504632837478,1.7538631915668477,4.502723084412045,98.46081874007966,0.6783043137254902,0.0733471468627561,0.08924613143378131,52.531435931170435,0.10540771793249128,2.1830150462962963,0.15218918593076483,64224.0526016594,13362.986224481216,649.0192167638147,75.02340045992375,0.39932047480203875,0.12192139231708789,86.4972983837657,0.13426686114786698,0.19327862840071397,0.14667306541642572
5,305,40.8298,7.81196,36,9.77002,0,112,118,9,138,9,0.99365,45.49456,0.0,0.0,2.10714,8.294,7.13846,0.0,0.0,126.0,43.63424,0.0,0.41,2.133,-1.0,0.414495,0.1362216649032204,0.18901280045131888,1.8715911365821598,4.481609224916421,98.46525626034784,0.6788769019607843,0.07333148277385815,0.09038270723889093,52.605054125373755,0.10304740464361814,1.7915702160493827,0.14887859220915448,64177.82339282095,13351.716989611015,648.4225399728442,74.98184614084641,0.39932047480203603,0.12135021516013805,86.0757464557856,0.13532942919300184,0.1925960698124927,0.1464679634717825
6,306,40.9149,7.51024,36,9.21759,0,113,118,9,138,9,0.99373,45.59358,0.0,0.0,1.75,8.236,6.74805,0.0,0.0,126.0,43.61158,0.0,0.42,2.267,-1.0,0.437728,0.13457170029035398,0.18840681043367516,1.9105843382152208,4.469030826595827,98.45832490758002,0.6781349019607799,0.07377752831162729,0.09146485854920725,52.67400463716484,0.10015649257891583,1.3955439814814814,0.14708325074164239,64228.88231166925,13481.497271920714,647.770731341318,74.70340614845546,0.3993204748020356,0.12103315995445547,89.20685818353742,0.13583085249775737,0.19164125367463755,0.14651694418064262
7,307,40.9143,7.55744,36,9.42584,0,113,118,9,138,9,0.99422,45.61659,0.0,0.0,2.14286,8.239,6.47874,0.0,0.0,126.0,43.62785,0.0,0.42,2.222,-1.0,0.412429,0.1343333261454473,0.18805614035929033,1.8609793510390233,4.463351980173617,98.4579409640311,0.6795756666666638,0.07397197897217618,0.09252497003906138,52.924563372576685,0.09735110876352997,1.2853009259259258,0.1465615613411296,64118.63088785351,13482.306081570083,647.0549769390277,74.32382792894336,0.3993204748020361,0.12103181295810982,86.77013460415338,0.13581945498734757,0.19063639154461476,0.14713206476415955
8,308,41.026,7.59582,36,8.85703,0,113,118,9,138,9,0.99659,45.76484,0.0,0.0,2.10714,8.283,6.52495,0.0,0.0,126.0,43.73103,0.0,0.42,2.182,0.18403,0.418715,0.1327196045265398,0.18797551577539873,2.115983214173337,4.455658757723461,98.43283009447575,0.6817360784313725,0.07429543624596141,0.09366059659142015,53.00211211781443,0.09430908934272055,1.2471064814814814,0.14542837008010037,64130.81197491266,13594.634731950606,646.4457614624971,74.40237076146467,0.39932047480203736,0.12121258690076843,89.77280752401393,0.13520840556389002,0.19000371483425302,0.14683660988888214
9,309,41.0551,7.47513,36,8.88543,0,113,118,9,138,9,1.00243,45.81862,0.0,0.0,3.0,8.321,6.55495,0.0,0.0,126.0,43.8084,0.0,0.42,2.271,-1.0,0.426191,0.1319900792520592,0.18767908940130737,2.376065966535814,4.344688795581644,98.42082623656225,0.6826486274509803,0.0747995881067725,0.09295734770849175,53.22701103304639,0.09213071206765365,1.1121238425925926,0.1448159201369295,64192.41310650252,13576.985931832522,646.0840314164105,74.59087056141915,0.3993204748020381,0.12162873975552377,88.22479518072791,0.13519620559725476,0.1896842457809972,0.14799829484745355
10,310,41.0246,7.32468,36,9.03935,0,112,118,9,138,9,1.00281,45.78731,0.0,0.0,3.92857,8.339,6.44436,0.0,0.0,126.0,43.86407,0.0,0.42,2.131,-1.0,0.422634,0.13124435047858485,0.1874101660200127,2.466925951425806,4.44342277030195,98.42235379046379,0.6834909803921568,0.07528658309379685,0.09270417407911734,53.17846491307389,0.09114288524380779,2.545283564814815,0.14533765378664504,64188.416185504444,13546.506124628855,645.7713329904179,74.63675769708968,0.39932047480203686,0.12149049045468366,89.42885894902373,0.13526310733672034,0.1891160285924076,0.14787087927044346
11,311,41.0209,7.61614,36,8.54989,0,112,118,9,138,9,1.00368,45.7568,0.0,0.0,4.32143,8.344,6.31109,0.0,0.0,125.0,43.87469,0.0,0.41,2.256,-1.0,0.423637,0.13143603808457094,0.1870810710301331,2.4349526524420084,4.34348975594865,98.42590581030015,0.682678431372549,0.0755557080561254,0.09235477427477627,53.25232178487895,0.09259841104438443,2.720437885802469,0.14618846236037608,64313.54393362563,13560.743621161027,645.4866619798026,74.62531955107616,0.3993204748020364,0.12111217861415159,86.44210574234339,0.13516669117266863,0.18833859920247295,0.14844439361799444
12,312,40.9245,7.51129,36,9.03824,0,112,118,9,138,9,0.99944,45.6579,0.0,0.0,2.85714,8.326,6.56932,0.0,0.0,125.0,43.90763,0.0,0.42,1.841,-1.0,0.420071,0.1320087862787183,0.18693026976351068,2.6018701858879725,4.42667336518602,98.44170235480709,0.6836419607843137,0.07586338438638993,0.09234577592697146,53.46004834587191,0.0917596391011018,2.4987943672839505,0.14676328945532008,64323.81236819545,13495.36279016511,645.2115299725751,74.48874399930457,0.39932047480203386,0.12131729071972537,88.9325950120351,0.13531204928066926,0.18765974259021267,0.14884909414283584
13,313,41.0393,7.00368,36,8.57138,0,112,118,9,138,9,0.99896,45.81104,0.0,0.0,3.0,8.285,6.48425,0.0,0.0,125.0,43.94213,0.0,0.42,2.257,-1.0,0.449847,0.13275329669497504,0.18688924902713244,2.031669380465408,4.4258612147562815,98.42948958717648,0.6842973529411763,0.07604289678401432,0.09243375774081125,53.50906956048659,0.08884043773397779,2.414882330246914,0.14716048355170083,64246.78209910044,13622.42574567934,645.0261869972123,74.36919900381955,0.3993204748020369,0.12211721666008905,90.48087115257717,0.13547671306580425,0.18712662647727277,0.14981084344802745
14,314,40.9498,7.51631,36,8.43701,0,112,118,9,138,9,0.99569,45.74216,0.0,0.0,2.75,8.283,6.03914,0.0,0.0,124.0,43.91177,0.0,0.42,2.09,-1.0,0.43794,0.1330164650465381,0.18687714396799007,2.169723399463537,4.363408402067179,98.44094864607578,0.6846917647058824,0.07607204572408384,0.09220738117999538,53.56087936589747,0.08670756582672702,2.2098283179012346,0.14788837151585027,64194.47696896807,13536.90633373543,644.8705383132329,74.33622396167571,0.39932047480203803,0.12252204884600418,86.1987916082679,0.13572642569835797,0.18657760023994396,0.15051125975001695
15,315,41.0666,7.31511,36,8.90784,0,112,118,9,138,9,0.98959,45.85469,0.0,0.0,2.78571,8.301,6.48087,0.0,0.0,124.0,43.84139,0.0,0.41,1.865,-1.0,0.431517,0.1330663571096469,0.1867099594472684,2.297219062650059,4.517054570121411,98.42959464207487,0.6837290196078432,0.07614434455487538,0.09207648460934767,53.40821555808738,0.08527464788856645,3.8012152777777777,0.1494360937344343,64244.02296868599,13618.967792002726,644.7075199130064,74.3904707645491,0.39932047480203586,0.12278399806213192,87.0438516731009,0.13606684560533694,0.18621478957392962,0.15059686199037678
16,316,40.8916,7.34616,36,9.29483,0,113,118,9,138,9,0.99006,45.70125,0.0,0.0,1.89286,8.312,6.30061,0.0,0.0,123.0,43.79883,0.0,0.41,2.175,0.1947,0.450291,0.132714557725125,0.1866432736261588,1.7426477994805154,4.5480223148743075,98.45476413487941,0.6839372549019608,0.07618492399803667,0.09190238681621667,53.537626290027006,0.08366791822168873,4.190007716049383,0.15121558588583658,64131.38171638244,13448.91710581335,644.4395540233262,74.21185310826999,0.3993204748020361,0.1230219617626466,86.16751170438954,0.136738418169651,0.18572509832854092,0.1510759007975266
17,317,40.7275,7.12728,36,9.16125,0,112,118,9,138,9,0.99211,45.45039,0.0,0.0,1.96429,8.289,6.33267,0.0,0.0,124.0,43.60187,0.0,0.42,2.01,-1.0,0.47313,0.13275149894755006,0.186414841417807,2.004766657611515,4.5993240097269315,98.49395599018538,0.680393725490196,0.07614073860045649,0.09189908811503959,53.8770942217038,0.0821638404487477,4.393325617283951,0.15323276127371635,64287.178265788396,13290.74521617844,644.2711145414539,73.55485257970918,0.39710284875880447,0.12313654336755281,89.83080886359139,0.13715869420027688,0.18553227528755764,0.15107676287835842
18,318,40.732,7.01007,35,9.18461,0,112,118,9,138,9,0.9914,45.35503,0.0,0.0,1.39286,8.273,6.16191,0.0,0.0,123.0,43.38096,0.0,0.41,2.298,-1.0,0.468878,0.13260110296616523,0.18623983421092752,1.9196828107244064,4.6248518460032235,98.51166077802725,0.6762349019607843,0.0761151881994909,0.09188666036545032,54.30545948169849,0.0809059853921819,5.4008005401234565,0.15471479177802644,64233.47540021832,13237.500010697455,644.3198686543204,73.19214700266474,0.3993204748020345,0.12325963326934175,87.61187551175979,0.13761217485304977,0.18544302688755337,0.15105243648996153
