,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.6,cubrow.0.5,cubcol.0.3,cubrow.1.0,cubcol.0.5,cubrow.0.3,contrast,noise,color_fulness,movement,uhdhdsim,cubcol.0,blockiness,cubrow.0.6,fft,staticness,saturation,cubcol.1.0,tone,cubrow.0,temporal,blur
0,400,42.6892,9.14551,37,0.0,0,115,118,10,140,9,0.98689,47.64883,0.0,0.0,1.28571,8.18,0.0,0.0,0.0,124.0,43.11543,0.0,0.42,1.806,0.0,0.452863,0.17410194444740915,0.1906400076605289,0.08612586704504985,0.150836387043014,0.13225919144799525,0.164423935958754,88.94722450795628,0.39932047480203514,81.64142287656568,0.0,98.2126634454532,0.1062675749549181,2.5368866047420133,0.19228252267467558,64442.31109009559,752.2242476192932,58.078804487063564,0.21671291165772666,0.6592443333333318,0.15156615685047534,0.0,14683.455557919657
1,401,42.6667,9.34159,37,10.3012,0,115,118,10,140,9,0.98101,47.67172,0.0,0.0,1.14286,8.212,7.87952,0.0,0.0,123.0,43.11532,0.0,0.42,2.056,-1.0,0.437515,0.16746761054003534,0.19296193456741578,0.08425518474604811,0.15372690078438778,0.13024110502906808,0.1622818237448123,89.12889639487327,0.39932047480203403,82.2963606292645,3.3798225308641974,98.19655420037513,0.10529206787472252,1.4778093049782857,0.19178517088931116,64457.34086408705,752.4108948396683,58.24536321192612,0.21796277780341658,0.6588364705882354,0.14985744765777056,4.869873039361076,14696.333147754276
2,402,42.6246,9.26919,37,10.6749,0,115,118,10,140,10,0.98112,47.62661,0.0,0.0,0.92857,8.225,8.05264,0.0,0.0,123.0,43.08886,0.0,0.42,2.312,-1.0,0.46573,0.16683132338587411,0.18906186076029327,0.08585285353058364,0.15231389821398517,0.12965714431808623,0.16137030387603876,89.68297236315698,0.3993204748020338,82.73867524042544,3.2002314814814814,98.19814060359045,0.10841094216456962,2.0457272626277843,0.1885693122117867,64481.436548298065,752.6936113544605,58.16117463288484,0.2233781987808508,0.6562980392156863,0.14810370990361496,4.959634808184526,14668.239002721986
3,403,42.7506,8.91433,37,10.7856,0,115,118,10,140,9,0.98551,47.73995,0.0,0.0,1.57143,8.178,7.993,0.0,0.0,122.0,43.02648,0.0,0.42,2.055,-1.0,0.487805,0.16344755018831678,0.18803468666313095,0.08677158891185408,0.1521015293131113,0.12882838077543235,0.16138094325391306,89.51088727349023,0.39932047480203453,82.76644233083037,2.8873939043209877,98.19544610785378,0.11358916675214283,2.049634162774551,0.18812981669303616,64422.610849262775,752.8267471599629,58.243531968858505,0.22664147533414583,0.6550129411764707,0.14870130115917418,5.000678516204374,14762.989287376387
4,404,42.9018,8.86615,37,10.3413,0,115,118,10,140,9,0.9908,47.89713,0.0,0.0,1.82143,8.246,7.68855,0.0,0.0,122.0,43.03604,0.0,0.42,2.275,-1.0,0.497953,0.164932478292307,0.18875587819824627,0.08739017391771661,0.1510062083682539,0.13042027825044375,0.1611808530626317,89.33572925476768,0.39932047480203164,83.00673568631798,2.507716049382716,98.17565113208651,0.11726217762648507,2.4272939580240176,0.18840408798408753,64380.916604452315,752.9983363347923,58.15507318944106,0.22704428383913788,0.6551133333333334,0.14875315681703694,4.915294342509737,14902.616449544126
5,405,43.2939,9.07523,38,10.5796,0,115,118,10,140,9,0.99703,48.28719,0.0,0.0,1.5,8.209,7.64434,0.0,0.0,122.0,43.07861,0.0,0.41,1.879,-1.0,0.550693,0.1663034806995672,0.18864550073569641,0.0880063738172976,0.15081837737864073,0.13308454012582444,0.16093730583603183,86.89245919052817,0.3993204748020329,83.30727563374455,2.388937114197531,98.11846983806285,0.11718186050757745,2.166806677456807,0.1886725371562964,64330.50470018452,752.4797092147697,58.0285977964048,0.22579746058555378,0.6570654901960785,0.14977524006457785,4.99879964050733,15262.671366609457
6,406,43.5149,8.92434,38,10.8108,0,115,117,10,140,9,0.99776,48.59584,0.0,0.0,1.92857,8.208,7.84209,0.0,0.0,124.0,43.45656,0.0,0.42,1.794,-1.0,0.520183,0.16829692509811783,0.18874416439938757,0.08857757282747696,0.15093761094083963,0.13459261522353785,0.1605214444370589,88.24223544896904,0.39932047480203203,83.19538830612768,2.8114390432098766,98.06876551924003,0.11643919338726041,1.843566667136551,0.18852964495860336,64321.12417492035,750.6305834387804,57.99321963463301,0.22456441597133064,0.6632569607843105,0.15115220633468252,5.164634052335879,15534.363578106491
7,407,43.6906,8.76104,38,10.4568,0,115,118,10,140,9,0.99652,48.79689,0.0,0.0,2.0,8.195,7.68579,0.0,0.0,125.0,43.48673,0.0,0.42,2.237,-1.0,0.498545,0.16886165003415246,0.18896162672537137,0.08901968465057429,0.15153217043772801,0.13633583730842672,0.16031720303132088,88.75987514428452,0.39932047480203586,83.05144371616055,2.0088734567901234,98.03347039564366,0.11459565968316167,1.8171606004264251,0.1885761920643186,64246.01711394173,749.1454780135625,57.880503713348766,0.22211398819456185,0.6631592156862746,0.15236044987047678,4.931220612423973,15667.3092348822
8,408,43.4701,8.24612,38,10.4783,0,115,116,9,140,9,0.99493,48.56621,0.0,0.0,1.82143,8.181,7.55122,0.0,0.0,125.0,42.97794,0.0,0.42,2.087,0.19997,0.524655,0.16894437640323878,0.18954485193111237,0.08985291011189539,0.1518448590960687,0.1374203018806138,0.1601580201080503,87.04389197197904,0.39932047480203425,83.16229596786671,3.806568287037037,98.0459277164716,0.11341800971114614,1.5419269717541433,0.18871250209000293,64189.69622929984,744.8101768588607,59.43509495111159,0.21831818786129117,0.6572803921568627,0.15133938995994375,5.379719671586612,15393.797281682377
9,409,43.4094,7.56008,38,9.87756,0,115,116,9,140,9,0.99513,48.50948,0.0,0.0,1.92857,8.156,7.10543,0.0,0.0,125.0,42.7929,0.0,0.42,2.288,-1.0,0.524484,0.16927012657138818,0.1903215488015258,0.09065345055811874,0.15207845669549813,0.1381694148965727,0.15981436063339508,89.97891712994799,0.39710284875880575,83.73414514274953,1.4582368827160495,98.05567322344763,0.11418787534720841,2.1150266120244563,0.18900445590103376,64146.387705689966,741.013283772526,60.07401642975984,0.2133483177497672,0.6531196470588234,0.15050284230212532,4.882397524547317,15321.061284181147
10,410,43.2385,7.18551,38,9.89191,0,115,116,9,140,9,0.99165,48.35766,0.0,0.0,1.71429,8.205,6.51744,0.0,0.0,126.0,42.81585,0.0,0.42,2.061,-1.0,0.501321,0.169510826884025,0.19150616747575244,0.091715992060514,0.1522202505888261,0.13910256586725747,0.1597974064200127,91.89372550761851,0.3971028487588046,83.70833334129007,2.5815007716049383,98.06663484552097,0.1162333349903383,1.5638165497783683,0.18878018833355795,64148.793608052576,738.270007519757,60.03574418432919,0.20896236535300225,0.6536975294117637,0.149456710677018,4.497668416745014,15146.55873984455
11,411,43.4879,7.09945,38,9.26909,0,115,116,9,140,9,0.99244,48.58025,0.0,0.0,1.71429,8.229,6.18848,0.0,0.0,125.0,42.82112,0.0,0.42,2.512,-1.0,0.515188,0.1698730554965432,0.19271735386651537,0.09280700141719338,0.15237382177011863,0.14188151819682657,0.15983769203334844,89.5439411319946,0.39932047480203453,83.8850205143887,2.5420042438271606,98.03631949936168,0.11913758996419856,1.8684306426237793,0.18905825559795497,64295.83454223648,736.1802432850134,59.96189202202691,0.20566271017056162,0.653449411764706,0.14846961085356195,4.376260180060167,15366.847333518153
12,412,43.4978,6.9549,38,8.64112,0,115,116,9,140,9,0.99707,48.61089,0.0,0.0,1.85714,8.198,6.11791,0.0,0.0,125.0,42.85574,0.0,0.42,2.607,-1.0,0.486714,0.17059187182896735,0.1939177777073415,0.0940094995710614,0.15305853338751338,0.14394284717967515,0.15988866424330825,88.16498119550462,0.3932618077797451,83.96320315086348,2.3129822530864197,98.04177907738774,0.12159613406745323,1.9415897880908766,0.18980993824457512,64413.589109789435,734.5491070210416,60.00396050347222,0.20338541501424898,0.653033333333332,0.14737110094594316,4.359441102165624,15355.335525212517
13,413,43.5898,7.00607,38,8.68203,0,115,116,9,140,9,1.00544,48.7029,0.0,0.0,1.5,8.153,5.9939,0.0,0.0,126.0,42.88209,0.0,0.42,2.838,-1.0,0.535374,0.1711946661700095,0.19499201154517842,0.09479107721828789,0.15496261150276042,0.14431496227385765,0.15983672477097535,90.21966692816308,0.3932618077797409,84.04311824053447,2.3117766203703702,98.02624566187946,0.12335182621657281,2.4647316546602256,0.18977273297292666,64437.895368462894,733.2638766918982,60.014809314115546,0.20203669078444952,0.6532192156862745,0.14646159039453163,4.29630031229857,15445.24787407354
14,414,43.4557,6.73258,38,8.98813,0,115,116,9,140,9,1.00658,48.56078,0.0,0.0,1.5,8.146,6.04109,0.0,0.0,127.0,42.86281,0.0,0.42,3.152,-1.0,0.531919,0.17016785739006765,0.19598587975447168,0.09548665047448432,0.1571376661423882,0.14350016550760272,0.1597615373348159,87.16260119768462,0.39710284875880014,84.18921158922541,2.144579475308642,98.04685168002322,0.12413351125624973,2.5622147719912007,0.18978628526498356,64387.930851047044,732.2046701373544,60.017691718207466,0.20046135469707663,0.6520078431372549,0.14602559926820155,4.307585673568634,15355.475311464028
