,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,movement,color_fulness,cubcol.0.6,uhdhdsim,tone,cubcol.1.0,temporal,cubcol.0.5,staticness,noise,cubrow.0,cubrow.0.6,blur,cubrow.0.3,cubrow.0.5,cubrow.1.0,cubcol.0,cubcol.0.3,fft,saturation,blockiness,contrast
0,0,32.4748,9.29192,22,0.0,0,109,122,7,136,5,1.00068,32.82096,0.0,0.0,6.10714,8.441,0.0,0.0,0.0,125.0,44.32859,0.0,0.39,1.389,0.0,1.426843,0.0,63.86687444156229,0.09401588105394515,100.7090467286474,0.6772062745098039,0.10118688473601334,0.0,0.09119958173021846,610.9371712937336,0.32321042227648783,0.055061632700457545,0.15504820640764222,6649.9528516222745,0.07169925378365138,0.1077774388555252,0.1554933925753018,0.06042857845788302,0.12241327231603126,63690.600003891144,49.10423768596885,1.043433043734955,88.86395733215751
1,1,32.308,9.1158,22,11.3192,0,109,122,7,136,5,1.0019,32.60791,0.0,0.0,5.35714,8.405,7.97448,0.0,0.0,125.0,44.35681,0.0,0.39,1.459,-1.0,1.454696,4.118200231481482,64.29709543559197,0.08122200806110781,100.74353184613508,0.6780411764705883,0.10228205941740681,4.700009285927917,0.09035837898537237,609.529724552706,0.3232104222764869,0.04943591028665703,0.1498352050170486,6605.710431486964,0.06476448960614872,0.10156021850172552,0.1509423153818254,0.05804353463379222,0.11879814360101258,63707.132797740545,49.09242832513503,0.8950959975126112,88.67796976318431
2,2,32.3648,8.93108,22,10.2866,0,109,122,7,136,5,1.00219,32.67762,0.0,0.0,5.46429,8.406,7.81949,0.0,0.0,125.0,44.3618,0.0,0.39,1.452,-1.0,1.386472,3.9642168209876543,64.68511196980995,0.07962149865661118,100.73650448613859,0.6780113725490197,0.10431690171811346,4.671410142961698,0.08846964964161208,608.3029382961282,0.3292690892987775,0.04917346071370915,0.14779584742821067,6665.857712501916,0.06378531164242171,0.10336637391776962,0.14470061518102284,0.05646436670273262,0.1198853508704477,63714.464836806386,49.307970023449556,1.1040051350874442,86.82915589584003
3,3,32.4162,8.3708,22,10.1593,0,109,122,7,136,5,1.00036,32.79648,0.0,0.0,5.07143,8.42,7.66161,0.0,0.0,125.0,44.35893,0.0,0.4,1.247,-1.0,1.292946,3.5359278549382718,64.56464817297362,0.07942550082474296,100.72348276882943,0.6774521568627451,0.10466123308652411,4.596790062349466,0.08647734342566095,607.3377562674597,0.3292690892987833,0.050488031094866666,0.14746819159722974,6699.179200628655,0.06408792927110207,0.10296147496384328,0.14029134326628667,0.05509061864700437,0.13477558630384145,63692.43150283052,49.275188116379724,1.2341516982864469,88.69575917259644
4,4,32.5865,8.10999,22,9.83802,0,109,122,7,137,6,0.99961,33.02027,0.0,0.0,4.14286,8.405,7.17954,0.0,0.0,125.0,44.33276,0.0,0.4,1.37,-1.0,1.290693,2.8082079475308643,64.53928654088817,0.0809491389699181,100.66070913595908,0.6768803921568627,0.1056521413226433,4.319563942315123,0.08455938532877823,606.748061688457,0.3314867153420069,0.05202226611631732,0.1474891621793482,6780.026234292597,0.06537117552946352,0.10287321300145368,0.13755202291216675,0.05235702758261656,0.13851290567910923,63724.793822825945,49.55602688259549,0.9545154041563093,88.78567849157781
5,5,32.7382,8.65067,22,9.77072,0,109,122,7,137,6,1.00293,33.22717,0.0,0.0,5.07143,8.375,6.95472,0.0,0.0,124.0,44.24545,0.0,0.4,1.568,-1.0,1.232676,2.6692708333333335,64.50622184413218,0.08261825792613106,100.63176733570177,0.6744172549019608,0.10740668388948764,4.3037250626482,0.08494550327406503,606.4670284431102,0.33148671534201085,0.053321597726303016,0.14706095978367814,6848.542575096444,0.06638997603546073,0.10372939080211363,0.13571642917290944,0.05072932430336992,0.13338588897784143,63725.19297775686,49.55670034149547,1.4364568564236457,87.33737310302833
6,6,33.0182,9.92924,23,10.5428,0,109,122,7,137,6,1.00324,33.54802,0.0,0.0,5.82143,8.38,7.4207,0.0,0.0,123.0,44.19102,0.0,0.4,1.281,-1.0,1.184337,2.9449266975308643,64.76360681314273,0.08346602663706669,100.566577173371,0.6723784313725489,0.10953520959914531,4.532788868816807,0.08467718208230433,606.4852046795173,0.33532775632107087,0.05451810029926127,0.14459677474875782,7010.683496554214,0.0662463095580831,0.10480023599410807,0.1339761736137806,0.05040305455122255,0.13230194242842117,63859.36138920493,49.713869824821565,1.1937968517240982,88.14327478220392
7,7,33.0893,10.5841,23,11.5844,0,109,122,7,137,6,1.00179,33.60087,0.0,0.0,8.67857,8.449,8.52158,0.0,0.0,124.0,44.16183,0.0,0.4,1.418,-1.0,1.167514,3.4299768518518516,64.71160388859244,0.08442222835085217,100.56715540209977,0.6719007843137255,0.11107678694337556,4.709037131245251,0.08441572092747344,606.3002077919939,0.3314867153420132,0.054793110314709514,0.14228080338978294,7017.8150756377345,0.06662265803501616,0.1043365454954746,0.13186606173522109,0.049885569263834105,0.12984365563433864,63879.0974156603,49.66668192545573,1.5918899632810823,87.24933603888705
8,8,32.9837,10.3783,22,12.0514,0,109,122,7,137,6,1.00092,33.47456,0.0,0.0,7.64286,8.35,9.08776,0.0,0.0,125.0,44.08529,0.0,0.4,1.381,0.31121,1.170054,3.726514274691358,64.59507646462917,0.08428133779543771,100.59541067047137,0.6667933725490195,0.10823543426959224,4.8332327409444975,0.08334402394508444,605.8594951618867,0.33532775632107054,0.055080536595522665,0.1399125144917488,6945.0610345797795,0.06648525020945058,0.10416606141357318,0.13025456812928846,0.04999894121709284,0.1269969944628169,63643.577071624066,49.66009804054543,0.8937566441026299,86.23090187783926
9,9,32.6925,10.2581,22,11.5432,0,108,122,7,136,6,1.00234,33.16761,0.0,0.0,7.21429,8.434,8.91801,0.0,0.0,125.0,44.11177,0.0,0.4,1.319,-1.0,1.171514,3.595389660493827,64.56038216275024,0.08388804296583081,100.63725171096424,0.6663976470588235,0.10733314665499158,4.904461844201082,0.08204418251710952,605.1913602784723,0.3314867153420121,0.055209018711340735,0.13792297288396502,6824.649188004874,0.06550987383511553,0.10398918036856959,0.129000782954707,0.049168352597046334,0.12402827839799545,63656.835495134175,49.65482452769338,0.883946274172152,88.20181004986368
