,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0,fft,cubcol.0.6,cubcol.0,saturation,movement,tone,noise,cubcol.0.5,color_fulness,contrast,blockiness,staticness,cubrow.0.6,cubrow.0.3,cubcol.0.3,uhdhdsim,cubrow.1.0,cubcol.1.0,cubrow.0.5,temporal,blur
0,100,33.9984,7.3028,25,0.0,0,107,117,6,136,6,0.99972,35.23062,0.0,0.0,4.75,8.176,0.0,0.0,0.0,125.0,45.09982,0.0,0.4,3.689,0.0,0.847493,0.09891283892164332,63826.03180510417,0.08685124571007855,0.07674318834047716,59.05170638472945,0.0,0.6806878431372549,0.3480393014730578,0.08431872817230247,60.129692649525936,90.94887298763456,1.648177243759504,517.5753352457398,0.11915709414625521,0.060303744354841995,0.08060599943117588,100.1921266502522,0.14141046429142612,0.11708881047061777,0.12718247057515317,0.0,7666.034079839623
1,101,34.0068,7.0905,25,8.54657,0,107,117,6,136,6,1.00104,35.22195,0.0,0.0,5.10714,8.103,6.26786,0.0,0.0,125.0,45.09028,0.0,0.4,3.421,-1.0,0.842561,0.09333157046399344,63883.88846505723,0.07998854241580815,0.07099359129172837,59.26953369894146,1.3920717592592593,0.6804839215686276,0.3518803424521173,0.08836572173195958,60.14446747850353,94.19516896052211,1.4417332430138587,517.0663609244294,0.1120462607360991,0.058038497276183744,0.07870109739030665,100.20572288493364,0.13996149672792185,0.12026471153248461,0.10764289022670495,3.497623131971549,7654.6649450969335
2,102,33.9745,6.77768,25,8.35675,0,107,117,6,136,6,1.00064,35.19396,0.0,0.0,5.64286,8.121,6.0933,0.0,0.0,125.0,45.09321,0.0,0.39,3.072,-1.0,0.862241,0.08957037583481167,63914.14441646451,0.07772881972300835,0.06542958978354271,59.25418392228492,1.1313175154320987,0.6798525490196078,0.34803930147305645,0.08623409061202111,60.265350614908826,93.38982453797375,1.501758489796418,516.9929154519277,0.1105428881923603,0.05779782215632795,0.07815859739340458,100.20967943670584,0.13997496523900935,0.12600623204379677,0.10694015071572273,3.403120967198614,7670.012643683895
3,103,33.9131,6.5248,25,8.1186,0,107,117,6,136,6,0.99804,35.13558,0.0,0.0,4.64286,8.125,5.82897,0.0,0.0,125.0,45.09036,0.0,0.4,3.453,-1.0,0.841382,0.08983672774070009,64048.28105782313,0.07954196246675561,0.06937561184254697,59.0773530183015,0.9547164351851852,0.6792556862745098,0.3480393014730547,0.09468497196029804,60.02351878391595,87.98630845421494,1.32871813515773,516.9244502420137,0.10972422927120568,0.057599966661900606,0.07793042606197695,100.22080083654485,0.13943399352702174,0.13200194230860604,0.10571206063848639,3.3328996390317585,7636.847769254603
4,104,33.7864,6.44944,25,8.11228,0,107,117,6,136,6,0.99662,34.98334,0.0,0.0,5.64286,8.132,5.6097,0.0,0.0,125.0,45.05564,0.0,0.4,3.422,-1.0,0.860194,0.09155595347008127,64034.590724097936,0.07997014591084434,0.06890065803413446,59.1775791497878,0.9025366512345679,0.678213039215686,0.3480393014730539,0.09881439632228997,60.047956023757024,94.29985228000729,1.4764994591960066,516.8758251182144,0.10903568774360052,0.05723641665728322,0.07754574962233615,100.24702391927201,0.13824001101334815,0.13725031340827243,0.10394882777221878,3.3684467126812083,7557.76737580583
5,105,33.7926,6.34221,25,7.69284,0,107,117,6,136,6,0.9949,34.98482,0.0,0.0,4.46429,8.16,5.54526,0.0,0.0,125.0,45.07052,0.0,0.4,3.077,-1.0,0.858256,0.09067974396604944,63922.532882631764,0.08083549604385579,0.06788933900513766,59.06089311764564,1.067949459876543,0.6782078431372549,0.3480393014730554,0.09451124194557359,60.074046495560864,92.36793784100664,1.413791839415565,516.9542109845188,0.108431601259718,0.05675321334315755,0.07724836168649529,100.25266614055528,0.13726504602296272,0.1412944175962898,0.10249969776345409,3.431950697530164,7539.567184479887
6,106,33.7157,6.08794,25,7.54946,0,107,117,6,136,6,0.99697,34.90347,0.0,0.0,3.82143,8.13,5.45033,0.0,0.0,125.0,45.00054,0.0,0.4,3.32,-1.0,0.872619,0.08939318379004405,63899.987687756344,0.08185753986182992,0.06503284608683998,59.006183388792444,1.0360725308641976,0.676258431372549,0.34360404938659833,0.09373470834850736,60.102702124679354,93.41610196580378,1.534257454178425,517.0116042728735,0.1083627169780229,0.060018241864902386,0.07698588567272874,100.27166385233147,0.13694290832791303,0.14356622854745568,0.101817511657764,3.4249038765761015,7481.203424154313
7,107,33.6899,6.20708,25,7.19845,0,107,117,6,136,6,0.99956,34.87541,0.0,0.0,5.39286,8.118,5.2248,0.0,0.0,125.0,44.96689,0.0,0.4,2.821,-1.0,0.803349,0.08865437511342383,63855.452322208606,0.08302649736284891,0.0631542315964035,58.94251712751978,0.9343171296296297,0.6749882352941177,0.3458216754298297,0.09005089316634246,60.166826191934874,92.2484412456362,1.82425824158443,517.0263565739658,0.10805504626120259,0.0637391897836301,0.0762692954939639,100.26973560582778,0.13690199857424024,0.14371950222628715,0.10159210665491536,3.3934319881848545,7454.167297724562
8,108,33.8005,6.30679,25,7.78619,0,107,117,6,136,6,0.99468,34.96727,0.0,0.0,5.17857,8.15,5.32733,0.0,0.0,125.0,44.98307,0.0,0.4,3.08,0.29231,0.845613,0.08855105884879759,63960.09342618407,0.08361932558500851,0.0617423657898021,59.068653059594425,0.9877025462962963,0.6745235294117647,0.3458216754298263,0.08796626443566805,60.262723473581836,92.97982400769781,1.6153293675807376,516.9810535465292,0.10769213765780351,0.06632494569620231,0.07594903880172243,100.26294504999171,0.13699619787178657,0.1434392568270517,0.10079083684988845,3.507869492042084,7532.085839392571
9,109,33.7944,6.69235,25,7.55011,0,107,117,6,136,6,0.99293,34.95276,0.0,0.0,5.64286,8.132,5.40733,0.0,0.0,125.0,44.97961,0.0,0.4,3.644,-1.0,0.845251,0.08825931380297672,63945.347559522525,0.08432213061825317,0.06052957307935687,59.28632175775221,1.0013985339506173,0.6742941176470587,0.34360404938660066,0.08628084505037889,60.26693366149078,89.48914357974276,1.4078055497592885,516.8446541062102,0.1075172932320386,0.06684521650656296,0.07562053358801653,100.25845687541185,0.13740840802056836,0.1430181974327098,0.1003235396708073,3.48347263015974,7517.422723280613
