,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.5,saturation,blockiness,blur,cubcol.0.3,cubrow.0.6,tone,cubrow.1.0,contrast,cubcol.0.6,noise,cubrow.0.5,uhdhdsim,color_fulness,fft,temporal,staticness,cubrow.0,cubrow.0.3,cubcol.1.0,movement,cubcol.0
0,300,38.7124,8.54224,30,0.0,0,112,118,7,137,8,1.00491,41.12427,0.0,0.0,3.28571,8.271,0.0,0.0,0.0,126.0,43.266,0.0,0.4,1.722,0.0,0.679044,0.08113924864877416,51.88175738299334,2.1493445439990255,10860.762301002129,0.062409728522355185,0.1791148978951116,0.6740090196078432,0.11865162177046722,88.43360185793279,0.13422222185832414,0.36237426156087776,0.1755719277274778,99.2258938715613,73.94197072092972,63988.44294365589,0.0,646.70334334314,0.12899098702945727,0.10157937477466415,0.13522312052283356,0.0,0.12628402562660565
1,301,38.7543,8.49954,31,9.2454,0,112,118,7,137,8,1.00263,41.16902,0.0,0.0,2.28571,8.216,7.36227,0.0,0.0,125.0,43.20191,0.0,0.41,2.077,-1.0,0.655313,0.07450382489817411,52.145089043511284,2.0389073614903923,10897.362549904703,0.061852722162470446,0.17847010655208637,0.6728788235294118,0.12138176612934376,89.53976975064074,0.1357139295315804,0.36237426156088115,0.17588276184500298,99.2261562857141,73.81246854278301,63891.1548418146,4.221158815433644,644.765820870077,0.12234656446954026,0.1014957081486403,0.130865165660623,2.6800250771604937,0.10109270318107844
2,302,38.848,8.2724,31,9.81296,0,112,118,7,138,8,1.00105,41.25732,0.0,0.0,2.85714,8.227,7.3207,0.0,0.0,126.0,43.07971,0.0,0.41,1.928,-1.0,0.664793,0.07271436497962748,52.12016541280864,2.0884478156292836,11003.7692775698,0.061118133848922986,0.17885716016883216,0.672075294117647,0.12278199635166054,86.33576823987943,0.1339617991361486,0.3623742615608802,0.17561305111017528,99.20544873561006,73.65258750073268,64016.40260134985,4.207825093836355,642.9039726560986,0.12316981326705695,0.10137596932310092,0.1360020901872991,2.3859953703703702,0.10135930131999286
3,303,38.7663,7.8438,31,9.7591,0,112,118,7,138,8,0.99639,41.26249,0.0,0.0,3.0,8.238,7.12817,0.0,0.0,126.0,42.99723,0.0,0.4,2.027,-1.0,0.704422,0.07348674116997277,52.28624395676601,2.129194357607286,10982.353421881195,0.060654700926560716,0.17848888408641622,0.6713996078431373,0.12325649746864248,89.03019939591785,0.13448826775485492,0.36459188760410605,0.17533067312283065,99.20147628570635,73.62613353313137,63879.76658521583,4.215756635043778,641.6771954231197,0.12150506214667621,0.1045579922721579,0.13640798020876108,2.275800540123457,0.08845116652269686
4,304,38.6518,7.53349,31,8.90093,0,112,118,7,138,8,0.99515,41.1936,0.0,0.0,2.67857,8.319,6.75974,0.0,0.0,126.0,42.96931,0.0,0.4,2.152,-1.0,0.67837,0.07406620579097586,52.31696592731241,1.8285855659912995,10879.586606703955,0.06070529227561615,0.17754210841888712,0.671516862745098,0.12372912550718144,87.22898755990543,0.13474483056240494,0.36237426156088076,0.17577102899472108,99.2090351959473,73.6352669726933,63936.84189135073,4.0827551792135495,641.0880951637882,0.1216791228979458,0.10400881543168274,0.13423424853761026,1.9620949074074074,0.08885511235532838
5,305,38.6527,7.08186,31,8.9854,0,112,118,7,138,8,0.99395,41.18644,0.0,0.0,3.21429,8.285,6.50994,0.0,0.0,126.0,42.99052,0.0,0.41,2.677,-1.0,0.684554,0.07475680854696991,52.39507962450569,2.046729493375657,10877.524647680893,0.06086643482524717,0.17692150355483519,0.6717698039215687,0.1249734272239829,89.46165024999529,0.13448934685884653,0.36237426156087743,0.17568700911305124,99.22289477564561,73.64927371148717,63945.09586521924,4.0553459682335244,640.6159466881854,0.12108500307620768,0.10349241131974529,0.13199125322297467,1.6181520061728396,0.0880721949465128
6,306,38.741,6.79642,31,8.68086,0,113,118,7,138,7,0.99429,41.2865,0.0,0.0,2.60714,8.252,6.11363,0.0,0.0,126.0,42.96735,0.0,0.41,2.261,-1.0,0.703234,0.07551934970710353,52.481946968737944,2.1005592709396126,10983.716792028952,0.06149777978526713,0.17630158913691615,0.6717776470588236,0.12535150932166234,88.41412727890994,0.13428475925664415,0.3623742615608833,0.17507987266587288,99.1981792425063,73.26538165348772,63951.23409969958,4.029621006243752,640.0441658282999,0.11966688835599089,0.10315410264741151,0.13068574973030347,1.2482156635802468,0.08532355715775224
7,307,38.785,6.88221,31,8.70866,0,113,118,7,138,8,0.99338,41.32577,0.0,0.0,3.39286,8.224,5.85636,0.0,0.0,125.0,42.98358,0.0,0.4,2.24,-1.0,0.727273,0.07625118465428954,52.71870799123505,2.1654189137256656,10998.701307853666,0.06181205349660736,0.17565445238808328,0.6729541176470588,0.12540242469453325,88.86312702486504,0.13468663808060394,0.36459188760410566,0.17467061234493664,99.19827789342206,73.00272249666241,63872.127212929045,4.018059916334641,639.4224394872082,0.11967462017770286,0.10296159182889252,0.13020142655181124,1.1482928240740742,0.0831072820924144
8,308,38.9141,6.92814,31,8.33565,0,113,118,7,138,8,0.9964,41.47739,0.0,0.0,2.82143,8.265,5.93479,0.0,0.0,126.0,43.08543,0.0,0.4,2.414,0.23624,0.701453,0.07715381956147559,52.76925207067419,1.9588136646661956,11111.035314716948,0.062383691993417256,0.1752106682094511,0.6745305882352941,0.125068735729294,88.72298070936075,0.13441480025617125,0.3645918876041064,0.17429239624027953,99.18220193663018,72.94731096730624,63872.50629738912,4.001097417296344,638.9149066408919,0.11795929138216393,0.10311329274058237,0.12898857963053262,1.1398533950617284,0.08054937992769552
9,309,38.9372,6.80507,31,8.5259,0,113,118,7,138,8,1.00037,41.53426,0.0,0.0,4.25,8.302,5.9783,0.0,0.0,125.0,43.16198,0.0,0.4,2.538,-1.0,0.720421,0.07654135119179302,53.00582339439863,2.299290170583492,11101.623098884478,0.0629080775155161,0.17487348350776402,0.6752768627450967,0.12520806527299316,88.50507622748272,0.13545668058562674,0.3645918876041065,0.17375029778695247,99.16391966526044,73.1374989392074,63951.32270217267,3.900974235641645,638.6188366349804,0.11727345790356382,0.1033703236993378,0.12890955039946272,0.9947434413580247,0.07882932568763794
