,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,tone,noise,temporal,cubcol.0,color_fulness,cubrow.0,cubcol.0.5,movement,contrast,cubrow.0.6,saturation,blockiness,cubrow.0.5,cubcol.0.3,fft,cubcol.0.6,uhdhdsim,blur,cubrow.1.0,staticness,cubrow.0.3,cubcol.1.0
0,400,40.6385,8.32401,33,0.0,0,115,118,9,140,8,0.9831,43.45639,0.0,0.0,1.92857,8.159,0.0,0.0,0.0,123.0,42.47692,0.0,0.4,1.997,0.0,0.795391,0.6508650980392156,0.36237426156087843,0.0,0.09486428085105711,80.46236833724268,0.1398011068811782,0.11915361141615455,0.0,86.25047023339316,0.1738297244109983,57.850118943202645,2.0313115360772267,0.1809434868658676,0.07424393436739721,64146.92954780635,0.15902818867570243,98.92880652500425,12102.769241523722,0.13273774882945183,743.889933451598,0.14676931664020124,0.1966374932383846
1,401,40.5988,8.51542,33,9.95381,0,115,118,9,140,8,0.97754,43.46473,0.0,0.0,1.75,8.168,7.16598,0.0,0.0,123.0,42.47719,0.0,0.4,1.916,-1.0,0.777832,0.6507270588235294,0.3623742615608771,4.407926818084726,0.09348269443509882,81.19924831539267,0.13824288684851202,0.11809196209332062,2.869261188271605,86.157443588279,0.1734603375053131,58.02105618700569,1.9174804133838108,0.18356205459228306,0.07387804150029513,64179.83605381033,0.15326117650394916,98.92220564686589,12100.933965707338,0.13648584330266503,744.2631439297046,0.14604584924727804,0.20030542696404588
2,402,40.5357,8.42369,33,9.95757,0,115,118,9,140,8,0.97645,43.39202,0.0,0.0,1.46429,8.212,7.33195,0.0,0.0,123.0,42.44718,0.0,0.4,1.943,-1.0,0.820289,0.6479816470588218,0.36237426156087776,4.508658312064528,0.09686216703839873,81.52367709041626,0.13448022001953314,0.11722904552970284,2.7236689814814814,86.7848942394141,0.17045384806704625,57.93029483748071,2.1062361479609235,0.17983315689863444,0.07509045534593073,64241.32143117569,0.15167451220049277,98.92538688137992,12075.44334297726,0.13662952716293073,744.7470240328832,0.14572005840052085,0.20512921936752054
3,403,40.6763,8.04183,33,10.3721,0,115,118,9,140,8,0.98258,43.51781,0.0,0.0,2.5,8.177,7.25881,0.0,0.0,122.0,42.38324,0.0,0.4,2.084,-1.0,0.8213,0.6472066666666668,0.3623742615608769,4.532193867212655,0.10289008012494828,81.68621004984803,0.13375971817892054,0.11646895545757292,2.474778163580247,86.50064372604633,0.17033252460468723,58.029608078944825,1.7173649175550365,0.17867087366192547,0.07578143182268228,64235.13615698808,0.14867850686900974,98.92119364051993,12144.596253510395,0.13668602361330096,745.0256830314813,0.1455881694511615,0.20954322322224123
4,404,40.8015,8.02677,33,9.94325,0,115,118,9,140,8,0.98597,43.64076,0.0,0.0,3.14286,8.204,6.93034,0.0,0.0,122.0,42.3874,0.0,0.4,2.223,-1.0,0.873454,0.647369411764706,0.3623742615608761,4.454121499759446,0.10726546243783801,82.04291934732682,0.13395116991621225,0.11803137257637691,2.1362364969135803,87.86519343226958,0.17080631134652524,57.93348392439477,1.8803442669327821,0.17953336141653875,0.07613461036552863,64129.97114816082,0.15030250749369056,98.90088063155468,12251.283615355298,0.13591540915422715,745.4024343386353,0.1451637939843824,0.210721140408724
5,405,41.1758,8.277,33,10.0504,0,115,118,9,140,8,0.99552,44.03759,0.0,0.0,1.71429,8.149,6.9136,0.0,0.0,122.0,42.42827,0.0,0.4,2.091,-1.0,0.891164,0.6490874509803921,0.36237426156087654,4.5516276575047,0.10691785946657426,82.06566181553656,0.13502439427845583,0.12082976891875397,2.1024787808641974,86.43742266597837,0.17093498283586034,57.79961197464555,2.326329704571881,0.1790176227672399,0.0770688049957002,64104.520729605,0.15103166081975886,98.84007000729974,12578.513065247407,0.13584586442853885,745.022572803402,0.144941816145826,0.20980072999797453
6,406,41.4683,8.14296,33,10.1721,0,115,117,9,140,8,0.99599,44.38239,0.0,0.0,1.96429,8.17,7.15132,0.0,0.0,125.0,42.8093,0.0,0.4,2.09,-1.0,0.828149,0.6550161176470587,0.3623742615608771,4.748334987449282,0.1061509767405164,82.0834817814172,0.13666845648818646,0.12257105352564607,2.5775462962962963,86.68154123797503,0.1708027806760708,57.76364512502411,1.7031659195909916,0.17893811951519692,0.07754075708653359,64114.02961682499,0.1525645751793707,98.77798217370585,12858.503912389167,0.13573995553957852,743.3256743746047,0.14475632318201614,0.209190258525222
7,407,41.6392,8.00624,34,9.87737,0,115,117,9,140,8,0.99614,44.58393,0.0,0.0,2.17857,8.171,7.00645,0.0,0.0,126.0,42.84628,0.0,0.4,1.994,-1.0,0.821129,0.6558936274509765,0.3623742615608787,4.480018975757597,0.10411066989455572,81.9885542841908,0.1379428495327557,0.12439366843355067,1.8005401234567902,86.54682612193545,0.1711280170310418,57.66001628357687,1.5571946228717437,0.17887723875010755,0.078088234275604,63991.26997402566,0.1525008175484207,98.74287491622954,12962.807809420081,0.13615102754626984,741.9996704692961,0.14477816009910174,0.2071903331460415
8,408,41.3824,7.51026,33,9.98764,0,115,116,7,140,8,0.99399,44.32243,0.0,0.0,3.32143,8.156,6.89867,0.0,0.0,125.0,42.33041,0.0,0.4,2.269,0.26286,0.829377,0.6486330784313706,0.36237426156087627,5.045138538400742,0.10318769249972147,82.16204027889052,0.1373393124443248,0.1252693423636774,3.7260802469135803,86.86581554661649,0.17117455016711508,59.23355554651331,1.9316565896085875,0.17925124080117996,0.07899365722270478,63922.99011937558,0.15283021881129913,98.74921646889456,12696.785745751706,0.13657004733496078,737.9422919914009,0.14443489348908198,0.2034918466351836
9,409,41.3079,6.89184,33,9.45855,0,115,116,8,140,8,0.99467,44.26145,0.0,0.0,2.82143,8.16,6.46768,0.0,0.0,125.0,42.1376,0.0,0.41,1.908,-1.0,0.833423,0.6441829803921568,0.36237426156087543,4.481989940690017,0.10400299510408305,82.84763533457105,0.13657832416030083,0.12549935629497525,1.3112943672839505,86.49096471812068,0.1716915074055555,59.883749879436735,1.5969556013531236,0.17976654639223258,0.079626698229292,63914.14622435673,0.15321951742696463,98.76431644536927,12621.119134521457,0.1368578677173451,734.3836361493179,0.1439330495296801,0.19844109531860568
