,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0,staticness,noise,blur,cubrow.0.3,cubcol.0.5,contrast,cubcol.0.3,movement,fft,cubcol.1.0,cubrow.0.6,color_fulness,cubcol.0.6,cubcol.0,cubrow.0.5,uhdhdsim,saturation,cubrow.1.0,temporal,blockiness,tone
0,0,29.8145,8.41573,19,0.0,0,109,122,6,136,5,1.0029,29.48173,0.0,0.0,7.46429,8.497,0.0,0.0,0.0,124.0,43.84579,0.0,0.38,1.56,0.0,1.72288,0.04543778227251952,605.1857678796074,0.3028167951663748,5304.934948662705,0.06280679136432887,0.07775164706441874,89.15200016154718,0.11318388724568633,0.0,63525.175853748384,0.09450583019552365,0.14061970665121704,63.06055443644523,0.08657542495697103,0.05500211015253636,0.09918538332454171,101.35895990961588,48.83243494857977,0.13896195989854673,0.0,1.0659289272306505,0.6730545098039216
1,1,29.6469,8.24687,18,10.2088,0,109,122,6,136,5,1.00459,29.28076,0.0,0.0,5.5,8.432,7.2193,0.0,0.0,124.0,43.87862,0.0,0.38,1.504,-1.0,1.757813,0.0398431175470394,604.2051303924079,0.30281679516637405,5271.464404363852,0.057028958771715745,0.07695142717910242,91.04384944367843,0.10864965057694402,3.498456790123457,63560.47563971611,0.0957333202218892,0.1370262645604476,63.41271887820218,0.07362992211028775,0.051857984251835396,0.09279827031678425,101.40975215475608,48.83086197464554,0.13508912377790064,4.314507662480016,0.9429936406002251,0.6736647058823528
2,2,29.7052,8.08279,18,9.10673,0,109,122,6,136,5,1.00545,29.34207,0.0,0.0,5.53571,8.413,7.06883,0.0,0.0,124.0,43.88529,0.0,0.38,1.551,-1.0,1.709358,0.03946985272133235,603.3177145559895,0.30281679516637544,5323.271157514515,0.05590593506733404,0.07498479658940267,87.33273496899733,0.10911805439605908,3.29663387345679,63584.73834535601,0.09750886003882564,0.13508041269923562,63.84023846553319,0.07282822684119428,0.05067326535640607,0.09357554573292434,101.40576739498255,49.04311210726514,0.13039518775834003,4.294919172349633,1.0025405352154635,0.6738141176470588
3,3,29.7533,7.60451,19,9.10019,0,109,122,6,136,5,1.00132,29.43324,0.0,0.0,5.17857,8.436,6.92995,0.0,0.0,124.0,43.87877,0.0,0.38,1.245,-1.0,1.62062,0.040071967828605025,602.5825889680616,0.30281679516637977,5345.535516968106,0.055778858439360215,0.07253343123005261,86.9038268912475,0.1235517328791939,3.002073688271605,63559.71416197607,0.09780431314295938,0.1341657694081062,63.702442494387256,0.07249914852143848,0.04935192506575576,0.09312861206919561,101.39383838110653,49.02446982301312,0.12630441969817832,4.221140745389429,1.1481070493026888,0.6725453921568602
4,4,29.893,7.33112,19,8.82432,0,109,122,6,137,5,1.00125,29.60398,0.0,0.0,5.07143,8.411,6.51818,0.0,0.0,124.0,43.84759,0.0,0.38,1.471,-1.0,1.625834,0.04111485391052576,602.1657579370507,0.30887546218866774,5395.36014624271,0.05676243583271525,0.07063089056864968,88.8754694132943,0.12702139520750783,2.447627314814815,63563.703840151,0.09845090021432,0.13422706079387928,63.66488067232852,0.07396080534913192,0.04638034313219011,0.09294181284507683,101.34072277743171,49.28746428313079,0.12442023068213182,3.9731493147261725,0.8716878346295419,0.6716698039215686
5,5,30.0226,7.84866,19,8.57598,0,109,122,6,137,5,1.00492,29.77412,0.0,0.0,5.71429,8.407,6.27979,0.0,0.0,124.0,43.75743,0.0,0.39,1.572,-1.0,1.573373,0.042047987765507555,602.0236824563588,0.31877517019002405,5435.296539158418,0.0579038006520131,0.07074348550451942,90.32508988939634,0.12239207802901529,2.3743730709876543,63601.30612354268,0.09935791406186881,0.133905530674648,63.635724804696835,0.0753571651314926,0.044303230238372966,0.09386205624746806,101.31381788775228,49.30565049913194,0.12269678939235741,3.934720935305904,1.266411496564008,0.6703411764705882
6,6,30.3002,9.09952,19,9.5418,0,109,122,6,137,5,1.00348,30.07915,0.0,0.0,7.53571,8.397,6.72747,0.0,0.0,123.0,43.69526,0.0,0.39,1.335,-1.0,1.56168,0.042696327094188746,602.1505921083311,0.3209927962332495,5577.196618421256,0.057728702706995164,0.07032710514784679,89.92362612275515,0.12110066067936144,2.603732638888889,63693.41522191059,0.10132711356989776,0.1316825215618419,63.79353977654577,0.07624192802783986,0.04359424117369216,0.09543636163238912,101.25594515653978,49.451679559401526,0.12102325592940258,4.128779717078703,0.9680594438788235,0.6686894117647059
7,7,30.4185,9.72935,19,10.6116,0,109,122,6,137,5,1.00041,30.17141,0.0,0.0,9.60714,8.439,7.80677,0.0,0.0,124.0,43.66734,0.0,0.39,1.464,-1.0,1.485428,0.042896999564032465,602.0869767698042,0.3209927962332498,5606.113150725815,0.05816599966363828,0.06997973960809056,86.72042800785664,0.11867386907214318,2.9916570216049383,63733.8183900571,0.1030533650832345,0.12944361366180485,63.71482338125756,0.07674822594555122,0.0425003643823369,0.09484188461639759,101.22586744911706,49.385673617139275,0.11906912279303009,4.306783986942599,0.9088370733559247,0.6677482352941176
8,8,30.3204,9.51555,19,11.1449,0,109,122,6,137,5,1.00182,30.07005,0.0,0.0,7.60714,8.395,8.34757,0.0,0.0,124.0,43.59403,0.0,0.38,1.381,0.36883,1.492611,0.04301458355429554,601.7602516351334,0.32099279623325,5549.328868571963,0.05787326076686839,0.06862929743551782,91.25411727135885,0.1161485223316707,3.221257716049383,63447.75280280447,0.10002468034371055,0.12738506266357913,63.78559312884511,0.07633814552103695,0.042236343578751216,0.09486181401876302,101.25396864917859,49.40621741024064,0.11738800878750177,4.428342213896131,1.4748868478284223,0.6630250980392157
9,9,30.0218,9.3627,19,10.4023,0,108,122,6,136,5,1.00191,29.76261,0.0,0.0,8.67857,8.462,8.16973,0.0,0.0,124.0,43.62691,0.0,0.39,1.378,-1.0,1.493718,0.04323337020823288,601.2651311411961,0.31877517019002194,5436.795734130602,0.05712659521845619,0.06734696728978891,90.93655779264803,0.11345712462762654,3.0970775462962963,63455.9240242335,0.09883441206311178,0.12536017599126748,63.72675385189719,0.07601835211293553,0.04146150827170225,0.09448011730008797,101.31907910679827,49.41529714325328,0.11624462642738063,4.5059963049937455,0.9106036680452905,0.6620107647058824
