,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,tone,fft,staticness,blur,cubcol.0.5,cubrow.0.6,cubrow.0,cubcol.0.3,cubcol.0.6,cubcol.0,cubrow.0.3,contrast,uhdhdsim,saturation,cubrow.1.0,cubcol.1.0,cubrow.0.5,blockiness,noise,temporal,color_fulness,movement
0,100,30.9282,6.72794,21,0.0,0,107,117,5,136,5,0.99915,31.21531,0.0,0.0,6.32143,8.19,0.0,0.0,0.0,125.0,44.56055,0.0,0.39,3.833,0.0,1.162297,0.676264705882353,63590.221398482165,512.6640363053207,5981.550281109729,0.07409720995808546,0.10513095580932763,0.08685331428849963,0.06827494720921061,0.07437259490871098,0.06527607965024443,0.04787478743398542,90.21176242357477,100.93338730408468,58.87608375078366,0.12306950323948548,0.09861490661011815,0.10971037939108778,1.2360337301497846,0.33148671534200685,0.0,59.40708537471358,0.0
1,101,30.9338,6.55557,21,7.68077,0,107,117,5,136,5,0.99875,31.2078,0.0,0.0,7.32143,8.16,5.76753,0.0,0.0,125.0,44.55017,0.0,0.39,3.982,-1.0,1.120123,0.6755039215686274,63725.870535174545,512.1860522637679,5972.2050265088255,0.07717197776802628,0.09937629608344849,0.08223272869503148,0.06633382390040454,0.06751147246962758,0.06245372627036157,0.04583625480672304,90.5238371578273,100.94517289081672,59.09011294517988,0.12141366970092274,0.10370253050973033,0.09284004935330771,1.232233067678583,0.3314867153420056,3.143497645910631,59.3461934949998,1.2438271604938271
2,102,30.9514,6.25394,21,7.67388,0,107,117,5,136,5,0.99928,31.21443,0.0,0.0,6.57143,8.128,5.62478,0.0,0.0,125.0,44.55759,0.0,0.38,3.101,-1.0,1.150759,0.6753341176470589,63762.37670338701,512.0938468137473,6008.267130500301,0.07522719376296327,0.09916941060897679,0.0794246868884082,0.0659625572570616,0.06617417758864202,0.05789670378053491,0.0451680697903,90.63392600409495,100.95132731541707,59.07614154580199,0.12075951596655464,0.11135821800933923,0.09228487755686293,1.159197694264067,0.32926908929878457,3.0524688217771874,59.43616683067427,1.0109953703703705
3,103,30.8988,5.96524,21,7.27454,0,107,117,5,136,5,0.99711,31.16155,0.0,0.0,6.32143,8.125,5.37134,0.0,0.0,125.0,44.55144,0.0,0.39,3.098,-1.0,1.126105,0.6740176470588236,63849.94827647923,512.042510303882,5997.351014921598,0.08462235977281175,0.09896634532056442,0.08025373988099858,0.06556845062187715,0.06784304856171805,0.06213734027096843,0.04477860416555051,92.53641755077473,100.95951249415165,58.89322916666667,0.11998180679239072,0.1187077944566524,0.09125322344468649,1.4311131352049684,0.33148671534200486,2.9940766390103457,59.37200912160846,0.8464988425925926
4,104,30.7689,5.91464,21,7.20101,0,107,117,5,136,5,0.99714,31.0197,0.0,0.0,6.60714,8.151,5.1216,0.0,0.0,125.0,44.52116,0.0,0.39,2.976,-1.0,1.13665,0.6727183921568571,63892.765157427224,512.0157241114016,5918.499929241937,0.08734483495127512,0.09835882696864777,0.0830739403663708,0.06523641749690369,0.0677471656322595,0.06208831755626972,0.044344127788932014,92.95597970770459,100.99148801443624,58.9976537257065,0.11916266978351726,0.12599203579634125,0.08966348043918078,1.501249887744293,0.3314867153420016,3.0269876113862106,59.35370306908577,0.8040605709876543
5,105,30.7692,5.80772,21,6.85686,0,107,117,5,136,5,0.99602,31.02401,0.0,0.0,5.57143,8.193,5.07879,0.0,0.0,126.0,44.53708,0.0,0.38,2.995,-1.0,1.144511,0.6727788235294117,63786.658537178126,512.1405179604128,5914.043936484105,0.08382315741403326,0.09787999422502976,0.08227320716030208,0.06499680495457708,0.06877883063443133,0.061277184262880854,0.04392696915844209,93.37589457710722,100.99806789320675,58.88083808804736,0.1186237317685942,0.131926121550088,0.0880674818231424,1.2650653987894438,0.33148671534200663,3.0957446182642947,59.42673639726628,0.9242862654320988
6,106,30.6916,5.55821,21,6.70991,0,107,117,5,136,5,0.99812,30.93578,0.0,0.0,5.03571,8.137,4.98582,0.0,0.0,125.0,44.46661,0.0,0.39,3.357,-1.0,1.181197,0.6715639215686274,63655.70642935032,512.2346702091681,5855.49840634998,0.08301593715608396,0.09808965378189102,0.08127859456151934,0.06480093398594977,0.06952360920809106,0.059068656524532706,0.04757381834026267,92.9971075218488,101.02893960469595,58.841689121576,0.11849880190998488,0.13484392615184287,0.08737228554325673,1.3472391558587336,0.32926908929878035,3.084396322646349,59.44494654364157,0.8849344135802469
7,107,30.6783,5.66309,21,6.54744,0,107,117,5,136,5,0.99873,30.92368,0.0,0.0,5.82143,8.11,4.76341,0.0,0.0,125.0,44.43463,0.0,0.39,2.996,-1.0,1.107335,0.6709976470588236,63717.942357912274,512.2542532458903,5843.013579028538,0.07984699351699452,0.09793378863507163,0.08044782383205357,0.06415623909713387,0.07045593972144855,0.057572016163288525,0.05148769424431174,93.51323627212265,101.02500254148265,58.7798755787037,0.11825666044686237,0.1353196101361969,0.08709793204513025,1.6575209182670063,0.3314867153420005,3.057859505966625,59.50165531656057,0.8096547067901234
8,108,30.7776,5.7505,21,6.9406,0,107,117,5,136,5,0.99671,30.99827,0.0,0.0,6.82143,8.162,4.85229,0.0,0.0,125.0,44.44668,0.0,0.39,2.821,0.3777,1.128152,0.6698282352941178,63801.52239473715,512.2441263825102,5900.415907641387,0.07790831447620225,0.0976925404562119,0.08020754630757693,0.06396470035861196,0.07121088068617436,0.056289036643005795,0.05437618583772222,91.27924740592383,101.01276443890731,58.885098304277584,0.11835229806214234,0.13511196267138953,0.08639519178114459,0.9405679817362494,0.33148671534200475,3.151620132343131,59.54273883272592,0.8451485339506173
9,109,30.7551,6.14287,21,6.70441,0,107,117,5,136,5,0.99171,30.97592,0.0,0.0,6.39286,8.152,4.92404,0.0,0.0,125.0,44.44346,0.0,0.39,3.533,-1.0,1.157525,0.6688984313725491,63804.01512179616,512.1525975155839,5875.4249329031445,0.0761940668191616,0.09759421896663804,0.07972297367777989,0.06368534983114595,0.07187423404708435,0.055163907409243394,0.05493194222376079,94.30942041354103,101.00572363126068,59.10687632619599,0.11853419958745041,0.13510897701479935,0.08585471177959629,1.1125536837412386,0.3270514632555504,3.1383797931954396,59.57328874912461,0.8796778549382716
