,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.6,blur,cubrow.1.0,cubcol.1.0,cubrow.0.3,noise,staticness,color_fulness,contrast,saturation,cubcol.0.5,temporal,fft,blockiness,uhdhdsim,cubcol.0,tone,cubcol.0.3,cubrow.0.6,cubrow.0,cubrow.0.5,movement
0,200,33.4544,8.63739,23,0.0,0,108,119,6,138,6,1.00328,34.21517,0.0,0.0,2.28571,8.328,0.0,0.0,0.0,127.0,41.67437,0.0,0.4,3.67,0.0,1.058895,0.11691382960547625,7231.604067508554,0.1343978551725202,0.09043670444460733,0.09730576787856779,0.33754538236430615,579.0517334814144,63.04285156449488,89.3137097463804,55.7284380123939,0.0952941200442138,0.0,63499.44745357378,1.565756507078034,100.48143801660542,0.07301227205223504,0.6145290196078431,0.07831800873376739,0.13143160435949497,0.1005655684629042,0.0737870828664768,0.0
1,201,33.3956,8.39191,24,10.6539,0,108,119,6,138,6,0.99828,34.19198,0.0,0.0,2.35714,8.324,7.42098,0.0,0.0,123.0,41.51302,0.0,0.39,3.683,-1.0,1.059963,0.112899280176492,7178.726389217349,0.11600235358838959,0.08690675214884908,0.08243458288216081,0.3375453823643053,578.7335405105714,63.10697605517856,89.92991905640466,55.66897206247589,0.10303441697271326,4.092853072980531,63625.62374818951,1.524848888883205,100.48044706758265,0.07133041998227566,0.6111929411764706,0.07547573672608662,0.12788192317772776,0.10064915019033767,0.07198420910880579,2.77367862654321
2,202,33.6515,7.82397,24,10.4264,0,108,119,6,138,6,0.99349,34.4561,0.0,0.0,3.10714,8.301,7.2048,0.0,0.0,124.0,41.48191,0.0,0.39,3.666,-1.0,1.054519,0.11172063741107101,7350.121530251545,0.11444900335621962,0.08489582331493459,0.07951790036791564,0.33754538236430426,578.8794136186591,63.26413189219552,93.45893832657805,55.827870686848954,0.11277883293757682,4.136793567618589,63503.07027607094,1.263781112944241,100.43310359475045,0.07104080521696646,0.6098956862745099,0.07533592163578534,0.12699189476925193,0.09994149882857085,0.07631645010165972,2.322675540123457
3,203,33.7817,7.86136,24,10.1631,0,108,119,6,138,6,0.99582,34.58542,0.0,0.0,4.60714,8.289,6.72677,0.0,0.0,124.0,41.51241,0.0,0.39,3.103,-1.0,1.038752,0.11109410822880285,7447.8617539119605,0.11115904950437318,0.082997894705164,0.07773700521520868,0.33754538236430864,579.0815709103515,63.27210503209139,94.6614558454057,55.68434444474585,0.11378517441821083,3.963115410597583,63514.11233659228,1.5917950928500493,100.41058318623837,0.07087005929356294,0.6094894117647058,0.07601854194729878,0.12748106116716446,0.09927039019151998,0.0751011411421258,1.9117959104938271
4,204,33.8703,7.92037,24,10.9385,0,109,119,6,138,6,0.99622,34.66731,0.0,0.0,4.21429,8.328,6.77009,0.0,0.0,124.0,41.76852,0.0,0.4,2.929,-1.0,0.927471,0.1099310491816881,7458.649898976241,0.10943873631765048,0.08019657664699391,0.07668071448455703,0.34582167542982406,580.2844141212105,63.91158329648353,89.47226407458717,56.22803940007716,0.11222450143484086,4.168889607641295,63494.050844715035,1.5564917499720676,100.38476945874906,0.07177586361495111,0.6180058823529412,0.07552081633786388,0.12823714577479545,0.09870812410762453,0.07585638670398984,1.6961323302469136
5,205,34.0137,7.84583,24,10.704,0,109,119,6,138,6,0.99744,34.84464,0.0,0.0,4.17857,8.365,6.84667,0.0,0.0,120.0,41.99496,0.0,0.39,3.227,-1.0,0.866416,0.11008591191759769,7535.990259942848,0.10927641872536441,0.07819938708915672,0.07580458410259078,0.34198063445076315,583.2436560187109,65.19043742510807,91.35541662379603,57.13430126802421,0.10831475276069383,4.445604557791803,63391.48823759291,1.6632967209090175,100.35647883836421,0.07334211288278111,0.6217662745098039,0.07560198471303621,0.12854421274080519,0.09884800228876377,0.07799726208070273,1.5431134259259258
6,206,34.059,7.62638,24,9.66852,0,109,119,6,138,6,1.00011,34.87636,0.0,0.0,4.21429,8.331,6.73456,0.0,0.0,120.0,42.09206,0.0,0.4,2.712,-1.0,0.870105,0.10885307473672014,7564.413948284595,0.10849896548940041,0.07668573901451677,0.07526177857971185,0.3419806344507645,585.3691493855616,64.97592082127288,89.98560309860507,57.015333764347034,0.10258370882317128,3.928768815855193,63489.21486448366,1.7882369969140726,100.3532038171173,0.0739932078189648,0.623878431372549,0.07517998990352001,0.12871528480488093,0.09964668128771925,0.08131942834223493,1.5629340277777777
7,207,34.0966,7.01187,24,9.40512,0,109,119,6,138,6,0.99678,34.90732,0.0,0.0,5.25,8.288,6.54878,0.0,0.0,120.0,42.17731,0.0,0.4,3.436,-1.0,0.893686,0.10861801298883686,7576.992421828845,0.10674630095600214,0.07644662348073583,0.07478376239959805,0.3419806344507646,586.9918453827845,64.95004637449787,89.27780046921899,57.08589115849247,0.09895494170570714,3.8982543065293322,63564.323216768586,1.658709397460622,100.35084442712983,0.07380814317203029,0.6266298039215686,0.07523938906885436,0.12906554309553692,0.10045382254293034,0.08334652261888711,1.5022665895061729
8,208,34.0214,6.65899,24,8.75705,0,109,119,6,139,6,0.99302,34.80634,0.0,0.0,4.71429,8.218,6.01602,0.0,0.0,120.0,42.23141,0.0,0.39,2.691,0.27443,0.900543,0.1082472194167223,7553.536900211521,0.104777662415741,0.07596794667997288,0.07452385962743796,0.3419806344507592,588.3615238563877,65.1613709679242,87.81715484456923,57.12742972668307,0.09636367545539544,3.757387848654441,63442.7009658266,1.6087794798341812,100.37466606243018,0.07405392508847006,0.6273396078431372,0.07582160954330111,0.1292827079605964,0.10178996803463741,0.08605923991519263,1.2058256172839505
9,209,34.094,6.27585,24,8.20261,0,109,118,6,139,6,0.98921,34.84489,0.0,0.0,2.78571,8.271,5.71387,0.0,0.0,120.0,42.30555,0.0,0.4,2.865,-1.0,0.947839,0.10785634312086119,7586.67513057986,0.10435167594613079,0.07627486752272299,0.07406851843235582,0.33754538236430537,589.6258213619075,65.7191552481452,88.56846891807636,57.21436149691358,0.09419041443491154,3.7439606074440195,63406.98307945171,1.5200571563790632,100.37908656632612,0.07480208413746116,0.6295035294117647,0.07645793059534219,0.12948087228374133,0.10323511690015069,0.08801376043482909,1.1517650462962963
