,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,staticness,blur,uhdhdsim,tone,saturation,blockiness,contrast,temporal,color_fulness,fft,cubrow.0.6,cubcol.0,cubrow.0.5,cubrow.1.0,cubrow.0,cubrow.0.3,cubcol.0.3,cubcol.1.0,noise,cubcol.0.5,cubcol.0.6,movement
0,0,72.5024,14.7273,96,0.0,0,116,121,41,131,34,1.02378,76.5652,0.0,0.0,0.32143,3.179,0.0,0.0,0.0,130.0,59.86841,0.00904,2.68,1.574,0.0,0.0,488.1852507355543,42794.21179926323,81.2862456002249,0.9073580392156864,39.5053061026114,3.163945677857707,93.85744752355568,0.0,142.4916731972279,77419.78245748994,0.2625260430672743,0.10604366306259776,0.2582867292680981,0.3129071895950838,0.38937877829329826,0.23313590461320885,0.24032202831738483,0.14614118169312593,2.866483131332308,0.3741469110913159,0.2846143114448463,0.0
1,1,72.8542,14.6285,96,18.2425,0,116,121,41,131,34,1.02915,76.95171,0.0,0.0,0.14286,3.177,12.87912,0.0,0.0,131.0,59.85807,0.00934,2.68,1.553,-1.0,0.0,483.629059294902,42706.40615354855,81.24024355533348,0.9070792549019607,39.390065134307484,3.3735406998160897,91.6843687053794,6.492923015581305,142.7919628187187,76999.830441533,0.25182512377283256,0.09753350601537346,0.24568571662256428,0.30669904231749806,0.3344498325875209,0.22268961172012938,0.191090549032959,0.14490605970153894,2.881253084141159,0.3472227816674944,0.25649508387413417,5.237606095679013
2,2,72.9614,14.5414,96,17.6604,0,116,121,41,131,34,1.02241,77.07749,0.0,0.0,0.35714,3.163,12.77903,0.0,0.0,130.0,59.84901,0.00903,2.68,1.594,-1.0,0.0,480.80427164715474,42628.27259271004,81.23376025235011,0.9067050980392157,39.40578959900656,2.588992439115701,90.88960299847818,6.484699515281949,142.65510693972624,77230.14861019255,0.25036726379167934,0.09558809305476013,0.2425979157888394,0.3075896985923801,0.31270322958725943,0.2187368113961492,0.18125809444914964,0.1418074657850097,2.872976791075638,0.3327196749896899,0.2521689768749171,4.641300154320987
3,3,73.5389,14.1916,97,16.9959,0,116,121,41,131,34,1.01911,77.64941,0.0,0.0,0.28571,3.15,12.70074,0.0,0.0,130.0,59.85637,0.00894,2.69,1.688,-1.0,0.0,478.76329756903107,43542.4101475451,81.16952709845549,0.9065090196078432,39.54445638774354,3.2298627029295766,91.02560167786466,6.470754222227522,142.6626955822456,77363.81725732941,0.24943922080671502,0.09466476543838999,0.24155109135310296,0.3052053979634375,0.29797639464297965,0.21823257476185845,0.17702938611582117,0.14299417585955526,2.86632391294595,0.32489126216034925,0.25100042059169836,4.035590277777778
4,4,74.2659,13.8246,98,16.9863,0,116,121,41,131,35,1.02472,78.37093,0.0,0.0,0.21429,3.147,12.403,0.0,0.0,131.0,59.85754,0.00927,2.7,1.623,-1.0,0.0,477.17212797476157,44624.31701918964,81.09734203799498,0.9061572156862745,39.611620867693865,2.6962685213361723,93.7190194597679,6.426965915749176,142.79309412880121,77458.32527441498,0.2496214708035117,0.09432110217786543,0.24113197337498662,0.3061459066592841,0.2875793874883426,0.2175677673519419,0.17367849400259636,0.14169567403139752,2.8868767584424213,0.3285569363632037,0.2478850978691407,3.3131269290123457
5,5,74.7296,12.986,98,16.9457,0,116,121,42,131,35,1.02394,78.88669,0.0,0.0,0.42857,3.135,12.09013,0.0,0.0,130.0,59.87686,0.0089,2.69,1.785,-1.0,0.0,475.8834120511493,45789.39889416578,81.0705382453321,0.9060609411764706,39.639210642119984,2.7889673837982376,93.81485235604313,6.39486763580571,142.7678056891715,77546.63123819971,0.24868797975202742,0.09392639185062754,0.24181415711255158,0.30955652662168903,0.28031052283516583,0.21716730675537502,0.17203611240157704,0.14087912233341165,2.8907177994214757,0.3325928562276253,0.24622067807022463,2.732542438271605
6,6,75.2485,12.543,99,14.9702,0,116,121,42,131,35,1.02223,79.41964,0.0,0.0,0.32143,3.132,11.35026,0.0,0.0,130.0,59.89011,0.009,2.68,1.761,-1.0,0.0,474.8720259419155,46765.97243972428,80.98991623768937,0.9060800000000001,39.81638100706501,2.44981905284724,92.96324247875764,6.3240047012693585,142.83761318086727,77724.3915397278,0.24842772222467216,0.09362289285278944,0.24255872389294983,0.3120384922018242,0.27958205953652,0.21741527823489412,0.17152176881878617,0.14094510159471071,2.8873117511634576,0.3357740283105559,0.24521703294705968,2.1568769290123457
7,7,74.9694,13.3763,99,13.7869,0,116,121,42,131,35,1.02789,79.13299,0.0,0.0,0.57143,3.128,10.95174,0.0,0.0,130.0,59.85813,0.00912,2.68,1.734,-1.0,0.0,474.08708957483117,46249.60207107001,81.03114176960202,0.9058419607843138,39.7928276532962,3.051356706645977,92.99871901723434,6.254818397273446,142.54406297084464,77674.952755576,0.2482721202055823,0.0934451212699612,0.24292630070606666,0.3141503520174046,0.27760220374472183,0.21647614691997596,0.17054049527264312,0.1409446232639669,2.889688595593055,0.3407176021545466,0.24424706209008631,1.8932291666666667
8,8,74.0663,13.8663,98,16.4324,0,116,121,42,131,35,1.0259,78.24042,0.0,0.0,0.71429,3.129,11.69873,0.0,0.0,131.0,59.79232,0.00872,2.65,1.661,0.125,0.0,473.3656299675643,44292.849962551176,81.10266259618767,0.9048071568627452,39.75267518596885,3.1391282687118225,92.69429642273319,6.353746140709127,142.69578633017338,77236.81362530676,0.2482931387814949,0.09311920485375864,0.24291821000336064,0.3136476546820974,0.2765902681359087,0.21604397534000838,0.17097595898523452,0.14094760089081537,2.8852533435065926,0.3400337813114902,0.24324875487284386,1.8709490740740742
9,9,73.6717,14.1062,97,16.1828,0,115,121,41,131,34,1.03025,77.8612,0.0,0.0,1.10714,3.116,12.11667,0.0,0.0,130.0,59.7742,0.00927,2.68,1.549,-1.0,0.0,472.63994236147767,43191.67678784762,81.08749922737587,0.9048027450980394,39.85200236756125,2.8702109448216016,93.91836442178082,6.391608242727173,142.79725915657104,77024.46246561238,0.24839080854218806,0.09292491809255332,0.24290826517722688,0.3111693231650912,0.2734062291122408,0.21613638776496977,0.16989750083775626,0.14100003898752833,2.8862825473350235,0.33992641390154843,0.24213979648421702,1.8538773148148149
