,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.1.0,cubcol.0.6,cubcol.0,blockiness,saturation,contrast,fft,blur,cubrow.1.0,noise,cubrow.0,uhdhdsim,cubrow.0.3,cubrow.0.5,tone,color_fulness,movement,cubrow.0.6,staticness,temporal,cubcol.0.5,cubcol.0.3
0,300,72.691,15.1535,95,0.0,0,116,121,41,131,34,1.02042,76.40202,0.0,0.0,0.89286,3.189,0.0,0.0,0.0,130.0,59.70898,0.00921,2.96,1.515,0.0,0.0,0.14538070880821863,0.3020845605140783,0.10279945999735352,3.9558861320388976,39.33626471625434,93.85584485852553,76461.15171279706,40393.25294057135,0.32234754048203423,2.865888920224928,0.2781695950550722,81.45962551564067,0.2616888307265165,0.25479822786868667,0.9044835294117648,142.02218187307793,0.0,0.25866760054871435,493.6548472561376,0.0,0.3740780285555559,0.35679076302559376
1,301,71.8257,15.4129,94,20.1403,0,116,121,41,131,34,1.02056,75.68342,0.0,0.0,0.64286,3.211,13.20802,0.0,0.0,129.0,59.65917,0.00884,2.96,1.533,-1.0,0.0,0.1417224268131945,0.255197731244649,0.09634240318032723,4.1346412223349205,39.40893517011478,91.90779610474232,76079.343943263,38970.05920737834,0.31035713112787555,2.8757886282262635,0.24304553470400095,81.55940417877827,0.24352436677970962,0.24561824983278643,0.9028874509803922,141.96987650130717,6.211467978395062,0.2508267507922092,487.69018257788485,6.522401659801383,0.3369732344398341,0.26409864456201726
2,302,72.309,15.0876,95,20.5844,0,115,121,41,131,34,1.02112,76.16746,0.0,0.0,0.42857,3.19,13.42566,0.0,0.0,129.0,59.65572,0.0089,2.68,1.541,-1.0,0.0,0.14079759022055455,0.2443702382916027,0.09484782692345783,3.830437494474529,39.64343864535108,92.1379866041001,76270.99285523804,39803.20323382699,0.3024702623398855,2.8753536355052334,0.24415261144833533,81.46546160586198,0.23754697948781947,0.2436719625121617,0.9029533333333335,142.03883648275973,5.824170524691358,0.2466477937847338,483.11316036227674,6.521156918666378,0.3287885005309688,0.2414364107558104
3,303,72.4921,15.4839,95,19.7707,0,115,121,41,131,34,1.02318,76.31598,0.0,0.0,0.42857,3.187,13.15252,0.0,0.0,130.0,59.73562,0.00858,2.95,1.508,-1.0,0.0,0.141177694725179,0.2399968750168879,0.09409759637458608,3.8897797191633057,39.729566597644194,93.86136804061684,76422.22776683803,40329.11682223232,0.298071394744932,2.8925004327436716,0.24050211719672307,81.44413398298727,0.2333894704736383,0.2434242504051884,0.9035011764705881,141.92139311596745,4.948302469135802,0.2470632067248165,479.3866271763543,6.50026724927411,0.3249931500605106,0.23850879347806817
4,304,72.5427,15.6557,95,20.4651,0,115,121,41,131,34,1.02219,76.35508,0.0,0.0,0.42857,3.183,13.49771,0.0,0.0,130.0,59.69244,0.00937,2.94,1.595,-1.0,0.0,0.1414176790032122,0.23510889116482167,0.09347479592189029,3.641949022309408,39.812140382366415,91.787181346032,76419.21986072506,40793.33264494279,0.2936922674309737,2.8735710021830365,0.24025947813964793,81.4969870012817,0.2303510285108211,0.2427817622103634,0.9037909803921569,142.13801739730138,4.298948688271605,0.24646164497220577,476.61103903273164,6.520429164988112,0.3221844481855604,0.22685286184305326
5,305,73.1539,15.8417,96,20.405,0,115,121,42,131,34,1.01627,76.92879,0.0,0.0,0.82143,3.194,13.64005,0.0,0.0,130.0,59.57286,0.0091,2.95,1.594,-1.0,0.0,0.14168382891355064,0.23334375246098346,0.09317635568116565,3.6576163811562483,39.765560762381845,91.76576439754241,76612.15068006382,41669.68077002485,0.2925693301863065,2.8885001733782594,0.2416088229285253,81.38409678608106,0.22850466001629977,0.24187697767219732,0.9027160784313726,142.28502444665276,4.350597993827161,0.24646071105627756,474.7080536428421,6.55483895369274,0.32009336422649,0.22329937900698055
6,306,72.8426,16.4842,96,19.6788,0,115,121,42,131,34,1.0225,76.67703,0.0,0.0,0.96429,3.196,13.78926,0.0,0.0,130.0,59.51729,0.00894,2.94,1.613,-1.0,0.0,0.14145406611593542,0.2345145518578619,0.09312922544131456,3.568085002778241,39.94769023377218,91.25610011242259,76386.68371871777,41095.26660771824,0.2869050187990163,2.8784412469905347,0.2458240681374998,81.4048758540859,0.22812878517840018,0.24220824322160442,0.902863137254902,142.33856802549496,4.661892361111111,0.24625993345637148,473.1940849721337,6.578885591713693,0.3161571020465854,0.21818228773991566
7,307,72.4684,16.5276,95,20.395,0,115,121,42,131,34,1.02469,76.30252,0.0,0.0,0.46429,3.205,14.34077,0.0,0.0,130.0,59.4031,0.00912,2.95,1.627,-1.0,0.0,0.1413529301227543,0.23469387473332795,0.09290571971444686,3.119406662945798,39.85707318341291,91.30525852555712,76214.75495586992,40493.82727733983,0.28394223824793974,2.8681065462681423,0.2440197265132955,81.45294979656691,0.22779549206906172,0.24222840560264575,0.9025043137254902,142.42433251349968,4.974729938271605,0.24659720983264186,471.53866285495303,6.612308505982777,0.3119585896372944,0.21609318720835363
8,308,73.1617,16.4634,95,20.9559,0,116,121,42,131,34,1.02456,76.86662,0.0,0.0,0.5,3.214,14.36277,0.0,0.0,130.0,59.33855,0.00918,2.94,1.644,0.125,0.0,0.14119618225471592,0.23415158691960702,0.0928289702192288,3.269985696793462,39.72866161958671,91.68924644209282,76111.98710941814,41192.96249977894,0.28083777448824426,2.8802238803127285,0.2464721251006358,81.3818394034383,0.22837221080397405,0.2423900772839528,0.9029654901960784,142.711055421761,4.974681712962963,0.24634438462965574,469.94763021854834,6.629318961108847,0.30915061838302116,0.21321980450856243
9,309,72.9023,16.4802,95,22.2761,0,116,121,41,131,34,1.02694,76.65393,0.0,0.0,1.07143,3.2,14.3378,0.0,0.0,130.0,59.33092,0.00901,2.95,1.683,-1.0,0.0,0.14097381182763843,0.23247200253531175,0.09252705761634504,2.367091083714702,39.71219682104793,93.90431691704414,76165.81691589688,40973.49356638639,0.2796789208277227,2.867947327881786,0.2485681124017557,81.45057955429868,0.2280155213953675,0.24252538226750017,0.9038343921568573,143.17372576607755,4.272617669753086,0.24653893814010688,468.59070081363905,6.598198039430247,0.30608976209565547,0.21099356538468853
